,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,15.03B,3.009B,18.04B,1.746B,1.596B,3.342B,729.00M,2.887B,,1.281B,26.28B,,,,,,,,,,2.713B,16.12B,28.59B,44.71B,161.00M,,,6.558B,54.15B,80.43B,,131.00M,,2.048B,2.179B,3.139B,5.318B,,,,,,,6.472B,12.39B,21.06B,21.06B,5.343B,,5.343B,,,,,3.959B,30.36B,42.75B,,3.683B,14.81B,18.06B,,3.683B,2.00M,-194.00M,1.884B,-538.00M,1.154B,37.68B,,AOR,
2020-09,16.29B,3.752B,20.04B,1.618B,1.264B,2.882B,757.00M,2.751B,,1.214B,27.64B,0.00,71.00M,1.007B,5.92B,,163.00M,,7.161B,-4.424B,2.737B,15.91B,27.81B,43.72B,231.00M,,,6.588B,53.27B,80.92B,,174.00M,,1.736B,1.91B,2.754B,4.664B,,,2.999B,2.999B,,,6.026B,14.51B,21.07B,21.07B,5.237B,,5.237B,,,,,3.891B,30.20B,44.71B,,5.086B,14.09B,16.72B,,5.086B,3.00M,-196.00M,838.00M,-291.00M,354.00M,36.21B,,AOR,
2020-06,13.90B,2.739B,16.64B,1.453B,2.111B,3.564B,753.00M,2.907B,,1.15B,25.01B,,,,,,,,,,2.746B,15.79B,27.19B,42.98B,547.00M,,,6.601B,52.87B,77.88B,,153.00M,,2.725B,2.878B,3.553B,6.431B,,2.999B,2.999B,2.999B,,,5.967B,16.10B,17.88B,17.88B,4.728B,,4.728B,,,,,3.652B,26.26B,42.36B,,5.298B,14.07B,16.46B,,5.298B,4.00M,-192.00M,-52.00M,-39.00M,-279.00M,35.52B,,AOR,
2020-03,9.74B,2.411B,12.15B,1.516B,1.432B,2.948B,889.00M,2.962B,,957.00M,19.91B,,,,,,,,,,2.776B,15.76B,27.01B,42.77B,1.064B,,,6.307B,52.91B,72.82B,,161.00M,,1.869B,2.03B,3.266B,5.296B,,,3.999B,3.999B,,,6.074B,15.94B,13.89B,13.89B,4.796B,,4.796B,,,,,3.604B,22.29B,38.24B,,5.462B,13.37B,16.38B,,5.462B,6.00M,-199.00M,-329.00M,78.00M,-444.00M,34.58B,,AOR,
2019-12,8.768B,3.902B,12.67B,1.661B,3.273B,4.934B,580.00M,3.332B,,803.00M,22.32B,,,,,,,,,,2.739B,15.77B,27.14B,42.90B,1.719B,,,5.10B,52.46B,74.78B,,133.00M,,4.277B,4.41B,3.674B,8.084B,,,3.00B,3.00B,,,5.968B,17.58B,13.69B,13.69B,4.81B,,4.81B,,,,,3.434B,21.93B,39.51B,,5.462B,13.90B,16.42B,,5.462B,4.00M,-203.00M,-190.00M,49.00M,-340.00M,35.27B,,AOR,Restated
2019-09,7.838B,4.236B,12.07B,1.542B,3.048B,4.59B,712.00M,2.853B,,741.00M,20.97B,0.00,71.00M,965.00M,5.354B,,180.00M,,6.57B,-3.875B,2.695B,15.66B,26.78B,42.44B,2.157B,,,4.316B,51.60B,72.57B,,156.00M,,3.99B,4.146B,2.828B,6.974B,,,,,,,5.645B,13.42B,16.73B,16.73B,4.807B,,4.807B,,,,,2.939B,24.48B,37.89B,,5.462B,13.50B,16.54B,,5.462B,6.00M,-192.00M,-663.00M,199.00M,-650.00M,34.68B,,AOR,Restated
2019-06,7.912B,3.265B,11.18B,1.531B,1.689B,3.22B,648.00M,2.57B,,690.00M,18.30B,,,,,,,,,,2.549B,15.31B,27.27B,42.58B,2.918B,,,3.892B,51.94B,70.25B,,150.00M,,2.42B,2.57B,2.214B,4.784B,,,,,,0.00,5.358B,10.83B,16.69B,16.69B,4.93B,,4.93B,,,,,2.801B,24.42B,35.25B,,5.462B,13.04B,16.55B,,5.462B,6.00M,-66.00M,146.00M,24.00M,110.00M,35.00B,,AOR,Restated
2019-03,7.648B,3.876B,11.52B,1.404B,1.574B,2.978B,765.00M,2.634B,,589.00M,18.49B,,,,,,,,,,2.456B,15.09B,26.97B,42.05B,3.506B,,,3.359B,51.38B,69.86B,,119.00M,,2.081B,2.20B,2.121B,4.321B,,,,,,1.262B,5.219B,11.38B,16.63B,16.63B,4.911B,,4.911B,,,,,2.669B,24.21B,35.59B,,5.464B,12.51B,16.55B,,5.464B,1.00M,-67.00M,-116.00M,96.00M,-86.00M,34.28B,,AOR,Restated
2018-12,8.289B,3.461B,11.75B,1.405B,3.123B,4.528B,456.00M,2.826B,,547.00M,20.11B,,,,,,,,,,2.437B,15.15B,27.30B,42.45B,4.132B,,,2.529B,51.55B,71.66B,,124.00M,,3.89B,4.014B,2.976B,6.99B,,,,,,1.284B,4.675B,13.39B,16.63B,16.63B,4.835B,,4.835B,,,,,2.703B,24.17B,37.56B,,5.464B,11.91B,16.54B,,5.464B,-4.00M,-67.00M,278.00M,68.00M,275.00M,34.10B,,AOR,Restated
2018-09,8.162B,3.547B,11.71B,1.208B,1.582B,2.79B,562.00M,2.815B,,340.00M,18.22B,0.00,69.00M,898.00M,4.577B,,153.00M,,5.697B,-3.225B,2.472B,15.19B,27.56B,42.75B,4.082B,,,1.703B,51.01B,69.22B,,183.00M,,2.168B,2.351B,2.594B,4.945B,,,,,,1.30B,4.159B,11.30B,16.63B,16.63B,4.618B,,4.618B,,,,,2.666B,23.91B,35.22B,,5.47B,11.32B,16.68B,,5.47B,-17.00M,-61.00M,565.00M,60.00M,547.00M,34.01B,,AOR,Restated
