,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,7.161B,5.687B,1.154B,4.533B,205.00M,286.00M,491.00M,-1.00M,,136.00M,,-136.00M,,688.00M,3.845B,,136.00M,-136.00M,39.00M,-136.00M,3.748B,622.00M,3.126B,,3.126B,3.093B,4.081B,197.00M,3.884B,,1.42,,1.405,1.42,,1.42,,1.405,1.42,,2.136B,2.20B,0.32,,AOR,
2020-09,6.438B,5.101B,1.113B,3.988B,288.00M,360.00M,648.00M,-2.00M,,145.00M,,-145.00M,,844.00M,3.144B,,145.00M,-145.00M,56.00M,-145.00M,3.055B,918.00M,2.137B,,2.137B,2.098B,3.396B,196.00M,3.20B,,0.97,,0.9516,0.97,,0.97,,0.9523,0.97,,2.125B,2.211B,0.30,,AOR,
2020-06,6.036B,4.837B,1.113B,3.724B,174.00M,353.00M,527.00M,-1.00M,,142.00M,,-142.00M,,724.00M,3.00B,,142.00M,-142.00M,74.00M,-142.00M,2.932B,559.00M,2.373B,,2.373B,2.313B,3.271B,197.00M,3.074B,,1.07,,1.042,1.07,,1.07,,1.043,1.07,,2.131B,2.214B,0.30,,AOR,
2020-03,7.167B,5.854B,1.123B,4.731B,235.00M,372.00M,607.00M,-8.00M,,118.00M,,-118.00M,,799.00M,3.932B,,118.00M,-118.00M,15.00M,-118.00M,3.829B,745.00M,3.084B,,3.084B,3.072B,4.139B,192.00M,3.947B,,1.39,,1.384,1.39,,1.38,,1.375,1.38,,2.145B,2.228B,0.30,,AOR,
2019-12,7.437B,6.054B,1.163B,4.891B,274.00M,419.00M,693.00M,0.00,,111.00M,,-111.00M,,875.00M,4.016B,,111.00M,-111.00M,69.00M,-111.00M,3.974B,702.00M,3.272B,,3.272B,3.215B,4.267B,182.00M,4.085B,,1.46,,1.434,1.46,,1.46,,1.435,1.46,,2.155B,2.24B,0.30,,AOR,Restated
2019-09,7.485B,6.137B,1.064B,5.073B,306.00M,490.00M,796.00M,-370.00M,,120.00M,,-120.00M,,968.00M,4.105B,,120.00M,-120.00M,-274.00M,-120.00M,3.711B,686.00M,3.025B,,3.025B,3.248B,4.003B,172.00M,3.831B,,1.34,,1.443,1.34,,1.34,,1.439,1.34,,2.171B,2.254B,0.25,,AOR,Restated
2019-06,7.044B,5.84B,1.056B,4.784B,282.00M,428.00M,710.00M,-1.00M,,128.00M,,-128.00M,,875.00M,3.909B,,128.00M,-128.00M,85.00M,-128.00M,3.866B,765.00M,3.101B,,3.101B,3.033B,4.159B,165.00M,3.994B,,1.37,,1.339,1.37,,1.37,,1.340,1.37,,2.18B,2.265B,0.25,,AOR,Restated
2019-03,6.645B,5.494B,1.065B,4.429B,241.00M,365.00M,606.00M,-22.00M,,140.00M,,-140.00M,,766.00M,3.663B,,140.00M,-140.00M,154.00M,-140.00M,3.677B,700.00M,2.977B,,2.977B,2.852B,3.977B,160.00M,3.817B,,1.31,,1.253,1.31,,1.31,,1.255,1.31,,2.195B,2.279B,0.25,,AOR,Restated
2018-12,6.663B,5.506B,980.00M,4.526B,276.00M,367.00M,643.00M,-7.00M,,,,-145.00M,,802.00M,3.724B,,,-145.00M,51.00M,-145.00M,3.63B,653.00M,2.977B,,2.977B,2.935B,3.883B,159.00M,3.724B,,1.30,,1.281,1.30,,1.30,,1.282,1.30,,2.206B,2.291B,0.25,,AOR,Restated
2018-09,6.68B,5.434B,1.003B,4.431B,264.00M,591.00M,855.00M,-7.00M,,150.00M,,-150.00M,,1.018B,3.413B,,150.00M,-150.00M,275.00M,-150.00M,3.538B,693.00M,2.845B,,2.845B,2.624B,3.851B,163.00M,3.688B,,1.24,,1.140,1.24,,1.23,,1.134,1.23,,2.214B,2.305B,0.21,,AOR,Restated
