,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,746.00M,,746.00M,742.00M,88.00M,1.212B,351.00M,134.00M,,,116.00M,2.695B,490.00M,1.596B,47.14B,-8.824B,38.32B,3.283B,763.00M,4.046B,,53.00M,,388.00M,45.23B,47.92B,864.00M,319.00M,93.00M,,1.276B,385.00M,1.661B,,2.893B,2.893B,298.00M,298.00M,,590.00M,5.442B,223.00M,21.24B,,21.24B,3.691B,4.302B,,485.00M,,,,,28.80B,34.24B,8.00M,5.345B,12.26B,,,,,-3.927B,13.69B
2020-06,1.278B,,1.278B,665.00M,106.00M,1.159B,333.00M,153.00M,,,111.00M,3.268B,452.00M,1.456B,45.13B,-8.349B,36.78B,3.086B,730.00M,3.816B,,75.00M,,364.00M,43.25B,46.52B,804.00M,319.00M,76.00M,,1.199B,232.00M,1.431B,,2.886B,2.886B,267.00M,267.00M,,584.00M,5.168B,219.00M,21.10B,,21.10B,3.402B,3.961B,,491.00M,,,,,28.31B,33.48B,8.00M,5.383B,12.26B,,,,,-4.602B,13.04B
2020-03,915.00M,,915.00M,730.00M,107.00M,1.271B,320.00M,155.00M,,,102.00M,2.956B,380.00M,1.645B,45.13B,-8.299B,36.84B,3.178B,748.00M,3.926B,,166.00M,,365.00M,43.37B,46.33B,833.00M,319.00M,100.00M,,1.252B,352.00M,1.604B,,2.866B,2.866B,265.00M,265.00M,,587.00M,5.322B,217.00M,20.67B,,20.67B,3.34B,3.821B,,500.00M,,,,,27.76B,33.09B,8.00M,5.36B,12.24B,,,,,-4.366B,13.24B
2019-12,815.00M,,815.00M,687.00M,105.00M,1.296B,332.00M,79.00M,,,98.00M,2.767B,357.00M,1.58B,44.65B,-8.164B,36.48B,3.198B,743.00M,3.941B,,149.00M,,386.00M,42.91B,45.68B,956.00M,317.00M,99.00M,,1.372B,294.00M,1.666B,,2.323B,2.323B,261.00M,261.00M,,650.00M,4.90B,212.00M,20.72B,,20.72B,3.212B,3.697B,,587.00M,,,,,27.79B,32.69B,8.00M,5.127B,12.21B,,,,,-4.358B,12.99B
2019-09,670.00M,,670.00M,625.00M,112.00M,1.167B,295.00M,115.00M,,,78.00M,2.534B,331.00M,1.88B,42.94B,-7.837B,35.11B,3.05B,709.00M,3.759B,,210.00M,,335.00M,42.02B,44.56B,846.00M,298.00M,94.00M,,1.238B,346.00M,1.584B,,1.387B,1.387B,262.00M,262.00M,,607.00M,3.84B,193.00M,21.55B,,21.55B,3.20B,3.683B,,719.00M,,,,,28.82B,32.66B,7.00M,5.08B,11.09B,,,,,-4.272B,11.90B
2019-06,406.00M,,406.00M,662.00M,110.00M,1.197B,286.00M,142.00M,,,67.00M,2.231B,342.00M,1.682B,42.82B,-7.687B,35.13B,3.139B,710.00M,3.849B,,209.00M,,291.00M,41.97B,44.20B,830.00M,298.00M,111.00M,,1.239B,215.00M,1.454B,,1.772B,1.772B,265.00M,265.00M,,572.00M,4.063B,223.00M,20.96B,,20.96B,3.111B,3.569B,,716.00M,,,,,28.16B,32.22B,7.00M,4.903B,11.07B,,,,,-3.996B,11.98B
2019-03,518.00M,,518.00M,749.00M,104.00M,1.309B,274.00M,157.00M,,,62.00M,2.429B,357.00M,1.834B,42.94B,-7.636B,35.31B,3.26B,728.00M,3.988B,,172.00M,,290.00M,42.14B,44.57B,823.00M,298.00M,112.00M,,1.233B,332.00M,1.565B,,1.63B,1.63B,260.00M,260.00M,,606.00M,4.061B,267.00M,21.11B,,21.11B,3.066B,3.535B,,718.00M,,,,,28.33B,32.40B,7.00M,4.761B,11.05B,,,,,-3.647B,12.17B
2018-12,621.00M,,621.00M,663.00M,107.00M,1.266B,303.00M,70.00M,,,63.00M,2.432B,355.00M,1.78B,41.87B,-7.411B,34.46B,3.162B,717.00M,3.879B,,228.00M,,192.00M,40.96B,43.40B,989.00M,296.00M,110.00M,,1.395B,278.00M,1.673B,,1.96B,1.96B,257.00M,257.00M,,673.00M,4.563B,264.00M,20.07B,,20.07B,2.922B,3.358B,,771.00M,,,,,27.18B,31.74B,7.00M,4.593B,11.02B,,,,,-3.964B,11.66B
2018-09,842.00M,,842.00M,684.00M,58.00M,1.153B,295.00M,103.00M,,,61.00M,2.545B,365.00M,1.816B,41.32B,-7.307B,34.02B,3.242B,700.00M,3.942B,,206.00M,,191.00M,40.50B,43.04B,814.00M,287.00M,121.00M,,1.222B,326.00M,1.548B,,1.879B,1.879B,265.00M,265.00M,,691.00M,4.383B,279.00M,19.92B,,19.92B,2.844B,3.285B,,649.00M,,,,,26.88B,31.26B,7.00M,4.423B,11.00B,,,,,-3.648B,11.78B
2018-06,852.00M,,852.00M,675.00M,66.00M,1.194B,288.00M,126.00M,,,62.00M,2.60B,370.00M,1.645B,41.01B,-7.191B,33.82B,3.308B,694.00M,4.002B,,185.00M,,192.00M,40.23B,42.83B,804.00M,287.00M,132.00M,,1.223B,203.00M,1.426B,,2.067B,2.067B,271.00M,271.00M,,684.00M,4.448B,297.00M,20.22B,,20.22B,2.76B,3.216B,,665.00M,,,,,27.14B,31.59B,7.00M,4.266B,10.46B,,,,,-3.495B,11.24B
