,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2009-08,,,,,,21.60M,21.60M,,8.00M,6.70M,128.50M,-19.80M,1.60M,41.30M,,,-1.30M,21.80M,186.60M,-14.20M,,-14.20M,,261.70M,,247.50M,,-485.40M,-485.40M,,,,,-112.10M,5.90M,,-591.60M,472.80M,-157.50M,315.30M,,,-485.40M,
2009-05,,0.878M,-0.257M,,,22.61M,22.61M,,6.148M,6.397M,-411.31M,-19.66M,-2.392M,-12.64M,,,4.829M,-29.87M,125.45M,-27.84M,,-27.22M,0.00,309.98M,396.78M,679.54M,,-651.89M,-651.89M,,,,,-111.95M,3.223M,,-760.62M,428.41M,44.36M,472.77M,,,-651.89M,
2009-02,,-0.173M,-0.173M,,,21.49M,21.49M,-13.09M,4.868M,5.368M,122.32M,61.38M,5.247M,21.30M,,,4.406M,92.34M,234.94M,-14.07M,,-14.07M,-6.466M,74.24M,-663.96M,-610.27M,,584.89M,584.89M,,,,,-111.94M,0.153M,,473.10M,330.63M,97.77M,428.41M,,,584.89M,
2008-11,,-0.405M,-0.405M,,,20.99M,20.99M,6.667M,5.403M,7.02M,140.86M,-23.19M,-5.281M,-41.99M,,,3.756M,-66.70M,113.83M,-21.73M,,-21.73M,0.00,1.841B,-1.434B,385.07M,,-118.47M,-118.47M,,,,,-111.94M,0.55M,,-229.85M,61.58M,269.05M,330.63M,,,-118.47M,
2008-08,,-0.30M,-0.30M,,,20.69M,20.69M,6.422M,6.537M,6.922M,149.17M,-8.00M,10.78M,23.28M,,,-0.947M,25.11M,214.55M,-17.48M,,-17.48M,,-631.98M,599.59M,-49.87M,,-160.54M,-160.54M,,,,,-111.90M,5.107M,,-267.33M,164.24M,-102.66M,61.58M,,,-160.54M,
2008-05,-440.66M,,-2.608M,-59.36M,-12.56M,8.692M,8.692M,4.046M,,,561.91M,-30.90M,-11.69M,-0.673M,,,1.711M,-41.55M,134.29M,-17.67M,0.007M,-17.66M,0.00,1.185B,-994.72M,173.08M,,,,-55.29M,0.00,-55.29M,,-108.19M,,-8.647M,-302.92M,159.79M,4.447M,164.24M,-55.29M,,,0.00
2008-02,142.47M,,-3.309M,20.57M,4.66M,25.23M,25.23M,-18.68M,,,6.727M,62.45M,11.80M,2.35M,,,3.093M,79.69M,232.13M,-24.92M,0.001M,-24.92M,0.00,-737.95M,353.92M,-408.96M,,,,2.02M,-134.94M,-132.92M,,-108.16M,,524.77M,283.69M,52.93M,106.86M,159.79M,2.02M,,,-134.94M
2007-11,147.11M,,-0.39M,19.66M,3.935M,23.60M,23.60M,8.998M,,,7.245M,-6.001M,-12.45M,-65.50M,,,2.425M,-81.53M,105.03M,-18.92M,0.00,-18.92M,-0.344M,121.22M,826.35M,928.30M,,,,8.864M,-468.58M,-459.72M,,-110.81M,,-520.49M,-1.091B,110.61M,-57.69M,52.93M,8.864M,,,-468.58M
2007-08,151.08M,,-0.143M,19.13M,3.965M,23.10M,23.10M,5.634M,,,7.022M,-7.158M,7.262M,66.54M,,,-0.117M,66.53M,253.21M,-20.78M,0.708M,-20.07M,-32.60M,1.080B,-786.88M,240.75M,,,,44.40M,-396.48M,-352.08M,,-114.99M,,4.368M,-462.70M,79.35M,31.26M,110.61M,44.40M,,,-396.48M
2007-05,121.10M,,-0.65M,19.18M,5.32M,24.50M,24.50M,-3.913M,,,32.10M,-38.26M,-7.601M,-29.55M,,,1.266M,-74.15M,98.98M,-17.56M,0.00,-17.56M,0.00,-437.55M,427.19M,-27.93M,,,,5.386M,,5.386M,,-80.25M,,2.24M,-72.62M,80.92M,-1.568M,79.35M,5.386M,,,
2007-02,126.60M,,-0.532M,19.44M,5.678M,25.12M,25.12M,-18.28M,,,20.60M,54.68M,9.399M,33.78M,,,2.066M,99.92M,253.42M,-21.57M,0.00,-21.57M,-3.10M,-164.10M,-56.94M,-245.72M,,,,20.01M,,20.01M,,-80.17M,,4.109M,-56.06M,129.27M,-48.35M,80.92M,20.01M,,,
2006-11,132.67M,,-0.711M,17.93M,6.229M,24.16M,24.16M,5.235M,,,6.287M,-37.18M,-9.25M,-46.52M,,,4.224M,-88.73M,78.91M,-21.07M,0.005M,-21.06M,,4.887M,-215.30M,-231.48M,,,,14.88M,,14.88M,,-80.02M,,3.067M,-62.07M,343.91M,-214.64M,129.27M,14.88M,,,
2006-08,135.08M,,-0.236M,16.87M,6.341M,23.21M,23.21M,0.567M,,,7.26M,6.27M,3.081M,26.87M,,,-2.186M,34.03M,199.92M,-18.82M,0.111M,-18.70M,,-116.68M,199.60M,64.22M,,,,2.926M,,2.926M,,-60.88M,,0.302M,-57.65M,137.42M,206.49M,343.91M,2.926M,,,
2006-05,122.74M,,-9.445M,17.35M,7.122M,24.47M,24.47M,5.943M,,,13.76M,-45.00M,-3.593M,3.243M,,,-0.764M,-46.12M,111.36M,-24.82M,0.015M,-24.81M,0.00,-496.92M,462.37M,-59.36M,,,,10.55M,,10.55M,,-60.84M,,,-50.29M,135.72M,1.705M,137.42M,10.55M,,,
2006-02,114.53M,,8.596M,16.89M,7.308M,24.20M,24.20M,-16.54M,,,-7.34M,55.61M,3.589M,39.14M,,,2.20M,100.54M,223.99M,-17.77M,0.002M,-17.76M,-0.32M,-214.44M,156.58M,-75.94M,,,,3.716M,,3.716M,,-60.75M,,,-57.04M,44.70M,91.01M,135.72M,3.716M,,,
2005-11,112.61M,,-0.014M,16.26M,7.119M,23.38M,23.38M,5.723M,,,4.33M,-31.28M,-1.218M,-43.34M,,,2.361M,-73.48M,72.55M,-17.32M,0.007M,-17.31M,0.00,-549.99M,388.28M,-179.02M,,,,12.50M,,12.50M,,-60.70M,,,-48.20M,199.37M,-154.67M,44.70M,12.50M,,,
2005-08,115.03M,,-0.112M,16.02M,6.348M,22.36M,22.36M,-2.847M,,,3.01M,-16.42M,-1.382M,38.70M,,,2.991M,23.89M,161.33M,-21.23M,0.018M,-21.21M,-0.406M,416.58M,-390.68M,4.276M,,,,5.359M,,5.359M,,-49.26M,,,-43.90M,77.67M,121.70M,199.37M,5.359M,,,
2005-05,101.48M,,-5.933M,18.54M,7.193M,25.73M,25.73M,7.403M,,,,-26.35M,-0.28M,-8.064M,,,-0.509M,-35.20M,100.17M,-29.70M,0.00,-29.70M,,-386.36M,328.06M,-88.45M,,,,2.445M,,2.445M,,-49.22M,,,-46.77M,112.72M,-35.05M,77.67M,2.445M,,,
2005-02,92.78M,,1.874M,14.74M,6.58M,21.32M,21.32M,-8.936M,,,,38.23M,2.186M,15.34M,,,3.195M,58.95M,165.98M,-14.01M,0.135M,-13.87M,,-303.64M,256.64M,-60.88M,,,,1.811M,,1.811M,,-49.20M,,,-47.38M,231.91M,57.72M,112.72M,1.811M,,,
2004-11,86.86M,,1.359M,14.55M,7.389M,21.94M,21.94M,6.792M,,,,-22.37M,-0.552M,-23.40M,,,4.467M,-41.86M,75.10M,-16.30M,3.371M,-12.93M,,293.57M,-289.76M,-9.12M,,,,1.977M,,1.977M,,-49.18M,,,-47.20M,213.13M,18.77M,231.91M,1.977M,,,
2004-08,87.72M,,2.477M,14.18M,7.456M,21.64M,21.64M,4.331M,,,,-26.32M,-4.974M,36.50M,,,3.995M,9.202M,125.37M,-10.68M,,-10.68M,,27.57M,-106.03M,-89.14M,,,,2.793M,,2.793M,,-45.38M,,,-42.59M,219.49M,-6.359M,213.13M,2.793M,,,
2004-05,61.40M,,-23.38M,14.26M,6.544M,20.80M,20.80M,-2.644M,,,,-24.98M,-1.006M,-15.94M,,3.657M,-4.72M,-42.99M,64.08M,-11.33M,0.00,-11.33M,-12.61M,-271.19M,154.72M,-140.41M,,,,4.776M,,4.776M,,-45.35M,,,-40.57M,208.62M,-116.91M,42.58M,4.776M,,,
2004-02,80.52M,,7.34M,14.04M,6.926M,20.96M,20.96M,-23.16M,,,,35.82M,-2.731M,27.39M,,-4.252M,,56.23M,141.89M,-9.958M,0.007M,-9.951M,-0.605M,-64.54M,50.57M,-24.53M,,,,2.342M,,2.342M,,-45.32M,,,-42.98M,134.24M,74.38M,208.62M,2.342M,,,
2003-11,80.68M,,-1.999M,13.84M,6.517M,20.36M,20.36M,6.582M,,,,-25.71M,0.657M,-10.32M,,0.595M,-0.236M,-35.02M,70.61M,-18.56M,,-18.56M,,90.27M,-100.93M,-29.22M,,,,6.318M,,6.318M,,-45.29M,,,-38.97M,131.82M,2.419M,134.24M,6.318M,,,
2003-08,80.34M,,-1.093M,13.70M,6.092M,19.80M,19.80M,11.22M,,,,-4.529M,-2.208M,8.661M,,,0.236M,2.16M,112.43M,-10.71M,,-10.71M,,3.737M,-16.88M,-23.86M,,,,4.834M,,4.834M,,-41.45M,,,-36.62M,79.87M,51.95M,131.82M,4.834M,,,
2003-05,71.34M,,-2.259M,13.41M,6.079M,19.49M,19.49M,11.76M,,,,-19.56M,1.182M,-20.31M,,-4.419M,,-36.97M,63.36M,-11.68M,0.012M,-11.67M,-179.90M,-43.63M,120.54M,-114.66M,,,,2.995M,,2.995M,,-41.43M,,,-38.43M,169.60M,-89.73M,79.87M,2.995M,,,
2003-02,71.52M,,0.667M,11.59M,5.227M,16.81M,16.81M,-11.14M,,,,25.22M,-0.236M,31.07M,,1.54M,,57.59M,135.46M,-11.12M,0.005M,-11.11M,0.00,-92.70M,79.19M,-24.62M,,,,1.656M,,1.656M,,-41.40M,,,-39.74M,98.52M,71.09M,169.60M,1.656M,,,
2002-11,74.65M,,-6.323M,10.68M,4.425M,15.10M,15.10M,5.378M,,,,-6.008M,0.606M,-26.19M,,1.767M,,-29.82M,58.98M,-14.92M,,-14.92M,-312.69M,238.40M,26.61M,-62.60M,,,,1.893M,,1.893M,,-41.38M,,,-39.49M,141.62M,-43.11M,98.52M,1.893M,,,
2002-08,75.94M,,-1.864M,7.706M,5.446M,13.15M,13.15M,3.666M,,,,1.703M,-1.703M,23.75M,,1.112M,,24.87M,115.76M,-22.50M,,-22.50M,,57.01M,-30.94M,3.576M,,,,1.626M,,1.626M,,-41.24M,,,-39.61M,61.90M,79.72M,141.62M,1.626M,,,
2002-05,68.67M,,6.02M,7.642M,5.32M,12.96M,12.96M,5.156M,,,,-28.75M,-2.80M,-38.85M,4.024M,,0.037M,-66.33M,26.47M,-21.67M,0.004M,-21.67M,,-69.35M,0.965M,-90.05M,,,,7.22M,,7.22M,,-41.34M,,,-34.12M,159.60M,-97.70M,61.90M,7.22M,,,
2002-02,66.97M,,11.23M,7.377M,4.546M,11.92M,11.92M,-14.08M,,,,30.29M,1.024M,37.28M,-2.898M,,-0.26M,65.44M,141.49M,-6.616M,0.001M,-6.615M,,-84.16M,49.66M,-41.12M,,,,4.19M,,4.19M,,-41.25M,,,-37.06M,96.29M,63.30M,159.60M,4.19M,,,
2001-11,68.70M,,-3.717M,7.36M,4.076M,11.44M,11.44M,7.628M,,,,-1.874M,-0.103M,-14.40M,,,0.114M,-16.26M,67.78M,-18.94M,0.004M,-18.93M,,28.34M,-2.262M,7.147M,,,,3.244M,,3.244M,,-41.21M,,,-37.96M,59.32M,36.96M,96.29M,3.244M,,,
2001-08,70.19M,,-3.91M,7.13M,3.941M,11.07M,11.07M,5.042M,,,,-7.299M,-0.921M,-6.211M,,,0.109M,-14.32M,68.07M,-7.154M,0.005M,-7.149M,,-33.86M,13.78M,-27.23M,,,,6.377M,,6.377M,,-33.68M,,,-27.30M,45.78M,13.54M,59.32M,6.377M,,,
2001-05,67.76M,,-3.447M,,,10.61M,10.61M,4.824M,,,,-19.30M,,-12.95M,1.654M,,0.319M,-31.05M,48.70M,-16.28M,-0.009M,-16.29M,,-205.21M,142.32M,-79.18M,,,,3.12M,,3.12M,,-33.66M,,,-30.54M,106.80M,-61.01M,45.78M,3.12M,,,
2001-02,66.35M,,-3.874M,,,9.803M,9.803M,-8.728M,,,,21.39M,,42.71M,-1.963M,,-0.39M,61.75M,125.30M,-12.26M,0.038M,-12.22M,,13.87M,-21.77M,-20.12M,,,,2.628M,,2.628M,,-33.57M,,,-30.95M,32.56M,74.24M,106.80M,2.628M,,,
2000-11,62.13M,,0.646M,,,9.415M,9.415M,4.30M,,,,-17.52M,,-2.337M,0.478M,,0.239M,-19.14M,57.35M,-10.65M,0.00,-10.65M,,-34.78M,0.89M,-44.54M,,,,5.299M,,5.299M,,-33.55M,,,-28.25M,48.00M,-15.44M,32.56M,5.299M,,,
2000-08,58.63M,,0.665M,,,9.309M,9.309M,3.015M,,,,-4.867M,,6.697M,-0.169M,,0.31M,1.971M,73.59M,-6.066M,0.003M,-6.063M,,-100.54M,52.66M,-53.94M,,,,3.553M,,3.553M,,-22.33M,,,-18.78M,47.14M,0.867M,48.00M,3.553M,,,
2000-05,51.61M,,1.899M,,,9.584M,9.584M,0.814M,,,,-15.23M,,8.676M,1.908M,-2.60M,,-7.776M,56.13M,-8.488M,,-8.488M,,-406.06M,360.77M,-53.77M,,,,2.342M,,2.342M,,-22.28M,,,-20.01M,64.80M,-17.66M,47.14M,2.342M,,,
2000-02,49.60M,,1.80M,,,9.20M,9.20M,-7.10M,,,-0.10M,8.40M,,30.50M,2.20M,2.60M,-1.50M,42.20M,95.60M,-11.90M,,-11.90M,,5.90M,-29.70M,-35.70M,,,,3.30M,,3.30M,,-22.30M,,,-19.00M,23.80M,40.90M,64.80M,3.30M,,,
1999-11,45.80M,,1.20M,,,8.90M,8.90M,2.10M,,,0.10M,-16.00M,,-3.40M,-1.70M,-1.80M,1.50M,-21.40M,36.70M,-7.50M,,-7.50M,,-87.60M,31.10M,-64.00M,,,,4.20M,,4.20M,,-22.20M,,,-18.00M,69.20M,-45.30M,23.80M,4.20M,,,
1999-08,43.00M,,0.70M,,,8.80M,8.80M,1.40M,,,,-8.10M,,12.50M,0.50M,1.80M,,6.70M,60.60M,-5.00M,,-5.00M,,-83.10M,57.40M,-30.70M,,,,1.40M,,1.40M,,-14.80M,,,-13.40M,52.70M,16.50M,69.20M,1.40M,,,
1999-05,37.90M,,0.52M,,,9.111M,9.111M,1.673M,,,-0.072M,-7.649M,,4.147M,-0.009M,-0.20M,,-3.711M,45.42M,-3.604M,,-3.604M,,-102.64M,71.65M,-34.60M,,,,2.135M,,2.135M,,-14.76M,,,-12.68M,54.60M,-1.861M,52.69M,2.135M,,,
1999-02,36.20M,,-0.70M,,,8.50M,8.50M,-6.20M,,,-0.10M,13.80M,,21.40M,-0.60M,-1.50M,,33.10M,70.80M,-4.90M,,-4.90M,,-187.70M,160.70M,-31.90M,,,,1.10M,,1.10M,,-14.80M,,,-13.70M,29.40M,25.20M,54.60M,1.10M,,,
1998-11,33.60M,,-0.70M,,,7.80M,7.80M,2.70M,,,0.30M,-10.60M,,-5.00M,-1.40M,-0.40M,,-17.40M,26.30M,-10.40M,,-10.40M,,-42.20M,19.20M,-33.40M,,,,1.70M,,1.70M,,-14.70M,,,-13.00M,49.50M,-20.10M,29.40M,1.70M,,,
1998-08,31.40M,,-0.10M,,,7.50M,7.50M,1.40M,,,-0.10M,-10.60M,,1.30M,0.40M,0.40M,,-8.50M,31.60M,-3.20M,,-3.20M,,41.70M,-47.00M,-8.50M,,,,0.60M,,0.60M,,-9.80M,,,-9.20M,35.60M,13.90M,49.50M,0.60M,,,
