,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-05,217.70M,0.00,0.00,,,35.70M,35.70M,7.80M,15.30M,15.20M,44.20M,43.30M,8.30M,-38.50M,,,-61.80M,-48.70M,287.50M,-32.00M,,-32.00M,-1.90M,632.00M,-33.10M,565.00M,0.00,-57.70M,-57.70M,,-49.00M,-49.00M,-201.00M,-201.00M,-5.20M,763.10M,450.20M,997.80M,1.303B,2.300B,,-57.70M,,-49.00M
2018-02,367.20M,-0.10M,-0.10M,,,36.60M,36.60M,-92.20M,16.30M,10.30M,77.60M,-15.60M,35.50M,116.90M,,,-137.40M,-0.60M,469.50M,-26.50M,,-26.50M,-160.60M,356.30M,1.015B,1.185B,0.00,-75.70M,-75.70M,,0.00,0.00,-179.80M,-179.80M,3.20M,-926.00M,-1.178B,257.20M,475.80M,997.80M,,-75.70M,,0.00
2017-11,198.80M,,,,,33.70M,33.70M,-1.70M,16.70M,10.40M,27.10M,-20.50M,-54.00M,-15.70M,,,7.00M,-83.20M,175.80M,-77.50M,,-77.50M,-9.70M,139.10M,-92.00M,-40.10M,,76.20M,76.20M,,0.00,0.00,-179.80M,-179.80M,10.90M,-20.20M,-112.90M,234.40M,22.80M,257.20M,,76.20M,,0.00
2017-08,210.40M,,,,,32.00M,32.00M,48.90M,17.10M,8.70M,25.80M,12.70M,28.20M,-19.80M,,,4.70M,25.80M,343.60M,-18.00M,,-18.00M,-8.20M,245.30M,-930.10M,-711.00M,,57.20M,57.20M,,-94.10M,-94.10M,-179.10M,-179.10M,-12.30M,645.50M,417.20M,184.60M,49.80M,234.40M,,57.20M,,-94.10M
2017-05,204.30M,0.00,0.00,,,36.20M,36.20M,22.70M,17.50M,8.90M,87.90M,-82.60M,-0.10M,0.70M,,,-187.40M,-269.40M,191.10M,-27.50M,,-27.50M,0.00,-147.20M,459.60M,284.90M,,-55.40M,-55.40M,,0.00,0.00,-165.40M,-165.40M,4.40M,-502.50M,-718.90M,189.90M,-242.90M,449.40M,,-55.40M,,0.00
2017-02,202.50M,0.00,0.00,,,31.00M,31.00M,-24.00M,18.00M,8.90M,26.90M,102.20M,14.30M,31.70M,,,-29.40M,118.80M,355.90M,-20.00M,,-20.00M,0.00,-946.50M,-678.50M,-1.645B,,-47.70M,-47.70M,,0.00,0.00,-165.40M,-165.40M,13.70M,1.513B,1.314B,165.00M,24.90M,189.90M,,-47.70M,,0.00
2016-11,202.10M,0.00,0.00,,,30.00M,30.00M,9.90M,18.40M,8.50M,26.90M,-49.00M,-53.00M,-55.10M,,,5.40M,-151.70M,118.70M,-26.50M,,-26.50M,0.00,391.10M,-47.00M,317.60M,,51.80M,51.80M,,-166.20M,-166.20M,-165.20M,-165.20M,4.10M,-125.80M,-401.30M,130.00M,35.00M,165.00M,,51.80M,,-166.20M
2016-08,217.40M,-0.10M,-0.10M,,,29.70M,29.70M,14.10M,18.60M,9.10M,27.70M,-73.70M,6.60M,60.90M,,,10.90M,4.70M,294.70M,-20.30M,,-20.30M,0.00,143.30M,257.30M,380.30M,,51.30M,51.30M,,0.00,0.00,-166.30M,-166.30M,6.30M,-567.80M,-676.50M,131.50M,-1.50M,130.00M,,51.30M,,0.00
2016-05,178.10M,0.00,0.00,,,30.00M,30.00M,9.30M,18.50M,8.50M,27.00M,-60.60M,3.60M,34.90M,,,3.90M,-18.20M,227.00M,-27.70M,,-27.70M,0.00,-1.191B,1.719B,500.50M,,,,,0.00,0.00,-151.50M,-151.50M,11.00M,-708.60M,-849.10M,253.10M,-121.60M,131.50M,,,,0.00
2016-02,180.40M,-0.10M,-0.10M,,,30.40M,30.40M,-24.10M,18.80M,8.60M,27.40M,88.80M,56.00M,32.60M,,,-21.20M,156.20M,371.30M,-21.50M,,-21.50M,-296.10M,-57.50M,-937.20M,-1.312B,,,,,-45.00M,-45.00M,-151.40M,-151.40M,3.80M,974.40M,781.80M,412.30M,-159.20M,253.10M,,,,-45.00M
2015-11,189.20M,,,,,27.70M,27.70M,7.50M,19.00M,8.70M,27.70M,-39.60M,-64.80M,-11.00M,,,4.40M,-111.00M,141.60M,-27.30M,,-27.30M,,-23.70M,39.80M,-11.20M,,0.00,0.00,,0.00,0.00,-151.70M,-151.70M,15.00M,-37.30M,-174.00M,455.90M,-43.60M,412.30M,,0.00,,0.00
2015-08,209.10M,,,,,27.00M,27.00M,14.40M,19.40M,8.80M,28.20M,-24.30M,0.20M,6.80M,,,16.80M,-0.50M,278.30M,-21.20M,,-21.20M,,683.90M,97.20M,759.90M,,0.00,0.00,,-62.90M,-62.90M,-151.90M,-151.90M,-4.20M,-533.30M,-752.30M,170.00M,285.90M,455.90M,,0.00,,-62.90M
2015-05,161.20M,-0.10M,-0.10M,,,27.50M,27.50M,8.70M,19.30M,7.40M,26.70M,-34.40M,-9.70M,22.90M,,,-1.00M,-22.20M,202.40M,-30.80M,,-30.80M,0.00,-453.60M,1.227B,742.20M,,,,,-112.00M,-112.00M,-137.40M,-137.40M,8.30M,-798.80M,-1.040B,265.30M,-95.30M,170.00M,,,,-112.00M
2015-02,169.40M,0.00,0.00,,,26.60M,26.60M,-27.20M,19.40M,8.60M,28.00M,61.00M,2.10M,27.60M,,,0.30M,91.00M,288.10M,-26.40M,,-26.40M,0.00,79.50M,-1.135B,-1.082B,,,,,-17.90M,-17.90M,-138.20M,-138.20M,16.10M,1.059B,918.70M,140.40M,124.90M,265.30M,,,,-17.90M
2014-11,173.00M,-0.10M,-0.10M,,,26.00M,26.00M,4.00M,19.10M,7.90M,27.00M,-44.00M,-8.70M,-39.80M,,,3.80M,-88.70M,141.60M,-20.70M,,-20.70M,0.40M,-539.50M,255.60M,-304.20M,,,,,-15.00M,-15.00M,-137.90M,-137.90M,23.10M,-29.80M,-159.60M,462.60M,-322.20M,140.40M,,,,-15.00M
2014-08,171.30M,-0.10M,-0.10M,,,26.50M,26.50M,10.40M,18.40M,7.50M,25.90M,-12.40M,7.80M,40.40M,,,-7.00M,28.80M,263.10M,-24.90M,,-24.90M,-27.50M,612.70M,-201.40M,358.90M,,,,,-37.50M,-37.50M,-138.30M,-138.30M,1.00M,-137.10M,-311.90M,152.50M,310.10M,462.60M,,,,-37.50M
2014-05,145.90M,-0.10M,-0.10M,,,28.30M,28.30M,2.20M,18.00M,4.60M,22.60M,-27.50M,-14.10M,14.90M,,,2.10M,-24.60M,175.10M,-21.30M,,-21.30M,0.00,-324.50M,923.90M,578.10M,,,,,-46.70M,-46.70M,-127.20M,-127.20M,15.50M,-713.60M,-872.00M,271.30M,-118.80M,152.50M,,,,-46.70M
2014-02,160.10M,-0.30M,-0.30M,,,26.30M,26.30M,-23.10M,17.90M,7.10M,25.00M,54.20M,24.90M,36.90M,,,1.20M,117.20M,305.60M,-15.90M,,-15.90M,0.00,-259.00M,-813.60M,-1.088B,,,,,-43.90M,-43.90M,-127.70M,-127.70M,21.60M,991.20M,841.20M,213.00M,58.30M,271.30M,,,,-43.90M
2013-11,158.70M,0.00,0.00,,,26.00M,26.00M,5.70M,17.70M,7.10M,24.80M,-30.40M,-32.80M,-22.10M,,,3.10M,-82.20M,133.50M,-21.80M,,-21.80M,-9.30M,490.00M,-295.40M,163.50M,,,,,-75.20M,-75.20M,-127.80M,-127.80M,31.00M,-23.60M,-195.60M,111.60M,101.40M,213.00M,,,,-75.20M
2013-08,162.80M,-0.20M,-0.20M,,,24.40M,24.40M,10.30M,16.70M,7.50M,24.20M,-18.40M,44.50M,15.40M,,,2.90M,44.40M,266.70M,-25.10M,,-25.10M,0.00,323.60M,-267.70M,30.80M,,,,,-83.90M,-83.90M,-127.90M,-127.90M,45.20M,-126.60M,-293.20M,107.30M,4.30M,111.60M,,,,-83.90M
2013-05,123.50M,0.00,0.00,,,24.90M,24.90M,10.10M,14.80M,5.90M,20.70M,-16.20M,-50.80M,-14.20M,,,-30.00M,-111.20M,68.90M,-24.50M,,-24.50M,0.00,1.150B,231.60M,1.357B,,,,,0.00,0.00,0.00,0.00,51.10M,-1.470B,-1.419B,100.40M,6.90M,107.30M,,,,0.00
