,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,3.755B,3.755B,2.711B,1.043B,877.86M,,29.07M,0.33M,-28.74M,877.86M,165.23M,0.33M,29.07M,-28.74M,,-28.74M,136.49M,5.296M,131.20M,131.20M,131.20M,254.13M,88.57M,165.56M,0.37,,0.37,0.37,0.37,,0.37,0.37,352.48M,354.46M,0.0
2020-07,2.685B,2.685B,2.080B,604.59M,519.50M,,29.61M,0.757M,-28.86M,519.50M,85.10M,0.757M,29.61M,-28.86M,,-28.86M,56.24M,34.20M,22.05M,22.05M,22.05M,174.88M,89.03M,85.85M,0.06,,0.06,0.06,0.06,,0.06,0.06,352.28M,354.23M,0.0
2020-04,1.843B,1.843B,1.890B,-47.32M,415.30M,,10.00M,3.336M,-6.666M,415.30M,-462.62M,3.336M,10.00M,-6.666M,,-6.666M,-469.29M,-163.45M,-305.84M,-305.84M,-305.84M,-368.69M,90.60M,-459.29M,-0.87,,-0.87,-0.87,-0.87,,-0.87,-0.87,352.20M,352.20M,0.285
2020-01,4.413B,4.413B,3.224B,1.189B,601.88M,,2.203M,5.49M,3.287M,601.88M,587.33M,5.49M,2.203M,3.287M,,3.287M,590.62M,134.48M,456.13M,456.13M,456.13M,688.62M,95.80M,592.82M,1.29,,1.29,1.29,1.28,,1.28,1.28,354.09M,357.36M,0.255
2019-10,3.849B,3.849B,2.766B,1.083B,604.60M,,2.314M,6.716M,4.402M,604.60M,478.08M,6.716M,2.314M,4.402M,,4.402M,482.48M,111.55M,370.93M,370.93M,370.93M,572.99M,88.19M,484.80M,1.04,,1.04,1.04,1.03,,1.03,1.03,356.88M,359.30M,0.255
2019-07,3.980B,3.980B,2.844B,1.136B,591.97M,,2.392M,7.174M,4.782M,591.97M,544.05M,7.174M,2.392M,4.782M,,4.782M,548.83M,136.11M,412.72M,412.72M,412.72M,635.36M,84.14M,551.22M,1.15,,1.15,1.15,1.14,,1.14,1.14,359.79M,362.07M,0.255
2019-04,3.797B,3.797B,2.702B,1.095B,558.25M,,2.831M,8.466M,5.635M,558.25M,536.72M,8.466M,2.831M,5.635M,,5.635M,542.36M,121.22M,421.14M,421.14M,421.14M,627.95M,82.76M,545.19M,1.16,,1.16,1.16,1.15,,1.15,1.15,363.08M,365.91M,0.255
2019-01,4.107B,4.107B,2.990B,1.118B,575.97M,,3.534M,8.847M,5.313M,575.97M,541.68M,8.847M,3.534M,5.313M,,5.313M,546.99M,105.30M,441.69M,441.69M,441.69M,634.73M,84.21M,550.52M,1.21,,1.21,1.21,1.2,,1.2,1.2,365.20M,368.90M,0.225
2018-10,3.550B,3.550B,2.547B,1.002B,561.58M,,4.179M,7.132M,2.953M,561.58M,440.70M,7.132M,4.179M,2.953M,,2.953M,443.65M,105.54M,338.11M,338.11M,338.11M,531.58M,83.75M,447.83M,0.92,,0.92,0.92,0.91,,0.91,0.91,368.10M,371.06M,0.225
2018-07,3.738B,3.738B,2.667B,1.071B,554.58M,,4.245M,5.638M,1.393M,554.58M,516.36M,5.638M,4.245M,1.393M,,1.393M,517.76M,128.35M,389.40M,389.40M,389.40M,604.61M,82.61M,522.00M,1.05,,1.05,1.05,1.04,,1.04,1.04,371.03M,373.72M,0.225
2018-04,3.589B,3.589B,2.522B,1.066B,524.42M,,4.449M,4.952M,0.503M,524.42M,541.98M,4.952M,4.449M,0.503M,,0.503M,542.48M,124.23M,418.25M,418.25M,418.25M,626.73M,79.80M,546.93M,1.12,,1.12,1.12,1.11,,1.11,1.11,373.80M,377.06M,0.225
2018-01,4.068B,4.068B,2.923B,1.145B,553.31M,,4.566M,4.18M,-0.386M,553.31M,591.92M,4.18M,4.566M,-0.386M,,-0.386M,591.53M,140.78M,450.75M,450.75M,450.75M,682.01M,85.91M,596.10M,1.2,,1.2,1.2,1.19,,1.19,1.19,375.82M,379.85M,0.16
2017-10,3.329B,3.329B,2.369B,959.75M,517.30M,,4.673M,2.893M,-1.78M,517.30M,442.45M,2.893M,4.673M,-1.78M,,-1.78M,440.67M,166.22M,274.45M,274.45M,274.45M,521.69M,76.35M,445.34M,0.72,,0.72,0.72,0.72,,0.72,0.72,379.43M,382.13M,0.16
2017-07,3.432B,3.432B,2.421B,1.011B,498.28M,,4.757M,2.416M,-2.341M,498.28M,512.38M,2.416M,4.757M,-2.341M,,-2.341M,510.04M,193.50M,316.54M,316.54M,316.54M,589.89M,75.08M,514.80M,0.83,,0.83,0.83,0.82,,0.82,0.82,383.01M,385.57M,0.16
2017-04,3.306B,3.306B,2.330B,976.46M,474.82M,,4.851M,1.682M,-3.169M,474.82M,501.64M,1.682M,4.851M,-3.169M,,-3.169M,498.48M,177.46M,321.02M,321.02M,321.02M,579.15M,75.82M,503.33M,0.83,,0.83,0.83,0.82,,0.82,0.82,386.43M,389.73M,0.16
2017-01,3.510B,3.510B,2.540B,970.60M,493.80M,,4.868M,1.113M,-3.755M,493.80M,476.79M,1.113M,4.868M,-3.755M,,-3.755M,473.04M,172.47M,300.57M,300.57M,300.57M,556.28M,78.38M,477.91M,0.77,,0.77,0.77,0.77,,0.77,0.77,388.26M,391.66M,0.135
2016-10,3.087B,3.087B,2.206B,880.60M,490.17M,,4.871M,0.715M,-4.156M,490.17M,390.42M,0.715M,4.871M,-4.156M,,-4.156M,386.27M,141.72M,244.55M,244.55M,244.55M,466.64M,75.51M,391.14M,0.63,,0.63,0.63,0.62,,0.62,0.62,390.87M,393.37M,0.135
2016-07,3.181B,3.181B,2.252B,929.07M,469.51M,,4.868M,0.655M,-4.213M,469.51M,459.56M,0.655M,4.868M,-4.213M,,-4.213M,455.35M,173.44M,281.91M,281.91M,281.91M,534.97M,74.75M,460.22M,0.72,,0.72,0.72,0.71,,0.71,0.71,393.57M,395.93M,0.135
2016-04,3.089B,3.089B,2.176B,912.79M,436.92M,,4.962M,0.598M,-4.364M,436.92M,475.87M,0.598M,4.962M,-4.364M,,-4.364M,471.50M,180.87M,290.63M,290.63M,290.63M,550.34M,73.88M,476.46M,0.73,,0.73,0.73,0.73,,0.73,0.73,395.80M,398.81M,0.135
