,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-10,4.416B,,4.416B,122.65M,122.65M,1.630B,1.630B,347.40M,,,,6.517B,0.0,1.185B,,3.202B,3.132B,372.95M,1.244B,9.136B,-3.297B,5.839B,,,,,,215.16M,6.054B,12.57B,2.426B,0.00,2.426B,925.12M,3.352B,,,,590.12M,590.12M,,,,3.942B,,2.512B,2.672B,5.184B,135.03M,135.03M,290.80M,5.61B,9.552B,3.564M,1.948B,1.546B,478.42M,,3.019B
2020-07,3.793B,,3.793B,162.72M,162.72M,1.118B,1.118B,273.61M,,,,5.347B,0.0,1.178B,,3.137B,3.054B,363.00M,1.242B,8.974B,-3.214B,5.760B,,,,,,215.04M,5.975B,11.32B,1.010B,0.00,1.010B,761.58M,1.771B,800.00M,2.507M,802.51M,579.28M,1.382B,,,,3.153B,,2.286B,2.601B,4.888B,155.56M,155.56M,258.87M,5.302B,8.455B,3.56M,1.817B,1.513B,465.67M,,2.867B
2020-04,2.670B,,2.670B,49.62M,49.62M,1.757B,1.757B,111.49M,,,,4.588B,0.0,1.178B,,3.125B,3.078B,281.69M,1.238B,8.902B,-3.126B,5.775B,,,,,,365.04M,6.140B,10.73B,706.27M,0.00,706.27M,541.52M,1.248B,800.00M,5.00M,805.00M,570.83M,1.376B,,,,2.624B,,2.286B,2.632B,4.917B,163.15M,163.15M,206.50M,5.287B,7.911B,3.559M,1.795B,1.485B,465.64M,,2.817B
2020-01,1.351B,,1.351B,102.24M,102.24M,1.832B,1.832B,147.05M,,,,3.433B,0.0,1.177B,,3.115B,3.054B,189.54M,1.220B,8.755B,-3.048B,5.707B,,,,,141.44M,66.88M,5.916B,9.348B,1.296B,14.42M,1.311B,826.55M,2.137B,,,,564.48M,564.48M,,,,2.702B,,312.89M,2.611B,2.923B,149.68M,291.12M,6.687M,3.287B,5.989B,3.568M,2.331B,1.458B,433.33M,,3.359B
2019-10,1.143B,,1.143B,124.85M,124.85M,2.169B,2.169B,170.30M,,,,3.607B,0.0,1.173B,,3.032B,3.042B,145.76M,1.200B,8.593B,-2.985B,5.608B,,,,,,201.00M,5.809B,9.416B,1.480B,,1.480B,818.60M,2.299B,,,,559.43M,559.43M,,,,2.858B,,312.78M,2.601B,2.914B,140.74M,140.74M,225.93M,3.281B,6.139B,3.594M,2.267B,1.436B,429.58M,,3.277B
2019-07,1.382B,,1.382B,130.44M,130.44M,1.836B,1.836B,167.58M,,,,3.516B,0.0,1.162B,,2.886B,2.932B,200.01M,1.163B,8.344B,-2.906B,5.437B,,,,,,198.79M,5.636B,9.152B,1.360B,0.00,1.360B,769.74M,2.130B,,,,549.84M,549.84M,,,,2.679B,,312.66M,2.496B,2.809B,139.54M,139.54M,227.84M,3.176B,5.856B,3.622M,2.305B,1.413B,425.01M,0.00,3.296B
2019-04,1.367B,,1.367B,121.61M,121.61M,1.814B,1.814B,160.73M,,,,3.463B,0.0,1.129B,,2.844B,2.943B,148.02M,1.140B,8.204B,-2.824B,5.379B,,,,,,207.06M,5.586B,9.049B,1.296B,89.29M,1.385B,671.14M,2.057B,,,,536.90M,536.90M,,,,2.594B,,312.55M,2.515B,2.827B,134.21M,134.21M,226.79M,3.188B,5.782B,3.653M,2.296B,1.392B,423.54M,0.00,3.268B
2019-01,1.413B,,1.413B,96.71M,96.71M,1.750B,1.750B,143.95M,,,,3.404B,0.0,1.126B,,2.783B,,171.54M,1.176B,5.257B,-2.782B,2.475B,,,,,124.56M,69.91M,2.670B,6.074B,1.177B,37.75M,1.215B,794.63M,2.009B,,,,0.00,0.00,,,,2.009B,25.42M,312.44M,0.00,312.44M,124.31M,330.31M,12.42M,758.46M,2.768B,3.682M,2.299B,1.376B,372.66M,,3.306B
2018-10,1.349B,0.00,1.349B,117.82M,117.82M,1.979B,1.979B,177.21M,,,,3.623B,0.0,1.118B,,2.720B,,146.32M,1.150B,5.134B,-2.716B,2.418B,,,,0.475M,,193.76M,2.612B,6.236B,1.394B,,1.394B,773.27M,2.167B,,,85.00M,,85.00M,,,,2.252B,,312.33M,,312.33M,112.14M,112.14M,371.84M,796.31M,3.049B,3.711M,2.201B,1.355B,371.96M,0.00,3.187B
2018-07,1.387B,0.00,1.387B,121.51M,121.51M,1.698B,1.698B,172.82M,,,,3.380B,0.0,1.118B,,2.660B,,142.71M,1.118B,5.039B,-2.654B,2.384B,,,,0.709M,,199.09M,2.584B,5.964B,1.184B,,1.184B,708.74M,1.893B,,,84.99M,,84.99M,,,,1.978B,,312.22M,,312.22M,114.20M,114.20M,374.59M,801.00M,2.779B,3.739M,2.217B,1.333B,369.34M,0.004M,3.185B
