,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,131.20M,239.77M,,,88.57M,88.57M,-20.53M,27.37M,,27.37M,,-512.41M,1.416B,20.19M,163.35M,56.91M,1.144B,1.611B,-89.50M,,-89.50M,0.00,,-89.50M,214.08M,-801.88M,-587.80M,,-12.74M,-12.74M,0.003M,0.003M,6.013M,-228.75M,-823.28M,3.854B,697.93M,4.552B,,989.08M,-1.577B,-12.74M,-20.08M,-80.42M
2020-07,22.05M,,,,89.03M,89.03M,-7.594M,22.16M,,22.16M,,639.28M,486.35M,-140.21M,224.25M,-104.45M,1.105B,1.231B,-110.32M,,-110.32M,0.00,,-110.32M,0.00,-2.479M,-2.479M,,-0.029M,-0.029M,0.00,0.00,5.631M,-0.119M,3.004M,2.730B,1.124B,3.854B,,0.00,-2.479M,-0.029M,9.872M,5.834M
2020-04,-305.84M,,,,90.60M,90.60M,13.47M,24.74M,,24.74M,,75.08M,-776.06M,88.29M,-268.92M,0.215M,-881.41M,-1.058B,-139.73M,,-139.73M,0.00,,-139.73M,1.976B,804.99M,2.781B,,-164.78M,-164.78M,-101.41M,-101.41M,5.444M,-3.135M,2.517B,1.411B,1.319B,2.730B,,2.782B,-0.615M,-164.78M,,4.235M
2020-01,456.13M,,,,95.80M,95.80M,8.939M,24.84M,,24.84M,,336.46M,-226.73M,35.85M,-13.46M,42.79M,174.90M,760.62M,-154.23M,,-154.23M,0.00,,-154.23M,,,,,-312.84M,-312.84M,-91.42M,-91.42M,5.758M,,-398.50M,1.204B,207.88M,1.411B,,,,-312.84M,895.02M,23.24M
2019-10,370.93M,,,,88.19M,88.19M,1.202M,25.99M,,25.99M,,-332.93M,118.60M,9.148M,52.50M,-6.161M,-158.84M,327.47M,-150.94M,,-150.94M,0.00,,-150.94M,0.00,0.00,0.00,,-330.22M,-330.22M,-91.73M,-91.73M,5.545M,,-416.40M,1.443B,-239.87M,1.204B,,0.00,0.00,-330.22M,-655.08M,-16.90M
2019-07,412.72M,,,,84.14M,84.14M,5.325M,24.92M,,24.92M,,-22.10M,8.19M,-13.53M,99.68M,-24.88M,47.36M,574.48M,-154.68M,,-154.68M,0.00,,-154.68M,0.00,0.00,0.00,,-321.60M,-321.60M,-92.92M,-92.92M,5.611M,,-408.91M,1.433B,10.88M,1.443B,,0.00,0.00,-321.60M,218.18M,2.122M
2019-04,421.14M,,,,82.76M,82.76M,16.54M,19.69M,,19.69M,,-63.33M,178.86M,-41.78M,-108.21M,3.312M,-31.14M,508.99M,-95.63M,,-95.63M,0.517M,,-95.11M,0.00,0.00,0.00,,-371.01M,-371.01M,-93.72M,-93.72M,5.295M,,-459.44M,1.478B,-45.56M,1.433B,,0.00,0.00,-371.01M,48.47M,4.219M
2019-01,441.69M,,,,84.21M,84.21M,12.17M,24.22M,,24.22M,,228.64M,-208.54M,31.29M,1.322M,1.595M,54.31M,616.60M,-120.53M,,-120.53M,2.75M,,-117.78M,,,,,-269.20M,-269.20M,-83.33M,-83.33M,5.197M,,-432.33M,1.412B,66.49M,1.478B,,,,-269.20M,84.08M,4.834M
2018-10,338.11M,,,,83.75M,83.75M,-2.057M,23.78M,,23.78M,,-280.69M,202.34M,2.673M,65.11M,2.885M,-7.692M,435.89M,-114.73M,,-114.73M,0.234M,,-114.50M,,,,,-280.54M,-280.54M,-83.89M,-83.89M,5.098M,,-359.33M,1.450B,-37.94M,1.412B,,,,-280.54M,111.32M,4.218M
2018-07,389.40M,,,,82.61M,82.61M,4.822M,23.82M,,23.82M,,197.07M,-208.61M,-18.73M,66.62M,5.133M,41.48M,542.13M,-98.84M,,-98.84M,0.00,,-98.84M,,,,,-279.47M,-279.47M,-84.56M,-84.56M,5.135M,,-358.90M,1.365B,84.39M,1.450B,,,,-279.47M,215.47M,4.834M
2018-04,418.25M,,,,79.80M,79.80M,16.84M,23.76M,,23.76M,,-253.72M,329.00M,-46.03M,-95.97M,0.115M,-66.60M,472.05M,-79.79M,,-79.79M,0.505M,,-79.29M,,,,,-300.17M,-300.17M,-85.41M,-85.41M,4.682M,,-380.90M,1.353B,11.87M,1.365B,,,,-300.17M,17.06M,4.219M
2018-01,450.75M,,,,85.91M,85.91M,-43.98M,22.48M,,22.48M,,198.49M,-231.94M,39.56M,13.65M,-12.94M,6.822M,515.65M,-104.56M,,-88.58M,0.687M,,-87.89M,,,,,-226.16M,-226.16M,-61.07M,-61.07M,4.80M,,-282.42M,1.208B,145.34M,1.353B,,,,-226.16M,161.85M,4.834M
2017-10,274.45M,,,,76.35M,76.35M,0.648M,22.22M,,22.22M,,-231.89M,116.70M,-6.09M,110.67M,4.675M,-5.938M,367.73M,-97.55M,,-97.55M,0.00,,-97.55M,,,,,-221.03M,-221.03M,-61.50M,-61.50M,4.511M,,-278.01M,1.216B,-7.833M,1.208B,,,,-221.03M,173.57M,4.218M
2017-07,316.54M,,,,75.08M,75.08M,-2.421M,22.48M,,22.48M,,-13.57M,-7.96M,-19.35M,-101.00M,7.303M,-134.59M,277.10M,-93.34M,,-93.34M,0.00,,-93.34M,,,,,-219.45M,-219.45M,-62.17M,-62.17M,4.753M,,-276.87M,1.309B,-93.11M,1.216B,,,,-219.45M,332.64M,4.834M
2017-04,321.02M,,,,75.82M,75.82M,10.85M,20.24M,,20.24M,,-81.87M,162.79M,-37.17M,41.90M,7.292M,92.94M,520.86M,-75.97M,,-75.97M,,,-75.97M,,,,,-253.80M,-253.80M,-62.80M,-62.80M,4.404M,,-312.19M,1.176B,132.70M,1.309B,,,,-253.80M,46.52M,4.219M
2017-01,300.57M,,,,78.38M,78.38M,-0.663M,18.06M,,18.06M,,250.86M,-130.08M,42.12M,-23.71M,-5.86M,133.32M,529.67M,-77.44M,,-77.44M,0.786M,-3.496M,-80.15M,,,,,-170.15M,-170.15M,-53.09M,-53.09M,4.357M,-1.227M,-220.10M,878.81M,229.42M,1.176B,,,,-170.15M,145.64M,4.834M
2016-10,244.55M,,,,75.51M,75.51M,-13.55M,20.28M,,20.28M,,-203.54M,20.56M,-8.272M,113.49M,0.645M,-77.11M,249.67M,-73.02M,,-73.02M,0.40M,3.639M,-68.98M,,,,,-182.33M,-182.33M,-53.47M,-53.47M,4.32M,1.876M,-229.60M,927.72M,-48.91M,878.81M,,,,-182.33M,169.66M,4.218M
