,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,34.69B,34.69B,14.82B,19.87B,8.493B,0.00,1.08B,,-1.08B,,12.69B,7.18B,,1.08B,-1.08B,153.00M,-1.08B,6.253B,1.535B,4.718B,,,-130.00M,,4.588B,4.588B,11.53B,4.197B,7.333B,,1.11,,,,1.11,1.11,,1.11,,,,1.11,1.11,,4.14B,4.143B,0.6275,,AOR,
2020-09,31.54B,31.54B,12.33B,19.21B,7.339B,,1.044B,13.00M,-1.031B,,11.53B,7.678B,13.00M,1.044B,-1.031B,-796.00M,-1.031B,5.851B,1.347B,4.504B,,,-147.00M,,4.357B,4.357B,11.09B,4.192B,6.895B,,1.05,,,,1.05,1.05,,1.05,,,,1.05,1.05,,4.14B,4.142B,0.6275,,AOR,
2020-06,30.45B,30.45B,11.75B,18.70B,7.156B,,1.089B,16.00M,-1.073B,,11.34B,7.361B,16.00M,1.089B,-1.073B,-101.00M,-1.073B,6.187B,1.348B,4.839B,,,-139.00M,,4.70B,4.70B,11.46B,4.181B,7.276B,,1.14,,,,1.14,1.14,,1.13,,,,1.13,1.13,,4.139B,4.141B,0.615,,AOR,
2020-03,31.61B,31.61B,12.30B,19.31B,8.585B,,1.034B,20.00M,-1.014B,,12.74B,6.579B,20.00M,1.034B,-1.014B,111.00M,-1.014B,5.676B,1.389B,4.287B,,,-131.00M,,4.156B,4.156B,10.86B,4.15B,6.71B,,1.00,,,,1.00,1.00,,1.00,,,,1.00,1.00,,4.139B,4.141B,0.615,,AOR,
2019-12,34.78B,34.78B,15.63B,19.14B,8.308B,,1.159B,27.00M,-1.132B,,12.41B,6.731B,27.00M,1.159B,-1.132B,-1.887B,-1.132B,3.712B,-1.505B,5.217B,,,-122.00M,,5.095B,5.095B,8.976B,4.105B,4.871B,,1.23,,,,1.23,1.23,,1.23,,,,1.23,1.23,,4.138B,4.14B,0.615,,AOR,
2019-09,32.89B,32.89B,13.38B,19.51B,7.216B,,1.146B,34.00M,-1.112B,,11.33B,8.18B,34.00M,1.146B,-1.112B,-145.00M,-1.112B,6.923B,1.586B,5.337B,,,-143.00M,,5.194B,5.194B,12.18B,4.114B,8.069B,,1.26,,,,1.26,1.26,,1.25,,,,1.25,1.25,,4.138B,4.14B,0.615,,AOR,Restated
2019-06,32.07B,32.07B,12.72B,19.35B,7.268B,,1.215B,31.00M,-1.184B,,11.50B,7.85B,31.00M,1.215B,-1.184B,-1.356B,-1.184B,5.31B,1.236B,4.074B,,,-130.00M,,3.944B,3.944B,10.76B,4.232B,6.525B,,0.95,,,,0.95,0.95,,0.95,,,,0.95,0.95,,4.138B,4.139B,0.6025,,AOR,Restated
2019-03,32.13B,32.13B,12.99B,19.14B,7.198B,,1.21B,29.00M,-1.181B,,11.43B,7.709B,29.00M,1.21B,-1.181B,260.00M,-1.181B,6.788B,1.628B,5.16B,,,-128.00M,,5.032B,5.032B,12.23B,4.231B,7.998B,,1.22,,,,1.22,1.22,,1.22,,,,1.22,1.22,,4.138B,4.14B,0.6025,,AOR,Restated
2018-12,34.28B,34.28B,15.29B,18.99B,9.41B,,1.199B,33.00M,-1.166B,,13.76B,5.228B,33.00M,1.199B,-1.166B,-2.695B,-1.166B,1.367B,-698.00M,2.065B,,,-126.00M,,1.939B,1.939B,6.918B,4.352B,2.566B,,0.47,,,,0.47,0.47,,0.47,,,,0.47,0.47,,4.137B,4.141B,0.6025,,AOR,Restated
2018-09,32.61B,32.61B,13.33B,19.28B,7.224B,,1.211B,25.00M,-1.186B,,11.60B,7.675B,25.00M,1.211B,-1.186B,186.00M,-1.186B,6.675B,1.613B,5.062B,,,-138.00M,,4.924B,4.924B,12.26B,4.377B,7.886B,,1.19,,,,1.19,1.19,,1.19,,,,1.19,1.19,,4.136B,4.14B,0.6025,,AOR,Restated
