,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,22.17B,,22.17B,23.92B,23.92B,1.796B,6.71B,,,54.59B,,,,,302.27B,,,302.27B,-184.90B,117.36B,24.77B,105.51B,130.28B,589.00M,13.65B,261.89B,316.48B,,,,,,,,20.66B,,,5.889B,5.889B,3.485B,9.374B,,,9.628B,39.66B,123.17B,18.00B,141.17B,35.71B,35.71B,18.66B,1.43B,12.01B,207.55B,247.21B,,429.00M,60.46B,13.40B,6.719B,,,,-71.00M,67.84B,,AOR,
2020-09,8.983B,,8.983B,22.62B,22.62B,1.457B,5.515B,,,38.57B,,,,,298.89B,,,298.89B,-183.03B,115.86B,24.80B,105.56B,130.36B,535.00M,11.67B,258.42B,296.99B,,,,,,,,17.39B,,,5.77B,5.77B,3.494B,9.264B,,,9.53B,36.18B,109.79B,18.16B,127.94B,34.57B,34.57B,18.76B,1.461B,13.01B,194.28B,230.46B,,429.00M,58.47B,13.40B,6.721B,,,,-812.00M,65.07B,,AOR,
2020-06,7.882B,,7.882B,22.67B,22.67B,1.289B,5.49B,,,37.33B,,,,,295.14B,,,295.14B,-179.96B,115.18B,24.67B,105.37B,130.03B,529.00M,10.18B,255.93B,293.26B,,,,,,,,19.30B,,,6.651B,6.651B,3.27B,9.921B,,,9.668B,38.89B,106.19B,18.16B,124.35B,33.80B,33.80B,17.82B,1.416B,14.29B,190.26B,229.15B,,429.00M,56.75B,13.28B,6.722B,,,,-1.274B,62.70B,,AOR,
2020-03,7.047B,,7.047B,23.80B,23.80B,1.633B,8.228B,,,40.70B,,,,,291.46B,,,291.46B,-176.82B,114.65B,24.38B,101.84B,126.22B,543.00M,12.38B,253.80B,294.50B,,,,,,,,17.42B,,,11.18B,11.18B,3.331B,14.51B,,,9.132B,41.06B,106.56B,18.12B,124.68B,33.71B,33.71B,17.62B,1.443B,15.79B,191.79B,232.85B,,429.00M,54.56B,13.30B,6.725B,,,,-1.502B,60.21B,,AOR,
2019-12,2.594B,,2.594B,25.43B,25.43B,1.422B,4.229B,1.221B,,37.47B,0.00,594.00M,31.22B,215.62B,22.69B,9.234B,9.072B,288.43B,-173.82B,114.61B,24.39B,104.56B,128.95B,558.00M,10.14B,254.25B,291.73B,,7.725B,2.566B,1.771B,,12.06B,12.31B,24.37B,,,10.44B,10.44B,3.597B,14.04B,4.651B,4.651B,1.807B,44.87B,99.93B,19.17B,119.10B,34.70B,34.70B,17.95B,1.44B,12.26B,184.02B,228.89B,,429.00M,53.15B,13.42B,6.82B,,,,998.00M,61.40B,,AOR,
2019-09,3.02B,,3.02B,24.71B,24.71B,1.538B,5.624B,,,34.90B,,,,,282.27B,,,282.27B,-171.20B,111.07B,24.57B,103.70B,128.27B,628.00M,10.02B,249.98B,284.88B,,,,,,,,19.57B,,,7.503B,7.503B,3.286B,10.79B,,,8.854B,39.21B,101.10B,18.88B,119.98B,34.59B,34.59B,18.24B,1.391B,12.54B,185.35B,224.56B,,429.00M,50.60B,13.42B,6.822B,,,,1.104B,58.92B,,AOR,Restated
2019-06,1.949B,,1.949B,24.93B,24.93B,1.167B,5.266B,,,33.31B,,,,,279.86B,,,279.86B,-169.58B,110.28B,24.63B,103.81B,128.44B,650.00M,10.43B,249.80B,283.11B,,,,,,,,17.63B,,,8.773B,8.773B,3.154B,11.93B,,,8.654B,38.21B,104.60B,18.25B,122.85B,34.22B,34.22B,18.04B,1.365B,11.83B,186.95B,225.16B,,429.00M,47.94B,13.42B,6.823B,,,,1.447B,56.58B,,AOR,Restated
2019-03,2.322B,,2.322B,24.47B,24.47B,1.417B,5.189B,,,33.40B,,,,,277.56B,,,277.56B,-166.61B,110.95B,24.64B,103.84B,128.48B,674.00M,10.44B,250.55B,283.95B,,,,,,,,18.66B,,,8.614B,8.614B,2.997B,11.61B,,,8.332B,38.61B,105.04B,18.97B,124.02B,34.34B,34.34B,17.89B,1.604B,11.63B,187.88B,226.49B,,429.00M,46.49B,13.42B,6.825B,,,,2.216B,55.86B,,AOR,Restated
2018-12,2.745B,,2.745B,25.10B,25.10B,1.336B,2.323B,1.047B,,34.64B,0.00,807.00M,30.47B,206.62B,,6.362B,8.58B,252.84B,-163.55B,89.29B,24.61B,103.90B,128.52B,671.00M,11.72B,230.19B,264.83B,,7.232B,2.512B,1.483B,,11.23B,13.79B,25.01B,150.00M,,7.04B,7.19B,,7.19B,4.207B,4.207B,1.52B,37.93B,105.87B,,105.87B,33.80B,33.80B,18.60B,1.565B,13.92B,172.19B,210.12B,,429.00M,43.54B,13.44B,6.986B,,,,2.37B,53.14B,,AOR,Restated
2018-09,2.538B,,2.538B,24.01B,24.01B,1.27B,5.334B,,,33.15B,,,,,,,,252.03B,-164.57B,87.46B,29.20B,103.74B,132.94B,732.00M,11.28B,232.41B,265.56B,,,,,,,,19.34B,,,,6.502B,,6.502B,,,8.323B,34.17B,106.44B,,106.44B,35.71B,35.71B,19.66B,1.592B,13.50B,175.31B,209.48B,,429.00M,44.09B,13.44B,6.987B,,,,3.201B,54.50B,,AOR,Restated
