,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.506B,2.506B,1.555B,951.00M,,,,,-59.00M,155.00M,-155.00M,52.00M,52.00M,899.00M,155.00M,-155.00M,-20.00M,-155.00M,724.00M,155.00M,569.00M,,,2.00M,569.00M,615.37M,1.172B,293.00M,879.00M,2.23,,,,2.412,2.23,2.22,,,,2.401,2.22,254.60M,256.10M,0.94
2020-06,2.085B,2.085B,1.386B,699.00M,,,,,-40.00M,156.00M,-156.00M,49.00M,49.00M,650.00M,156.00M,-156.00M,9.00M,-156.00M,503.00M,111.00M,392.00M,,,,392.00M,423.16M,941.00M,282.00M,659.00M,1.53,,,,1.652,1.53,1.53,,,,1.651,1.53,255.40M,256.70M,0.94
2020-03,2.625B,2.625B,1.578B,1.047B,,,,,-427.00M,154.00M,-154.00M,52.00M,52.00M,995.00M,154.00M,-154.00M,-405.00M,-154.00M,436.00M,55.00M,381.00M,,,1.00M,381.00M,754.20M,882.00M,292.00M,590.00M,1.48,,,,2.93,1.48,1.47,,,,2.9130000000000003,1.47,257.30M,258.70M,0.94
2019-12,2.69B,2.69B,1.671B,1.019B,,,,,23.00M,152.00M,-152.00M,11.00M,11.00M,1.008B,152.00M,-152.00M,-28.00M,-152.00M,828.00M,162.00M,666.00M,,,1.00M,666.00M,647.50M,1.265B,285.00M,980.00M,2.582,,,,2.511,2.582,2.55,,,,2.479,2.55,259.40M,261.70M,0.94
2019-09,2.841B,2.841B,1.702B,1.139B,,,,,-48.00M,150.00M,-150.00M,95.00M,95.00M,1.044B,150.00M,-150.00M,-26.00M,-150.00M,868.00M,211.00M,657.00M,,,1.00M,657.00M,693.34M,1.305B,287.00M,1.018B,2.5,,,,2.639,2.5,2.49,,,,2.627,2.49,262.10M,264.30M,0.94
2019-06,2.925B,2.925B,1.75B,1.175B,,,,,-50.00M,153.00M,-153.00M,60.00M,60.00M,1.115B,153.00M,-153.00M,-28.00M,-153.00M,934.00M,212.00M,722.00M,,,2.00M,722.00M,760.65M,1.371B,284.00M,1.087B,2.72,,,,2.866,2.72,2.7,,,,2.845,2.7,264.80M,267.10M,0.86
2019-03,2.84B,2.84B,1.771B,1.069B,,,,,-49.00M,149.00M,-149.00M,54.00M,54.00M,1.015B,149.00M,-149.00M,-5.00M,-149.00M,861.00M,184.00M,677.00M,,,1.00M,677.00M,715.51M,1.293B,283.00M,1.01B,2.53,,,,2.674,2.53,2.51,,,,2.653,2.51,267.10M,269.40M,0.86
2018-12,2.896B,2.896B,1.847B,1.049B,,,,,-55.00M,148.00M,-148.00M,-74.00M,-74.00M,1.123B,148.00M,-148.00M,-45.00M,-148.00M,930.00M,228.00M,702.00M,,,2.00M,702.00M,743.52M,1.36B,282.00M,1.078B,2.6180000000000003,,,,2.772,2.6180000000000003,2.57,,,,2.722,2.57,270.50M,273.00M,0.8
2018-09,2.947B,2.947B,1.82B,1.127B,,,,,-46.00M,142.00M,-142.00M,61.00M,61.00M,1.066B,142.00M,-142.00M,-16.00M,-142.00M,908.00M,206.00M,702.00M,,,2.00M,702.00M,737.56M,1.326B,276.00M,1.05B,2.54,,,,2.6689999999999996,2.54,2.52,,,,2.648,2.52,275.50M,278.20M,0.8
2018-06,2.898B,2.898B,1.773B,1.125B,,,,,-38.00M,131.00M,-131.00M,61.00M,61.00M,1.064B,131.00M,-131.00M,-9.00M,-131.00M,924.00M,214.00M,710.00M,,,1.00M,710.00M,739.18M,1.329B,274.00M,1.055B,2.52,,,,2.6239999999999997,2.52,2.5,,,,2.603,2.5,281.30M,283.70M,0.72
2018-03,2.717B,2.717B,1.766B,951.00M,,,,,-47.00M,136.00M,-136.00M,69.00M,69.00M,882.00M,136.00M,-136.00M,-39.00M,-136.00M,707.00M,155.00M,552.00M,,,1.00M,552.00M,588.71M,1.115B,272.00M,843.00M,1.94,,,,2.069,1.94,1.93,,,,2.0580000000000003,1.93,283.50M,285.90M,0.72
2017-12,2.669B,2.669B,1.588B,1.081B,,,,,2.00M,134.00M,-134.00M,52.00M,52.00M,1.029B,134.00M,-134.00M,-2.00M,-134.00M,893.00M,-3.075B,3.968B,,,1.00M,3.968B,3.967B,1.295B,268.00M,1.027B,13.91,,,,13.91,13.91,13.79,,,,13.79,13.79,285.20M,287.60M,0.61
2017-09,2.67B,2.67B,1.696B,974.00M,,,,,-39.00M,134.00M,-134.00M,40.00M,40.00M,934.00M,134.00M,-134.00M,,-134.00M,800.00M,294.00M,506.00M,,,1.00M,506.00M,530.65M,1.20B,266.00M,934.00M,1.76,,,,1.8459999999999999,1.76,1.75,,,,1.835,1.75,287.10M,289.50M,0.61
2017-06,2.637B,2.637B,1.652B,985.00M,,,,,-35.00M,140.00M,-140.00M,78.00M,78.00M,907.00M,140.00M,-140.00M,13.00M,-140.00M,780.00M,283.00M,497.00M,,,1.00M,497.00M,519.30M,1.185B,265.00M,920.00M,1.72,,,,1.797,1.72,1.71,,,,1.787,1.71,289.00M,289.00M,0.61
2017-03,2.575B,2.575B,1.70B,875.00M,,,,,-40.00M,142.00M,-142.00M,78.00M,78.00M,797.00M,142.00M,-142.00M,,-142.00M,655.00M,222.00M,433.00M,,,1.00M,433.00M,459.44M,1.057B,260.00M,797.00M,1.49,,,,1.581,1.49,1.48,,,,1.57,1.48,290.30M,292.80M,0.61
2016-12,2.49B,2.49B,1.67B,820.00M,,,,,-49.00M,142.00M,-142.00M,75.00M,95.00M,725.00M,142.00M,-142.00M,58.00M,-142.00M,641.00M,225.00M,416.00M,,,0.00,416.00M,447.80M,1.043B,260.00M,783.00M,1.43,,,,1.5390000000000001,1.43,1.42,,,,1.528,1.42,290.90M,293.90M,0.59
2016-09,2.524B,2.524B,1.618B,906.00M,,,,,-36.00M,144.00M,-144.00M,50.00M,50.00M,856.00M,144.00M,-144.00M,-7.00M,-144.00M,705.00M,245.00M,460.00M,,,3.00M,460.00M,483.47M,1.108B,259.00M,849.00M,1.56,,,,1.64,1.56,1.55,,,,1.63,1.55,292.70M,294.70M,0.59
2016-06,2.454B,2.454B,1.573B,881.00M,,,,,-32.00M,138.00M,-138.00M,79.00M,79.00M,802.00M,138.00M,-138.00M,-28.00M,-138.00M,636.00M,231.00M,405.00M,,,1.00M,405.00M,425.51M,1.032B,258.00M,774.00M,1.37,,,,1.44,1.37,1.36,,,,1.429,1.36,294.70M,296.60M,0.59
2016-03,2.42B,2.42B,1.583B,837.00M,,,,,-33.00M,139.00M,-139.00M,81.00M,81.00M,756.00M,139.00M,-139.00M,-17.00M,-139.00M,600.00M,213.00M,387.00M,,,1.00M,387.00M,408.28M,992.00M,253.00M,739.00M,1.3,,,,1.3719999999999999,1.3,1.29,,,,1.361,1.29,297.20M,298.90M,0.59
2015-12,2.518B,2.518B,1.736B,782.00M,,,,,6.00M,146.00M,-138.00M,92.00M,115.00M,667.00M,146.00M,-138.00M,-5.00M,-138.00M,524.00M,163.00M,361.00M,,,1.00M,361.00M,356.87M,959.00M,289.00M,670.00M,1.21,,,,1.196,1.21,1.2,,,,1.186,1.2,300.10M,300.20M,0.59
2015-09,2.713B,2.713B,1.766B,947.00M,,,,,-27.00M,137.00M,-137.00M,98.00M,98.00M,849.00M,137.00M,-137.00M,12.00M,-137.00M,724.00M,272.00M,452.00M,,,2.00M,452.00M,468.85M,1.137B,276.00M,861.00M,1.5,,,,1.556,1.5,1.49,,,,1.546,1.49,300.10M,302.50M,0.59
2015-06,2.713B,2.713B,1.781B,932.00M,,,,,-26.00M,134.00M,-134.00M,92.00M,92.00M,840.00M,134.00M,-134.00M,-7.00M,-134.00M,699.00M,266.00M,433.00M,,,1.00M,433.00M,449.09M,1.081B,248.00M,833.00M,1.43,,,,1.483,1.43,1.41,,,,1.463,1.41,302.90M,305.50M,0.59
2015-03,2.567B,2.567B,1.837B,730.00M,,,,,-36.00M,132.00M,-132.00M,88.00M,88.00M,642.00M,132.00M,-132.00M,-15.00M,-132.00M,495.00M,185.00M,310.00M,,,2.00M,310.00M,332.54M,873.00M,246.00M,627.00M,1.01,,,,1.083,1.01,1.0,,,,1.073,1.0,306.80M,309.60M,0.59
2014-12,2.87B,2.87B,1.864B,1.006B,,,,,9.00M,141.00M,-132.00M,87.00M,101.00M,905.00M,141.00M,-132.00M,17.00M,-132.00M,790.00M,279.00M,511.00M,,,1.00M,511.00M,505.18M,1.172B,241.00M,931.00M,1.65,,,,1.631,1.65,1.64,,,,1.621,1.64,309.10M,311.90M,0.57
2014-09,3.023B,3.023B,1.907B,1.116B,,,,,-35.00M,138.00M,-138.00M,83.00M,83.00M,1.033B,138.00M,-138.00M,-3.00M,-138.00M,892.00M,333.00M,559.00M,,,1.00M,559.00M,580.94M,1.267B,237.00M,1.03B,1.8,,,,1.871,1.8,1.79,,,,1.86,1.79,309.40M,312.60M,0.57
2014-06,3.042B,3.042B,1.899B,1.143B,,,,,-42.00M,139.00M,-139.00M,82.00M,82.00M,1.061B,139.00M,-139.00M,-24.00M,-139.00M,898.00M,336.00M,562.00M,,,2.00M,562.00M,588.29M,1.277B,240.00M,1.037B,1.81,,,,1.895,1.81,1.79,,,,1.874,1.79,309.50M,312.80M,0.54
2014-03,2.689B,2.689B,1.909B,780.00M,,,,,-30.00M,139.00M,-139.00M,83.00M,83.00M,697.00M,139.00M,-139.00M,-4.00M,-139.00M,554.00M,186.00M,368.00M,,,2.00M,368.00M,387.92M,931.00M,238.00M,693.00M,1.18,,,,1.244,1.18,1.17,,,,1.234,1.17,309.50M,312.60M,0.54
2013-12,2.881B,2.881B,1.908B,973.00M,,,,,114.00M,149.00M,-141.00M,80.00M,96.00M,877.00M,149.00M,-141.00M,47.00M,-141.00M,783.00M,270.00M,513.00M,,,2.00M,513.00M,438.31M,1.167B,235.00M,932.00M,1.66,,,,1.4180000000000001,1.66,1.64,,,,1.401,1.64,308.60M,312.20M,0.52
2013-09,2.824B,2.824B,1.875B,949.00M,,,,,-23.00M,131.00M,-131.00M,77.00M,77.00M,872.00M,131.00M,-131.00M,7.00M,-131.00M,748.00M,266.00M,482.00M,,,2.00M,482.00M,496.81M,1.11B,231.00M,879.00M,1.55,,,,1.598,1.55,1.53,,,,1.577,1.53,310.40M,313.90M,0.52
2013-06,2.802B,2.802B,1.869B,933.00M,,,,,-20.00M,128.00M,-128.00M,77.00M,77.00M,856.00M,128.00M,-128.00M,9.00M,-128.00M,737.00M,272.00M,465.00M,,,1.00M,465.00M,477.62M,1.093B,228.00M,865.00M,1.47,,,,1.51,1.47,1.46,,,,1.5,1.46,314.10M,317.80M,0.5
2013-03,2.738B,2.738B,1.829B,909.00M,,,,,,129.00M,-129.00M,218.00M,218.00M,691.00M,129.00M,-129.00M,135.00M,-129.00M,697.00M,247.00M,450.00M,,,2.00M,450.00M,450.00M,1.054B,228.00M,826.00M,1.43,,,,1.43,1.43,1.41,,,,1.41,1.41,314.50M,318.10M,0.5
2012-12,2.684B,2.684B,2.18B,504.00M,,,,,,138.00M,-130.00M,-340.00M,-324.00M,828.00M,138.00M,-130.00M,-77.00M,-130.00M,621.00M,208.00M,413.00M,,,2.00M,413.00M,413.00M,993.00M,234.00M,759.00M,1.31,,,,1.31,1.31,1.3,,,,1.3,1.3,314.90M,318.60M,0.5
2012-09,2.693B,2.693B,1.736B,957.00M,,,,,,124.00M,-124.00M,226.00M,226.00M,731.00M,124.00M,-124.00M,33.00M,-124.00M,640.00M,238.00M,402.00M,,,3.00M,402.00M,402.00M,996.00M,232.00M,764.00M,1.26,,,,1.26,1.26,1.24,,,,1.24,1.24,317.70M,321.80M,0.5
2012-06,2.874B,2.874B,1.735B,1.139B,,,,,,122.00M,-122.00M,205.00M,205.00M,934.00M,122.00M,-122.00M,31.00M,-122.00M,843.00M,319.00M,524.00M,,,2.00M,524.00M,524.00M,1.195B,230.00M,965.00M,1.62,,,,1.62,1.62,1.6,,,,1.6,1.6,322.70M,327.50M,0.47
2012-03,2.789B,2.789B,1.926B,863.00M,,,,,-38.00M,120.00M,-120.00M,80.00M,80.00M,783.00M,120.00M,-120.00M,-9.00M,-120.00M,654.00M,244.00M,410.00M,,,3.00M,410.00M,433.83M,1.00B,226.00M,774.00M,1.24,,,,1.3130000000000002,1.24,1.23,,,,1.3030000000000002,1.23,328.30M,328.30M,0.47
2011-12,2.797B,2.797B,4.362B,-1.565B,,,-634.00M,,-297.00M,119.00M,-110.00M,,-2.565B,1.00B,119.00M,-110.00M,-167.00M,-110.00M,723.00M,243.00M,480.00M,,,,480.00M,677.18M,1.065B,223.00M,842.00M,1.43,,,,2.023,1.43,1.42,,,,2.003,1.42,332.60M,338.40M,0.43
