,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,428.00M,,-1.00M,0.00,-61.00M,26.00M,26.00M,-69.00M,,24.00M,197.00M,,-88.00M,-88.00M,622.00M,-18.00M,0.00,-18.00M,0.00,-2.685B,6.00M,201.00M,-1.001B,-952.00M,-1.953B,1.00M,0.00,1.00M,0.00,,0.00,-207.00M,0.00,,-926.00M,1.059B,-103.00M,956.00M,1.00M,1.00M,-1.002B,0.00,116.00M,136.00M
2020-06,187.00M,,-21.00M,0.00,-92.00M,32.00M,32.00M,-130.00M,,26.00M,-385.00M,,150.00M,150.00M,278.00M,-15.00M,0.00,-15.00M,0.00,-12.00B,21.00M,-15.02B,3.00M,-5.067B,-5.064B,1.00M,0.00,1.00M,0.00,,0.00,-207.00M,-1.00M,,14.94B,865.00M,194.00M,1.059B,1.00M,4.00M,-1.00M,0.00,24.00M,198.00M
2020-03,146.00M,,8.00M,-4.00M,-34.00M,54.00M,54.00M,-18.00M,,25.00M,-960.00M,,245.00M,245.00M,-173.00M,-12.00M,0.00,-12.00M,,-881.00M,19.00M,-9.722B,991.00M,5.958B,6.949B,5.00M,-117.00M,-112.00M,,,,-208.00M,-35.00M,,10.03B,732.00M,133.00M,865.00M,5.00M,2.497B,-1.506B,-117.00M,35.00M,267.00M
2019-12,469.00M,,-2.00M,-5.00M,-62.00M,58.00M,58.00M,-28.00M,,24.00M,489.00M,,-77.00M,-77.00M,993.00M,-27.00M,1.00M,-26.00M,0.00,2.953B,18.00M,1.054B,-1.943B,210.00M,-1.733B,11.00M,-241.00M,-230.00M,0.00,,0.00,-209.00M,0.00,,-1.951B,636.00M,96.00M,732.00M,11.00M,16.00M,-1.959B,-241.00M,18.00M,301.00M
2019-09,416.00M,,-17.00M,-15.00M,-88.00M,62.00M,62.00M,13.00M,,24.00M,504.00M,,41.00M,41.00M,1.183B,-20.00M,16.00M,-4.00M,0.00,-1.223B,14.00M,-2.489B,89.00M,1.00M,90.00M,2.00M,-248.00M,-246.00M,0.00,,0.00,-212.00M,0.00,,1.335B,607.00M,29.00M,636.00M,2.00M,762.00M,-673.00M,-248.00M,,331.00M
2019-06,425.00M,,-1.00M,0.00,-43.00M,63.00M,63.00M,-31.00M,,23.00M,-327.00M,,-25.00M,-25.00M,170.00M,-29.00M,0.00,-29.00M,-185.00M,141.00M,11.00M,-1.944B,-2.00M,-65.00M,-67.00M,2.00M,-179.00M,-177.00M,435.00M,,435.00M,-191.00M,-1.00M,,1.77B,611.00M,-4.00M,607.00M,437.00M,0.00,-2.00M,-179.00M,-34.00M,313.00M
2019-03,407.00M,,1.00M,0.00,-27.00M,58.00M,58.00M,99.00M,,25.00M,49.00M,,-130.00M,-130.00M,560.00M,-9.00M,1.00M,-8.00M,,-828.00M,16.00M,-1.539B,351.00M,83.00M,434.00M,3.00M,-167.00M,-164.00M,,,,-192.00M,-32.00M,,912.00M,678.00M,-67.00M,611.00M,3.00M,1.351B,-1.00B,-167.00M,34.00M,306.00M
2018-12,484.00M,0.00,76.00M,0.00,25.00M,92.00M,92.00M,-5.00M,,21.00M,910.00M,,109.00M,109.00M,1.712B,-26.00M,1.00M,-25.00M,0.00,-711.00M,18.00M,-1.099B,-249.00M,-1.059B,-1.308B,1.00M,-278.00M,-277.00M,0.00,,0.00,-198.00M,0.00,,-254.00M,319.00M,359.00M,678.00M,1.00M,504.00M,-753.00M,-278.00M,-10.00M,260.00M
2018-09,482.00M,-5.00M,7.00M,0.00,-43.00M,95.00M,95.00M,86.00M,,25.00M,-243.00M,,-125.00M,-125.00M,386.00M,-37.00M,0.00,-37.00M,5.00M,-258.00M,19.00M,-1.424B,40.00M,-384.00M,-344.00M,5.00M,-541.00M,-536.00M,412.00M,,412.00M,-190.00M,-1.00M,,573.00M,784.00M,-465.00M,319.00M,417.00M,44.00M,-4.00M,-541.00M,8.00M,243.00M
2018-06,482.00M,-78.00M,-36.00M,,-157.00M,92.00M,92.00M,-5.00M,,26.00M,186.00M,,-64.00M,-64.00M,619.00M,-17.00M,0.00,-17.00M,119.00M,-650.00M,23.00M,-708.00M,139.00M,557.00M,696.00M,4.00M,-123.00M,-119.00M,0.00,,0.00,-141.00M,-3.00M,,230.00M,643.00M,141.00M,784.00M,4.00M,1.257B,-1.118B,-123.00M,5.00M,190.00M
