,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,5.596B,,5.596B,,,,,,,,5.596B,,,,,,,,,,,,239.79B,,,,,,,,,,,,,,,,,,,,,,,239.79B,,,,,,,,,,,,131.69B,,AOR,
2020-09,6.866B,28.00M,6.894B,9.722B,9.722B,1.684B,3.997B,5.681B,2.506B,,24.80B,325.13B,-182.75B,142.38B,4.416B,4.416B,37.66B,,780.00M,11.23B,1.799B,198.26B,223.06B,,9.537B,1.653B,11.19B,7.944B,19.13B,530.00M,530.00M,,,,19.66B,34.28B,,34.28B,10.62B,19.27B,29.89B,7.189B,264.00M,,71.36B,91.02B,,1.832B,163.51B,17.32B,46.14B,,,-240.00M,,-4.507B,-4.747B,131.77B,,AOR,
2020-06,6.855B,59.00M,6.914B,8.57B,8.57B,1.699B,3.812B,5.511B,2.737B,,23.73B,323.52B,-179.67B,143.85B,4.416B,4.416B,37.29B,,812.00M,11.51B,1.792B,199.67B,223.40B,,8.25B,1.419B,9.669B,7.405B,17.07B,3.751B,3.751B,,,,20.82B,30.30B,,30.30B,11.11B,19.29B,30.40B,7.489B,268.00M,,68.19B,89.02B,,1.832B,166.12B,17.30B,46.14B,,,-240.00M,,-4.75B,-4.99B,134.12B,,AOR,
2020-03,8.492B,50.00M,8.542B,10.17B,10.17B,1.655B,4.919B,6.574B,3.279B,,28.56B,326.41B,-177.19B,149.22B,4.454B,4.454B,39.69B,,1.243B,10.52B,2.989B,208.12B,236.68B,,11.01B,2.278B,13.28B,6.263B,19.55B,8.688B,8.688B,,,,28.24B,23.66B,,23.66B,13.46B,18.68B,32.13B,7.731B,984.00M,,63.53B,91.76B,,1.832B,176.11B,17.28B,46.17B,,,-240.00M,,-4.884B,-5.124B,143.93B,,AOR,
2019-12,5.686B,63.00M,5.749B,13.32B,13.32B,1.634B,4.214B,5.848B,3.407B,,28.33B,326.72B,-176.23B,150.49B,4.463B,4.463B,38.69B,,1.511B,10.53B,3.411B,209.10B,237.43B,,14.10B,2.556B,16.66B,6.589B,23.25B,3.282B,3.282B,,,,26.53B,23.41B,282.00M,23.69B,13.69B,20.44B,34.13B,7.866B,995.00M,,65.69B,92.22B,,1.832B,174.94B,17.26B,44.60B,,,-240.00M,,-4.99B,-5.23B,144.21B,,AOR,
2019-09,11.70B,58.00M,11.76B,12.97B,12.97B,1.749B,4.202B,5.951B,3.316B,,33.99B,338.70B,-174.34B,164.36B,4.507B,4.507B,38.33B,,1.584B,10.72B,3.052B,222.55B,256.54B,,13.23B,2.685B,15.92B,6.523B,22.44B,7.795B,7.795B,,,,30.23B,25.06B,,25.06B,17.10B,21.56B,38.66B,5.701B,1.051B,,69.41B,99.64B,,1.832B,183.78B,17.24B,43.50B,,,-240.00M,,-3.269B,-3.509B,155.84B,,AOR,Restated
2019-06,8.513B,58.00M,8.571B,14.38B,14.38B,1.785B,5.024B,6.809B,3.324B,,33.09B,335.78B,-170.36B,165.41B,4.507B,4.507B,37.42B,,1.784B,10.69B,2.985B,222.79B,255.88B,,14.80B,2.239B,17.04B,6.197B,23.24B,5.588B,5.588B,,,,28.83B,25.06B,,25.06B,16.48B,21.96B,38.44B,6.095B,1.056B,,69.60B,98.43B,,1.832B,183.44B,17.18B,42.47B,,,-240.00M,,-3.357B,-3.597B,156.40B,,AOR,Restated
2019-03,8.699B,56.00M,8.755B,14.93B,14.93B,1.754B,4.969B,6.723B,3.265B,,33.67B,336.70B,-169.97B,166.73B,4.507B,4.507B,36.36B,,2.019B,10.87B,2.654B,223.14B,256.81B,,14.23B,2.818B,17.05B,5.88B,22.93B,7.023B,7.023B,,,,29.95B,26.06B,,26.06B,16.10B,22.20B,38.30B,6.38B,1.073B,,70.74B,100.69B,,1.832B,181.39B,17.15B,41.62B,,,-240.00M,,-3.459B,-3.699B,155.04B,,AOR,Restated
2018-12,9.342B,1.003B,10.34B,15.05B,15.05B,1.834B,3.87B,5.704B,2.922B,,34.02B,340.24B,-171.04B,169.21B,4.518B,4.518B,35.55B,,1.942B,6.766B,1.863B,219.84B,253.86B,,13.95B,2.565B,16.52B,4.927B,21.44B,5.726B,5.726B,,,,27.17B,28.61B,127.00M,28.73B,15.92B,19.74B,35.66B,6.654B,1.088B,,71.05B,98.22B,,1.832B,180.99B,17.11B,41.59B,,,-240.00M,,-3.544B,-3.784B,154.55B,,AOR,Restated
2018-09,9.686B,60.00M,9.746B,16.79B,16.79B,1.916B,4.113B,6.029B,3.02B,,35.58B,344.95B,-173.30B,171.64B,4.518B,4.518B,34.67B,,2.46B,6.745B,983.00M,221.02B,256.61B,,15.34B,2.698B,18.03B,5.029B,23.06B,6.121B,6.121B,,,,29.18B,29.85B,135.00M,29.99B,15.62B,20.41B,36.04B,6.723B,1.098B,,72.75B,101.93B,,1.832B,178.82B,17.08B,40.65B,,,-240.00M,,-3.265B,-3.505B,153.58B,,AOR,Restated
