,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,178.37M,,,-6.188M,-6.188M,49.89M,,49.89M,49.89M,,,,16.07M,,16.07M,16.11M,-52.40M,3.415M,-61.27M,,,144.00M,,2020-09,-18.74M,,-13.50M,-5.237M,,-3.372M,-22.11M,,2020-09,-120.00M,-120.00M,1.026M,,1.026M,-56.51M,-56.51M,,0.227M,,2020-09,463.16M,-53.37M,421.41M,,2020-09,1.026M,55.00M,-175.00M,,6.842M,,2020-09,AOR,
2020-06,177.84M,,,5.976M,5.976M,45.51M,,45.51M,45.51M,,,0.00,16.14M,,0.00,88.52M,-47.32M,9.725M,33.88M,,,330.26M,,2020-06,-21.19M,,-17.97M,-3.217M,0.00,17.78M,-3.407M,,2020-06,-201.00M,-201.00M,22.07M,,22.07M,-56.48M,-56.48M,,-0.955M,,2020-06,352.86M,90.49M,463.16M,,2020-06,22.07M,200.00M,-401.00M,,9.197M,,2020-06,AOR,
2020-03,163.14M,,,5.296M,5.296M,46.46M,,46.46M,46.46M,,,9.10M,14.11M,,0.00,-33.86M,5.73M,-1.906M,31.63M,,,239.70M,,2020-03,-32.11M,,-29.59M,-2.52M,-24.49M,-43.02M,-99.61M,,2020-03,77.00M,77.00M,1.815M,,1.815M,-56.41M,-56.41M,,-4.015M,,2020-03,204.10M,158.48M,352.86M,,2020-03,1.815M,260.00M,-183.00M,,9.968M,,2020-03,AOR,
2019-12,160.55M,,,4.333M,4.333M,45.48M,,45.48M,45.48M,,,5.419M,14.05M,,0.001M,-28.56M,-14.09M,-58.41M,-58.85M,,,69.93M,,2019-12,-27.90M,,-25.10M,-2.802M,-3.423M,-12.29M,-43.62M,,2019-12,78.99M,78.99M,18.69M,,18.69M,-56.15M,-56.15M,,-40.76M,,2019-12,172.15M,27.08M,204.10M,,2019-12,18.69M,165.00M,-86.01M,,10.22M,,2019-12,AOR,
2019-09,120.15M,,,9.453M,9.453M,43.92M,,43.92M,43.92M,,,,13.26M,,-0.008M,28.29M,-14.20M,-8.407M,-30.08M,,,162.36M,,2019-09,-24.74M,,-22.67M,-2.069M,,-8.484M,-33.22M,,2019-09,-49.00M,-49.00M,5.609M,,5.609M,-56.05M,-56.05M,,-0.628M,,2019-09,147.13M,29.06M,172.15M,,2019-09,5.609M,565.00M,-614.00M,,10.99M,,2019-09,AOR,Restated
2019-06,68.80M,,,6.462M,6.462M,42.59M,,42.59M,42.59M,,,6.206M,14.22M,,-0.014M,-16.53M,-29.19M,-30.12M,79.39M,,,141.82M,,2019-06,-24.28M,,-22.20M,-2.076M,0.182M,-19.79M,-43.89M,,2019-06,-65.35M,-65.35M,21.38M,0.00,21.38M,-53.12M,-53.12M,,-0.485M,,2019-06,146.51M,0.355M,147.13M,,2019-06,21.38M,105.00M,-170.35M,0.00,12.55M,,2019-06,AOR,Restated
2019-03,105.41M,,,4.087M,4.087M,41.75M,,41.75M,41.75M,,,5.842M,12.84M,,0.00,-33.85M,-24.43M,9.469M,18.52M,,,139.65M,,2019-03,-17.00M,,-15.08M,-1.913M,-212.32M,3.904M,-225.41M,,2019-03,134.40M,134.40M,2.562M,0.00,2.562M,-53.02M,-53.02M,,-0.758M,,2019-03,149.47M,-2.578M,146.51M,,2019-03,2.562M,323.00M,-188.60M,0.00,12.41M,,2019-03,AOR,Restated
2018-12,124.64M,,,3.375M,3.375M,36.03M,,36.03M,36.03M,,,1.248M,12.53M,,-0.089M,12.02M,-14.91M,-19.22M,-26.16M,,,129.47M,,2018-12,-20.46M,,-18.43M,-2.032M,-612.81M,-24.95M,-658.22M,,2018-12,521.56M,521.56M,12.27M,-3.445M,8.826M,-52.77M,-52.77M,,-27.41M,,2018-12,230.19M,-78.54M,149.47M,,2018-12,12.27M,788.23M,-266.66M,-3.445M,7.487M,,2018-12,AOR,Restated
2018-09,105.74M,,,0.00,0.00,30.42M,,30.42M,30.42M,,,1.711M,12.48M,,-0.183M,20.34M,-15.66M,-7.703M,-99.02M,,,48.12M,,2018-09,-15.60M,,-12.99M,-2.611M,-126.44M,-6.145M,-148.19M,,2018-09,216.87M,216.87M,0.513M,-19.40M,-18.89M,-52.79M,-52.79M,,-0.364M,,2018-09,188.70M,44.75M,230.19M,,2018-09,0.513M,303.00M,-86.13M,-19.40M,3.708M,,2018-09,AOR,Restated
2018-06,109.81M,,,0.00,0.00,,,31.70M,31.70M,,,7.973M,12.48M,,0.028M,7.065M,12.64M,-88.39M,36.11M,,,129.42M,,2018-06,-19.75M,,-17.62M,-2.133M,-0.42M,-18.35M,-38.53M,,2018-06,-526.24M,-526.24M,14.64M,-25.90M,-11.26M,-49.97M,-49.97M,,-1.195M,,2018-06,704.28M,-497.78M,188.70M,,2018-06,14.64M,230.00M,-756.24M,-25.90M,5.482M,,2018-06,AOR,Restated
2018-03,110.13M,,,0.00,0.00,,,29.31M,29.31M,,,1.366M,11.98M,,-25.83M,-13.28M,9.614M,-69.47M,69.05M,,,149.08M,,2018-03,-15.08M,,-12.96M,-2.119M,-0.482M,-4.057M,-19.62M,,2018-03,-210.00M,-210.00M,3.634M,-19.36M,-15.72M,-49.97M,-49.97M,,-0.823M,,2018-03,858.90M,-147.06M,704.28M,,2018-03,3.634M,70.00M,-280.00M,-19.36M,7.718M,,2018-03,AOR,Restated
2017-12,9.526M,,,0.00,0.00,,,29.37M,29.37M,,,1.292M,12.01M,,13.30M,-49.46M,6.182M,12.55M,111.08M,,,132.55M,,2017-12,-18.35M,,-15.97M,-2.382M,3.225M,-13.13M,-28.26M,,2017-12,0.00,0.00,16.82M,-8.541M,8.284M,-49.86M,-49.86M,,-13.85M,,2017-12,811.10M,48.87M,858.90M,,2017-12,16.82M,0.00,0.00,-8.541M,7.37M,,2017-12,AOR,Restated
2017-09,86.12M,,,,,,,29.57M,29.57M,,,0.962M,11.95M,,12.91M,23.32M,-26.94M,-15.41M,-15.59M,,,93.98M,,2017-09,-18.27M,,-16.03M,-2.242M,-3.225M,6.073M,-15.42M,,2017-09,-60.00M,-60.00M,3.615M,0.00,3.615M,-49.70M,-49.70M,,,,2017-09,821.94M,-27.52M,811.10M,,2017-09,3.615M,50.00M,-110.00M,0.00,7.785M,,2017-09,AOR,Restated
2017-06,101.61M,,,,,,,28.17M,28.17M,,,1.367M,11.66M,,0.00,-30.81M,-3.453M,9.297M,22.47M,,,140.31M,,2017-06,-20.64M,,-18.36M,-2.277M,-3.88M,-6.761M,-31.28M,,2017-06,-90.00M,-90.00M,23.06M,0.00,23.06M,-46.80M,-46.80M,,-8.159M,,2017-06,827.31M,-12.86M,821.94M,,2017-06,23.06M,100.00M,-190.00M,0.00,7.756M,,2017-06,AOR,Restated
