,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,415.65M,,415.65M,212.10M,,214.16M,53.39M,2.50M,101.54M,157.43M,21.67M,44.37M,,853.28M,0.00,56.22M,232.53M,277.57M,,,19.40M,585.73M,-208.12M,377.61M,213.17M,35.02M,248.19M,4.254M,,19.36M,1.508B,,2009-06,48.29M,56.97M,105.26M,67.02M,172.28M,,,67.54M,,67.54M,0.391M,29.27M,28.88M,,269.10M,94.19M,,94.19M,11.14M,,3.11M,123.68M,392.78M,,694.79M,522.98M,208.66M,105.78M,1.115B,,2009-06,AOR,Restated
2009-03,327.07M,,327.07M,195.99M,,199.10M,53.52M,1.859M,92.30M,147.67M,18.68M,35.54M,,728.06M,0.00,51.24M,123.23M,238.76M,,86.50M,18.43M,518.16M,-183.42M,334.75M,202.55M,33.60M,236.15M,4.496M,,19.96M,1.326B,,2009-03,51.24M,30.32M,81.56M,57.13M,138.68M,,,66.56M,,66.56M,22.20M,23.32M,1.115M,,228.56M,93.02M,,93.02M,13.13M,,3.438M,124.86M,353.42M,,649.42M,510.38M,195.67M,7.883M,972.32M,,2009-03,AOR,Restated
2008-12,320.48M,,320.48M,185.73M,2.098M,187.83M,51.96M,2.137M,88.97M,143.06M,17.32M,37.69M,,706.39M,0.00,52.39M,145.95M,237.70M,,73.34M,,509.38M,-181.28M,328.11M,211.32M,36.50M,247.82M,,,18.42M,1.307B,,2008-12,54.46M,,54.46M,53.94M,108.40M,,,67.55M,,67.55M,20.92M,22.06M,1.14M,25.59M,223.60M,85.35M,,85.35M,14.68M,,19.92M,119.95M,343.56M,,610.22M,496.50M,169.04M,25.59M,963.57M,,2008-12,,Restated
2008-09,302.07M,,302.07M,175.83M,11.96M,187.79M,49.98M,2.115M,93.50M,145.60M,15.26M,36.09M,,686.81M,0.00,56.26M,160.14M,245.10M,,53.85M,,515.36M,-186.23M,329.13M,213.27M,39.33M,252.60M,,,16.47M,1.293B,,2008-09,48.48M,,48.48M,51.34M,99.82M,,,36.65M,,36.65M,24.32M,25.44M,1.122M,14.04M,175.95M,108.48M,,108.48M,15.68M,,18.34M,142.50M,318.45M,,576.37M,486.02M,167.08M,78.64M,974.25M,,2008-09,,
2008-06,321.08M,,321.08M,192.20M,17.12M,209.32M,58.77M,2.165M,97.32M,158.25M,19.24M,31.36M,,739.24M,0.00,63.62M,191.68M,273.13M,,37.07M,,565.50M,-208.45M,357.06M,234.65M,46.77M,281.42M,,,16.16M,1.406B,,2008-06,56.31M,,56.31M,61.34M,117.65M,,,43.86M,,43.86M,26.13M,27.28M,1.15M,3.799M,192.59M,93.79M,,93.79M,18.33M,,19.51M,131.63M,324.22M,,548.34M,468.35M,142.99M,207.77M,1.082B,,2008-06,,
2008-03,307.49M,,307.49M,179.87M,,179.87M,62.03M,2.134M,105.32M,169.49M,16.27M,45.96M,,719.07M,0.00,61.67M,183.04M,260.20M,,24.81M,,529.72M,-194.59M,335.13M,235.66M,48.85M,284.52M,,,14.78M,1.366B,,2008-03,35.30M,,35.30M,64.41M,99.70M,,,16.24M,,16.24M,24.80M,25.31M,0.511M,0.858M,142.11M,115.97M,,115.97M,18.11M,,20.30M,154.38M,296.48M,,518.71M,457.46M,91.31M,184.13M,1.069B,,2008-03,,
2007-12,278.50M,10.00M,288.50M,170.77M,,170.77M,61.88M,1.524M,103.00M,166.40M,16.97M,47.15M,,689.80M,0.00,62.65M,178.28M,242.81M,,33.60M,,517.34M,-180.27M,337.07M,220.91M,47.10M,268.01M,,,14.28M,1.319B,,2007-12,43.87M,,43.87M,64.54M,108.40M,,,26.10M,,26.10M,22.36M,22.81M,0.445M,5.348M,162.65M,106.05M,0.482M,106.53M,17.37M,,18.07M,141.98M,304.63M,,489.02M,448.41M,68.06M,145.06M,1.015B,,2007-12,,
2007-09,251.31M,26.45M,277.76M,166.42M,,166.42M,67.91M,2.48M,96.68M,167.07M,14.84M,46.61M,,672.70M,0.00,63.16M,178.75M,237.14M,,19.92M,,498.99M,-170.91M,328.08M,216.25M,47.65M,263.90M,,,12.31M,1.288B,,2007-09,48.15M,,48.15M,78.91M,127.06M,,,25.38M,,25.38M,20.95M,21.38M,0.436M,7.318M,181.14M,90.05M,0.492M,90.54M,16.68M,,17.50M,124.72M,305.86M,,462.16M,432.88M,60.00M,146.63M,981.98M,,2007-09,,
2007-06,257.79M,19.95M,277.74M,167.82M,7.952M,175.77M,68.91M,1.965M,86.33M,157.20M,15.97M,42.11M,,668.80M,0.00,61.50M,170.33M,222.18M,,11.12M,,465.14M,-154.56M,310.58M,206.78M,46.58M,253.35M,,,9.206M,1.252B,,2007-06,53.04M,,53.04M,98.32M,151.36M,,,28.35M,,28.35M,18.86M,19.28M,0.415M,3.41M,202.40M,87.16M,0.486M,87.65M,18.30M,,12.47M,118.42M,320.82M,,436.95M,421.70M,43.50M,115.75M,931.22M,,2007-06,,
2007-03,240.11M,19.95M,260.06M,153.06M,,153.06M,60.20M,2.878M,93.84M,156.92M,16.42M,52.15M,,638.60M,0.00,59.68M,165.02M,210.46M,,3.062M,,438.22M,-145.51M,292.71M,204.42M,46.93M,251.35M,,,,1.192B,,2007-03,44.11M,,44.11M,110.30M,154.41M,,,18.68M,,18.68M,18.14M,18.14M,,9.811M,201.04M,95.39M,0.499M,95.89M,9.856M,,12.52M,118.26M,319.30M,,409.28M,410.30M,41.40M,94.02M,872.50M,,2007-03,,
2006-12,232.67M,21.95M,254.62M,143.60M,,143.60M,48.07M,3.105M,90.70M,141.88M,15.33M,35.49M,,590.91M,0.00,58.75M,159.99M,198.71M,,3.361M,,420.81M,-138.53M,282.28M,202.31M,48.00M,250.31M,,,,1.132B,,2006-12,45.48M,,45.48M,46.36M,91.85M,,,38.42M,,38.42M,17.63M,17.63M,,15.77M,163.67M,95.12M,,95.12M,10.63M,,12.10M,117.85M,281.52M,,424.65M,386.62M,41.40M,80.66M,850.82M,,2006-12,,
2006-09,201.16M,20.00M,221.16M,129.91M,,129.91M,40.10M,3.554M,79.31M,122.96M,11.47M,32.44M,,517.95M,0.00,56.10M,148.21M,180.56M,,2.347M,,387.22M,-122.14M,265.08M,193.85M,47.07M,240.91M,,,,1.031B,,2006-09,35.18M,,35.18M,40.21M,75.39M,,,4.825M,,4.825M,15.28M,15.28M,,25.77M,121.26M,115.48M,,115.48M,11.43M,,11.37M,138.29M,259.55M,,395.65M,362.85M,41.40M,54.06M,771.46M,,2006-09,,
2006-06,219.54M,,219.54M,138.15M,,138.15M,41.98M,3.52M,70.70M,116.19M,9.763M,26.64M,,510.28M,0.00,55.95M,89.08M,169.11M,,46.71M,,360.85M,-115.47M,245.38M,195.61M,48.90M,244.51M,,,,1.007B,,2006-06,45.04M,,45.04M,40.90M,85.95M,,,4.869M,,4.869M,15.34M,15.34M,,22.84M,129.00M,116.21M,,116.21M,12.38M,,11.48M,140.07M,269.07M,,370.65M,353.46M,41.40M,55.13M,738.15M,,2006-06,,
2006-03,166.16M,2.002M,168.16M,127.18M,,127.18M,33.34M,3.363M,72.04M,108.74M,9.676M,18.86M,,432.62M,0.00,54.78M,85.77M,154.12M,,33.38M,,328.05M,-105.13M,222.92M,188.72M,47.93M,236.65M,,,,899.12M,,2006-03,35.29M,,35.29M,38.34M,73.63M,,,2.191M,,2.191M,13.98M,13.98M,,20.72M,110.53M,94.28M,,94.28M,9.337M,,10.64M,114.26M,224.78M,,347.56M,334.80M,41.40M,33.08M,674.34M,,2006-03,,
2005-12,140.28M,2.498M,142.78M,115.37M,,115.37M,34.13M,2.594M,70.80M,107.52M,14.54M,21.00M,,401.21M,0.00,55.47M,85.20M,149.12M,,28.27M,,318.06M,-100.60M,217.46M,,233.42M,233.42M,,,,860.05M,,2005-12,37.50M,,37.50M,40.36M,77.86M,,,145.39M,,145.39M,13.94M,13.94M,,19.16M,256.35M,58.19M,,58.19M,10.06M,,10.35M,78.60M,334.95M,,321.20M,207.76M,41.40M,37.26M,525.10M,,2005-12,,
2005-09,129.73M,4.499M,134.23M,102.99M,,102.99M,29.43M,2.781M,68.67M,100.88M,12.53M,19.99M,,370.62M,0.00,56.23M,84.52M,144.38M,,16.91M,,302.04M,-96.28M,205.76M,,230.81M,230.81M,,,,816.50M,,2005-09,32.19M,,32.19M,37.44M,69.63M,,,125.89M,,125.89M,13.57M,13.57M,,21.22M,230.30M,58.61M,,58.61M,11.94M,,10.24M,80.79M,311.10M,,298.88M,196.10M,41.40M,51.55M,505.40M,,2005-09,,
2005-06,142.18M,,142.18M,103.95M,,103.95M,29.86M,1.82M,57.43M,89.11M,9.737M,15.23M,,360.21M,0.00,35.49M,82.04M,136.28M,,9.32M,,263.14M,-88.97M,174.17M,,230.48M,230.48M,,,,774.15M,,2005-06,34.42M,,34.42M,34.41M,68.83M,,,115.44M,,115.44M,12.33M,12.33M,,21.96M,218.55M,58.93M,,58.93M,11.70M,,10.90M,81.53M,300.08M,,282.44M,180.00M,41.40M,52.88M,474.06M,,2005-06,,
2005-03,136.70M,37.95M,174.65M,89.11M,,89.11M,25.51M,3.042M,46.91M,75.46M,8.421M,15.86M,,363.50M,0.00,36.24M,79.78M,132.75M,,5.643M,,254.42M,-84.41M,170.01M,,131.19M,131.19M,,,,674.30M,,2005-03,23.26M,,23.26M,31.29M,54.56M,,,,,,11.73M,11.73M,,19.90M,86.19M,113.25M,,113.25M,,,10.86M,124.11M,210.30M,,266.86M,170.87M,41.40M,67.54M,464.00M,,2005-03,,
2004-12,143.07M,21.98M,165.04M,76.86M,,76.86M,23.01M,2.222M,39.62M,64.85M,7.249M,9.238M,,323.25M,0.00,36.56M,80.18M,122.25M,,2.995M,,241.98M,-75.59M,166.40M,,125.34M,125.34M,,,,624.49M,,2004-12,17.82M,,17.82M,28.13M,45.95M,,,,,,11.34M,11.34M,,16.01M,73.30M,113.25M,,113.25M,,,10.54M,123.79M,197.09M,,248.99M,143.05M,41.40M,76.63M,427.40M,,2004-12,,
2004-09,141.62M,2.744M,144.36M,68.75M,,68.75M,19.98M,2.519M,38.65M,61.14M,6.774M,8.536M,,289.57M,0.00,34.23M,72.59M,111.20M,,2.128M,,220.15M,-66.02M,154.13M,,112.79M,112.79M,,,,565.10M,,2004-09,17.94M,,17.94M,24.98M,42.93M,,,,,,9.325M,9.325M,,12.04M,64.30M,113.25M,,113.25M,,,9.271M,122.52M,186.82M,,231.58M,136.64M,41.40M,51.33M,378.29M,,2004-09,,
2004-06,128.91M,12.02M,140.93M,67.24M,,67.24M,15.28M,2.254M,38.27M,55.80M,6.821M,12.03M,,282.82M,0.00,32.99M,69.60M,104.54M,,0.475M,,207.60M,-60.33M,147.27M,,110.89M,110.89M,,,,549.15M,,2004-06,18.57M,,18.57M,22.59M,41.16M,,,,,,8.759M,8.759M,,10.67M,60.59M,113.25M,,113.25M,4.992M,,8.819M,127.06M,187.65M,,217.66M,132.88M,30.44M,41.27M,361.50M,,2004-06,,
2004-03,114.57M,12.93M,127.50M,65.93M,,65.93M,17.07M,1.938M,38.44M,57.45M,7.513M,9.354M,,267.76M,,,,,,,,210.94M,-60.36M,150.57M,,111.75M,111.75M,,,,541.44M,,2004-03,18.70M,,18.70M,22.42M,41.13M,,,,,,8.192M,8.192M,,17.10M,66.42M,113.25M,,113.25M,,,9.442M,122.69M,189.12M,,201.80M,122.36M,30.44M,58.47M,352.33M,,2004-03,,
2003-12,107.46M,9.698M,117.16M,58.16M,,58.16M,19.40M,2.165M,35.30M,56.86M,6.743M,9.172M,,248.10M,,,,,,,,190.23M,-56.06M,134.17M,,112.98M,112.98M,,,,506.48M,,2003-12,14.48M,,14.48M,19.53M,34.01M,,,2.579M,,2.579M,7.784M,7.784M,,6.333M,50.71M,113.25M,,113.25M,,,9.852M,123.10M,173.81M,,186.77M,119.07M,30.44M,57.13M,332.67M,,2003-12,,
2003-09,104.68M,27.10M,131.78M,55.96M,,55.96M,16.01M,2.841M,37.12M,55.97M,6.632M,9.354M,,259.70M,,,,,,,,161.73M,-48.25M,113.48M,,106.87M,106.87M,,,,486.63M,,2003-09,17.41M,,17.41M,20.10M,37.52M,,,,,,6.927M,6.927M,,8.04M,52.48M,113.25M,,113.25M,,,9.667M,122.92M,175.40M,,172.62M,116.49M,11.88M,33.86M,311.24M,,2003-09,,
2003-06,114.49M,6.533M,121.02M,56.69M,,56.69M,13.71M,2.288M,33.39M,49.39M,6.50M,8.301M,,241.90M,0.00,33.13M,19.23M,85.10M,0.001M,12.61M,,150.07M,-45.38M,104.69M,,105.90M,105.90M,,,,459.60M,,2003-06,19.37M,,19.37M,19.14M,38.51M,,,,,,6.355M,6.355M,,5.72M,50.58M,113.25M,,113.25M,,,9.329M,122.58M,173.16M,,160.37M,107.43M,11.42M,29.91M,286.43M,,2003-06,,
2003-03,93.72M,9.586M,103.30M,52.64M,,52.64M,11.64M,2.301M,35.36M,49.30M,5.468M,9.357M,,220.07M,,,,,,,,133.33M,-41.13M,92.20M,,101.78M,101.78M,,,,420.26M,,2003-03,16.03M,,16.03M,16.66M,32.69M,,,,,,5.704M,5.704M,,14.52M,52.91M,113.25M,,113.25M,,,9.431M,122.68M,175.60M,,146.85M,98.72M,11.42M,10.39M,244.67M,,2003-03,,
2002-12,82.47M,4.114M,86.58M,49.24M,,49.24M,10.72M,2.17M,32.53M,45.42M,5.685M,9.844M,,196.78M,,,,,,,,121.75M,-36.69M,85.07M,,99.09M,99.09M,,,,387.14M,,2002-12,12.45M,,12.45M,15.58M,28.04M,,,,,,5.065M,5.065M,,12.66M,45.76M,113.25M,,113.25M,,,9.306M,122.56M,168.32M,,134.60M,97.51M,11.42M,-2.004M,218.82M,,2002-12,,
2002-09,73.57M,15.63M,89.20M,46.70M,,46.70M,8.934M,2.078M,34.07M,45.09M,3.754M,10.22M,,194.95M,,,,,,,,113.71M,-33.63M,80.08M,92.53M,2.695M,95.23M,,,,376.62M,,2002-09,12.02M,,12.02M,15.76M,27.78M,,,,,,1.919M,1.919M,,18.91M,48.61M,118.25M,,118.25M,,,10.78M,129.03M,177.64M,,124.21M,95.74M,9.794M,-11.32M,198.97M,,2002-09,,
2002-06,72.86M,19.98M,92.84M,46.20M,,46.20M,8.13M,2.057M,30.99M,41.17M,4.213M,9.289M,,193.71M,0.00,27.12M,19.19M,49.10M,13.87M,1.082M,,110.36M,-31.08M,79.28M,,95.19M,95.19M,,,,376.19M,,2002-06,11.60M,,11.60M,17.05M,28.66M,,,,,,,,,20.39M,49.05M,123.25M,,123.25M,,,10.96M,134.21M,183.26M,,114.64M,94.15M,7.873M,-8.125M,192.93M,,2002-06,,
2002-03,56.23M,56.82M,113.05M,43.97M,,43.97M,7.329M,0.654M,25.70M,33.68M,15.44M,4.397M,,210.53M,,,,,,,,92.66M,-27.12M,65.54M,54.64M,2.623M,57.26M,,,,341.14M,,2002-03,12.37M,,12.37M,26.50M,38.87M,,,,,,,,,8.825M,47.69M,146.00M,,146.00M,,,5.73M,151.73M,199.42M,,104.83M,61.98M,,-25.22M,141.72M,,2002-03,,
2001-12,64.05M,72.80M,136.85M,36.82M,,36.82M,7.102M,0.441M,25.94M,33.48M,13.42M,5.222M,,225.79M,,,,,,,,84.92M,-24.55M,60.37M,,57.36M,57.36M,,,,351.42M,,2001-12,6.768M,,6.768M,22.70M,29.47M,,,,,,,,,7.965M,37.43M,180.00M,,180.00M,,,5.926M,185.93M,223.36M,,94.45M,60.89M,,-27.40M,128.06M,,2001-12,,
2001-09,60.44M,83.07M,143.51M,33.50M,,33.50M,,,,32.45M,12.45M,4.388M,,226.30M,,,,,,,,76.97M,-22.04M,54.93M,,53.01M,53.01M,,,,341.47M,,2001-09,6.374M,,6.374M,24.14M,30.52M,,,,,,,,,9.115M,39.63M,180.00M,,180.00M,,,5.211M,185.21M,224.84M,,85.68M,57.99M,,-27.17M,116.62M,,2001-09,,
2001-06,40.14M,62.62M,102.75M,32.25M,,32.25M,7.584M,0.098M,22.31M,29.99M,8.736M,4.152M,,177.88M,0.00,5.333M,27.85M,40.62M,1.219M,,,75.02M,-19.93M,55.09M,,49.26M,49.26M,,,,288.09M,,2001-06,7.971M,,7.971M,16.75M,24.72M,,,,,,,,,8.888M,33.61M,150.00M,,150.00M,,,4.114M,154.11M,187.72M,,77.14M,52.68M,,-29.57M,100.37M,,2001-06,,
2001-03,24.57M,,24.57M,33.08M,,33.08M,6.723M,0.984M,20.97M,28.67M,7.205M,,1.778M,95.30M,,,,70.99M,,,,70.99M,-18.03M,52.96M,,50.95M,50.95M,,,,200.96M,,2001-03,9.537M,,9.537M,16.38M,25.92M,40.06M,35.37M,75.43M,,75.43M,,8.371M,8.371M,,109.71M,,,,,,,3.978M,113.69M,,68.79M,47.46M,,-29.11M,87.27M,,2001-03,,
2000-12,16.86M,1.322M,18.18M,,,28.96M,,,,19.79M,,,8.745M,75.68M,,,,,,,,70.36M,-16.42M,53.95M,,6.58M,6.58M,,,,140.24M,,2000-12,8.662M,,8.662M,,8.662M,,,4.50M,,4.50M,,,,19.25M,32.41M,,,,,,,,32.41M,,78.98M,46.03M,,-17.30M,107.84M,,2000-12,,
2000-09,13.62M,3.30M,16.92M,,,26.28M,,,,16.26M,,,7.476M,66.94M,,,,,,,,65.92M,-14.45M,51.47M,,6.317M,6.317M,,,,127.08M,,2000-09,6.356M,,6.356M,,6.356M,,,7.00M,,7.00M,,,,17.44M,30.80M,,,,,,,,30.80M,,72.09M,44.05M,,-19.97M,96.29M,,2000-09,,
2000-06,18.25M,3.713M,21.96M,,,24.69M,,,,15.80M,,,6.719M,69.17M,,,,,,,,50.13M,-13.55M,36.58M,,6.968M,6.968M,,,,115.59M,,2000-06,5.929M,,5.929M,,5.929M,,,,,,,,,15.69M,21.62M,,,,,,,,21.62M,,65.51M,41.50M,,-13.15M,93.97M,,2000-06,,
2000-03,16.36M,7.926M,24.28M,,,23.49M,,,,17.44M,,,6.326M,71.53M,,,,,,,,43.11M,-12.26M,30.85M,,6.919M,6.919M,,,,111.20M,,2000-03,8.199M,,8.199M,,8.199M,,,,,,,,,15.80M,24.00M,,,,,,,,24.00M,,59.32M,39.75M,,-11.98M,87.21M,,2000-03,,
1999-12,11.50M,7.70M,19.20M,,,20.30M,,,,15.90M,,,6.40M,61.80M,,,,,,,,43.00M,-10.90M,32.10M,,7.00M,7.00M,,,,103.80M,,1999-12,6.80M,,6.80M,,6.80M,,,,,,,,,13.40M,20.20M,,,,,,,,20.20M,,53.50M,36.40M,,-6.30M,83.60M,,1999-12,,
1999-09,10.80M,6.70M,17.50M,,,20.10M,,,,14.00M,,,4.60M,56.20M,,,,,,,,39.80M,-9.60M,30.20M,,7.50M,7.50M,,,,96.80M,,1999-09,5.80M,,5.80M,,5.80M,,,,,,,,,14.50M,20.30M,,,,,,,,20.30M,,48.10M,34.30M,,-6.00M,76.50M,,1999-09,,
1999-06,11.10M,5.60M,16.70M,,,17.90M,,,,10.70M,,,5.50M,50.80M,,,,,,,,37.80M,-8.50M,29.30M,,7.30M,7.30M,,,,89.89M,,1999-06,4.80M,,4.80M,,4.80M,,,,,,,,,13.40M,18.20M,,,,,,,0.089M,18.29M,,43.30M,33.70M,,-5.40M,71.60M,,1999-06,,
1999-03,10.80M,,10.80M,,,16.00M,,,,10.00M,,,10.80M,47.60M,,,,,,,,34.70M,-8.10M,26.60M,,6.40M,6.40M,,,,83.00M,,1999-03,5.50M,,5.50M,,5.50M,,,0.10M,,0.10M,,,,12.90M,18.50M,,,,,,,-0.10M,18.40M,,38.60M,,,,64.60M,,1999-03,,
1998-12,13.60M,,13.60M,,,13.70M,,,,10.60M,,,10.00M,47.90M,,,,,,,,27.10M,-7.10M,20.00M,,7.20M,7.20M,,,,75.50M,,1998-12,4.30M,,4.30M,,4.30M,,,0.10M,,0.10M,,,,11.40M,15.80M,,,,,,,,15.80M,,34.30M,,,,59.70M,,1998-12,,
1998-09,16.50M,,16.50M,,,11.30M,,,,9.40M,,,8.30M,45.50M,,,,,,,,20.00M,-6.10M,13.90M,,7.20M,7.20M,,,,67.30M,,1998-09,3.30M,,3.30M,,3.30M,,,0.20M,,0.20M,,,,9.50M,13.00M,,,,,,,,13.00M,,30.40M,,,,54.30M,,1998-09,,
1998-06,15.50M,,15.50M,,,13.20M,,,,7.60M,,,10.30M,46.60M,,,,,,,,16.50M,-5.40M,11.10M,,5.90M,5.90M,,,,64.60M,,1998-06,3.80M,,3.80M,,3.80M,,,0.20M,,0.20M,,,,9.80M,13.80M,,,,,,,,13.80M,,27.20M,,,,50.80M,,1998-06,,
