,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,13.70B,420.70B,434.41B,,,,434.41B,,1.103B,1.103B,76.70B,434.68B,,559.40B,940.72B,,,12.02B,12.02B,12.02B,,,,925.00M,925.00M,925.00M,12.95B,20.02B,20.02B,,,14.39B,161.68B,785.00M,196.10B,872.51B,,,,,,,,,30.74B,67.42B,,AOR,
2020-09,20.66B,411.93B,432.59B,,603.00M,603.00M,433.20B,,1.131B,1.131B,76.04B,448.09B,,546.80B,911.59B,,,12.11B,12.11B,12.11B,529.00M,480.00M,307.00M,97.00M,1.413B,1.413B,13.52B,21.11B,21.11B,,,13.94B,159.35B,673.00M,194.40B,844.70B,,6.00M,30.37B,25.56B,19.72B,,,,30.00B,66.22B,,AOR,
2020-06,21.15B,419.36B,440.51B,,683.00M,683.00M,441.19B,,1.04B,1.04B,75.75B,432.18B,,553.52B,915.39B,,,13.26B,13.26B,13.26B,528.00M,500.00M,307.00M,95.00M,1.43B,1.43B,14.69B,21.06B,21.06B,,,13.94B,158.24B,611.00M,193.23B,848.88B,,6.00M,29.33B,25.51B,19.78B,,,,30.84B,65.90B,,AOR,
2020-03,31.65B,398.76B,430.40B,,,,430.40B,,1.07B,1.07B,75.66B,430.95B,,528.37B,873.71B,,,11.12B,11.12B,11.12B,1.179B,1.153B,316.00M,191.00M,2.839B,2.839B,13.96B,21.10B,21.10B,,,13.95B,155.90B,625.00M,190.95B,812.64B,,6.00M,32.18B,25.51B,19.84B,,,,22.60B,60.45B,,AOR,
2019-12,16.33B,396.84B,413.17B,,,,413.17B,863.00M,1.71B,2.573B,75.66B,431.50B,,529.10B,896.55B,,,11.38B,11.38B,11.38B,,549.00M,313.00M,1.371B,2.233B,2.233B,13.61B,19.62B,19.62B,,,13.89B,253.98B,604.00M,287.50B,832.83B,,6.00M,32.99B,25.53B,19.45B,,,,24.04B,63.12B,,AOR,
2019-09,18.29B,399.47B,417.76B,,,,417.76B,,1.106B,1.106B,73.86B,434.00B,,527.72B,885.63B,,,12.66B,12.66B,12.66B,,578.00M,307.00M,904.00M,1.789B,1.789B,14.45B,20.08B,20.08B,,,13.97B,152.53B,516.00M,186.58B,819.31B,,6.00M,32.27B,25.35B,19.39B,,,,27.56B,65.80B,,AOR,Restated
2019-06,15.42B,389.63B,405.05B,,,,405.05B,,1.227B,1.227B,73.26B,423.67B,,516.85B,873.82B,,,11.48B,11.48B,11.48B,,845.00M,305.00M,1.808B,2.958B,2.958B,14.44B,18.79B,18.79B,,,13.98B,151.43B,493.00M,184.19B,811.67B,,6.00M,31.26B,24.82B,18.42B,,,,23.98B,61.66B,,AOR,Restated
2019-03,14.70B,373.21B,387.91B,,,,387.91B,,1.575B,1.575B,72.86B,406.70B,,499.33B,849.32B,,,10.03B,10.03B,10.03B,,739.00M,17.00M,1.793B,2.549B,2.549B,12.58B,19.53B,19.53B,,,13.97B,151.22B,440.00M,184.72B,793.87B,,6.00M,30.97B,24.78B,17.96B,,,,17.22B,55.01B,,AOR,Restated
2018-12,15.35B,360.34B,375.69B,,,,375.69B,3.013B,2.198B,5.211B,71.85B,392.87B,,482.69B,815.08B,,,7.936B,7.936B,7.936B,,742.00M,0.00,1.709B,2.451B,2.451B,10.39B,18.33B,18.33B,,,13.88B,243.44B,414.00M,275.65B,766.05B,,6.00M,30.47B,24.83B,17.59B,,,,10.91B,48.62B,,AOR,Restated
2018-09,12.47B,346.93B,359.40B,,,,359.40B,,1.962B,1.962B,71.26B,379.92B,,470.08B,822.75B,,,7.014B,7.014B,7.014B,,744.00M,,1.649B,2.393B,2.393B,9.407B,18.35B,18.35B,,,13.83B,149.13B,357.00M,181.31B,775.67B,,6.00M,30.00B,24.81B,17.25B,,,,9.15B,46.72B,,AOR,Restated
