,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,13.86B,13.86B,-376.00M,4.137B,3.761B,87.00M,386.00M,-386.00M,14.00M,3.862B,386.00M,-386.00M,,-386.00M,900.00M,-88.00M,1.022B,,,-203.00M,819.00M,755.49M,,1.286B,,2.067,,,,1.907,2.067,,2.03,,,,1.871,2.03,,396.20M,398.30M,1.10,,AOR,
2020-09,15.42B,15.42B,,3.323B,3.323B,,,,,3.323B,,,992.00M,,1.447B,-50.00M,1.507B,,,-20.00M,1.487B,1.487B,65.00M,1.447B,,3.72,,,,3.72,3.72,,3.70,,,,3.70,3.70,,395.30M,397.10M,1.10,,AOR,
2020-06,12.12B,12.12B,,3.347B,3.347B,,,,,3.347B,,,1.474B,,-2.332B,115.00M,-2.405B,,,-4.00M,-2.409B,-2.409B,54.00M,-2.332B,,-6.12,,,,-6.12,-6.12,,-6.12,,,,-6.12,-6.12,,394.60M,394.60M,1.10,,AOR,
2020-03,13.46B,13.46B,,3.524B,3.524B,,,,,3.524B,,,-2.591B,,-338.00M,-58.00M,-270.00M,,,-1.00M,-271.00M,-271.00M,329.00M,-338.00M,,-0.70,,,,-0.70,-0.70,,-0.70,,,,-0.70,-0.70,,397.00M,397.00M,1.10,,AOR,
2019-12,19.22B,19.22B,,3.828B,3.828B,,,,,3.828B,,,1.045B,,1.344B,221.00M,1.138B,,,-10.00M,1.128B,1.128B,108.00M,1.344B,,2.815,,,,2.815,2.815,,2.794,,,,2.794,2.794,,400.17M,403.53M,1.00,,AOR,
2019-09,15.10B,15.10B,,3.294B,3.294B,,,,,3.294B,,,320.00M,,1.725B,332.00M,1.425B,,,-7.00M,1.418B,1.418B,441.00M,1.725B,,3.47,,,,3.47,3.47,,3.44,,,,3.44,3.44,,404.10M,408.50M,1.00,,AOR,Restated
2019-06,15.39B,15.39B,,3.138B,3.138B,,,,,3.138B,,,643.00M,,876.00M,162.00M,738.00M,,,-30.00M,708.00M,708.00M,-109.00M,876.00M,,1.73,,,,1.73,1.73,,1.71,,,,1.71,1.71,,405.30M,413.90M,1.00,,AOR,Restated
2019-03,15.09B,15.09B,,3.156B,3.156B,,,,,3.156B,,,1.254B,,1.14B,232.00M,937.00M,,,-5.00M,932.00M,932.00M,20.00M,1.14B,,2.25,,,,2.25,2.25,,2.22,,,,2.22,2.22,,409.20M,417.60M,1.00,,AOR,Restated
2018-12,18.43B,18.43B,,3.22B,3.22B,,,,,3.22B,,,-1.087B,,1.053B,218.00M,849.00M,,,-7.00M,842.00M,842.00M,116.00M,1.053B,,2.040,,,,2.040,2.040,,1.999,,,,1.999,1.999,,430.94M,430.94M,0.90,,AOR,Restated
2018-09,16.15B,16.15B,,2.96B,2.96B,,,,,2.96B,,,606.00M,,1.838B,184.00M,1.675B,,,-3.00M,1.672B,1.672B,-3.00M,1.838B,,3.97,,,,3.97,3.97,,3.90,,,,3.90,3.90,,416.20M,424.70M,0.90,,AOR,Restated
