,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.507B,79.00M,79.00M,65.00M,65.00M,-880.00M,,,-327.00M,,,-4.577B,-2.52B,-598.00M,,,,1.454B,-1.425B,-118.00M,-390.00M,,62.00M,-362.00M,-300.00M,,0.00,0.00,-439.00M,-439.00M,33.00M,1.076B,379.00M,,21.30B,-609.00M,116.00M,20.80B,,,1.385B,-1.323B,0.00,,AOR,
2020-06,-2.405B,3.752B,3.752B,54.00M,54.00M,-1.645B,,,111.00M,,,-5.01B,-2.875B,-1.287B,,,,,-7.631B,-89.00M,-7.569B,,-779.00M,-324.00M,-1.103B,,-15.00M,-15.00M,-438.00M,-438.00M,28.00M,-126.00M,-1.672B,,31.80B,-10.53B,28.00M,21.30B,,,13.00M,-792.00M,-15.00M,,AOR,
2020-03,-270.00M,-1.667B,-1.667B,329.00M,329.00M,137.00M,,,-115.00M,,,12.92B,15.84B,14.77B,,,,,-5.79B,-18.00M,-5.78B,,1.533B,630.00M,2.163B,,-485.00M,-485.00M,-448.00M,-448.00M,45.00M,5.025B,6.359B,,16.47B,15.34B,-22.00M,31.80B,,,1.55B,-17.00M,-485.00M,,AOR,
2019-12,1.138B,210.00M,210.00M,108.00M,108.00M,-638.00M,,,-94.00M,,,-944.00M,2.016B,3.985B,,,,-1.755B,-302.00M,-98.00M,-3.912B,,25.00M,-148.00M,-123.00M,,-560.00M,-560.00M,-404.00M,-404.00M,26.00M,-858.00M,-1.992B,,18.43B,-1.919B,-40.00M,16.47B,,,116.00M,-91.00M,-560.00M,,AOR,
2019-09,1.425B,-853.00M,-853.00M,441.00M,441.00M,-725.00M,,,137.00M,,,3.826B,5.922B,7.316B,,,,0.00,-4.173B,-117.00M,-5.079B,,1.07B,-199.00M,871.00M,,-957.00M,-957.00M,-410.00M,-410.00M,32.00M,1.069B,597.00M,,15.57B,2.834B,29.00M,18.43B,,,1.484B,-414.00M,-957.00M,,AOR,Restated
2019-06,738.00M,336.00M,336.00M,-109.00M,-109.00M,-1.169B,,,-534.00M,,,1.532B,4.165B,5.239B,,,,,-2.526B,-125.00M,-2.738B,,-535.00M,81.00M,-454.00M,,-499.00M,-499.00M,-407.00M,-407.00M,39.00M,-493.00M,-1.805B,,14.84B,696.00M,29.00M,15.57B,,,334.00M,-869.00M,-499.00M,,AOR,Restated
2019-03,937.00M,766.00M,766.00M,20.00M,20.00M,-1.055B,,,152.00M,,,-1.258B,1.072B,3.085B,,,,,-4.031B,-97.00M,-5.299B,,1.337B,85.00M,1.422B,,-484.00M,-484.00M,-420.00M,-420.00M,36.00M,924.00M,1.566B,,15.50B,-648.00M,-2.00M,14.84B,,,2.03B,-693.00M,-484.00M,,AOR,Restated
2018-12,849.00M,-716.00M,-716.00M,116.00M,116.00M,-329.00M,,,176.00M,,,3.854B,10.75B,11.40B,,,,,-8.716B,98.00M,-8.687B,,39.00M,10.00M,49.00M,,-388.00M,-388.00M,-374.00M,-374.00M,25.00M,613.00M,-28.00M,,12.60B,2.681B,210.00M,15.50B,,,144.00M,-105.00M,-388.00M,,AOR,Restated
2018-09,1.675B,-151.00M,-151.00M,-3.00M,-3.00M,-594.00M,,,-31.00M,,,-1.934B,1.636B,3.593B,,,,,-5.633B,-152.00M,-6.452B,,739.00M,292.00M,1.031B,,-373.00M,-373.00M,-378.00M,-378.00M,33.00M,103.00M,400.00M,,15.06B,-2.459B,3.00M,12.60B,,,1.596B,-857.00M,-373.00M,,AOR,Restated
2018-06,200.00M,-685.00M,-685.00M,70.00M,70.00M,-305.00M,,,-517.00M,,,886.00M,4.20B,4.374B,,,,,-3.418B,-94.00M,-4.216B,,-706.00M,-13.00M,-719.00M,,-376.00M,-376.00M,-381.00M,-381.00M,29.00M,64.00M,-480.00M,,15.76B,-322.00M,-375.00M,15.06B,,,123.00M,-829.00M,-376.00M,,AOR,Restated
