,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,496.76M,505.12M,86.62M,418.50M,,,17.56M,5.25M,31.57M,,,,144.74M,273.76M,,,5.25M,,209.64M,93.09M,161.45M,,2.759M,161.45M,158.30M,369.36M,92.48M,273.76M,0.34,0.0,,0.3333,0.34,0.3325,0.0,,0.3262,0.3325,468.62M,503.31M,0.0088
2000-09,402.15M,402.15M,65.62M,336.54M,,,17.05M,0.035M,24.25M,,,-0.035M,132.84M,203.69M,,,0.035M,,188.94M,72.47M,116.48M,,2.755M,116.48M,116.46M,295.75M,92.06M,203.69M,0.245,0.0,,0.245,0.245,0.2375,0.0,,0.2375,0.2375,467.44M,467.44M,0.0088
2000-06,322.73M,322.73M,58.84M,263.89M,,,16.03M,0.763M,20.67M,,,,124.65M,139.24M,,,0.763M,,124.42M,46.90M,77.52M,,2.86M,77.52M,77.04M,229.83M,90.59M,139.24M,0.16,0.0,,0.159,0.16,0.1575,0.0,,0.1565,0.1575,464.90M,476.71M,0.0075
2000-03,259.90M,259.90M,60.85M,199.05M,,,16.29M,0.017M,18.42M,,,,118.84M,80.21M,,,0.017M,,65.66M,24.17M,41.49M,,2.654M,41.49M,41.48M,164.35M,84.14M,80.21M,0.0825,0.0,,0.0825,0.0825,0.0825,0.0,,0.0825,0.0825,471.31M,473.12M,0.015
1999-12,269.20M,269.20M,260.72M,8.483M,,,7.957M,-1.457M,12.37M,,,,-18.90M,27.39M,,,-1.457M,,10.11M,-20.38M,30.49M,,,30.49M,31.37M,-11.84M,-39.23M,27.39M,0.1,0.0,,0.1018,0.1,0.0975,0.0,,0.0993,0.0975,474.76M,480.62M,0.0075
1999-09,226.80M,226.80M,42.90M,183.90M,,,24.90M,554.50M,14.20M,,,,237.20M,-53.30M,,,554.50M,,484.30M,-28.60M,512.90M,,,512.90M,180.20M,144.80M,198.10M,-53.30M,0.9375,0.0,,0.3294,0.9375,0.9275,0.0,,0.3259,0.9275,547.09M,552.99M,0.0075
1999-06,187.20M,187.20M,44.00M,143.20M,,,26.40M,31.40M,12.40M,,,,127.60M,15.60M,,,31.40M,,32.20M,11.60M,20.60M,,,20.60M,0.5118M,104.40M,88.80M,15.60M,0.0325,0.0,,0.0008,0.0325,0.0325,0.0,,0.0008,0.0325,633.85M,633.85M,0.0075
1999-03,158.95M,158.95M,49.20M,109.75M,,,23.60M,26.90M,13.70M,,,,119.30M,-9.546M,,,26.90M,,3.10M,-2.00M,5.10M,,,5.10M,-11.04M,72.45M,82.00M,-9.546M,0.0075,0.0,,-0.0162,0.0075,0.0075,0.0,,-0.0162,0.0075,680.00M,680.00M,0.0075
1998-12,233.85M,233.85M,60.82M,173.03M,,,53.49M,-2.20M,10.28M,,,,149.47M,23.56M,,,-2.20M,,5.982M,-3.989M,9.971M,,,9.971M,11.29M,109.27M,85.71M,23.56M,0.015,0.0,,0.0171,0.015,0.015,0.0,,0.0171,0.015,616.03M,625.17M,0.0075
1998-09,191.30M,191.30M,58.20M,133.10M,,,15.80M,-1.60M,13.80M,,,,114.00M,19.10M,,,-1.60M,,3.90M,-2.00M,5.90M,,,5.90M,6.86M,103.50M,84.40M,19.10M,0.01,0.0,,0.0116,0.01,0.01,0.0,,0.0116,0.01,590.00M,590.00M,0.0075
1998-06,183.30M,183.30M,49.00M,134.30M,,,15.20M,-0.10M,13.30M,,,,101.60M,32.70M,,,-0.10M,,22.20M,8.90M,13.30M,,,13.30M,13.36M,116.40M,83.70M,32.70M,0.0225,0.0,,0.0226,0.0225,0.0225,0.0,,0.0226,0.0225,591.11M,591.11M,0.0075
