,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-12,1.480B,1.480B,1.672B,-191.91M,292.48M,74.00M,366.48M,-24.15M,89.30M,41.37M,-41.37M,,-320.85M,128.94M,41.37M,-41.37M,52.00M,-41.37M,139.57M,85.90M,53.67M,,,53.67M,69.37M,724.73M,543.79M,180.94M,0.105,,,0.1362,0.105,0.105,,,0.1358,0.105,502.69M,509.34M,0.0775
2010-09,1.582B,1.582B,352.66M,1.229B,231.76M,81.31M,313.07M,-347.14M,74.24M,32.89M,-32.89M,,888.20M,341.21M,32.89M,-32.89M,-347.14M,-32.89M,-38.81M,32.09M,-70.91M,,,-70.91M,154.73M,494.96M,500.89M,-5.923M,-0.14,0.0,,0.3095,-0.14,-0.14,0.0,,0.3095,-0.14,502.03M,502.03M,0.0775
2010-06,1.358B,1.358B,337.75M,1.020B,191.21M,64.74M,255.95M,-80.91M,78.06M,29.90M,-29.90M,,799.36M,220.86M,29.90M,-29.90M,-80.91M,-29.90M,110.06M,50.19M,59.87M,,,59.87M,112.46M,605.30M,465.34M,139.96M,0.12,0.0,,0.2248,0.12,0.12,0.0,,0.2233,0.12,501.65M,509.01M,0.0775
2010-03,1.371B,1.371B,344.64M,1.026B,168.76M,60.42M,229.19M,-66.91M,75.46M,25.43M,-25.43M,,736.56M,289.50M,25.43M,-25.43M,-66.91M,-25.43M,197.16M,79.14M,118.02M,,,118.02M,158.16M,654.49M,431.91M,222.58M,0.235,0.0,,0.3152,0.235,0.23,0.0,,0.3091,0.23,500.74M,507.74M,0.0725
2009-12,1.761B,1.761B,299.91M,1.461B,159.56M,68.79M,228.35M,-124.48M,55.65M,27.31M,-27.31M,,682.93M,778.02M,27.31M,-27.31M,-124.48M,-27.31M,626.24M,225.81M,400.43M,,,400.43M,480.02M,1.052B,398.94M,653.54M,0.805,0.0,,0.9642,0.805,0.795,0.0,,0.9519,0.795,500.09M,507.34M,0.0725
2009-09,1.007B,1.007B,274.40M,732.45M,131.82M,62.78M,194.59M,-69.74M,47.82M,30.41M,-30.41M,,627.74M,104.71M,30.41M,-30.41M,-69.74M,-30.41M,4.557M,0.361M,4.196M,,,4.196M,68.41M,420.29M,385.33M,34.96M,0.01,0.0,,0.1387,0.01,0.01,0.0,,0.1372,0.01,499.07M,504.84M,0.0725
2009-06,861.04M,861.04M,282.08M,578.96M,74.05M,58.76M,132.81M,-45.81M,23.49M,24.81M,-24.81M,,531.89M,47.06M,24.81M,-24.81M,-45.81M,-24.81M,-23.56M,-6.85M,-16.71M,,,-16.71M,15.78M,376.85M,375.59M,1.255M,-0.035,0.0,,0.0304,-0.035,-0.035,0.0,,0.0304,-0.035,496.41M,496.41M,0.0725
2009-03,1.158B,1.158B,284.70M,873.51M,31.95M,57.95M,89.90M,-63.73M,47.40M,18.38M,-18.38M,,526.63M,346.88M,18.38M,-18.38M,-63.73M,-18.38M,264.78M,106.06M,158.71M,,,158.71M,196.95M,672.48M,389.33M,283.15M,0.32,0.0,,0.3971,0.32,0.315,0.0,,0.3914,0.315,495.98M,500.41M,0.0675
2008-12,1.634B,1.634B,323.54M,1.310B,12.43M,58.25M,70.68M,-77.01M,40.93M,18.34M,-18.34M,,479.74M,830.45M,18.34M,-18.34M,-77.01M,-18.34M,735.09M,273.62M,461.47M,,0.00,461.47M,509.82M,1.122B,368.14M,753.44M,0.93,0.0,,1.028,0.93,0.92,0.0,,1.0170000000000001,0.92,495.24M,499.75M,0.0675
2008-09,3.264B,3.264B,280.27M,2.984B,44.38M,70.89M,115.27M,-18.28M,97.77M,12.10M,-12.10M,,559.29M,2.424B,12.10M,-12.10M,-18.28M,-12.10M,2.394B,837.67M,1.556B,,,1.556B,1.568B,2.752B,346.25M,2.406B,3.15,0.0,,3.174,3.15,3.1,0.0,,3.1239999999999997,3.1,494.31M,501.86M,0.06
