,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2011-06,295.57M,71.74M,-158.34M,-345.37M,,602.94M,174.84M,358.65M,26.00M,0.00,1.707M,-51.44M,-59.33M,38.32M,,,69.86M,-2.596M,1.112B,-1.775B,-260.11M,-2.035B,,867.84M,-1.167B,,,,0.059M,-1.755M,-1.696M,,,,-42.56M,7.256M,1.991M,-35.01M,1.668B,-90.59M,-0.26M,1.577B,0.059M,,,-1.755M,,
2011-03,133.97M,-71.74M,66.75M,42.89M,,568.23M,31.29M,89.33M,27.43M,0.00,10.73M,-113.86M,-67.73M,245.24M,,,-10.04M,53.62M,957.49M,-1.688B,260.11M,-1.428B,,-0.206M,-1.428B,,,,1.388B,-14.98M,1.373B,,,,-39.00M,17.36M,-1.779M,1.350B,788.85M,879.55M,-0.12M,1.668B,1.388B,,,-14.98M,,
2010-12,53.67M,-151.10M,50.94M,-170.44M,,543.79M,23.18M,239.78M,25.68M,,294.95M,-214.31M,-37.61M,114.28M,,,-237.26M,-387.74M,622.88M,-1.617B,-126.37M,-1.744B,,676.27M,-1.278B,1.487B,-33.70M,1.454B,0.00,-0.997M,-0.997M,,,,-38.96M,10.03M,-1.945M,1.422B,27.83M,767.04M,-6.016M,788.85M,0.00,1.454B,0.00,-0.997M,,
2010-09,-70.91M,-64.81M,-61.00M,-136.75M,,500.89M,28.57M,352.91M,36.75M,,-76.89M,-85.54M,-66.82M,238.45M,,,63.73M,149.82M,784.39M,-1.560B,84.43M,-1.476B,,80.80M,-1.395B,0.00,33.70M,33.70M,0.00,-2.991M,-2.991M,,,,-39.10M,3.504M,-5.406M,-10.29M,650.11M,-620.69M,-1.59M,27.83M,0.00,33.70M,0.00,-2.991M,,
2010-06,59.87M,-8.308M,-59.98M,-10.14M,,465.34M,-12.20M,80.36M,22.46M,,-130.32M,56.50M,-14.05M,105.02M,,,58.21M,205.68M,681.05M,-1.279B,38.17M,-1.241B,-74.32M,124.43M,-1.191B,954.40M,,954.40M,0.00,-1.96M,-1.96M,,,,-38.89M,15.75M,-1.184M,928.11M,230.08M,418.38M,1.648M,650.11M,0.00,991.40M,-37.00M,-1.96M,,
2010-03,118.02M,0.676M,15.16M,38.91M,,431.91M,36.70M,69.60M,22.49M,,1.552M,-95.77M,-53.31M,143.84M,,,-93.64M,-98.88M,620.29M,-1.125B,3.766M,-1.121B,74.32M,7.107M,-1.040B,,,,0.00,-5.347M,-5.347M,,,,-36.29M,5.277M,0.27M,-36.09M,685.75M,-455.48M,-0.187M,230.08M,0.00,,,-5.347M,,
2009-12,400.43M,-534.93M,-1.013B,-258.66M,,398.94M,134.60M,123.91M,20.65M,-42.08M,-134.11M,-166.92M,-26.55M,282.96M,,,95.60M,185.09M,828.76M,-994.51M,209.48M,-785.03M,,21.84M,-763.19M,-8.895M,,-8.895M,,-1.098M,-1.098M,,,,-36.27M,6.774M,50.99M,11.50M,608.51M,77.07M,0.17M,685.75M,,0.00,-8.895M,-1.098M,,
2009-09,4.196M,-0.51M,310.36M,312.87M,,385.33M,-22.37M,69.40M,26.05M,-12.18M,-18.01M,-29.92M,-1.441M,65.09M,7.487M,24.84M,5.102M,71.16M,816.46M,-923.06M,1.687M,-921.38M,169.10M,-146.76M,-899.04M,8.741M,0.00,8.741M,,-3.763M,-3.763M,,,,-36.47M,5.665M,3.059M,-22.77M,706.96M,-105.35M,6.896M,608.51M,,0.00,8.741M,-3.763M,,
2009-06,-16.71M,,311.21M,344.85M,,375.59M,-21.05M,47.05M,22.07M,-17.19M,36.85M,-7.905M,0.745M,-77.24M,-7.487M,-24.84M,16.64M,-100.08M,671.38M,-697.84M,0.381M,-697.46M,-169.10M,139.36M,-727.20M,683.16M,,683.16M,,-1.221M,-1.221M,,,,-36.02M,6.874M,17.17M,669.96M,85.21M,614.14M,7.612M,706.96M,,691.90M,-8.741M,-1.221M,,
2009-03,158.71M,,-40.42M,-37.42M,,389.33M,83.22M,65.47M,26.41M,-4.688M,140.89M,156.93M,-22.90M,-333.46M,,,-16.64M,-216.07M,605.84M,-887.60M,0.447M,-887.15M,,-137.98M,-1.025B,208.10M,,208.10M,,-4.904M,-4.904M,,,,-33.49M,1.152M,4.622M,175.48M,331.31M,-243.81M,-2.288M,85.21M,,208.10M,,-4.904M,,
2008-12,461.47M,,-428.14M,-524.51M,,368.14M,342.93M,79.27M,21.15M,,271.51M,315.11M,-46.70M,-254.48M,,,6.11M,20.05M,1.034B,-1.342B,13.89M,-1.329B,,13.58M,-1.467B,0.00,,0.00,,-6.568M,-6.568M,0.00,0.00,,-33.75M,5.158M,-64.27M,-99.43M,885.98M,-533.19M,-21.47M,331.31M,,0.00,0.00,-6.568M,,
2008-09,1.556B,,-1.504B,-1.491B,,346.25M,667.37M,32.14M,31.78M,,-1.544M,175.58M,-36.18M,194.44M,,,62.30M,396.14M,1.537B,-1.512B,15.26M,-1.497B,,3.964M,-1.493B,750.00M,,750.00M,,-4.401M,-4.401M,0.00,0.00,,-29.81M,18.90M,7.553M,742.25M,108.10M,786.62M,-8.74M,885.98M,,750.00M,0.00,-4.401M,,
2008-06,178.21M,,704.75M,711.54M,,315.29M,39.94M,48.88M,24.78M,,-0.022M,-217.84M,-12.46M,98.57M,,,-51.34M,-183.08M,1.136B,-1.193B,7.522M,-1.186B,,-13.80M,-1.200B,-38.00M,,-38.00M,,-1.357M,-1.357M,0.00,0.00,,-29.56M,18.97M,20.62M,-29.32M,204.94M,-93.55M,-3.283M,108.10M,,0.00,-38.00M,-1.357M,,
2008-03,240.96M,,493.05M,501.48M,,297.20M,83.39M,32.57M,19.78M,,-119.37M,-177.68M,3.285M,64.19M,,,-18.72M,-128.93M,927.08M,-1.148B,346.89M,-800.73M,,-5.985M,-806.72M,0.00,,0.00,,-5.508M,-5.508M,-5.395M,-5.395M,,-22.09M,29.54M,35.05M,31.60M,54.23M,151.97M,-1.259M,204.94M,,0.00,,-10.90M,,
2007-12,361.20M,,,4.708M,282.23M,282.23M,98.82M,,,,-62.42M,-163.31M,5.406M,185.52M,,-17.17M,52.42M,62.87M,747.42M,-1.037B,39.32M,-997.87M,,134.66M,-863.20M,,,-98.44M,22.57M,-40.56M,-17.98M,,,,-22.77M,,9.403M,-129.79M,301.94M,-245.58M,-2.138M,54.23M,22.57M,,,-40.56M,,
2007-09,204.00M,,,39.41M,279.19M,279.19M,104.41M,,,,64.12M,57.55M,6.708M,28.18M,,-49.02M,-10.28M,33.13M,724.26M,-893.39M,5.984M,-887.40M,,17.03M,-870.37M,,,399.60M,18.66M,-10.64M,8.017M,,,,-22.88M,,1.731M,386.46M,58.53M,240.35M,3.059M,301.94M,18.66M,,,-10.64M,,
2007-06,307.05M,,,-26.15M,259.78M,259.78M,126.59M,,,,31.22M,-2.201M,6.368M,-8.78M,,24.22M,5.099M,24.71M,723.21M,-880.55M,35.05M,-845.50M,,-18.49M,-863.99M,,,63.80M,8.813M,,8.813M,,,,-22.85M,,3.784M,53.55M,141.70M,-87.23M,4.063M,58.53M,8.813M,,,,,
2007-03,217.67M,,,112.40M,244.34M,244.34M,97.00M,,,,38.25M,22.94M,-8.844M,23.43M,,1.967M,-50.67M,-11.18M,698.48M,-867.94M,2.939M,-865.00M,,6.786M,-858.21M,,,86.60M,5.276M,,5.276M,,,,-15.52M,,7.144M,83.50M,218.26M,-76.23M,-0.322M,141.70M,5.276M,,,,,
2006-12,242.62M,,,68.18M,230.44M,230.44M,127.38M,,,,42.14M,-100.61M,3.651M,117.42M,,-57.24M,-74.98M,-111.76M,599.00M,-866.02M,4.386M,-861.64M,,43.24M,-818.40M,,,-96.08M,6.749M,,-43.45M,,,,-16.43M,,0.661M,-155.29M,595.93M,-374.69M,-2.99M,218.26M,6.749M,,,,,
2006-09,299.14M,,,-21.49M,216.07M,216.07M,104.91M,,,,48.38M,-58.83M,-18.96M,109.82M,,-37.61M,-38.31M,-43.89M,603.12M,-763.28M,1.102M,-762.18M,,50.09M,-712.09M,,,-63.00M,18.14M,,18.14M,,,,-16.30M,,6.064M,-55.10M,759.11M,-164.07M,0.891M,595.93M,18.14M,,,,,
2006-06,331.42M,,,-39.42M,192.93M,192.93M,47.23M,,,,90.77M,34.20M,-21.70M,4.31M,,-40.77M,-9.309M,-33.26M,589.66M,-600.88M,11.81M,-589.07M,,-32.55M,-621.62M,,,-40.22M,5.014M,,5.014M,,,,-16.28M,,13.55M,-37.94M,821.33M,-69.89M,7.672M,759.11M,5.014M,,,,,
2006-03,426.71M,,,-34.61M,177.65M,177.65M,106.33M,,,,-33.19M,135.15M,-13.37M,-9.535M,,29.30M,2.339M,143.88M,786.77M,-589.05M,2.741M,-586.31M,,28.04M,-558.27M,,,-52.32M,6.129M,,6.129M,,,,-11.43M,,7.076M,-50.55M,643.81M,177.94M,-0.427M,821.33M,6.129M,,,,,
2005-12,463.66M,,,37.31M,176.97M,176.97M,98.28M,,,,3.371M,-144.13M,-8.349M,169.17M,,80.08M,-11.15M,85.63M,865.21M,-501.05M,14.00M,-487.05M,,-12.92M,-499.97M,,,-57.70M,8.231M,,8.231M,,,,-11.41M,,0.025M,-60.86M,341.06M,304.38M,-1.635M,643.81M,8.231M,,,,,
2005-09,343.76M,,,57.62M,164.37M,164.37M,62.74M,,,,-21.78M,-166.35M,-2.551M,62.30M,,6.978M,11.72M,-87.89M,518.81M,-461.37M,25.41M,-435.96M,,24.65M,-411.31M,,,-74.32M,32.06M,,32.06M,,,,-11.36M,,-1.57M,-55.18M,282.70M,52.31M,6.047M,341.06M,32.06M,,,,,
2005-06,249.46M,,,56.59M,159.90M,159.90M,64.35M,,,,26.30M,-10.60M,-3.484M,43.29M,,-45.60M,-36.64M,-53.03M,503.57M,-398.59M,11.83M,-386.76M,,-2.996M,-389.76M,,,-2.70M,10.11M,,10.11M,,,,-11.34M,,0.157M,-3.775M,173.38M,110.03M,-0.718M,282.70M,10.11M,,,,,
2005-03,202.70M,,,45.99M,153.02M,153.02M,44.93M,,,,-6.459M,5.518M,-8.701M,-26.35M,,45.47M,25.72M,41.66M,481.84M,-363.76M,19.75M,-344.01M,,-33.06M,-377.07M,,,42.18M,14.26M,,14.26M,,,,-8.88M,,-0.049M,47.51M,20.98M,152.28M,0.129M,173.38M,14.26M,,,,,
2004-12,206.76M,,,59.12M,144.12M,144.12M,46.02M,,,,14.91M,-97.63M,-9.187M,80.16M,,5.385M,-23.18M,-44.45M,426.47M,-475.01M,0.688M,-474.33M,,5.51M,-468.82M,,,14.65M,15.93M,,-34.07M,,,,-9.754M,,1.055M,-28.12M,81.91M,-70.46M,9.536M,20.98M,15.93M,,,,,
2004-09,172.31M,,,-7.698M,130.26M,130.26M,74.00M,,,,-32.00M,7.91M,-0.343M,15.04M,,8.798M,5.138M,36.54M,373.42M,-378.04M,3.009M,-375.03M,,28.88M,-346.15M,,,-22.85M,17.29M,,17.29M,,,,-8.884M,,-0.174M,-14.62M,67.84M,12.64M,1.426M,81.91M,17.29M,,,,,
2004-06,144.94M,,,28.24M,116.22M,116.22M,52.20M,,,,8.305M,-52.92M,-6.519M,27.94M,,-19.47M,-19.92M,-70.89M,279.01M,-323.09M,3.808M,-319.28M,,-9.262M,-328.54M,,,0.00,33.52M,,33.52M,,,,-10.50M,,-1.048M,21.98M,95.72M,-27.56M,-0.323M,67.84M,33.52M,,,,,
2004-03,100.85M,,,78.81M,113.80M,113.80M,32.02M,,,,6.097M,-9.16M,-1.849M,13.58M,,21.72M,9.576M,33.87M,365.45M,-240.54M,5.954M,-234.59M,,-18.81M,-253.40M,,,-23.05M,8.775M,,8.775M,,,,-8.461M,,0.264M,-22.47M,4.443M,89.58M,1.697M,95.72M,8.775M,,,,,
2003-12,74.51M,,,33.08M,121.26M,121.26M,68.30M,,,,6.75M,-12.04M,-0.98M,24.62M,,-39.84M,-40.93M,-69.17M,234.72M,-680.71M,1.192M,-679.52M,,149.03M,-530.49M,,,98.05M,17.42M,0.00,17.42M,,,,-8.416M,,-1.388M,105.67M,184.49M,-190.10M,,4.443M,17.42M,,,0.00,,
2003-09,117.42M,,,23.62M,110.44M,110.44M,43.46M,,,,-22.06M,28.52M,-1.816M,25.68M,,25.08M,10.92M,88.37M,361.24M,-239.78M,2.611M,-237.17M,,-82.99M,-320.16M,,,0.00,2.987M,0.00,2.987M,,,,-8.398M,,-2.15M,-7.561M,150.97M,33.52M,,184.49M,2.987M,,,0.00,,
2003-06,108.79M,,,62.27M,106.59M,106.59M,29.53M,,,,3.969M,66.61M,-0.69M,3.683M,,1.655M,-15.76M,55.50M,366.65M,-184.83M,2.43M,-182.40M,,-6.787M,-189.19M,,,-33.39M,7.274M,0.00,7.274M,,,,-7.239M,,0.025M,-33.33M,6.833M,144.13M,,150.97M,7.274M,,,0.00,,
2003-03,129.42M,,,66.10M,103.55M,103.55M,50.44M,,,,-3.969M,-111.03M,0.646M,20.67M,,21.90M,8.832M,-58.98M,286.56M,-140.21M,7.32M,-132.89M,,-34.71M,-167.60M,,,-100.92M,7.456M,-21.30M,-13.84M,,,,-7.241M,,0.028M,-121.98M,9.848M,-3.015M,,6.833M,7.456M,,,-21.30M,,
2002-12,44.42M,,,4.361M,105.41M,105.41M,43.95M,,,,-36.24M,-60.86M,-0.825M,23.82M,,-38.17M,62.76M,-13.28M,148.63M,-219.84M,7.514M,-212.33M,,54.35M,-157.98M,,,54.26M,3.508M,-38.75M,-35.24M,,,,-7.274M,,-0.84M,10.91M,7.782M,1.559M,,9.848M,3.508M,,,-38.75M,,
2002-09,28.89M,,,47.63M,100.21M,100.21M,34.50M,,,,-9.451M,10.62M,-1.045M,5.494M,,-34.18M,6.265M,-12.84M,188.94M,-189.27M,-4.62M,-193.89M,,-20.35M,-214.25M,,,55.02M,0.758M,-24.29M,-23.53M,,,,-7.301M,,-0.312M,23.88M,9.206M,-1.424M,,7.782M,0.758M,,,-24.29M,,
2002-06,38.11M,,,22.76M,97.96M,97.96M,13.57M,,,,58.41M,-18.83M,1.244M,2.032M,,5.656M,-68.26M,-78.16M,152.65M,-179.32M,2.848M,-176.47M,,-26.54M,-203.00M,,,60.18M,3.113M,,3.113M,,,,-7.295M,,-1.839M,54.16M,5.403M,3.803M,,9.206M,3.113M,,,,,
2002-03,-24.24M,,,86.49M,94.46M,94.46M,-9.844M,,,,-13.92M,9.105M,0.569M,-52.82M,,-10.70M,42.34M,-11.51M,121.44M,-172.44M,1.772M,-170.67M,,-70.24M,-240.91M,,,119.69M,9.96M,,9.96M,,,,-7.282M,,-0.017M,122.35M,2.512M,2.891M,,5.403M,9.96M,,,,,
