,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.066B,,3.066B,1.134B,,1.138B,668.54M,,205.02M,5.095B,,4.402B,68.42B,-39.79B,28.63B,1.916M,1.344B,29.98B,35.07B,1.245B,217.33M,267.24M,1.730B,,1.730B,770.83M,770.83M,255.36M,1.026B,,,264.25M,3.020B,4.950B,4.950B,4.805B,4.805B,,2.151B,11.91B,14.93B,205.84M,14.05B,5.916B,16.99M,,,,-7.93M,20.15B
2020-06,2.417B,,2.417B,943.35M,,1.140B,676.58M,,156.98M,4.597B,,4.666B,69.07B,-39.84B,29.23B,1.846M,1.389B,30.62B,35.22B,1.281B,217.00M,193.76M,1.692B,,1.692B,21.12M,21.12M,252.64M,273.76M,,,188.68M,2.154B,5.703B,5.703B,4.838B,4.838B,,2.139B,12.68B,14.83B,205.82M,14.31B,5.886B,10.93M,,,,-6.13M,20.39B
2020-03,2.907B,,2.907B,1.450B,,1.759B,662.40M,,229.91M,6.491B,,4.649B,68.70B,-39.00B,29.69B,2.558M,1.446B,31.14B,37.63B,2.892B,216.93M,200.24M,3.309B,,3.309B,519.02M,519.02M,322.37M,841.38M,,,154.13M,4.305B,4.703B,4.703B,5.091B,5.091B,,2.064B,11.86B,16.16B,205.82M,15.44B,5.853B,24.81M,,,,-3.305M,21.47B
2019-12,2.028B,,2.028B,2.002B,,2.153B,767.30M,,323.45M,5.273B,,4.472B,67.30B,-36.94B,30.36B,2.363M,1.484B,31.85B,37.12B,2.429B,166.27M,254.85M,2.850B,,2.850B,1.015B,1.015B,369.36M,1.384B,,,252.85M,4.487B,4.161B,4.161B,5.046B,5.046B,,1.790B,11.00B,15.48B,205.82M,15.65B,5.817B,26.53M,,,,-4.652M,21.64B
2019-09,1.583B,,1.583B,1.928B,,2.064B,778.12M,,272.20M,4.820B,,4.394B,66.01B,-35.81B,30.20B,1.998M,1.516B,31.72B,36.54B,2.395B,166.22M,302.77M,2.864B,,2.864B,1.014B,1.014B,384.35M,1.399B,,,211.10M,4.474B,4.163B,4.163B,4.923B,4.923B,,1.858B,10.94B,15.42B,205.82M,15.18B,5.769B,26.31M,,,,-3.689M,21.12B
2019-06,1.160B,,1.160B,2.002B,,2.123B,853.13M,,223.64M,4.496B,,4.329B,64.54B,-34.82B,29.72B,1.489M,1.530B,31.26B,35.75B,2.387B,166.00M,268.84M,2.822B,,2.822B,1.014B,1.014B,396.55M,1.410B,,,181.40M,4.414B,4.165B,4.165B,4.738B,4.738B,,1.803B,10.71B,15.12B,205.81M,14.73B,5.729B,31.93M,,,,-4.528M,20.63B
2019-03,1.136B,,1.136B,2.203B,,2.644B,860.76M,,263.75M,4.908B,,4.278B,62.97B,-33.84B,29.13B,1.224M,1.625B,30.76B,35.66B,2.452B,126.98M,239.52M,2.819B,,2.819B,914.86M,914.86M,396.29M,1.311B,,,171.27M,4.301B,5.166B,5.166B,4.520B,4.520B,,1.772B,11.46B,15.76B,205.81M,14.05B,5.695B,45.01M,,,,-2.869M,19.90B
2018-12,1.556B,,1.556B,1.915B,,2.343B,859.36M,,275.47M,5.057B,,4.221B,61.55B,-33.48B,28.08B,0.777M,800.79M,28.88B,33.93B,2.240B,126.97M,214.73M,2.582B,,2.582B,913.09M,913.09M,0.00,913.09M,,,233.72M,3.728B,5.170B,5.170B,4.413B,4.413B,,1.258B,10.84B,14.57B,205.80M,13.54B,5.659B,42.18M,,,,-1.358M,19.36B
2018-09,1.274B,,1.274B,2.151B,,2.472B,766.96M,,302.24M,4.817B,,4.192B,60.99B,-33.04B,27.95B,16.88M,856.02M,28.82B,33.64B,2.436B,126.83M,249.23M,2.812B,,2.812B,1.263B,1.263B,,1.263B,,,350.44M,4.425B,5.172B,5.172B,4.200B,4.200B,,1.302B,10.67B,15.10B,205.80M,12.78B,5.626B,52.24M,,,,-19.46M,18.54B
2018-06,1.008B,,1.008B,1.908B,,2.272B,670.99M,,278.69M,4.232B,,4.141B,59.46B,-32.31B,27.15B,17.07M,689.67M,27.86B,32.09B,2.337B,106.57M,213.46M,2.657B,,2.657B,1.263B,1.263B,,1.263B,,,377.78M,4.297B,5.172B,5.172B,3.866B,3.866B,,1.305B,10.34B,14.64B,205.80M,11.71B,5.592B,42.19M,,,,-17.51M,17.45B
2018-03,816.09M,,816.09M,1.702B,,1.965B,584.73M,,218.62M,3.585B,,4.083B,57.94B,-31.56B,26.38B,18.18M,761.59M,27.16B,30.74B,1.916B,106.52M,179.65M,2.202B,,2.202B,363.16M,363.16M,,363.16M,,,271.78M,2.837B,6.072B,6.072B,3.690B,3.690B,,1.302B,11.06B,13.90B,205.79M,11.13B,5.569B,45.11M,,,,-14.29M,16.84B
2017-12,834.23M,,834.23M,1.597B,,1.711B,483.86M,,242.46M,3.279B,,3.961B,56.52B,-30.85B,25.67B,17.51M,871.43M,26.55B,29.83B,1.847B,96.41M,148.87M,2.092B,,2.092B,356.24M,356.24M,,356.24M,,,276.89M,2.726B,6.031B,6.031B,3.518B,3.518B,,1.275B,10.82B,13.55B,205.79M,10.59B,5.537B,33.30M,,,,-19.30M,16.28B
2017-09,846.14M,,846.14M,1.244B,,1.370B,344.02M,,200.10M,2.764B,,3.934B,55.65B,-29.93B,25.72B,17.41M,299.35M,26.04B,28.81B,1.636B,96.35M,180.28M,1.912B,,1.912B,6.579M,6.579M,,6.579M,,,261.11M,2.180B,6.380B,6.380B,5.107B,5.107B,,1.215B,12.70B,14.88B,205.79M,8.260B,5.514B,39.96M,,,,-17.16M,13.92B
2017-06,1.649B,,1.649B,1.114B,,1.206B,336.20M,,187.28M,3.383B,,3.884B,54.86B,-29.28B,25.58B,16.89M,283.20M,25.88B,29.26B,1.615B,96.14M,155.46M,1.867B,,1.867B,606.45M,606.45M,,606.45M,,,249.03M,2.722B,6.380B,6.380B,5.060B,5.060B,,1.200B,12.64B,15.36B,205.78M,8.256B,5.486B,28.76M,,,,-17.49M,13.90B
2017-03,1.547B,,1.547B,1.187B,,1.268B,314.19M,,264.56M,3.394B,,3.978B,54.17B,-28.57B,25.61B,16.23M,195.21M,25.82B,29.21B,1.557B,96.16M,143.71M,1.797B,,1.797B,6.579M,6.579M,,6.579M,,,228.69M,2.032B,6.980B,6.980B,5.024B,5.024B,,1.248B,13.25B,15.28B,205.78M,8.330B,5.447B,36.12M,,,,-18.66M,13.93B
2016-12,1.600B,,1.600B,1.216B,,1.229B,350.02M,,206.68M,3.385B,,4.009B,53.60B,-27.89B,25.71B,16.14M,190.77M,25.91B,29.30B,1.512B,96.12M,118.41M,1.726B,,1.726B,6.579M,6.579M,,6.579M,,,294.36M,2.027B,6.980B,6.980B,5.028B,5.028B,,1.282B,13.29B,15.32B,205.77M,8.398B,5.420B,23.68M,,,,-19.01M,13.98B
2016-09,1.049B,,1.049B,920.19M,,920.37M,429.67M,137.10M,199.72M,2.738B,,4.014B,54.48B,-31.84B,22.64B,,172.77M,22.82B,25.55B,1.296B,91.84M,143.26M,1.531B,,1.531B,,6.579M,,6.579M,,,195.04M,1.733B,6.980B,6.980B,4.068B,4.068B,,975.76M,12.02B,13.76B,205.51M,8.642B,2.993B,16.69M,,,,-25.10M,11.80B
2016-06,779.72M,,779.72M,935.59M,,940.47M,495.83M,46.71M,187.39M,2.450B,,4.001B,55.36B,-32.14B,23.21B,,167.54M,23.38B,25.83B,1.306B,91.68M,138.40M,1.536B,,1.536B,6.579M,6.579M,,6.579M,,,169.96M,1.712B,6.979B,6.979B,4.104B,4.104B,,978.51M,12.06B,13.77B,205.51M,8.924B,2.982B,29.26M,,,,-25.26M,12.06B
2016-03,668.48M,,668.48M,780.62M,,819.67M,538.93M,177.06M,157.61M,2.366B,,4.004B,55.16B,-31.36B,23.80B,,171.18M,23.97B,26.34B,1.182B,91.57M,93.08M,1.367B,,1.367B,,6.579M,,6.579M,,,174.72M,1.548B,6.979B,6.979B,4.420B,4.420B,,985.71M,12.38B,13.93B,205.51M,9.308B,2.952B,29.21M,,,,-31.13M,12.41B
2015-12,718.51M,,718.51M,930.61M,,971.31M,598.94M,147.81M,155.68M,2.592B,,3.987B,54.60B,-30.39B,24.21B,,167.50M,24.38B,26.97B,1.472B,91.55M,93.62M,1.657B,,1.657B,6.579M,6.579M,,6.579M,,,155.59M,1.819B,6.649B,6.649B,4.588B,4.588B,,971.34M,12.21B,14.03B,205.50M,9.871B,2.923B,23.41M,,,,-33.34M,12.94B
2015-09,742.69M,,742.69M,1.123B,,1.177B,660.25M,40.62M,133.12M,2.825B,,3.891B,53.92B,-29.64B,24.28B,,176.96M,24.45B,27.28B,1.562B,91.38M,174.90M,1.828B,,1.828B,,36.28M,,36.28M,0.00,0.00,182.83M,2.047B,6.394B,6.394B,4.582B,4.582B,,970.29M,11.95B,13.99B,205.50M,10.25B,2.897B,31.09M,,,,-34.98M,13.28B
2015-06,1.367B,,1.367B,1.305B,,1.353B,661.16M,39.61M,209.43M,3.738B,,3.840B,52.78B,-22.80B,29.98B,,171.20M,30.15B,33.88B,1.864B,91.50M,164.37M,2.120B,,2.120B,,6.579M,,6.579M,0.00,0.00,150.65M,2.278B,6.394B,6.394B,6.799B,6.799B,,986.76M,14.18B,16.46B,205.50M,14.41B,2.858B,22.76M,,,,-28.00M,17.43B
2015-03,2.127B,,2.127B,1.267B,,1.328B,764.21M,18.70M,225.51M,4.793B,,3.849B,51.58B,-21.86B,29.72B,,177.36M,29.90B,34.69B,2.182B,91.28M,121.73M,2.395B,,2.395B,,506.58M,,506.58M,62.21M,62.21M,130.91M,3.095B,6.394B,6.394B,6.774B,6.774B,,959.07M,14.13B,17.22B,205.49M,14.50B,2.819B,19.39M,,,,-36.43M,17.47B
2014-12,2.087B,,2.087B,1.779B,,1.851B,706.60M,19.62M,286.53M,5.416B,,3.751B,50.25B,-21.08B,29.17B,,174.02M,29.35B,34.76B,2.861B,91.59M,140.10M,3.092B,,3.092B,,6.579M,,6.579M,110.74M,110.74M,174.75M,3.384B,5.903B,5.903B,6.823B,6.823B,,939.50M,13.67B,17.05B,205.49M,14.76B,2.837B,70.10M,,,,-23.06M,17.71B
2014-09,1.481B,,1.481B,2.009B,,2.027B,672.90M,238.26M,332.41M,4.885B,,3.572B,51.48B,-22.27B,29.22B,,399.33M,29.62B,34.50B,2.775B,91.09M,257.95M,3.124B,,3.124B,6.579M,6.579M,,6.579M,2.444M,2.444M,245.34M,3.379B,5.903B,5.903B,6.415B,6.415B,,1.084B,13.40B,16.78B,205.49M,14.41B,2.786B,69.74M,,,,387.72M,17.72B
2014-06,1.230B,,1.230B,1.902B,,1.927B,667.11M,485.51M,415.22M,4.725B,,3.374B,49.65B,-21.45B,28.20B,,382.26M,28.58B,33.30B,2.661B,67.86M,228.57M,2.958B,,2.958B,6.579M,6.579M,,6.579M,,,573.00M,3.537B,5.903B,5.903B,6.162B,6.162B,,991.45M,13.06B,16.59B,205.48M,13.40B,2.728B,51.06M,,,,426.59M,16.71B
2014-03,1.667B,,1.667B,1.802B,,1.802B,635.42M,429.70M,288.29M,4.822B,,3.128B,47.45B,-20.45B,27.00B,,320.38M,27.32B,32.14B,2.647B,67.77M,270.91M,2.986B,,2.986B,6.579M,6.579M,,6.579M,,,403.18M,3.396B,5.903B,5.903B,5.887B,5.887B,,922.59M,12.71B,16.11B,205.47M,12.76B,2.698B,33.66M,,,,402.80M,16.03B
2013-12,1.318B,,1.318B,1.659B,,1.664B,563.27M,244.61M,274.02M,4.072B,,2.967B,45.79B,-19.64B,26.15B,,353.39M,26.50B,30.57B,2.254B,50.80M,159.36M,2.465B,,2.465B,6.579M,6.579M,,6.579M,0.00,0.00,390.56M,2.862B,5.907B,5.907B,5.522B,5.522B,,865.07M,12.29B,15.16B,202.73M,12.17B,2.647B,15.26M,,,,415.83M,15.42B
2013-09,1.319B,,1.319B,1.850B,,1.892B,566.00M,127.66M,243.19M,4.192B,,2.954B,44.84B,-19.24B,25.60B,,356.11M,25.96B,30.15B,2.248B,50.75M,200.48M,2.499B,,2.499B,406.58M,406.58M,,406.58M,0.00,0.00,441.81M,3.347B,5.906B,5.906B,5.185B,5.185B,,846.78M,11.94B,15.29B,202.73M,11.64B,2.615B,20.63M,,,,425.28M,14.86B
2013-06,1.228B,,1.228B,1.809B,,1.832B,657.40M,157.01M,260.34M,4.241B,,2.847B,43.11B,-18.53B,24.58B,,255.92M,24.84B,29.08B,2.202B,50.61M,161.61M,2.414B,,2.414B,406.58M,406.58M,,406.58M,4.31M,4.31M,195.25M,3.020B,5.906B,5.906B,4.971B,4.971B,,795.31M,11.67B,14.69B,202.73M,11.23B,2.576B,30.81M,,,,408.26M,14.38B
2013-03,1.108B,,1.108B,1.891B,,1.916B,697.48M,102.04M,225.12M,4.081B,,2.770B,41.84B,-17.91B,23.94B,,213.62M,24.15B,28.23B,2.258B,50.51M,155.14M,2.464B,,2.464B,406.58M,406.58M,,406.58M,2.164M,2.164M,202.07M,3.075B,5.906B,5.906B,4.632B,4.632B,,864.01M,11.40B,14.48B,202.72M,10.62B,2.540B,33.25M,,,,427.83M,13.76B
2012-12,876.44M,,876.44M,1.657B,,1.686B,683.19M,0.00,178.35M,3.590B,,2.741B,40.87B,-17.53B,23.34B,,409.01M,23.75B,27.34B,2.079B,45.80M,162.08M,2.287B,,2.287B,406.58M,406.58M,,406.58M,22.84M,22.84M,207.81M,2.924B,5.906B,5.906B,4.327B,4.327B,,894.76M,11.13B,14.05B,202.72M,10.18B,2.500B,33.82M,,,,439.90M,13.28B
2012-09,1.113B,,1.113B,1.580B,,1.634B,657.88M,120.97M,474.80M,4.000B,,2.609B,39.63B,-15.94B,23.69B,,345.88M,24.03B,28.03B,2.151B,45.65M,168.69M,2.365B,,2.365B,,,,,2.793M,2.793M,210.15M,2.578B,6.305B,6.305B,4.513B,4.513B,,842.17M,11.66B,14.24B,202.71M,10.73B,2.460B,46.98M,,,,451.40M,13.79B
2012-06,280.37M,,280.37M,1.375B,,1.404B,620.26M,,643.88M,2.948B,,2.376B,37.94B,-15.25B,22.69B,,360.80M,23.05B,26.00B,2.236B,45.44M,142.22M,2.423B,,2.423B,,,,,121.06M,121.06M,135.58M,2.680B,5.012B,5.012B,4.160B,4.160B,,791.30M,9.963B,12.64B,202.70M,10.42B,2.374B,39.17M,,,,400.09M,13.36B
2012-03,294.06M,0.0,294.06M,1.543B,,1.568B,561.51M,,166.97M,3.042B,,,37.37B,-15.24B,22.13B,,379.66M,22.51B,25.56B,2.290B,45.33M,123.39M,2.459B,,2.459B,,,,,148.62M,122.83M,165.10M,2.772B,5.011B,5.011B,3.990B,3.990B,,790.42M,9.791B,12.56B,202.70M,10.07B,2.328B,36.28M,,,,429.45M,12.99B
2011-12,615.73M,,615.73M,1.451B,,1.478B,590.59M,,119.05M,3.254B,,2.150B,35.81B,-14.53B,21.29B,,296.04M,21.58B,24.84B,2.034B,42.58M,147.10M,2.223B,,2.223B,,,,,135.99M,135.99M,163.03M,2.522B,5.009B,5.009B,3.867B,3.867B,,799.19M,9.676B,12.20B,202.69M,9.789B,2.272B,24.93M,,,,401.75M,12.64B
2011-09,1.387B,,1.387B,1.250B,,1.278B,580.36M,0.00,490.62M,3.735B,,,34.19B,-13.45B,20.74B,,323.12M,21.06B,24.79B,1.926B,43.02M,157.30M,2.127B,,2.127B,,220.00M,,220.00M,139.65M,139.65M,179.91M,2.666B,5.008B,5.008B,3.858B,3.858B,,768.52M,9.635B,12.30B,202.69M,9.711B,2.231B,23.10M,,,,372.45M,12.49B
2011-06,1.577B,,1.577B,1.280B,,1.307B,540.09M,0.00,212.98M,3.638B,,,33.46B,-13.46B,20.00B,,324.61M,20.32B,23.96B,1.870B,42.98M,148.64M,2.062B,,2.062B,,220.00M,,220.00M,62.57M,50.18M,131.87M,2.476B,5.006B,5.006B,3.681B,3.681B,,718.70M,9.406B,11.88B,202.69M,9.213B,2.181B,12.90M,,,,492.88M,12.08B
