,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-11,2.214B,,288.00M,400.00M,688.00M,688.00M,-87.00M,419.00M,,33.00M,-219.00M,,-234.00M,149.00M,,,-2.113B,-2.417B,850.00M,,-599.00M,,,0.00,-5.111B,,-5.71B,,7.445B,7.445B,339.00M,-2.055B,-1.716B,-791.00M,-791.00M,,0.00,4.938B,,21.32B,78.00M,-89.00M,21.31B,,339.00M,9.945B,-2.50B,-2.055B,,AOR,Restated
2017-08,2.144B,,285.00M,411.00M,696.00M,696.00M,141.00M,403.00M,,48.00M,1.804B,,246.00M,-770.00M,,,1.854B,3.134B,6.566B,,-473.00M,,,0.00,-1.345B,,-1.818B,,-4.80B,-4.80B,1.014B,-833.00M,181.00M,-788.00M,-788.00M,,-34.00M,-5.441B,,21.78B,-693.00M,230.00M,21.32B,,1.014B,,-4.80B,-833.00M,,AOR,Restated
2017-05,3.349B,,278.00M,441.00M,719.00M,719.00M,-551.00M,333.00M,,30.00M,-1.74B,178.00M,-692.00M,1.092B,,,1.619B,457.00M,4.466B,,-525.00M,,,-815.00M,-4.506B,,-5.846B,,3.80B,3.80B,872.00M,-540.00M,332.00M,-787.00M,-787.00M,,-58.00M,3.287B,,19.75B,1.907B,129.00M,21.78B,,872.00M,3.80B,0.00,-540.00M,,AOR,Restated
2017-02,2.239B,,259.00M,397.00M,656.00M,656.00M,8.00M,371.00M,,11.00M,-7.00M,-62.00M,-13.00M,-363.00M,,,-141.00M,-586.00M,2.699B,,-440.00M,,,-552.00M,264.00M,,-728.00M,,-344.00M,-344.00M,563.00M,-547.00M,16.00M,-612.00M,-612.00M,,0.00,-940.00M,,18.59B,1.031B,125.00M,19.75B,,563.00M,0.00,-344.00M,-547.00M,,AOR,Restated
2016-11,2.032B,,241.00M,302.00M,543.00M,543.00M,-42.00M,327.00M,,46.00M,-313.00M,-41.00M,-114.00M,514.00M,,,-1.866B,-1.82B,1.086B,,-757.00M,,,-8.711B,-249.00M,,-9.717B,,0.00,0.00,259.00M,-585.00M,-326.00M,-614.00M,-614.00M,,-33.00M,-973.00M,,28.61B,-9.604B,-418.00M,18.59B,,259.00M,0.00,0.00,-585.00M,,AOR,Restated
2016-08,1.832B,,222.00M,311.00M,533.00M,533.00M,145.00M,319.00M,,39.00M,1.993B,-75.00M,435.00M,-1.013B,,,1.667B,3.007B,5.875B,,-299.00M,,,-1.143B,-3.761B,,-5.203B,,10.18B,10.18B,487.00M,-2.172B,-1.685B,-618.00M,-618.00M,,-167.00M,7.712B,,20.15B,8.384B,78.00M,28.61B,,487.00M,13.93B,-3.75B,-2.172B,,AOR,Restated
2016-05,2.814B,,228.00M,355.00M,583.00M,583.00M,38.00M,269.00M,-188.00M,27.00M,-1.65B,-87.00M,-97.00M,877.00M,,,1.077B,120.00M,3.793B,,-180.00M,,,-337.00M,-611.00M,,-1.128B,,3.75B,3.75B,623.00M,-1.98B,-1.357B,-623.00M,-623.00M,,0.00,1.77B,,15.58B,4.435B,134.00M,20.15B,,623.00M,3.75B,0.00,-1.98B,,AOR,Restated
2016-02,2.142B,,214.00M,408.00M,622.00M,622.00M,-60.00M,261.00M,41.00M,39.00M,132.00M,26.00M,-44.00M,70.00M,,,266.00M,450.00M,3.495B,,-368.00M,,,-166.00M,-154.00M,,-688.00M,,-2.00B,-2.00B,162.00M,-2.214B,-2.052B,-632.00M,-632.00M,,0.00,-4.684B,,17.41B,-1.877B,49.00M,15.58B,,162.00M,0.00,-2.00B,-2.214B,,AOR,Restated
2015-11,2.198B,,210.00M,423.00M,633.00M,633.00M,-53.00M,254.00M,45.00M,32.00M,-536.00M,11.00M,-240.00M,393.00M,,,-2.221B,-2.593B,516.00M,,-195.00M,,,-147.00M,4.475B,,4.133B,,0.00,0.00,344.00M,-3.419B,-3.075B,-636.00M,-636.00M,,-60.00M,-3.771B,,16.74B,878.00M,-206.00M,17.41B,,344.00M,0.00,0.00,-3.419B,,AOR,Restated
2015-08,1.747B,,219.00M,452.00M,671.00M,671.00M,-30.00M,253.00M,102.00M,45.00M,2.15B,50.00M,379.00M,-1.353B,,,1.867B,3.093B,5.881B,,-446.00M,,,0.00,-7.025B,,-7.471B,,0.00,0.00,296.00M,-2.916B,-2.62B,-650.00M,-650.00M,,-25.00M,-3.295B,,21.72B,-4.885B,-92.00M,16.74B,,296.00M,0.00,0.00,-2.916B,,AOR,Restated
