,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,28.00B,10.59B,38.59B,4.423B,,4.423B,,,,,3.235B,,,46.25B,,,,,,,,,6.627B,43.88B,3.061B,46.94B,3.401B,6.797B,63.76B,110.01B,,724.00M,,724.00M,,724.00M,,7.251B,7.251B,7.251B,8.062B,8.062B,,3.89B,21.35B,63.53B,63.53B,,,699.00M,4.306B,80.05B,101.40B,,26.30B,-17.10B,,,,-1.286B,7.917B,,AOR,
2020-08,27.28B,15.00B,42.28B,4.576B,,4.576B,,,,,3.084B,,,49.94B,,,,,,,,,6.401B,43.87B,3.405B,47.27B,3.152B,6.782B,63.61B,113.55B,,534.00M,,534.00M,,534.00M,,2.997B,2.997B,2.997B,9.875B,9.875B,,3.952B,18.75B,67.77B,67.77B,,,649.00M,4.199B,84.66B,103.41B,,26.24B,-15.41B,,,,-1.337B,9.491B,,AOR,
2020-05,37.24B,5.818B,43.06B,5.551B,,5.551B,,,,,3.532B,,,52.14B,0.00,885.00M,4.394B,8.266B,,280.00M,13.82B,-7.581B,6.244B,43.77B,3.738B,47.51B,3.252B,6.295B,63.30B,115.44B,,637.00M,,637.00M,,637.00M,,2.371B,2.371B,2.371B,8.002B,8.002B,,4.737B,17.20B,69.23B,69.23B,,,643.00M,3.832B,85.52B,102.72B,,26.49B,-12.70B,,,,-1.716B,12.07B,,AOR,
2020-02,23.83B,2.029B,25.86B,4.162B,,4.162B,,,,,3.422B,,,33.44B,,,,,,,,,6.248B,43.78B,4.088B,47.87B,2.883B,6.262B,63.26B,96.70B,,533.00M,,533.00M,,533.00M,,2.355B,2.355B,2.355B,7.814B,7.814B,,3.721B,15.74B,49.32B,49.32B,,,646.00M,3.595B,66.08B,81.82B,,26.68B,-10.77B,,,,-1.679B,14.24B,,AOR,
2019-11,24.54B,2.904B,27.44B,4.05B,,4.05B,,,,,3.046B,,,34.54B,,,,,,,,,6.27B,43.81B,4.492B,48.30B,2.751B,6.58B,63.90B,98.44B,,534.00M,,534.00M,,534.00M,,999.00M,999.00M,999.00M,8.087B,8.087B,,3.66B,14.59B,50.67B,50.67B,,,622.00M,3.954B,67.67B,82.26B,,26.37B,-9.174B,,,,-1.637B,15.56B,,AOR,Restated
2019-08,31.08B,4.621B,35.70B,3.82B,,3.82B,,,,,2.86B,,,42.38B,,,,,,,,,6.264B,43.73B,4.861B,48.59B,2.654B,6.333B,63.84B,106.23B,,486.00M,,486.00M,,486.00M,,3.748B,3.748B,3.748B,10.09B,10.09B,,3.291B,18.88B,50.69B,50.69B,,,586.00M,4.142B,68.34B,87.21B,,26.45B,-6.446B,,,,-1.571B,18.43B,,AOR,Restated
2019-05,20.51B,17.31B,37.83B,5.134B,,5.134B,,,,,3.425B,,,46.39B,0.00,896.00M,4.253B,7.768B,,158.00M,13.08B,-6.823B,6.252B,43.78B,5.279B,49.06B,2.696B,4.317B,62.32B,108.71B,,580.00M,,580.00M,,580.00M,,4.494B,4.494B,4.494B,8.374B,8.374B,,3.554B,18.63B,51.67B,51.67B,,,578.00M,2.748B,67.72B,86.35B,,26.91B,-3.496B,,,,-1.628B,21.78B,,AOR,Restated
2019-02,14.72B,25.31B,40.03B,3.993B,,3.993B,,,,,3.594B,,,47.62B,,,,,,,,,6.197B,43.78B,5.678B,49.45B,2.033B,4.137B,61.82B,109.44B,,603.00M,,603.00M,,603.00M,,4.487B,4.487B,4.487B,8.007B,8.007B,,3.631B,17.99B,51.67B,51.67B,,,524.00M,2.334B,67.21B,85.20B,,26.73B,-1.284B,,,,-1.734B,23.71B,,AOR,Restated
2018-11,10.82B,38.57B,49.39B,3.975B,,3.975B,,,,,3.572B,,,56.94B,,,,,,,,,6.003B,43.78B,6.103B,49.88B,1.482B,4.014B,61.38B,118.32B,,587.00M,,587.00M,,587.00M,,6.477B,6.477B,6.477B,8.246B,8.246B,,3.56B,20.32B,51.56B,51.56B,,,483.00M,2.386B,66.95B,87.26B,,27.43B,5.107B,,,,-1.965B,30.57B,,AOR,Restated
2018-08,18.46B,41.64B,60.09B,3.729B,,3.729B,,,,,3.186B,,,67.01B,,,,,,,,,5.918B,43.70B,6.295B,50.00B,1.433B,4.001B,61.35B,128.36B,,527.00M,,527.00M,,527.00M,,3.743B,3.743B,3.743B,10.35B,10.35B,,3.522B,19.56B,54.39B,54.39B,,,497.00M,2.333B,70.23B,89.79B,,27.81B,12.02B,,,,-1.766B,38.07B,,AOR,Restated
