,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,437.00M,,,,-2.442B,-152.00M,,,-102.00M,18.00M,,-131.00M,,454.00M,,-126.00M,,-126.00M,-27.00M,-244.00M,91.00M,-306.00M,,-303.00M,,-303.00M,,-245.00M,-245.00M,-17.00M,-17.00M,0.00,-565.00M,,886.00M,-417.00M,9.00M,478.00M,,,,266.00M,-569.00M,-245.00M,,AOR,
2020-09,162.00M,,,,73.00M,301.00M,,,-131.00M,284.00M,,616.00M,,851.00M,,-144.00M,,-144.00M,28.00M,-596.00M,-71.00M,-783.00M,,359.00M,,359.00M,,-187.00M,-187.00M,-17.00M,-17.00M,-10.00M,145.00M,,668.00M,213.00M,5.00M,886.00M,,,,1.051B,-692.00M,-187.00M,,AOR,
2020-06,-846.00M,,,,1.067B,-308.00M,,,-164.00M,242.00M,,-110.00M,,111.00M,,-207.00M,,-207.00M,8.00M,-76.00M,-477.00M,-752.00M,,446.00M,,446.00M,,-33.00M,-33.00M,-18.00M,-18.00M,-29.00M,366.00M,,939.00M,-275.00M,4.00M,668.00M,,,,688.00M,-242.00M,-33.00M,,AOR,
2020-03,-1.044B,,,,1.363B,-266.00M,,,-116.00M,-288.00M,,10.00M,,329.00M,,-233.00M,,-233.00M,172.00M,641.00M,-153.00M,427.00M,,431.00M,,431.00M,,-458.00M,-458.00M,-18.00M,-18.00M,-99.00M,-144.00M,,336.00M,612.00M,-9.00M,939.00M,,,,654.00M,-223.00M,-458.00M,,AOR,
2019-12,211.00M,,,,-660.00M,-65.00M,,,30.00M,-122.00M,,-75.00M,,470.00M,,-298.00M,,-298.00M,34.00M,188.00M,-111.00M,-187.00M,,46.00M,,46.00M,,-408.00M,-408.00M,-19.00M,-19.00M,-16.00M,-397.00M,,442.00M,-114.00M,8.00M,336.00M,,,,206.00M,-160.00M,-408.00M,,AOR,Restated
2019-09,39.00M,,,,143.00M,258.00M,,,-90.00M,242.00M,,615.00M,,797.00M,,-238.00M,,-238.00M,93.00M,-381.00M,-2.00M,-528.00M,,-66.00M,,-66.00M,,-165.00M,-165.00M,-19.00M,-19.00M,-12.00M,-262.00M,,440.00M,7.00M,-5.00M,442.00M,,,,336.00M,-402.00M,-165.00M,,AOR,Restated
2019-06,225.00M,,,,235.00M,-94.00M,,,-153.00M,177.00M,,-67.00M,,393.00M,,-282.00M,,-282.00M,77.00M,-19.00M,-32.00M,-256.00M,,158.00M,,158.00M,,-161.00M,-161.00M,-19.00M,-19.00M,-14.00M,-36.00M,,339.00M,101.00M,0.00,440.00M,,,,1.342B,-1.184B,-161.00M,,AOR,Restated
2019-03,396.00M,,,,369.00M,15.00M,,,-143.00M,-104.00M,,-684.00M,,81.00M,,-223.00M,,-223.00M,223.00M,361.00M,-61.00M,300.00M,,-18.00M,,-18.00M,,-317.00M,-317.00M,-19.00M,-19.00M,-95.00M,-449.00M,,405.00M,-68.00M,2.00M,339.00M,,,,192.00M,-210.00M,-317.00M,,AOR,Restated
2018-12,-211.00M,,,,-1.049B,-149.00M,,,67.00M,-27.00M,,486.00M,,827.00M,,-264.00M,,-264.00M,29.00M,-605.00M,113.00M,-727.00M,,-91.00M,,-91.00M,,-137.00M,-137.00M,-20.00M,-20.00M,-12.00M,-260.00M,,571.00M,-160.00M,-6.00M,405.00M,,,,172.00M,-263.00M,-137.00M,,AOR,Restated
2018-09,289.00M,,,,627.00M,525.00M,,,-18.00M,40.00M,,328.00M,,1.244B,,-251.00M,,-251.00M,84.00M,715.00M,-28.00M,520.00M,,-15.00M,,-15.00M,,-1.594B,-1.594B,-20.00M,-20.00M,-18.00M,-1.647B,,453.00M,117.00M,1.00M,571.00M,,,,160.00M,-175.00M,-1.594B,,AOR,Restated
2018-06,248.00M,,,,309.00M,-360.00M,,,-95.00M,100.00M,,1.081B,,1.638B,,-250.00M,,-250.00M,7.00M,-1.017B,-33.00M,-1.293B,,-2.00M,,-2.00M,,-302.00M,-302.00M,-20.00M,-20.00M,-13.00M,-337.00M,,451.00M,8.00M,-6.00M,453.00M,,,,300.00M,-302.00M,-302.00M,,AOR,Restated
2018-03,380.00M,,,,185.00M,-147.00M,,,-56.00M,-215.00M,,-52.00M,,513.00M,,-230.00M,,-230.00M,6.00M,392.00M,-112.00M,56.00M,,-70.00M,,-70.00M,,-497.00M,-497.00M,-20.00M,-20.00M,-4.00M,-591.00M,,472.00M,-22.00M,1.00M,451.00M,,,,233.00M,-303.00M,-497.00M,,AOR,Restated
2017-12,531.00M,,,,-795.00M,74.00M,,,-10.00M,230.00M,,248.00M,,780.00M,,-296.00M,,-296.00M,-42.00M,7.00M,-237.00M,-568.00M,,97.00M,,97.00M,,-210.00M,-210.00M,-21.00M,-21.00M,-22.00M,-156.00M,,416.00M,56.00M,0.00,472.00M,,,,259.00M,-162.00M,-210.00M,,AOR,Restated
2017-09,212.00M,,,,345.00M,242.00M,,,23.00M,-37.00M,,22.00M,,579.00M,,-259.00M,,-259.00M,25.00M,-203.00M,-96.00M,-533.00M,,66.00M,,66.00M,,0.00,0.00,-21.00M,-21.00M,-36.00M,9.00M,,357.00M,55.00M,4.00M,416.00M,,,,1.407B,-1.341B,0.00,,AOR,Restated
2017-06,278.00M,,,,296.00M,-274.00M,,,-68.00M,186.00M,,658.00M,,1.232B,,-265.00M,,-265.00M,-1.127B,-408.00M,-27.00M,-1.827B,,584.00M,,584.00M,,-6.00M,-6.00M,-21.00M,-21.00M,-21.00M,536.00M,,412.00M,-59.00M,4.00M,357.00M,,,,716.00M,-132.00M,-6.00M,,AOR,Restated
2017-03,391.00M,,,,318.00M,51.00M,,,-40.00M,-265.00M,,-710.00M,,-1.00M,,-211.00M,,-211.00M,46.00M,451.00M,-13.00M,273.00M,,-91.00M,,-91.00M,,,,-21.00M,-21.00M,-76.00M,-188.00M,,327.00M,84.00M,1.00M,412.00M,,,,685.00M,-776.00M,,,AOR,Restated
2016-12,412.00M,,,,-1.603B,189.00M,,,9.00M,17.00M,,-56.00M,,537.00M,,-265.00M,,-265.00M,142.00M,-252.00M,34.00M,-341.00M,,-148.00M,,-148.00M,,-19.00M,-19.00M,-21.00M,-21.00M,-20.00M,-208.00M,,344.00M,-12.00M,-5.00M,327.00M,,,,388.00M,-536.00M,-19.00M,,AOR,Restated
