,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,453.00M,44.22B,44.67B,8.217B,,8.217B,,52.88B,15.47B,658.00M,,658.00M,976.00M,49.49B,,71.39B,80.73B,,311.00M,,311.00M,311.00M,181.00M,181.00M,181.00M,,,492.00M,11.29B,,11.29B,879.00M,,879.00M,,21.99B,4.41B,2.947B,38.57B,58.87B,,3.00M,16.53B,3.809B,808.00M,,-625.00M,18.91B,,AOR,Restated
2018-03,451.00M,44.62B,45.07B,7.893B,,7.893B,,52.96B,15.46B,661.00M,,661.00M,974.00M,50.09B,,71.78B,80.79B,,280.00M,,280.00M,280.00M,213.00M,213.00M,213.00M,,,493.00M,11.26B,,11.26B,734.00M,,734.00M,,22.07B,4.256B,5.316B,38.31B,56.94B,,3.00M,16.32B,3.142B,517.00M,,-417.00M,18.53B,,AOR,Restated
2017-12,472.00M,46.13B,46.60B,6.597B,602.00M,7.20B,,53.80B,15.43B,659.00M,638.00M,1.297B,945.00M,51.28B,,70.66B,79.59B,,60.00M,,60.00M,60.00M,280.00M,280.00M,280.00M,,,340.00M,11.25B,,11.25B,749.00M,972.00M,1.721B,,22.00B,4.029B,5.362B,39.01B,55.02B,,3.00M,16.10B,3.151B,20.00M,,-26.00M,19.20B,,AOR,Restated
2017-09,416.00M,47.08B,47.49B,7.792B,,7.792B,,55.28B,15.48B,648.00M,,648.00M,825.00M,51.31B,,70.68B,79.53B,,324.00M,,324.00M,324.00M,194.00M,194.00M,194.00M,,,518.00M,11.24B,,11.24B,905.00M,,905.00M,,22.21B,4.06B,5.34B,38.41B,55.17B,,3.00M,15.81B,3.181B,6.00M,,32.00M,19.02B,,AOR,Restated
2017-06,357.00M,46.66B,47.02B,7.977B,,7.977B,,54.99B,15.45B,647.00M,,647.00M,748.00M,50.86B,,70.12B,79.10B,,478.00M,,478.00M,478.00M,192.00M,192.00M,192.00M,,,670.00M,11.09B,,11.09B,852.00M,,852.00M,,22.18B,4.107B,5.29B,38.23B,55.00B,,3.00M,15.68B,3.178B,6.00M,,-36.00M,18.82B,,AOR,Restated
2017-03,412.00M,45.97B,46.38B,7.783B,,7.783B,,54.17B,15.16B,346.00M,,346.00M,708.00M,50.31B,,68.29B,77.11B,,302.00M,,302.00M,302.00M,156.00M,156.00M,156.00M,,,458.00M,10.53B,,10.53B,785.00M,,785.00M,,22.26B,3.912B,5.246B,37.49B,53.38B,,3.00M,15.47B,3.168B,,,-149.00M,18.49B,,AOR,Restated
2016-12,327.00M,45.66B,45.98B,6.671B,609.00M,7.234B,,53.22B,15.23B,346.00M,142.00M,488.00M,683.00M,50.03B,,68.02B,76.59B,,150.00M,,150.00M,150.00M,110.00M,110.00M,110.00M,,,260.00M,10.67B,,10.67B,636.00M,,636.00M,,22.34B,3.762B,5.198B,37.41B,53.23B,,3.00M,15.20B,3.187B,,,-223.00M,18.16B,,AOR,Restated
2016-09,344.00M,47.21B,47.56B,7.853B,,7.853B,,55.41B,15.20B,347.00M,,347.00M,719.00M,51.67B,,69.69B,78.51B,,451.00M,,451.00M,451.00M,185.00M,185.00M,185.00M,,,636.00M,10.74B,,10.74B,735.00M,,735.00M,,22.67B,3.862B,5.136B,38.01B,55.10B,,3.00M,15.03B,3.207B,115.00M,,144.00M,18.27B,,AOR,Restated
2016-06,348.00M,47.18B,47.53B,8.616B,,8.616B,,56.14B,15.13B,348.00M,,348.00M,696.00M,51.66B,,69.60B,79.18B,,1.31B,,1.31B,1.31B,330.00M,330.00M,330.00M,,,1.64B,10.74B,,10.74B,604.00M,,604.00M,,22.98B,3.865B,5.086B,38.18B,56.15B,,3.00M,14.72B,3.197B,98.00M,,119.00M,17.94B,,AOR,Restated
2016-03,308.00M,45.53B,45.84B,8.227B,,8.227B,,54.06B,15.35B,350.00M,,350.00M,822.00M,49.83B,,68.07B,77.22B,,630.00M,,630.00M,630.00M,3.00M,3.00M,3.00M,,,633.00M,10.58B,,10.58B,540.00M,,540.00M,,23.02B,3.807B,5.292B,37.95B,54.10B,,3.00M,14.81B,3.177B,33.00M,,-126.00M,17.83B,,AOR,Restated
2015-12,440.00M,44.39B,44.83B,6.582B,1.064B,7.633B,,52.46B,15.48B,351.00M,,351.00M,824.00M,48.58B,,66.93B,76.01B,,567.00M,,567.00M,567.00M,1.04B,1.04B,1.04B,,,1.607B,9.52B,,9.52B,382.00M,,382.00M,,22.66B,3.671B,5.249B,36.24B,53.20B,,3.00M,14.73B,3.184B,,,-357.00M,17.56B,,AOR,Restated
2015-09,328.00M,45.29B,45.62B,8.079B,,8.079B,,53.70B,15.90B,352.00M,,352.00M,787.00M,49.76B,,68.52B,77.53B,,733.00M,,733.00M,733.00M,1.278B,1.278B,1.278B,,,2.011B,9.492B,,9.492B,796.00M,,796.00M,,22.87B,3.706B,5.409B,36.86B,53.38B,,4.00M,15.91B,3.49B,633.00M,,-23.00M,18.74B,,AOR,Restated
2015-06,249.00M,45.71B,45.96B,8.097B,,8.097B,,54.05B,15.92B,373.00M,,373.00M,768.00M,50.28B,,69.05B,78.02B,,741.00M,,741.00M,741.00M,1.061B,1.061B,1.061B,,,1.802B,9.791B,,9.791B,773.00M,,773.00M,,23.19B,3.815B,5.35B,37.57B,53.68B,,4.00M,15.75B,3.483B,305.00M,,53.00M,18.98B,,AOR,Restated
2015-03,271.00M,46.94B,47.21B,8.157B,,8.157B,,55.37B,15.38B,371.00M,,371.00M,732.00M,51.46B,,69.58B,78.62B,,926.00M,,926.00M,926.00M,687.00M,687.00M,687.00M,,,1.613B,9.863B,,9.863B,930.00M,,930.00M,,23.25B,3.71B,5.322B,37.75B,53.99B,,4.00M,15.60B,3.477B,71.00M,,298.00M,19.31B,,AOR,Restated
2014-12,364.00M,46.78B,47.14B,6.691B,709.00M,7.358B,,54.50B,15.61B,374.00M,,374.00M,731.00M,51.30B,,69.63B,78.37B,,673.00M,,673.00M,673.00M,335.00M,335.00M,335.00M,,,1.008B,10.33B,,10.33B,893.00M,,893.00M,,23.27B,3.592B,5.37B,38.09B,53.72B,,4.00M,15.52B,3.481B,,,280.00M,19.28B,,AOR,Restated
2014-09,637.00M,47.41B,48.04B,8.185B,,8.185B,,56.23B,14.41B,353.00M,,353.00M,,52.64B,,69.08B,78.53B,,663.00M,,663.00M,663.00M,850.00M,850.00M,850.00M,,,1.513B,10.05B,,10.05B,1.03B,,1.03B,,23.48B,3.703B,5.459B,38.26B,53.41B,,4.00M,15.82B,3.613B,415.00M,,638.00M,19.66B,,AOR,Restated
2014-06,277.00M,47.71B,47.99B,8.441B,,8.441B,,56.43B,14.13B,355.00M,,355.00M,,52.95B,,69.12B,82.89B,,815.00M,,815.00M,815.00M,974.00M,974.00M,974.00M,,,1.789B,9.828B,,9.828B,996.00M,,996.00M,,24.00B,3.851B,5.498B,38.67B,57.54B,,4.00M,15.63B,3.608B,195.00M,,807.00M,19.86B,,AOR,Restated
2014-03,301.00M,46.99B,47.29B,8.355B,,8.355B,,55.64B,14.97B,354.00M,,354.00M,,52.06B,,69.01B,81.80B,,882.00M,,882.00M,882.00M,854.00M,854.00M,854.00M,,,1.736B,10.46B,,10.46B,898.00M,,898.00M,,23.93B,3.838B,5.429B,39.12B,56.69B,,4.00M,15.54B,3.604B,24.00M,,563.00M,19.69B,,AOR,Restated
2013-12,294.00M,47.97B,48.26B,8.08B,1.034B,8.89B,,57.15B,13.52B,357.00M,,357.00M,562.00M,52.38B,,68.46B,79.94B,,134.00M,,134.00M,134.00M,819.00M,819.00M,819.00M,,,953.00M,9.525B,,9.525B,716.00M,,716.00M,,24.09B,3.718B,5.448B,38.05B,55.03B,,4.00M,15.51B,3.607B,,,339.00M,19.46B,,AOR,Restated
2013-09,257.00M,47.41B,47.67B,9.023B,,9.023B,,56.69B,14.38B,991.00M,,991.00M,496.00M,51.86B,,69.38B,79.51B,,326.00M,,326.00M,326.00M,270.00M,270.00M,270.00M,,,596.00M,9.705B,,9.705B,831.00M,,831.00M,,23.96B,3.82B,5.466B,38.32B,54.69B,,4.00M,15.91B,3.648B,228.00M,,20.00M,19.36B,,AOR,Restated
2013-06,166.00M,47.49B,47.66B,9.519B,,9.519B,,57.18B,14.52B,989.00M,,989.00M,473.00M,51.86B,,69.46B,80.05B,,520.00M,,520.00M,520.00M,33.00M,33.00M,33.00M,,,553.00M,10.04B,,10.04B,749.00M,,749.00M,,24.34B,3.869B,5.491B,39.00B,55.40B,,4.00M,15.65B,3.643B,187.00M,,37.00M,19.15B,,AOR,Restated
2013-03,179.00M,48.64B,48.82B,9.605B,,9.605B,,58.42B,14.20B,993.00M,,993.00M,473.00M,52.71B,,69.91B,80.61B,,738.00M,,738.00M,738.00M,19.00M,19.00M,19.00M,,,757.00M,9.418B,,9.418B,895.00M,,895.00M,,24.51B,3.759B,5.251B,38.58B,55.90B,,4.00M,15.41B,3.589B,102.00M,,566.00M,19.47B,,AOR,Restated
2012-12,228.00M,48.44B,48.67B,8.141B,876.00M,8.929B,,57.60B,13.94B,996.00M,,996.00M,460.00M,52.59B,,69.52B,80.02B,,205.00M,,205.00M,205.00M,19.00M,19.00M,19.00M,,,224.00M,9.191B,,9.191B,840.00M,,840.00M,,24.76B,3.61B,5.217B,38.40B,55.34B,,4.00M,15.19B,3.595B,10.00M,,678.00M,19.46B,,AOR,Restated
2012-09,169.00M,6.107B,6.276B,9.474B,,9.474B,,15.75B,13.56B,939.00M,,939.00M,,49.56B,,65.60B,79.55B,,808.00M,,808.00M,808.00M,18.00M,18.00M,18.00M,,,826.00M,8.848B,,8.848B,1.122B,,1.122B,,24.33B,3.681B,5.023B,37.98B,54.69B,,4.00M,15.42B,3.595B,139.00M,,964.00M,19.84B,,AOR,Restated
2012-06,136.00M,5.595B,5.731B,9.145B,,9.145B,,14.88B,13.71B,908.00M,,908.00M,,47.98B,,64.00B,77.33B,,395.00M,,395.00M,395.00M,88.00M,88.00M,88.00M,,,483.00M,9.048B,,9.048B,952.00M,,952.00M,,24.01B,3.478B,4.736B,37.48B,53.09B,,4.00M,15.26B,3.543B,51.00M,,746.00M,19.50B,,AOR,Restated
2012-03,99.00M,5.558B,5.657B,9.409B,,9.409B,,15.07B,13.52B,908.00M,,908.00M,,47.76B,,63.55B,77.24B,,920.00M,,920.00M,920.00M,88.00M,88.00M,88.00M,,,1.008B,8.954B,,8.954B,937.00M,,937.00M,,24.20B,3.383B,4.693B,37.48B,53.12B,,4.00M,15.23B,3.538B,,,654.00M,19.43B,,AOR,Restated
2011-12,129.00M,45.04B,45.16B,7.727B,1.076B,8.817B,,53.98B,13.62B,908.00M,,908.00M,245.00M,48.78B,,64.91B,75.27B,,162.00M,,162.00M,162.00M,88.00M,88.00M,88.00M,,,250.00M,8.913B,,8.913B,622.00M,,622.00M,,24.30B,3.25B,4.431B,37.09B,52.06B,,4.00M,14.89B,3.494B,,,384.00M,18.77B,,AOR,Restated
2011-09,128.00M,5.848B,5.976B,10.11B,,10.11B,,16.08B,12.94B,856.00M,,856.00M,,46.45B,,61.69B,76.30B,,567.00M,,567.00M,567.00M,1.206B,1.206B,1.206B,,,1.773B,8.026B,,8.026B,802.00M,,802.00M,,25.03B,3.386B,4.591B,37.24B,52.74B,,4.00M,15.28B,3.658B,705.00M,,735.00M,18.97B,,AOR,Restated
2011-06,148.00M,5.692B,5.84B,10.13B,,10.13B,,15.97B,12.46B,856.00M,,856.00M,,48.67B,,64.02B,76.07B,,558.00M,,558.00M,558.00M,6.00M,6.00M,6.00M,,,564.00M,9.163B,,9.163B,638.00M,,638.00M,,25.20B,3.409B,4.53B,38.41B,52.59B,,4.00M,15.14B,3.653B,430.00M,,581.00M,18.95B,,AOR,Restated
2011-03,123.00M,6.026B,6.149B,,,10.18B,,16.33B,12.54B,856.00M,,856.00M,,45.47B,125.00M,60.83B,75.97B,,,,419.00M,419.00M,197.00M,197.00M,197.00M,,,616.00M,9.296B,,9.296B,,,,,25.35B,3.321B,4.759B,37.97B,52.52B,,4.00M,14.92B,3.671B,202.00M,,294.00M,18.69B,,AOR,Restated
2010-12,120.00M,7.08B,7.20B,10.14B,,10.14B,,17.34B,12.64B,856.00M,,856.00M,,45.98B,,61.56B,76.28B,,685.00M,,685.00M,685.00M,647.00M,647.00M,647.00M,562.00M,562.00M,1.894B,8.83B,,8.83B,,,,,25.50B,3.203B,4.656B,37.53B,53.17B,,4.00M,14.56B,3.667B,15.00M,,230.00M,18.45B,,AOR,Restated
2010-09,132.00M,6.099B,6.231B,,,11.09B,,17.32B,12.62B,856.00M,,856.00M,,46.10B,0.00,61.29B,76.82B,,,,968.00M,968.00M,647.00M,647.00M,647.00M,,,1.615B,8.829B,,8.829B,557.00M,,557.00M,,25.78B,3.265B,4.64B,38.43B,53.32B,,4.00M,14.43B,3.758B,353.00M,,1.017B,18.86B,,AOR,Restated
2010-06,91.00M,5.622B,5.713B,,,9.765B,,15.48B,12.63B,856.00M,,856.00M,,45.45B,561.00M,60.84B,75.06B,,,,308.00M,308.00M,247.00M,247.00M,247.00M,,,555.00M,8.809B,,8.809B,,,,,25.97B,3.303B,4.522B,38.08B,52.33B,,4.00M,14.43B,3.749B,269.00M,,295.00M,18.20B,,AOR,Restated
2010-03,135.00M,6.187B,6.322B,,,10.00B,,16.32B,13.25B,856.00M,,856.00M,,45.34B,869.00M,61.14B,75.86B,,,,662.00M,662.00M,62.00M,62.00M,62.00M,,,724.00M,9.549B,,9.549B,,,,,26.56B,3.283B,4.447B,39.39B,53.86B,,4.00M,14.08B,3.745B,213.00M,,-75.00M,17.55B,,AOR,Restated
2009-12,190.00M,7.215B,7.405B,10.21B,,10.21B,,17.62B,13.27B,856.00M,,856.00M,,44.04B,627.00M,59.51B,74.07B,,540.00M,,540.00M,540.00M,10.00M,10.00M,10.00M,,,550.00M,9.475B,,9.475B,,,,,26.82B,3.274B,4.186B,39.56B,52.98B,,4.00M,13.69B,3.637B,16.00M,,-419.00M,16.90B,,AOR,Restated
2009-09,156.00M,6.369B,6.525B,,,11.52B,,18.05B,13.20B,856.00M,,856.00M,,43.16B,993.00M,58.75B,75.11B,,339.00M,2.112B,2.451B,2.451B,9.00M,9.00M,9.00M,,,2.46B,8.695B,,8.695B,,,,,26.91B,3.392B,4.16B,38.99B,53.93B,,4.00M,13.56B,3.931B,143.00M,,-329.00M,17.03B,,AOR,Restated
2009-06,136.00M,6.454B,6.59B,,,11.53B,,18.12B,12.67B,856.00M,,856.00M,,39.33B,2.189B,54.24B,71.63B,,350.00M,930.00M,1.28B,1.28B,23.00M,23.00M,23.00M,,,1.303B,8.647B,,8.647B,,,,,27.10B,3.508B,3.746B,39.26B,52.87B,,4.00M,13.12B,3.894B,32.00M,,-1.972B,15.02B,,AOR,Restated
2009-03,138.00M,7.563B,7.701B,,,11.33B,,19.04B,12.16B,,875.00M,875.00M,,37.32B,3.145B,51.77B,69.67B,,344.00M,869.00M,1.213B,1.213B,18.00M,18.00M,18.00M,,,1.231B,8.402B,,8.402B,,,,,27.24B,3.461B,3.525B,39.11B,52.77B,,4.00M,12.70B,3.896B,,,-3.229B,13.37B,,AOR,Restated
2008-12,131.00M,6.033B,6.164B,,,11.67B,,17.84B,12.89B,856.00M,,856.00M,,36.67B,2.928B,51.85B,69.87B,,316.00M,679.00M,995.00M,995.00M,71.00M,71.00M,71.00M,,,1.066B,8.187B,,8.187B,,,,,27.59B,3.405B,4.002B,39.18B,52.74B,,4.00M,13.38B,3.34B,0.00,,-3.586B,13.13B,,AOR,Restated
2008-09,236.00M,8.673B,8.909B,,,12.20B,,21.11B,12.81B,,1.358B,1.358B,,39.92B,1.466B,55.57B,73.42B,,367.00M,1.593B,1.96B,1.96B,273.00M,273.00M,273.00M,,,2.233B,7.401B,,7.401B,,,,,28.02B,3.549B,4.168B,38.97B,53.51B,,4.00M,14.44B,3.288B,12.00M,,-1.974B,15.74B,,AOR,Restated
2008-06,168.00M,9.736B,9.904B,,,11.96B,,21.87B,11.78B,,1.357B,1.357B,,42.91B,1.026B,57.55B,74.78B,,373.00M,1.971B,2.344B,2.344B,258.00M,258.00M,258.00M,,,2.602B,7.137B,,7.137B,,,,,28.20B,3.644B,4.254B,38.98B,53.75B,,4.00M,14.60B,3.28B,0.00,,-1.101B,16.78B,,AOR,Restated
2008-03,207.00M,10.89B,11.10B,,,11.96B,,23.06B,11.09B,,1.354B,1.354B,,45.07B,1.445B,59.30B,76.89B,,396.00M,881.00M,1.277B,1.277B,262.00M,262.00M,262.00M,,,1.539B,7.093B,,7.093B,,,,,28.50B,3.577B,3.788B,39.17B,55.85B,,6.00M,14.27B,3.973B,8.00M,,-983.00M,17.26B,,AOR,Restated
2007-12,140.00M,8.23B,8.37B,,,11.47B,,19.84B,10.22B,,1.353B,1.353B,,44.24B,441.00M,57.16B,76.12B,,401.00M,580.00M,981.00M,981.00M,358.00M,358.00M,358.00M,,,1.339B,6.90B,,6.90B,,,,,28.59B,3.597B,,39.08B,58.52B,,5.00M,13.69B,3.967B,8.00M,5.00M,-65.00M,17.59B,,AOR,Restated
2007-09,127.00M,11.88B,12.01B,,,12.91B,,24.92B,9.637B,,1.346B,1.346B,,48.13B,845.40M,63.42B,78.96B,,,,4.081B,4.081B,164.20M,164.20M,164.20M,,,4.245B,7.068B,,7.068B,,,,,40.75B,3.751B,3.652B,51.57B,58.03B,,5.40M,13.82B,4.071B,679.50M,,59.10M,17.28B,,AOR,Restated
2007-06,137.10M,14.25B,14.39B,,,14.53B,,28.91B,5.989B,,297.40M,297.40M,,51.90B,798.80M,62.39B,79.54B,,,,4.315B,4.315B,164.10M,164.10M,164.10M,,,4.479B,4.957B,,4.957B,,,,,40.94B,3.882B,3.534B,49.78B,58.86B,,6.50M,13.35B,4.065B,391.90M,,111.20M,17.14B,,AOR,Restated
2007-03,128.50M,14.62B,14.75B,,,13.06B,,27.81B,5.720B,,297.40M,297.40M,,51.13B,605.20M,61.24B,76.74B,,,,1.957B,1.957B,4.30M,4.30M,4.30M,,,1.962B,5.128B,,5.128B,,,,,41.07B,3.824B,3.406B,50.02B,56.42B,,5.40M,12.78B,4.058B,321.70M,,393.70M,16.92B,,AOR,Restated
2006-12,133.80M,12.82B,12.96B,,,13.03B,,25.98B,5.501B,,298.90M,298.90M,,51.70B,620.90M,61.41B,76.88B,,,,1.586B,1.586B,4.60M,4.60M,4.60M,,,1.590B,5.568B,,5.568B,,,,,41.08B,3.784B,2.896B,50.43B,57.48B,,6.50M,12.10B,4.018B,7.70M,,386.70M,16.50B,,AOR,
2006-09,155.70M,15.58B,15.73B,14.28B,,14.28B,,30.01B,5.280B,,298.90M,298.90M,,49.47B,628.10M,58.63B,75.78B,,,,2.087B,2.087B,554.50M,554.50M,554.50M,,,2.641B,5.372B,,5.372B,,,,,41.61B,3.871B,2.534B,50.86B,57.16B,,6.70M,11.84B,4.064B,206.80M,,381.70M,16.08B,,AOR,Restated
2006-06,139.90M,11.03B,11.17B,,,14.80B,,25.96B,5.142B,,297.20M,297.20M,,44.66B,1.110B,53.95B,71.71B,,,,2.281B,2.281B,554.30M,554.30M,554.30M,,,2.835B,4.587B,,4.587B,,,,,41.66B,3.907B,2.127B,50.15B,55.44B,,557.20M,11.28B,2.63B,196.50M,,,14.14B,,AOR,Restated
2006-03,141.00M,12.47B,12.61B,,,15.25B,,27.86B,5.051B,,298.40M,298.40M,,44.06B,964.10M,53.26B,71.33B,,,,2.374B,2.374B,556.30M,556.30M,556.30M,,,2.930B,4.600B,,4.600B,,,,,41.91B,3.847B,2.047B,50.36B,55.97B,,186.80M,10.84B,2.251B,63.30M,,,13.31B,,AOR,Restated
2005-12,153.10M,9.107B,9.260B,,,15.31B,,24.57B,4.952B,,297.40M,297.40M,,43.60B,905.30M,52.55B,70.68B,,,,2.038B,2.038B,598.20M,598.20M,598.20M,,,2.636B,4.609B,,4.609B,,,,,42.44B,3.706B,2.059B,50.75B,55.52B,,186.60M,10.36B,2.238B,7.70M,,311.10M,13.09B,,AOR,
2005-09,203.00M,10.09B,10.30B,,,17.54B,,27.83B,4.884B,,296.50M,296.50M,,44.61B,719.90M,54.39B,74.64B,,,,4.568B,4.568B,69.30M,69.30M,69.30M,,,4.637B,5.167B,,5.167B,,,,,43.55B,4.343B,1.768B,53.06B,60.04B,,186.40M,10.49B,1.816B,7.70M,,,12.82B,,AOR,Restated
2005-06,326.40M,9.506B,9.832B,,,18.09B,,27.92B,4.864B,,284.40M,284.40M,,43.41B,654.20M,53.30B,74.18B,,,,5.100B,5.100B,99.10M,99.10M,99.10M,,,5.199B,5.140B,,5.140B,,,,,42.93B,4.414B,1.750B,52.49B,59.53B,,186.40M,10.25B,1.808B,7.70M,,,12.90B,,AOR,Restated
2005-03,186.10M,9.964B,10.15B,,,18.71B,,28.86B,4.803B,,284.40M,284.40M,,42.79B,778.10M,52.64B,74.12B,,,,4.423B,4.423B,2.208B,2.208B,2.208B,,,6.631B,4.875B,,4.875B,,,,1.186B,43.19B,4.447B,1.675B,53.69B,60.29B,,186.30M,9.870B,1.805B,7.70M,,,12.15B,,AOR,Restated
2004-12,219.90M,8.307B,8.527B,,,18.81B,,27.33B,4.841B,,294.10M,294.10M,,42.47B,624.90M,52.26B,73.75B,,,,3.639B,3.639B,1.010B,1.010B,1.010B,,,4.649B,5.980B,,5.980B,,,,918.00M,43.65B,4.522B,1.682B,55.07B,59.88B,,185.60M,9.617B,1.801B,7.70M,,586.90M,12.18B,,AOR,
