,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.345B,1.041B,2.386B,787.82M,,787.82M,2.274M,24.66M,,26.93M,192.19M,450.14M,,73.71M,3.932B,,,,289.71M,,,289.71M,,289.71M,521.00M,529.78M,1.051B,117.69M,445.87M,1.904B,5.836B,85.10M,,85.10M,944.02M,1.029B,,,,,29.05M,29.05M,1.063B,1.063B,,109.22M,2.326B,,150.79M,150.79M,,32.88M,32.88M,,425.36M,609.04M,2.935B,1.373M,1.470B,2.285B,820.57M,,,-34.82M,2.901B
2020-06,1.404B,880.82M,2.285B,685.17M,,685.17M,1.447M,18.04M,,19.49M,183.71M,467.62M,,31.71M,3.687B,,,,286.92M,,,286.92M,,286.92M,389.82M,456.71M,846.53M,120.89M,427.96M,1.682B,5.369B,56.41M,,56.41M,964.16M,1.021B,,,,,27.60M,27.60M,928.10M,928.10M,,101.25M,2.149B,,153.51M,153.51M,,32.85M,32.85M,,383.12M,569.47M,2.718B,1.367M,1.371B,2.152B,820.57M,,,-52.13M,2.651B
2020-03,1.358B,644.00M,2.002B,592.56M,,592.56M,1.124M,17.98M,,19.11M,273.50M,546.60M,,40.32M,3.493B,0.0,,217.03M,154.28M,,113.06M,484.37M,-198.20M,286.17M,386.49M,453.04M,839.53M,116.68M,213.10M,1.455B,4.949B,65.68M,,65.68M,998.69M,1.064B,,,,,25.19M,25.19M,777.78M,777.78M,,89.40M,2.039B,,152.06M,152.06M,,28.34M,28.34M,,190.65M,371.05M,2.410B,1.359M,1.282B,2.135B,820.57M,,,-58.38M,2.539B
2019-12,1.285B,699.27M,1.984B,647.46M,,647.46M,1.195M,23.23M,,24.43M,228.57M,457.57M,,59.80M,3.435B,,,,280.47M,,,280.47M,,280.47M,391.82M,497.35M,889.16M,111.74M,163.22M,1.445B,4.880B,82.49M,,82.49M,939.81M,1.022B,,,,,24.11M,24.11M,841.81M,841.81M,,79.48M,2.096B,,151.40M,151.40M,,32.96M,32.96M,,196.90M,381.27M,2.478B,1.358M,1.159B,2.100B,820.57M,,,-38.49M,2.402B
2019-09,762.03M,742.61M,1.505B,858.60M,,858.60M,4.885M,34.41M,,39.29M,218.67M,668.37M,,62.33M,3.388B,,,,248.48M,,,248.48M,,248.48M,383.78M,588.78M,972.56M,110.65M,95.09M,1.427B,4.815B,114.95M,,114.95M,1.098B,1.213B,,,,,22.27M,22.27M,901.81M,901.81M,,84.26M,2.290B,,118.79M,118.79M,,25.38M,25.38M,,198.95M,343.12M,2.633B,1.356M,995.72M,2.060B,820.57M,,,-54.46M,2.182B
2019-06,984.62M,557.65M,1.542B,352.62M,,352.62M,2.58M,21.27M,,23.85M,220.32M,627.37M,,18.07M,2.821B,,,,251.25M,,,251.25M,,251.25M,391.40M,701.60M,1.093B,109.50M,91.38M,1.545B,4.366B,55.38M,,55.38M,893.57M,948.94M,,,,,21.79M,21.79M,826.08M,826.08M,,79.86M,1.942B,,125.13M,125.13M,,22.10M,22.10M,,190.66M,337.89M,2.280B,1.355M,923.91M,2.026B,820.57M,,,-43.99M,2.086B
2019-03,826.52M,744.48M,1.571B,395.73M,,395.73M,3.353M,24.85M,,28.20M,186.69M,565.46M,,28.88M,2.828B,0.0,,198.42M,,,99.09M,297.51M,-169.63M,127.88M,381.72M,676.55M,1.058B,134.73M,94.35M,1.415B,4.243B,72.80M,,72.80M,877.66M,950.46M,,,,,0.00,0.00,843.30M,843.30M,,84.34M,1.952B,,0.00,0.00,,21.06M,21.06M,,229.63M,250.69M,2.202B,1.346M,877.63M,2.019B,820.57M,,,-37.19M,2.041B
2018-12,1.055B,545.73M,1.601B,823.48M,,823.48M,3.421M,36.36M,,39.79M,179.45M,240.58M,,33.54M,2.975B,,,,,,,,,114.67M,383.11M,677.40M,1.061B,154.04M,83.17M,1.412B,4.387B,74.62M,,74.62M,941.46M,1.016B,,,,,,,818.41M,818.41M,,133.78M,2.099B,,,,,69.14M,69.14M,,191.20M,260.34M,2.360B,1.344M,820.80M,1.977B,720.57M,,,-50.95M,2.027B
2018-09,462.35M,562.95M,1.025B,534.63M,,534.63M,7.519M,33.02M,,40.54M,162.65M,370.75M,,36.91M,2.192B,,,,,,,,,110.90M,389.82M,881.44M,1.271B,0.489M,80.81M,1.463B,3.655B,77.30M,,77.30M,724.04M,801.34M,,,,,,,559.02M,559.02M,,79.48M,1.490B,,,,,15.41M,15.41M,,205.55M,220.96M,1.711B,1.341M,640.85M,1.951B,611.68M,,,-37.20M,1.944B
2018-06,464.80M,637.46M,1.102B,239.74M,,239.74M,1.28M,9.362M,,10.64M,180.51M,509.38M,,12.68M,2.074B,,,,,,,,,105.85M,387.33M,811.82M,1.199B,0.736M,75.92M,1.382B,3.456B,33.77M,,33.77M,789.78M,823.54M,,,,,,,450.57M,450.57M,,68.32M,1.391B,5.232M,,5.232M,,15.86M,15.86M,,191.49M,212.58M,1.604B,1.338M,615.48M,1.888B,611.68M,,,-41.02M,1.852B
2018-03,808.97M,615.41M,1.424B,247.65M,,247.65M,1.222M,13.94M,,15.16M,133.45M,437.40M,,33.28M,2.409B,0.0,,157.70M,,,88.76M,246.46M,-143.98M,102.48M,399.53M,743.05M,1.143B,31.65M,51.96M,1.329B,3.738B,35.03M,,35.03M,735.58M,770.61M,,,,,,,777.15M,802.15M,,96.67M,1.727B,8.068M,,8.068M,,355.59M,355.59M,,158.28M,521.94M,2.249B,1.327M,73.52M,1.888B,458.18M,,,-15.73M,1.489B
2017-12,774.46M,547.33M,1.322B,425.93M,,425.93M,3.14M,27.72M,,30.86M,90.86M,374.81M,,39.37M,2.448B,,,,,,,,,96.57M,389.73M,694.98M,1.085B,,53.61M,1.235B,3.683B,46.00M,,46.00M,726.07M,772.07M,,,,,,,1.119B,1.144B,,73.57M,2.072B,13.84M,,13.84M,,44.50M,44.50M,,151.33M,209.67M,2.282B,1.326M,-17.31M,1.861B,413.52M,,,-31.10M,1.401B
2017-09,749.63M,513.52M,1.263B,429.02M,,429.02M,8.784M,27.65M,,36.43M,100.70M,469.10M,,41.98M,2.456B,,,,,,,,,86.69M,381.36M,711.60M,1.093B,10.82M,50.39M,1.241B,3.696B,75.81M,,75.81M,808.76M,884.56M,,,,,,,822.13M,847.13M,,74.14M,1.851B,52.37M,,52.37M,,167.07M,167.07M,,153.99M,373.43M,2.224B,1.307M,-42.45M,1.845B,303.39M,,,-28.47M,1.472B
2017-06,828.11M,452.95M,1.281B,229.20M,,229.20M,0.817M,10.82M,,11.64M,84.82M,406.34M,,20.18M,2.113B,,,,,,,,,76.61M,369.62M,596.21M,965.83M,17.02M,46.97M,1.106B,3.220B,36.93M,,36.93M,677.77M,714.71M,,,,,,,619.44M,644.44M,,65.08M,1.466B,212.86M,,212.86M,,231.53M,231.53M,,209.37M,653.76M,2.120B,1.23M,-39.65M,1.479B,303.39M,,,-37.58M,1.100B
2017-03,943.40M,448.93M,1.392B,219.56M,,219.56M,0.793M,15.53M,,16.32M,59.59M,337.82M,,41.72M,2.195B,0.0,,131.76M,,,56.76M,188.52M,-121.22M,67.30M,359.12M,492.17M,851.29M,0.00,35.32M,953.91M,3.149B,31.89M,,31.89M,616.12M,648.01M,,,,,,,903.12M,928.12M,,64.92M,1.686B,251.93M,,251.93M,,10.41M,10.41M,,197.20M,459.53M,2.145B,1.198M,-99.69M,1.453B,303.39M,,,-47.14M,1.004B
2016-12,1.039B,404.52M,1.444B,327.43M,,327.43M,2.241M,24.42M,,26.66M,70.46M,278.54M,,126.18M,2.451B,,,,,,,,,65.80M,213.52M,330.33M,543.85M,0.00,28.27M,637.92M,3.089B,54.25M,,54.25M,610.30M,664.55M,,,,,,,1.073B,1.073B,,57.85M,1.864B,258.88M,,258.88M,,11.26M,11.26M,,134.23M,404.36M,2.268B,1.18M,-198.97M,1.370B,303.39M,,,-48.18M,820.92M
2016-09,770.00M,404.59M,1.175B,381.59M,,381.59M,5.587M,71.97M,,77.56M,60.89M,368.11M,,178.63M,2.371B,,,,,,,,,68.53M,215.66M,304.95M,520.61M,3.033M,16.14M,608.31M,2.979B,144.76M,,144.76M,666.73M,811.49M,,,,,,,821.41M,821.41M,,47.76M,1.719B,511.64M,,511.64M,,54.74M,54.74M,,110.72M,677.09M,2.396B,1.046M,-169.13M,1.097B,303.39M,,,-42.87M,582.75M
2016-06,796.33M,392.49M,1.189B,141.15M,,141.15M,1.462M,11.27M,,12.73M,56.73M,318.50M,,167.22M,1.978B,,,,,,,,,72.41M,215.62M,251.88M,467.50M,5.301M,15.84M,561.06M,2.539B,37.78M,,37.78M,559.63M,597.42M,,,,,,,604.41M,604.41M,,25.58M,1.262B,504.38M,,504.38M,,153.91M,153.91M,,85.26M,743.56M,2.005B,1.046M,-205.56M,1.083B,303.39M,,,-41.32M,533.54M
2016-03,798.74M,470.82M,1.270B,168.53M,,168.53M,1.567M,14.32M,,15.89M,53.27M,261.17M,,178.39M,2.045B,0.0,,128.36M,,,47.77M,176.13M,-99.00M,77.13M,217.08M,219.44M,436.52M,17.92M,13.44M,545.00M,2.590B,30.45M,,30.45M,527.58M,558.03M,,,,,,,582.48M,582.48M,,39.98M,1.220B,497.94M,,497.94M,,216.32M,216.32M,,74.23M,788.48M,2.009B,1.038M,-167.00M,1.089B,303.39M,,,-37.90M,581.38M
2015-12,835.24M,379.44M,1.215B,263.69M,,263.69M,2.227M,17.98M,,20.21M,60.13M,204.09M,,214.54M,2.106B,,,,,,,,,76.66M,216.78M,171.99M,388.77M,1.742M,11.53M,478.70M,2.585B,59.60M,,59.60M,501.07M,560.67M,,,,,,,791.76M,791.76M,,50.00M,1.455B,491.58M,,491.58M,,39.88M,39.88M,,71.60M,603.06M,2.058B,1.044M,-213.40M,1.077B,303.39M,,,-34.74M,526.97M
2015-09,711.71M,352.96M,1.065B,240.86M,,240.86M,2.204M,21.82M,,24.02M,67.62M,215.23M,,240.33M,1.965B,,,,,,,,,81.69M,217.73M,133.55M,351.28M,5.428M,13.49M,451.89M,2.416B,69.14M,,69.14M,382.44M,451.58M,,,,,,,676.89M,676.89M,,44.84M,1.214B,487.60M,,487.60M,,85.24M,85.24M,,65.71M,638.55M,1.852B,1.042M,-170.98M,1.067B,303.39M,,,-29.35M,564.06M
2015-06,815.78M,375.01M,1.191B,130.92M,,130.92M,0.246M,12.21M,,12.45M,76.76M,229.99M,,201.01M,1.908B,,,,,,,,,83.09M,219.04M,114.14M,333.18M,15.23M,13.13M,444.63M,2.353B,29.53M,,29.53M,437.70M,467.23M,,,,,,,572.44M,572.44M,,38.55M,1.106B,481.78M,,481.78M,,172.73M,172.73M,,64.95M,719.46M,1.826B,1.046M,-225.72M,1.050B,276.84M,,,-21.56M,526.84M
2015-03,911.12M,186.93M,1.098B,217.86M,,217.86M,2.822M,17.23M,,20.05M,54.06M,169.68M,,163.38M,1.780B,0.0,,147.32M,,,35.54M,182.86M,-113.07M,69.79M,217.29M,129.10M,346.39M,19.87M,12.17M,448.21M,2.228B,38.79M,,38.79M,353.64M,392.42M,,,,,,,482.73M,482.73M,,43.34M,966.26M,473.03M,,473.03M,,164.62M,164.62M,,61.08M,698.72M,1.665B,1.046M,-158.70M,1.028B,276.84M,,,-30.62M,563.09M
2014-12,897.45M,79.14M,976.59M,435.71M,,435.71M,2.768M,21.85M,,24.62M,116.38M,31.30M,,178.97M,1.806B,,,,,,,,,63.44M,221.07M,120.61M,341.68M,26.62M,16.07M,447.80M,2.254B,113.24M,36.68M,149.92M,134.52M,284.44M,,,,,,,338.00M,338.00M,,29.81M,707.10M,470.42M,,470.42M,,197.94M,197.94M,,62.96M,731.32M,1.438B,1.046M,84.10M,1.025B,276.84M,,,-17.54M,815.39M
2014-09,754.41M,49.37M,803.78M,25.43M,,25.43M,9.497M,46.45M,,55.95M,78.79M,77.56M,,225.28M,1.267B,,,,,,,,,56.21M,223.97M,106.63M,330.60M,,11.63M,398.44M,1.665B,85.12M,,85.12M,118.40M,203.52M,,,,,,,107.96M,107.96M,,36.03M,379.14M,464.87M,,464.87M,,,,,66.19M,531.06M,910.20M,1.047M,44.00M,992.21M,276.84M,,,-5.417M,755.01M
2014-06,822.00M,19.37M,841.37M,43.16M,,43.16M,0.953M,22.19M,,23.15M,78.14M,61.92M,,186.62M,1.234B,,,,,,,,,47.01M,227.11M,84.07M,311.18M,,15.19M,373.38M,1.608B,22.58M,,22.58M,112.54M,135.12M,,,,,,,87.37M,87.37M,,35.46M,285.27M,459.41M,,459.41M,,,,,80.02M,539.43M,824.70M,1.047M,85.37M,967.36M,276.84M,,,6.093M,783.04M
2014-03,935.40M,0.00,935.40M,53.14M,,53.14M,1.362M,28.42M,,29.78M,66.07M,193.84M,,116.20M,1.399B,0.0,,105.40M,,,33.97M,139.37M,-96.80M,42.57M,226.70M,114.62M,341.32M,0.858M,15.44M,400.19M,1.800B,16.45M,21.95M,38.41M,300.38M,338.78M,,,,,,,61.20M,61.20M,,30.58M,474.82M,454.03M,,454.03M,,18.13M,18.13M,,50.84M,523.00M,997.82M,1.052M,120.78M,954.70M,276.84M,,,2.116M,801.81M
2013-12,972.17M,,972.17M,189.52M,,189.52M,0.684M,44.35M,,45.04M,246.16M,,,92.77M,1.546B,,,,,,,,,38.77M,226.84M,106.37M,333.21M,,67.72M,439.70M,1.985B,42.85M,88.62M,131.46M,433.78M,565.25M,,,,,,,51.37M,61.31M,,24.08M,693.48M,448.74M,,448.74M,,,,,21.14M,469.87M,1.163B,1.048M,151.56M,944.01M,276.84M,,,2.215M,822.00M
2013-09,661.92M,,661.92M,1.011B,,1.011B,6.948M,77.08M,,84.03M,72.13M,,,119.53M,2.251B,,,,,,,,,34.27M,228.01M,119.25M,347.25M,,68.52M,450.05M,2.701B,287.67M,124.22M,411.89M,103.66M,515.55M,,,,,,,1.154B,1.166B,,27.59M,1.738B,443.53M,,443.53M,,,,,20.72M,464.25M,2.202B,1.046M,-426.86M,922.06M,,,,2.622M,498.86M
