,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,555.00M,0.00,0.00,-1.361B,59.00M,-1.302B,-1.302B,-38.00M,76.00M,-57.00M,-3.968B,414.00M,,-899.00M,-4.51B,-5.219B,-153.00M,-153.00M,0.00,-1.473B,214.00M,12.17B,-8.00M,-2.599B,-2.607B,,-14.00M,-14.00M,,0.00,0.00,-221.00M,,,-5.791B,3.685B,1.163B,4.848B,,0.00,-8.00M,-14.00M
2020-06,694.00M,0.00,0.00,294.00M,58.00M,352.00M,352.00M,-5.00M,122.00M,40.00M,315.00M,47.00M,,-229.00M,173.00M,1.336B,-157.00M,-157.00M,0.00,14.39B,181.00M,74.48B,-8.00M,-20.19B,-20.20B,,-9.00M,-9.00M,,0.00,0.00,-215.00M,,,-77.06B,4.932B,-1.247B,3.685B,,0.00,-8.00M,-9.00M
2020-03,634.00M,-2.00M,-2.00M,274.00M,58.00M,332.00M,332.00M,8.00M,185.00M,-43.00M,4.179B,-891.00M,,-363.00M,2.882B,4.039B,-114.00M,-114.00M,0.00,-28.91B,641.00M,-112.77B,2.489B,33.93B,36.42B,,-558.00M,-558.00M,,-500.00M,-500.00M,-230.00M,,,110.36B,3.302B,1.63B,4.932B,,2.497B,-8.00M,-1.058B
2019-12,564.00M,0.00,0.00,305.00M,58.00M,363.00M,363.00M,-145.00M,79.00M,27.00M,-1.177B,-434.00M,,1.776B,192.00M,1.053B,-161.00M,-161.00M,0.00,-1.23B,254.00M,-5.523B,1.14B,-6.462B,-5.322B,,-500.00M,-500.00M,,-750.00M,-750.00M,-239.00M,,,4.174B,3.598B,-296.00M,3.302B,,1.495B,-355.00M,-1.25B
2019-09,583.00M,2.00M,2.00M,281.00M,59.00M,340.00M,340.00M,-41.00M,99.00M,-56.00M,364.00M,1.038B,,2.635B,3.981B,4.964B,-227.00M,-227.00M,0.00,-2.913B,172.00M,-5.656B,-8.00M,1.635B,1.627B,,-510.00M,-510.00M,,0.00,0.00,-230.00M,,,1.18B,3.11B,488.00M,3.598B,,0.00,-8.00M,-510.00M
2019-06,587.00M,-2.00M,-2.00M,271.00M,59.00M,330.00M,330.00M,91.00M,99.00M,75.00M,131.00M,-501.00M,,-558.00M,-853.00M,252.00M,-171.00M,-171.00M,0.00,-2.057B,30.00M,-13.12B,-8.00M,4.401B,4.393B,,-313.00M,-313.00M,,0.00,0.00,-227.00M,,,11.98B,4.00B,-890.00M,3.11B,,0.00,-8.00M,-313.00M
2019-03,508.00M,1.00M,1.00M,244.00M,60.00M,304.00M,304.00M,-35.00M,143.00M,-74.00M,976.00M,-816.00M,,-1.586B,-1.50B,-579.00M,-171.00M,-171.00M,-54.00M,-3.11B,264.00M,21.67B,-31.00M,-1.807B,-1.838B,,-343.00M,-343.00M,,0.00,0.00,-234.00M,,,-20.30B,3.212B,788.00M,4.00B,,,-31.00M,-343.00M
2018-12,437.00M,0.00,0.00,248.00M,81.00M,329.00M,329.00M,-45.00M,305.00M,123.00M,-479.00M,-69.00M,,513.00M,88.00M,1.114B,-173.00M,-173.00M,-2.532B,-945.00M,37.00M,-15.93B,566.00M,1.475B,2.041B,-113.00M,-124.00M,-237.00M,0.00,,0.00,-220.00M,,,13.75B,4.279B,-1.067B,3.212B,-113.00M,,-429.00M,-124.00M
2018-09,764.00M,1.00M,1.00M,240.00M,47.00M,287.00M,287.00M,-2.00M,-173.00M,-110.00M,-505.00M,323.00M,,5.074B,4.782B,5.659B,-151.00M,-151.00M,-63.00M,464.00M,11.00M,13.16B,-8.00M,-1.492B,-1.50B,1.263B,90.00M,1.353B,495.00M,,495.00M,-209.00M,,,-18.33B,3.886B,496.00M,4.279B,1.758B,,-8.00M,90.00M
2018-06,733.00M,-9.00M,-9.00M,241.00M,48.00M,289.00M,289.00M,-56.00M,93.00M,97.00M,287.00M,717.00M,,-3.585B,-2.484B,-1.434B,-138.00M,-138.00M,0.00,-2.698B,11.00M,7.241B,-509.00M,1.105B,596.00M,,-20.00M,-20.00M,,,,-189.00M,,,-4.467B,2.546B,1.34B,3.886B,,,-509.00M,-20.00M
2018-03,659.00M,2.00M,2.00M,248.00M,50.00M,298.00M,298.00M,-33.00M,175.00M,-84.00M,1.091B,-993.00M,,3.721B,3.735B,4.836B,-147.00M,-147.00M,0.00,11.52B,17.00M,-8.973B,-515.00M,-900.00M,-1.415B,,-420.00M,-420.00M,,,,-210.00M,,,4.576B,2.107B,439.00M,2.546B,,,-515.00M,-420.00M
2017-12,349.00M,0.00,0.00,235.00M,54.00M,289.00M,289.00M,309.00M,-61.00M,-56.00M,-1.70B,729.00M,,5.224B,4.197B,5.083B,-152.00M,-152.00M,0.00,-5.005B,25.00M,-10.83B,-11.00M,-1.134B,-1.145B,0.00,-375.00M,-375.00M,0.00,,0.00,-191.00M,,0.00,3.923B,3.939B,-1.825B,2.004B,0.00,0.00,-11.00M,-375.00M
2017-09,685.00M,-1.00M,-1.00M,221.00M,54.00M,275.00M,275.00M,-161.00M,61.00M,-238.00M,379.00M,-276.00M,,-2.866B,-3.001B,-2.142B,-160.00M,-160.00M,0.00,2.886B,41.00M,5.863B,-11.00M,-201.00M,-212.00M,0.00,-375.00M,-375.00M,0.00,,0.00,-198.00M,,0.00,-2.938B,3.156B,783.00M,3.939B,0.00,0.00,-11.00M,-375.00M
2017-06,620.00M,0.00,0.00,203.00M,54.00M,257.00M,257.00M,-53.00M,202.00M,-115.00M,-554.00M,-181.00M,,314.00M,-536.00M,490.00M,-161.00M,-161.00M,,1.563B,41.00M,1.806B,287.00M,141.00M,428.00M,,-259.00M,-259.00M,,,,-178.00M,,9.00M,-2.049B,2.909B,247.00M,3.156B,,747.00M,-460.00M,-259.00M
2017-03,502.00M,40.00M,40.00M,212.00M,52.00M,264.00M,264.00M,-3.00M,105.00M,-46.00M,1.908B,-1.606B,,2.345B,2.601B,3.509B,-164.00M,-164.00M,,2.227B,-5.00M,3.21B,-11.00M,-805.00M,-816.00M,,-409.00M,-409.00M,,,,-201.00M,,,-5.124B,1.314B,1.595B,2.909B,,,-11.00M,-409.00M
