,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.524B,2.524B,20.00M,1.461B,1.481B,59.00M,-15.00M,1.525B,0.00,478.00M,681.00M,126.00M,555.00M,,,,38.00M,555.00M,567.22M,-1.302B,723.00M,1.47,,,1.505,1.47,1.45,,,1.484,1.45,352.59M,357.17M,0.52
2020-06,2.672B,2.672B,12.00M,1.434B,1.446B,58.00M,-12.00M,1.492B,0.00,559.00M,803.00M,109.00M,694.00M,,,,32.00M,694.00M,704.37M,352.00M,918.00M,1.88,,,1.909,1.88,1.86,,,1.889,1.86,352.16M,356.41M,0.52
2020-03,2.784B,2.784B,18.00M,1.607B,1.625B,58.00M,-11.00M,1.672B,2.00M,664.00M,774.00M,140.00M,634.00M,,,,53.00M,634.00M,643.01M,332.00M,978.00M,1.64,,,1.665,1.64,1.62,,,1.645,1.62,353.75M,357.99M,0.52
2019-12,2.767B,2.767B,31.00M,1.525B,1.556B,58.00M,-80.00M,1.534B,-1.00M,636.00M,638.00M,74.00M,564.00M,,,,72.00M,564.00M,634.72M,363.00M,908.00M,1.75,,,1.946,1.75,1.73,,,1.923,1.73,361.35M,365.58M,0.52
2019-09,2.603B,2.603B,30.00M,1.474B,1.504B,59.00M,-27.00M,1.536B,0.00,644.00M,721.00M,138.00M,583.00M,,,,55.00M,583.00M,604.82M,340.00M,1.078B,1.44,,,1.499,1.44,1.42,,,1.479,1.42,366.73M,370.60M,0.52
2019-06,2.593B,2.593B,27.00M,1.463B,1.49B,59.00M,-12.00M,1.537B,0.00,613.00M,718.00M,131.00M,587.00M,,,,50.00M,587.00M,596.83M,330.00M,1.112B,1.44,,,1.466,1.44,1.42,,,1.446,1.42,373.77M,377.58M,0.47
2019-03,2.661B,2.661B,27.00M,1.607B,1.634B,60.00M,-9.00M,1.685B,0.00,673.00M,635.00M,127.00M,508.00M,,,,55.00M,508.00M,515.19M,304.00M,989.00M,1.2,,,1.219,1.2,1.18,,,1.199,1.18,377.92M,381.70M,0.47
2018-12,2.727B,2.727B,,1.747B,1.862B,81.00M,-36.00M,1.907B,0.00,697.00M,529.00M,92.00M,437.00M,,,,42.00M,437.00M,466.74M,329.00M,814.00M,1.05,,,1.128,1.05,1.04,,,1.1179999999999999,1.04,379.83M,383.71M,0.47
2018-09,2.727B,2.727B,,1.435B,1.435B,47.00M,0.00,1.482B,-1.00M,672.00M,893.00M,129.00M,764.00M,,,,55.00M,764.00M,764.00M,287.00M,1.137B,1.89,,,1.89,1.89,1.87,,,1.87,1.87,374.96M,379.38M,0.47
2018-06,2.777B,2.777B,29.00M,1.50B,1.529B,48.00M,0.00,1.577B,9.00M,659.00M,891.00M,158.00M,733.00M,,,,36.00M,733.00M,733.00M,289.00M,1.139B,1.91,,,1.91,1.91,1.88,,,1.88,1.88,365.62M,370.41M,0.42
