,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-06,20.90M,,,3.10M,6.50M,6.50M,-1.70M,,,-2.10M,-4.80M,-5.00M,4.00M,1.60M,,17.10M,-6.50M,6.40M,,33.10M,,-4.80M,0.20M,-4.60M,-11.40M,,,-16.00M,,,,-21.80M,2.10M,,2.10M,,1.30M,-18.40M,,9.20M,-1.30M,,7.90M,,2.10M,,,,,,
2006-03,17.90M,,,-2.50M,6.60M,6.60M,0.90M,,,-0.20M,-13.20M,-19.60M,-1.90M,7.40M,,0.70M,11.90M,-14.70M,,8.00M,,-4.40M,,-4.40M,-32.10M,,,-36.50M,,,,19.50M,5.00M,,5.00M,,3.90M,28.40M,,9.30M,-0.10M,,9.20M,,5.00M,,,,,,
2005-12,16.60M,,,-0.80M,7.10M,7.10M,-2.70M,,,,5.70M,-1.10M,-3.50M,6.60M,,30.10M,-23.00M,12.00M,,32.20M,,-7.50M,1.30M,-6.20M,-4.00M,,,-10.20M,,,,-26.90M,1.40M,,1.40M,,,-25.50M,,12.80M,-3.50M,,9.30M,,1.40M,,,,,,
2005-09,15.70M,,,-0.10M,6.30M,6.30M,-5.50M,,,,-1.60M,-2.40M,-1.00M,2.30M,,8.00M,6.70M,12.00M,,28.40M,,-4.90M,3.10M,-1.80M,-32.50M,,,-34.30M,,,,2.70M,3.70M,,3.70M,,,6.40M,,12.30M,0.50M,,12.80M,,3.70M,,,,,,
2005-06,16.10M,,,0.30M,6.10M,6.10M,0.20M,,,-0.20M,1.00M,4.30M,0.70M,-3.70M,,0.40M,4.50M,7.20M,,29.70M,,-4.10M,0.00,-4.10M,-21.90M,,,-26.00M,,,,-4.20M,0.60M,,0.60M,,,-3.60M,,12.20M,0.10M,,12.30M,,0.60M,,,,,,
2005-03,15.80M,,,0.20M,6.10M,6.10M,-2.20M,,,0.20M,-22.20M,-12.40M,0.40M,5.80M,,-1.50M,11.80M,-18.10M,,2.00M,,-3.30M,5.20M,1.90M,,,,1.90M,,,,-7.40M,4.30M,,4.30M,,,-3.10M,,11.40M,0.80M,,12.20M,,4.30M,,,,,,
2004-12,13.40M,,,,6.40M,6.40M,-15.30M,,,,8.80M,-3.90M,-3.00M,-1.80M,,41.20M,-15.20M,22.60M,,28.00M,,-8.90M,,-8.90M,-36.40M,0.00,-0.80M,-46.10M,,,,10.50M,3.30M,,3.30M,,,13.80M,,15.70M,-4.30M,,11.40M,,3.30M,,,,,,
2004-09,12.50M,,,,7.00M,7.00M,9.10M,,,,2.90M,-4.80M,-2.40M,6.50M,,-15.80M,15.30M,1.70M,,30.30M,,-3.90M,,-3.90M,-39.00M,0.50M,1.10M,-41.30M,,,,0.00,2.60M,,2.60M,,,2.60M,,24.10M,-8.40M,,15.70M,,2.60M,,,,,,
2004-06,9.90M,,,,5.80M,5.80M,-3.40M,,,-0.90M,-3.80M,1.10M,2.70M,1.00M,,11.20M,-5.20M,7.00M,,18.40M,,-2.70M,,-2.70M,-92.40M,16.80M,-0.10M,-78.40M,,,,60.00M,0.10M,,0.10M,,,60.10M,,24.00M,0.10M,,24.10M,,0.10M,,,,,,
2004-03,5.90M,,,,5.60M,5.60M,-0.60M,,,0.90M,-9.10M,-4.30M,0.90M,2.90M,,0.80M,5.20M,-3.60M,,8.20M,,-3.30M,,-3.30M,-20.00M,,,-23.30M,,,,,1.30M,,1.30M,,,1.30M,,37.80M,-13.80M,,24.00M,,1.30M,,,,,,
2003-12,7.80M,,,,6.00M,6.00M,16.40M,,,,-1.90M,10.90M,-1.90M,-2.00M,0.20M,-17.50M,0.20M,-12.00M,0.00,18.20M,,-7.50M,,-7.50M,0.40M,,0.00,-7.10M,,,,,0.10M,,0.10M,,,0.10M,,26.60M,11.20M,,37.80M,,0.10M,,,,,,
2003-09,9.90M,,,,5.90M,5.90M,-2.80M,,,,-4.40M,5.40M,0.00,2.20M,,11.10M,-0.50M,13.80M,0.00,26.80M,,14.20M,,14.20M,-20.30M,,0.10M,-6.00M,,,,,0.90M,,0.90M,,,0.90M,,4.90M,21.70M,,26.60M,,0.90M,,,,,,
2003-06,6.50M,,,,5.60M,5.60M,-4.60M,,,,-1.90M,-0.30M,-3.10M,-6.10M,-0.30M,17.40M,0.30M,6.00M,0.00,13.50M,,-24.00M,,-24.00M,,,-0.10M,-24.10M,,,,,0.10M,,0.10M,,,0.10M,,15.40M,-10.50M,,4.90M,,0.10M,,,,,,
2003-03,5.50M,,,,5.60M,5.60M,-3.30M,,,,1.20M,-7.50M,6.00M,-4.60M,0.30M,-4.90M,,-9.50M,-0.10M,-1.80M,,-2.90M,,-2.90M,,,-0.20M,-3.10M,,,,,1.30M,,1.30M,,,1.30M,,19.00M,-3.60M,,15.40M,,1.30M,,,,,,
2002-12,7.20M,,,1.00M,5.50M,5.50M,-14.20M,,,,3.30M,1.10M,-0.70M,1.60M,0.70M,8.80M,0.30M,15.10M,-0.20M,14.40M,,-5.40M,,-5.40M,,,24.40M,-4.00M,,,,0.00,-0.30M,,-0.30M,,,-0.30M,,8.90M,10.10M,,19.00M,,-0.30M,,,,,,
2002-09,6.90M,,,-0.10M,5.50M,5.50M,0.20M,,,,10.00M,-3.30M,-1.30M,6.00M,0.90M,0.00,0.40M,12.70M,-0.10M,25.10M,,-3.00M,,-3.00M,,,-23.60M,-26.60M,,,,0.00,0.30M,,0.30M,,,0.30M,,10.10M,-1.20M,,8.90M,,0.30M,,,,,,
2002-06,6.20M,,,,5.70M,5.70M,-3.10M,,,,2.40M,-6.90M,3.20M,1.70M,,16.90M,-0.70M,16.60M,-0.10M,25.30M,,-3.50M,,-3.50M,,,,-3.50M,,,,-19.50M,0.80M,,0.80M,,,-18.70M,,7.00M,3.10M,,10.10M,,0.80M,,,,,,
2002-03,5.10M,,,,5.10M,5.10M,3.40M,,,,-11.40M,1.10M,-0.70M,5.50M,,0.90M,,-4.60M,-0.50M,8.50M,,-3.50M,,-3.50M,,,,-3.50M,,,,-10.50M,0.60M,,0.60M,,,-9.90M,,11.90M,-4.90M,,7.00M,,0.60M,,,,,,
2001-12,6.50M,,,-15.60M,5.30M,5.30M,6.60M,,,15.60M,5.40M,12.10M,-2.50M,-8.60M,26.10M,-14.60M,0.20M,18.10M,0.00,36.50M,,-5.60M,0.00,-5.60M,-26.50M,,2.20M,-29.90M,,,,-1.90M,0.30M,,0.30M,,,-1.60M,,6.90M,5.00M,,11.90M,,0.30M,,,,,,
2001-09,5.70M,,,15.60M,4.70M,4.70M,14.90M,,,-15.60M,-3.50M,7.00M,-2.30M,-2.10M,-24.20M,10.40M,0.60M,-14.10M,0.00,11.20M,,-3.50M,0.00,-3.50M,2.50M,,-3.20M,-4.20M,,,,-6.10M,0.80M,,0.80M,,,-5.30M,,5.20M,1.70M,,6.90M,,0.80M,,,,,,
2001-06,-10.20M,,,,5.10M,5.10M,-8.80M,,,15.60M,6.60M,-1.60M,2.80M,-9.60M,,-2.80M,-0.80M,-5.40M,-0.40M,-4.10M,,-7.90M,1.00M,-6.90M,-2.50M,,3.30M,-6.10M,,,,10.30M,0.50M,,0.50M,,,10.80M,,4.60M,0.60M,,5.20M,,0.50M,,,,,,
2001-03,4.80M,,,,5.40M,5.40M,5.00M,,,,-2.40M,-16.10M,-0.50M,-2.00M,,-20.00M,0.80M,-40.20M,-0.90M,-25.90M,,-9.40M,,-9.40M,,,-3.60M,-13.00M,,,,27.70M,0.90M,,0.90M,,,28.60M,,14.90M,-10.30M,,4.60M,,0.90M,,,,,,
2000-12,9.50M,,,,3.20M,3.20M,-0.80M,,,-11.90M,5.40M,-2.90M,,2.30M,10.10M,3.70M,1.90M,20.50M,-0.80M,19.20M,,-13.50M,17.10M,3.60M,,,-5.30M,-0.50M,,,,-7.20M,-0.10M,,-0.10M,,,-7.30M,,3.50M,11.40M,,14.90M,,-0.10M,,,,,,
2000-09,9.50M,,,,3.80M,3.80M,8.60M,,,0.20M,-4.80M,-4.90M,,1.80M,-10.30M,3.40M,-1.00M,-15.80M,0.40M,6.70M,,-7.90M,-0.10M,-8.00M,,,1.10M,-8.10M,,,,-83.80M,85.50M,,85.50M,,,1.70M,,3.20M,0.30M,,3.50M,,85.50M,,,,,,
2000-06,3.10M,,,,3.50M,3.50M,-1.80M,,,-0.20M,-4.70M,-5.20M,,7.10M,-1.40M,-3.70M,-0.60M,-8.50M,1.90M,-2.00M,,-5.70M,0.00,-5.70M,,,-1.30M,-7.00M,,,,7.50M,0.10M,,0.10M,,,7.60M,,4.60M,-1.40M,,3.20M,,0.10M,,,,,,
2000-03,10.20M,,,,4.30M,4.30M,-2.60M,,,,-9.60M,-0.80M,,3.30M,,10.00M,-0.70M,2.20M,,14.10M,,-3.60M,0.10M,-3.50M,,,-0.30M,-3.80M,,,,-13.50M,0.70M,,0.70M,,,-12.80M,,7.10M,-2.50M,,4.60M,,0.70M,,,,,,
