,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-09,48.30M,,,,21.80M,21.80M,-3.40M,2.60M,2.10M,-4.00M,9.90M,-6.10M,-0.40M,3.80M,,,-2.30M,4.90M,1.20M,73.50M,,-10.20M,,-10.20M,-1.30M,,-0.20M,-11.50M,,-52.10M,,-52.10M,,0.00,0.00,2.70M,1.10M,-48.30M,,61.30M,13.70M,-3.50M,71.50M,,,29.70M,-81.80M,0.00,,AOR,Restated
2015-06,48.00M,0.00,,0.00,22.60M,22.60M,0.20M,3.30M,-1.30M,1.60M,-4.80M,-5.00M,4.10M,-16.50M,,,5.20M,-17.00M,1.60M,59.00M,,-13.40M,,-13.40M,-43.60M,,3.00M,-54.20M,,-67.40M,,-67.40M,,0.00,0.00,8.10M,3.10M,-56.20M,,110.20M,-51.40M,2.50M,61.30M,,,-52.10M,-15.30M,0.00,,AOR,Restated
2015-03,43.70M,,,,23.20M,23.20M,0.40M,3.80M,-0.80M,-2.10M,7.70M,-15.90M,-4.60M,-36.50M,,,-2.20M,-51.50M,,16.70M,,-7.70M,,-7.70M,-18.80M,,0.30M,-26.20M,,127.10M,,127.10M,,-142.00M,-142.00M,2.70M,-1.50M,-13.70M,,141.40M,-23.20M,-8.00M,110.20M,,,127.10M,0.00,-142.00M,,AOR,Restated
2014-12,58.90M,,,,24.20M,24.20M,-53.70M,3.90M,-2.00M,-9.00M,-19.90M,11.60M,-2.20M,8.90M,,,64.90M,63.30M,,85.60M,,-13.80M,,-13.80M,-187.10M,,-0.20M,-201.10M,,128.20M,,128.20M,,0.00,0.00,4.10M,0.30M,132.60M,,125.80M,17.10M,-1.50M,141.40M,,,128.20M,0.00,0.00,,AOR,Restated
2014-09,54.90M,,,,23.50M,23.50M,-6.70M,3.90M,-0.20M,-3.00M,-2.50M,5.20M,-1.10M,9.60M,,,-3.40M,7.80M,,80.20M,,-9.10M,,-9.10M,-5.20M,,-0.10M,-14.40M,,69.20M,,69.20M,,-111.00M,-111.00M,1.00M,-1.60M,-42.40M,,103.40M,23.40M,-1.00M,125.80M,,,26.30M,42.90M,-111.00M,,AOR,Restated
2014-06,55.80M,,,,23.40M,23.40M,2.90M,3.60M,-1.10M,3.50M,3.10M,-8.30M,-0.10M,15.20M,,,-3.00M,6.90M,,95.00M,,-8.90M,,-8.90M,-2.90M,,0.30M,-11.50M,,-50.80M,,-50.80M,,-12.00M,-12.00M,6.50M,3.50M,-52.80M,,73.70M,30.70M,-1.00M,103.40M,,,-7.90M,-42.90M,-12.00M,,AOR,Restated
2014-03,46.00M,,,,23.20M,23.20M,0.50M,2.60M,-2.90M,0.10M,0.40M,-14.20M,0.60M,-19.20M,,,-10.00M,-42.40M,,27.10M,,-11.70M,,-11.70M,0.00,,,-11.70M,,7.90M,,7.90M,,-23.60M,-23.60M,6.70M,2.00M,-7.00M,,66.00M,8.40M,-0.70M,73.70M,,,7.90M,,-23.60M,,AOR,Restated
2013-12,54.50M,,,,24.00M,24.00M,-15.80M,3.10M,-1.60M,-2.10M,-7.00M,10.80M,0.40M,31.50M,,,-0.10M,35.60M,,97.70M,,-18.60M,,-18.60M,-16.00M,,-0.20M,-34.80M,,-89.00M,,-89.00M,,,,2.10M,0.50M,-86.40M,,88.70M,-23.50M,,66.00M,,,-84.00M,,,,AOR,Restated
2013-09,46.90M,,,,23.10M,23.10M,11.70M,3.00M,-1.10M,3.30M,-15.10M,-2.20M,-4.70M,-15.50M,,,0.10M,-37.40M,,49.50M,,-17.70M,,-17.70M,-32.70M,,0.10M,-50.30M,,14.10M,,14.10M,,0.00,0.00,2.80M,2.50M,19.40M,,70.10M,18.60M,,88.70M,,,14.10M,,0.00,,AOR,Restated
2013-06,43.30M,,,,22.10M,22.10M,5.30M,2.80M,-0.90M,-1.20M,25.00M,9.90M,4.00M,5.50M,,,-3.00M,41.40M,,112.80M,,-20.00M,,-20.00M,-4.00M,,0.10M,-23.90M,,-70.20M,,-70.20M,,0.00,0.00,2.40M,0.00,-67.80M,,49.00M,21.10M,,70.10M,,,-70.20M,,0.00,,AOR,Restated
