,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,5.253B,1.105B,6.358B,1.275B,142.60M,1.417B,249.00M,21.30M,134.50M,,404.80M,164.50M,,132.90M,8.685B,0.00,296.80M,997.80M,22.10B,376.80M,1.784B,25.55B,-13.21B,12.34B,891.50M,435.80M,1.327B,1.432B,,816.30M,259.60M,16.48B,25.17B,,2020-09,546.20M,296.20M,105.80M,948.20M,537.50M,1.486B,,,477.70M,477.70M,70.70M,548.40M,313.80M,313.80M,50.90M,2.417B,309.80M,7.766B,962.60M,57.90M,1.020B,645.60M,,341.30M,10.31B,12.73B,,2020-09,249.40M,14.88B,1.095B,2.00B,,,-2.140B,12.08B,,2020-09,AOR,
2020-06,3.921B,2.516B,6.437B,1.410B,562.90M,1.973B,260.40M,24.10M,126.40M,,410.90M,185.90M,,,9.006B,,,,,,,24.20B,-12.73B,11.47B,799.30M,380.90M,1.180B,1.346B,,820.60M,959.80M,15.78B,24.78B,,2020-06,1.668B,,83.60M,1.752B,,1.752B,,,,838.90M,,838.90M,,,,2.591B,,7.359B,942.00M,,942.00M,,,1.867B,10.17B,12.76B,,2020-06,249.40M,14.69B,1.085B,2.008B,,,-2.353B,11.66B,,2020-06,AOR,
2020-03,2.220B,0.00,2.220B,1.399B,539.70M,1.939B,240.00M,28.50M,131.20M,,399.70M,129.60M,,,4.688B,,,,,,,23.01B,-12.38B,10.62B,785.30M,377.90M,1.163B,1.315B,,840.80M,870.40M,14.81B,19.50B,,2020-03,1.649B,,90.40M,1.740B,,1.740B,,,,67.40M,,67.40M,,,,1.807B,,3.245B,844.40M,,844.40M,,,1.881B,5.971B,7.778B,,2020-03,249.40M,14.54B,1.075B,2.011B,,,-2.478B,11.37B,,2020-03,AOR,
2019-12,2.406B,0.00,2.406B,1.289B,526.10M,1.815B,243.80M,29.80M,127.00M,,400.60M,98.30M,,,4.720B,,,,,,,23.10B,-12.41B,10.69B,816.10M,415.90M,1.232B,1.340B,,883.20M,784.60M,14.93B,19.65B,,2019-12,1.63B,,113.40M,1.743B,,1.743B,,,,75.60M,,75.60M,,,,1.819B,,3.266B,810.50M,,810.50M,,,1.827B,5.903B,7.722B,,2019-12,249.40M,14.36B,1.062B,2.023B,,,-2.089B,11.56B,,2019-12,AOR,
2019-09,2.249B,166.00M,2.415B,1.260B,155.20M,1.415B,232.00M,27.50M,128.80M,,388.30M,77.40M,,115.50M,4.618B,0.00,281.50M,946.80M,20.09B,,1.011B,22.33B,-12.00B,10.34B,797.10M,419.50M,1.217B,1.276B,,1.008B,243.50M,14.32B,18.94B,,2019-09,528.20M,255.70M,86.60M,870.50M,487.20M,1.358B,,,98.60M,98.60M,0.00,98.60M,247.40M,247.40M,91.20M,1.821B,261.00M,3.227B,793.80M,49.20M,843.00M,687.20M,,420.60M,5.734B,7.554B,,2019-09,249.40M,14.14B,1.071B,2.030B,,,-2.376B,11.05B,,2019-09,AOR,Restated
2019-06,2.697B,0.00,2.697B,1.341B,372.20M,1.713B,243.30M,29.90M,135.10M,,408.30M,97.20M,,,4.915B,,,,,,,22.43B,-12.00B,10.43B,820.40M,441.10M,1.262B,1.290B,,938.40M,698.80M,14.62B,19.53B,,2019-06,1.543B,,65.60M,1.609B,,1.609B,,,,546.40M,,546.40M,,,,2.155B,,3.273B,823.20M,,823.20M,,,1.554B,5.650B,7.805B,,2019-06,249.40M,13.89B,1.060B,2.034B,,,-1.781B,11.39B,,2019-06,AOR,Restated
2019-03,2.736B,2.60M,2.738B,1.258B,387.50M,1.646B,244.30M,23.60M,140.40M,,408.30M,102.40M,,,4.895B,,,,,,,21.99B,-11.79B,10.19B,811.90M,418.60M,1.230B,1.279B,,974.70M,671.00M,14.35B,19.24B,,2019-03,1.514B,,70.70M,1.584B,,1.584B,,,,488.60M,,488.60M,,,,2.073B,,3.302B,805.40M,,805.40M,,,1.560B,5.668B,7.741B,,2019-03,249.40M,13.66B,1.048B,2.049B,,,-1.745B,11.17B,,2019-03,AOR,Restated
2018-12,2.923B,12.30M,2.936B,1.268B,407.80M,1.676B,244.60M,20.40M,138.40M,,403.40M,74.90M,,,5.090B,,,,,,,21.59B,-11.63B,9.960B,780.40M,416.90M,1.197B,1.242B,,985.90M,666.70M,14.05B,19.14B,,2018-12,1.738B,,111.90M,1.850B,,1.850B,,,,453.30M,,453.30M,,,,2.304B,,3.315B,768.90M,,768.90M,,,1.552B,5.635B,7.939B,,2018-12,249.40M,13.50B,1.030B,2.084B,,,-1.811B,10.88B,,2018-12,AOR,Restated
2018-09,2.791B,184.70M,2.976B,1.207B,169.60M,1.377B,249.50M,21.20M,125.40M,,396.10M,129.60M,,142.60M,5.082B,0.00,269.40M,988.60M,19.48B,,748.50M,21.49B,-11.57B,9.924B,788.90M,438.50M,1.227B,1.277B,,1.106B,210.80M,14.10B,19.18B,,2018-09,594.60M,241.50M,59.60M,1.226B,406.80M,1.632B,,54.30M,406.60M,460.90M,,460.90M,156.60M,156.60M,54.20M,2.338B,254.10M,3.352B,775.10M,58.20M,833.30M,464.20M,,378.40M,5.664B,8.002B,,2018-09,249.40M,13.41B,1.029B,2.089B,,,-1.742B,10.86B,,2018-09,AOR,Restated
2018-06,2.986B,7.30M,2.994B,1.228B,407.90M,1.636B,201.00M,18.50M,126.70M,,322.10M,104.10M,,,5.056B,,,,,,,21.39B,-11.49B,9.902B,794.10M,449.00M,1.243B,1.259B,,1.058B,687.90M,14.15B,19.21B,,2018-06,1.968B,,46.00M,2.014B,,2.014B,,,,95.40M,,95.40M,,,,2.110B,,3.776B,678.60M,,678.60M,,,1.832B,6.286B,8.396B,,2018-06,249.40M,13.20B,1.02B,2.106B,,,-1.878B,10.49B,,2018-06,AOR,Restated
