,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,698.00M,,,284.00M,43.00M,122.00M,122.00M,,,33.00M,,84.00M,-4.027B,1.189B,-447.00M,1.767B,-1.518B,-80.00M,,-130.00M,-130.00M,-12.00M,-24.37B,-49.00M,-26.00B,,-700.00M,,-700.00M,,0.00,0.00,0.00,0.00,-327.00M,6.00M,-1.00M,18.13B,,46.31B,-7.951B,,38.36B,,0.00,0.00,-700.00M,0.00,568.00M,134.00M,,AOR,
2020-06,671.00M,,,,,109.00M,109.00M,,,35.00M,,83.00M,-2.345B,-2.633B,-296.00M,-12.39B,-17.66B,-16.44B,,-179.00M,-179.00M,2.768B,-59.41B,-91.00M,-58.25B,,0.00,,0.00,,0.00,0.00,2.47B,2.47B,-266.00M,6.00M,-1.00M,26.30B,,94.71B,-48.39B,,46.31B,,2.47B,0.00,,0.00,21.00M,58.00M,,AOR,
2020-03,795.00M,,,,,96.00M,96.00M,,,56.00M,,83.00M,2.763B,9.758B,187.00M,-3.81B,8.898B,10.12B,,-156.00M,-156.00M,,-17.51B,-204.00M,-19.20B,,1.089B,,1.089B,,,,,,-281.00M,23.00M,-6.00M,58.21B,,45.58B,49.13B,,94.71B,,,1.089B,,,20.00M,169.00M,,AOR,
2019-12,852.00M,,,-235.00M,-20.00M,94.00M,94.00M,,,52.00M,,72.00M,-701.00M,3.855B,33.00M,-119.00M,3.068B,4.304B,,-193.00M,-193.00M,,329.00M,-39.00M,-1.295B,,0.00,,0.00,,-256.00M,-256.00M,0.00,0.00,-252.00M,53.00M,-28.00M,10.28B,,32.28B,13.29B,,45.58B,,0.00,0.00,0.00,-256.00M,292.00M,153.00M,,AOR,
2019-09,951.00M,,,235.00M,20.00M,88.00M,88.00M,,,36.00M,,62.00M,357.00M,4.511B,-757.00M,31.00M,4.142B,5.402B,,-205.00M,-205.00M,0.00,-6.678B,-27.00M,-7.189B,,0.00,,0.00,,-809.00M,-809.00M,0.00,0.00,-271.00M,17.00M,0.00,-111.00M,,34.18B,-1.898B,,32.28B,,0.00,0.00,0.00,-809.00M,266.00M,297.00M,,AOR,Restated
2019-06,937.00M,,,,,84.00M,84.00M,,,39.00M,,32.00M,-902.00M,1.229B,73.00M,631.00M,1.031B,2.214B,,-171.00M,-171.00M,0.00,2.49B,-16.00M,2.163B,,593.00M,,593.00M,,-1.155B,-1.155B,0.00,0.00,-261.00M,22.00M,-3.00M,-11.88B,,41.69B,-7.506B,,34.18B,,0.00,593.00M,,-1.155B,618.00M,289.00M,,AOR,Restated
2019-03,964.00M,,,,,83.00M,83.00M,,,56.00M,,33.00M,1.121B,-3.342B,-58.00M,-1.52B,-3.799B,-2.595B,,-139.00M,-139.00M,,18.32B,23.00M,18.28B,,0.00,,0.00,,,,,,-276.00M,26.00M,-10.00M,-12.23B,,38.23B,3.461B,,41.69B,,,0.00,,,23.00M,336.00M,,AOR,Restated
2018-12,935.00M,,,,,80.00M,80.00M,,,84.00M,,29.00M,905.00M,5.60B,135.00M,-90.00M,6.55B,7.801B,,-170.00M,-170.00M,,-14.30B,-21.00M,-14.54B,,1.085B,0.00,1.085B,,-1.00B,-1.00B,,,-208.00M,17.00M,-42.00M,17.87B,,27.09B,11.13B,,38.23B,,,1.088B,-3.00M,-1.00B,278.00M,248.00M,,AOR,Restated
2018-09,923.00M,,,,,78.00M,78.00M,,,30.00M,,31.00M,166.00M,-2.169B,-19.00M,2.146B,124.00M,1.275B,,-147.00M,-147.00M,,-6.205B,-38.00M,-6.366B,,-2.00M,0.00,-2.00M,,0.00,0.00,,,-225.00M,9.00M,-1.00M,13.27B,,18.92B,8.176B,,27.09B,,,0.00,-2.00M,0.00,167.00M,245.00M,,AOR,Restated
2018-06,866.00M,,,,,75.00M,75.00M,,,33.00M,,41.00M,-1.331B,-509.00M,-108.00M,3.974B,2.026B,3.132B,,-131.00M,-131.00M,,-13.00B,204.00M,-13.12B,,1.659B,0.00,1.659B,,0.00,0.00,,,-170.00M,50.00M,-1.00M,11.28B,,17.62B,1.293B,,18.92B,,,1.936B,-277.00M,0.00,479.00M,136.00M,,AOR,Restated
