,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.176B,4.176B,123.00M,1.582B,1.705B,130.00M,147.00M,,1.982B,0.00,1.809B,1.476B,341.00M,1.135B,,,85.00M,1.135B,1.135B,277.00M,1.572B,,0.57,,,,0.57,0.57,,0.57,,,,0.57,0.57,,1.848B,1.855B,0.18,,AOR,
2020-09,2.448B,2.448B,66.00M,949.00M,1.015B,97.00M,25.00M,,1.137B,0.00,1.343B,889.00M,191.00M,698.00M,,,83.00M,698.00M,698.00M,122.00M,978.00M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,1.289B,1.294B,0.18,,AOR,
2020-06,2.45B,2.45B,70.00M,933.00M,1.003B,,,,1.112B,0.00,1.389B,888.00M,217.00M,671.00M,,,50.00M,671.00M,671.00M,109.00M,985.00M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,1.288B,1.294B,0.18,,AOR,
2020-03,2.617B,2.617B,67.00M,1.006B,1.073B,,,,1.169B,0.00,1.572B,1.047B,252.00M,795.00M,,,38.00M,795.00M,795.00M,96.00M,1.183B,,0.59,,,,0.59,0.59,,0.58,,,,0.58,0.58,,1.287B,1.294B,0.18,,AOR,
2019-12,2.606B,2.606B,90.00M,902.00M,992.00M,,,,1.086B,0.00,1.595B,1.112B,260.00M,852.00M,,,51.00M,852.00M,852.00M,94.00M,1.28B,,0.62,,,,0.62,0.62,,0.62,,,,0.62,0.62,,1.284B,1.293B,0.17,,AOR,
2019-09,2.711B,2.711B,71.00M,950.00M,1.021B,82.00M,6.00M,,1.109B,0.00,1.631B,1.236B,285.00M,951.00M,,,38.00M,951.00M,951.00M,88.00M,1.497B,,0.70,,,,0.70,0.70,,0.70,,,,0.70,0.70,,1.30B,1.308B,0.17,,AOR,Restated
2019-06,2.681B,2.681B,77.00M,899.00M,976.00M,,,,1.06B,0.00,1.609B,1.236B,299.00M,937.00M,,,50.00M,937.00M,937.00M,84.00M,1.554B,,0.67,,,,0.67,0.67,,0.66,,,,0.66,0.66,,1.328B,1.337B,0.17,,AOR,Restated
2019-03,2.723B,2.723B,69.00M,944.00M,1.013B,,,,1.096B,0.00,1.681B,1.264B,300.00M,964.00M,,,39.00M,964.00M,964.00M,83.00M,1.581B,,0.69,,,,0.69,0.69,,0.69,,,,0.69,0.69,,1.333B,1.344B,0.17,,AOR,Restated
2018-12,2.669B,2.669B,93.00M,899.00M,992.00M,,,,1.072B,0.00,1.626B,1.21B,275.00M,935.00M,,,50.00M,935.00M,935.00M,80.00M,1.498B,,0.66,,,,0.66,0.66,,0.65,,,,0.65,0.65,,1.345B,1.355B,0.13,,AOR,Restated
2018-09,2.579B,2.579B,70.00M,853.00M,923.00M,,,,1.001B,0.00,1.527B,1.219B,296.00M,923.00M,,,38.00M,923.00M,923.00M,78.00M,1.447B,,0.66,,,,0.66,0.66,,0.65,,,,0.65,0.65,,1.351B,1.364B,0.13,,AOR,Restated
2018-06,2.486B,2.486B,77.00M,853.00M,930.00M,,,,1.005B,0.00,1.407B,1.131B,265.00M,866.00M,,,53.00M,866.00M,866.00M,75.00M,1.314B,,0.60,,,,0.60,0.60,,0.60,,,,0.60,0.60,,1.35B,1.364B,0.10,,AOR,Restated
2018-03,2.398B,2.398B,73.00M,883.00M,956.00M,,,,1.029B,0.00,1.263B,1.002B,219.00M,783.00M,,,37.00M,783.00M,783.00M,73.00M,1.16B,,0.55,,,,0.55,0.55,,0.55,,,,0.55,0.55,,1.347B,1.362B,0.10,,AOR,Restated
2017-12,2.242B,2.242B,63.00M,817.00M,880.00M,,,,949.00M,0.00,1.147B,953.00M,356.00M,597.00M,,,47.00M,597.00M,597.00M,69.00M,1.072B,,0.41,,,,0.41,0.41,,0.41,,,,0.41,0.41,,1.342B,1.356B,0.08,,AOR,Restated
2017-09,2.165B,2.165B,63.00M,761.00M,824.00M,,,,893.00M,0.00,1.082B,945.00M,327.00M,618.00M,,,43.00M,618.00M,618.00M,69.00M,1.039B,,0.43,,,,0.43,0.43,,0.42,,,,0.42,0.42,,1.339B,1.353B,0.08,,AOR,Restated
2017-06,2.13B,2.13B,71.00M,767.00M,838.00M,,,,904.00M,0.00,1.053B,909.00M,334.00M,575.00M,,,45.00M,575.00M,575.00M,66.00M,983.00M,,0.40,,,,0.40,0.40,,0.39,,,,0.39,0.39,,1.338B,1.351B,0.08,,AOR,Restated
