,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-09,360.21M,359.09M,123.37M,235.72M,13.27M,13.27M,,,0.00,-202.36M,,,,202.36M,78.99M,156.74M,,,,0.00,,,,56.80M,0.746M,,-26.87M,,57.55M,56.80M,222.64M,65.91M,156.74M,0.51,0.0,,,0.51,0.51,0.5,0.0,,,0.5,0.5,111.78M,114.09M,0.68
2005-06,357.94M,357.94M,118.95M,238.98M,,14.25M,,,102.07M,,,,,12.90M,94.17M,144.81M,,,,102.07M,,,,156.37M,9.116M,,-14.60M,,165.49M,95.13M,212.03M,67.22M,144.81M,1.38,0.08,,,0.8271,1.46,1.35,0.08,,,0.8085,1.43,110.76M,113.10M,0.68
2005-03,356.82M,354.27M,119.29M,234.98M,14.81M,14.81M,,,1.208M,-201.90M,,,,201.90M,82.61M,152.37M,,,,2.416M,,,,61.54M,-0.293M,,-15.68M,,61.24M,60.09M,220.53M,68.16M,152.37M,0.56,0.0,,,0.5468,0.56,0.55,0.0,,,0.5371,0.55,110.19M,112.36M,0.65
2004-12,364.09M,300.44M,,,,15.54M,,,-14.39M,,,,,,-697.04M,1.346B,,,,-6.241M,,,,46.27M,16.07M,,-8.232M,,62.35M,54.91M,1.415B,68.74M,1.346B,0.42,0.15,,,0.499,0.57,0.41,0.15,,,0.4872,0.56,109.36M,111.89M,0.65
2004-09,359.14M,359.14M,122.46M,236.67M,,13.00M,,,0.00,,,,,,78.48M,158.19M,,,,0.00,,,,65.22M,3.319M,,-17.18M,,68.54M,65.22M,224.75M,66.56M,158.19M,0.6,0.03,,,0.6,0.63,0.59,0.03,,,0.59,0.62,108.34M,110.58M,0.65
2004-06,345.38M,343.12M,114.42M,228.70M,12.49M,12.49M,,,1.377M,-187.28M,,,,187.28M,72.86M,155.84M,,,,2.754M,,,,66.82M,20.30M,,-17.78M,,87.12M,65.17M,216.69M,60.85M,155.84M,0.62,0.19,,,0.6046,0.81,0.6,0.19,,,0.5848,0.79,107.22M,109.02M,0.65
2004-03,331.53M,331.53M,111.80M,219.73M,,12.60M,,,6.698M,,,,,6.258M,74.86M,144.86M,,,,6.698M,,,,61.89M,4.154M,,-17.12M,,66.05M,57.88M,201.66M,56.79M,144.86M,0.61,0.04,,,0.5702,0.65,0.6,0.04,,,0.5612,0.64,100.89M,103.49M,0.63
2003-12,268.85M,268.85M,,,,11.75M,,,,,,,,,58.26M,545.85M,,,,,,,,43.49M,16.77M,,-13.37M,,60.26M,43.49M,594.88M,49.02M,545.85M,0.45,0.17,,,0.45,0.62,0.43,0.17,,,0.43,0.6,97.96M,99.86M,0.63
2003-09,328.09M,328.09M,118.84M,209.25M,,11.18M,,,,,,,,-0.885M,63.29M,145.96M,,,,,,,,56.04M,0.929M,,-17.91M,,56.97M,56.04M,199.42M,53.46M,145.96M,0.58,0.01,,,0.58,0.59,0.56,0.01,,,0.56,0.57,97.36M,99.18M,0.63
2003-06,321.10M,321.10M,107.25M,213.85M,,11.03M,,,,,,,,0.991M,62.34M,151.50M,,,,,,,,62.30M,0.935M,,-18.92M,,63.24M,62.30M,202.25M,50.74M,151.50M,0.65,0.01,,,0.65,0.66,0.63,0.01,,,0.63,0.64,96.53M,98.21M,0.63
2003-03,317.40M,317.40M,109.57M,207.83M,,11.40M,,,52.91M,,,,,2.406M,63.28M,144.55M,,,,52.91M,,,,108.59M,76.45M,,-18.31M,,185.04M,76.85M,194.50M,49.95M,144.55M,1.13,0.8,,,0.7984,1.93,1.12,0.79,,,0.7919,1.91,95.73M,96.76M,0.61
2002-12,521.22M,305.24M,,,12.70M,12.70M,,,,-181.74M,,,,,-595.74M,1.184B,,,,184.41M,,,,245.74M,13.56M,,126.57M,0.00,259.29M,133.66M,1.239B,54.16M,1.184B,2.34,0.26,,,1.1640000000000001,2.6,2.32,0.25,,,1.157,2.57,95.34M,96.37M,0.61
2002-09,307.37M,301.19M,108.64M,192.55M,9.956M,9.956M,,,,-167.82M,,,,173.10M,59.17M,133.38M,,,,3.644M,,,,56.72M,14.94M,,-18.07M,0.126M,71.67M,54.54M,178.73M,45.35M,133.38M,0.59,0.16,,,0.567,0.75,0.59,0.15,,,0.5673,0.74,94.90M,96.18M,0.61
2002-06,283.32M,283.32M,88.52M,194.80M,,13.56M,,,,,,,,4.826M,60.73M,134.07M,,,,,,,,53.21M,3.207M,,-18.87M,1.643M,56.42M,53.21M,178.06M,43.98M,134.07M,0.56,0.04,,,0.56,0.6,0.55,0.04,,,0.55,0.59,91.36M,93.02M,0.61
2002-03,269.74M,268.06M,86.30M,181.76M,11.07M,11.07M,,,,-143.52M,,,,148.12M,57.22M,124.54M,,,,,,,,48.06M,8.946M,,-17.82M,1.643M,57.01M,48.06M,167.49M,42.94M,124.54M,0.51,0.1,,,0.51,0.61,0.5,0.1,,,0.5,0.6,90.93M,92.78M,0.58
2001-12,235.51M,197.45M,,,,8.663M,,,,,,,,,-495.55M,920.96M,,,,,,,,22.67M,34.26M,0.00,124.26M,1.648M,56.93M,22.67M,961.80M,40.83M,920.96M,0.24,0.38,0.0,,0.24,0.61,0.23,0.37,0.0001,,0.23,0.6,90.46M,91.91M,0.58
2001-09,275.96M,275.96M,,,,9.819M,,,,,,,,81.26M,129.39M,146.57M,,,,,,,,52.53M,0.638M,,-18.85M,1.653M,53.17M,52.53M,184.88M,38.31M,146.57M,0.56,0.01,,,0.56,0.57,0.55,0.01,,,0.55,0.56,90.52M,92.83M,0.58
2001-06,255.08M,255.08M,76.64M,178.44M,,9.88M,,,,,,,,6.50M,52.85M,125.59M,,,,,,,,50.07M,0.618M,0.00,,1.648M,50.69M,50.07M,162.06M,36.28M,125.59M,0.54,0.0,0.0,,0.54,0.54,0.53,0.0,0.0,,0.53,0.53,89.99M,92.27M,0.58
2001-03,232.25M,232.25M,70.07M,162.18M,,9.95M,,,,,,,,,44.49M,117.68M,,,,,,,,53.42M,0.592M,-6.767M,,1.643M,47.25M,53.42M,152.42M,34.74M,117.68M,0.58,0.01,0.0,,0.58,0.51,0.57,0.0,-0.0763,,0.57,0.5,88.69M,91.17M,0.53
2000-12,182.74M,182.74M,,,,9.791M,,,,,,,,,39.00M,341.11M,,,,,,,,27.23M,,,,1.643M,44.82M,27.23M,370.32M,29.21M,341.11M,0.29,0.25,,,0.29,0.54,0.29,0.25,,,0.29,0.54,80.01M,80.01M,0.53
2000-09,223.31M,223.31M,,,,9.871M,,,,,,,,68.15M,110.46M,112.85M,,,,,,,,38.78M,,,-19.63M,1.643M,38.17M,38.17M,145.29M,32.44M,112.85M,0.53,0.0,,,0.53,0.53,0.52,0.0,,,0.52,0.52,68.75M,70.66M,0.53
2000-06,218.22M,217.26M,64.04M,153.22M,8.589M,8.589M,,,,-105.02M,,,,105.02M,40.98M,112.24M,,,,,,,,36.23M,0.297M,,-20.19M,1.643M,36.52M,36.23M,144.64M,32.40M,112.24M,0.5,0.01,,,0.5,0.51,0.5,0.0,,,0.5,0.5,67.99M,69.58M,0.53
2000-03,210.25M,210.25M,65.18M,145.08M,,7.408M,,,,,,,,,39.64M,105.44M,,,,,,,,32.62M,0.00,0.00,-17.55M,1.643M,32.62M,32.62M,137.67M,32.23M,105.44M,0.46,0.0,0.0,,0.46,0.46,0.45,0.0,0.0,,0.45,0.45,67.94M,68.38M,0.45
1999-12,211.46M,205.15M,64.95M,140.20M,8.155M,8.155M,,,,-105.00M,,,,104.96M,39.85M,100.35M,,,,,,,,29.61M,6.417M,,-16.45M,1.654M,36.03M,29.61M,132.09M,31.74M,100.35M,0.51,0.0,,,0.51,0.51,0.51,0.0,,,0.51,0.51,67.92M,68.26M,0.45
1999-09,202.38M,202.14M,,,7.40M,7.40M,,,,-105.20M,,,,171.85M,105.13M,97.01M,,,,,,,,29.10M,0.05M,,-16.25M,1.654M,29.07M,29.02M,128.09M,31.08M,97.01M,0.4,0.0,,,0.4,0.4,0.4,0.0,,,0.4,0.4,67.90M,68.48M,0.45
1999-06,191.87M,191.64M,,,7.40M,7.40M,,,0.00,-97.10M,,,,157.36M,97.10M,94.54M,,,,0.00,,,,28.90M,,,-16.50M,1.682M,28.90M,28.90M,123.98M,29.44M,94.54M,0.42,0.0,,,0.42,0.42,0.41,0.0,,,0.41,0.41,65.53M,66.34M,0.425
1999-03,187.85M,187.64M,57.35M,130.29M,6.61M,6.61M,,,,-91.75M,,,,91.75M,34.40M,95.89M,,,,,,,,25.77M,,,-15.71M,0.839M,25.77M,25.77M,123.68M,27.79M,95.89M,0.39,0.0,,,0.39,0.39,0.39,0.0,,,0.39,0.39,63.53M,64.08M,0.425
1998-12,179.45M,179.45M,100.09M,79.36M,,5.704M,,,,,,,,,76.62M,2.735M,,,,,,,,27.29M,,,-64.83M,,18.21M,27.29M,129.35M,126.62M,2.735M,0.43,-0.15,,,0.43,0.28,0.43,-0.15,,,0.43,0.28,63.34M,63.34M,0.85
1998-09,139.10M,139.10M,23.70M,115.40M,,6.10M,,21.50M,1.10M,-19.60M,,,,,8.00M,107.40M,,,,1.10M,,,,25.30M,,,10.80M,,25.30M,24.64M,128.90M,-21.50M,107.40M,0.4,0.0,,,0.3896,0.4,0.4,0.0,,,0.3896,0.4,63.25M,63.25M,0.405
1998-06,103.60M,103.60M,13.80M,89.80M,,5.80M,,16.60M,4.50M,-13.60M,,,,,8.80M,81.00M,,,,4.50M,,,,26.40M,,,8.10M,,30.00M,23.70M,97.60M,-16.60M,81.00M,0.42,0.06,,0.0576,0.3768,0.48,0.42,0.06,,0.0576,0.3768,0.48,62.50M,62.50M,0.405
