,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,623.55M,623.55M,225.92M,397.63M,25.42M,25.42M,,,-0.913M,,105.00M,1.524M,-103.48M,,178.59M,219.04M,1.524M,105.00M,-103.48M,1.799M,-103.48M,117.36M,,117.36M,,0.00,-18.17M,2.589M,99.19M,99.45M,375.54M,153.18M,222.36M,0.6286,,0.0,,0.6303,0.63,0.6278,,0.0,,0.6295,0.63,153.66M,153.86M,0.65
2016-03,665.98M,665.98M,226.81M,439.18M,29.35M,29.35M,,,-0.025M,,105.31M,1.505M,-103.80M,,188.80M,250.38M,1.505M,105.31M,-103.80M,2.025M,-103.80M,148.60M,,148.60M,,67.62M,-31.86M,2.618M,184.36M,116.60M,413.36M,159.45M,253.91M,0.7413,,0.0,,0.7403,1.18,0.7399,,0.4393,,0.7389,1.18,153.63M,153.92M,0.65
2015-12,624.24M,624.24M,224.53M,399.71M,24.30M,24.30M,,,-22.51M,,106.18M,0.44M,-105.74M,,188.76M,210.95M,0.44M,106.18M,-105.74M,-19.81M,-105.74M,85.41M,,85.41M,,81.33M,-26.19M,2.646M,140.55M,72.43M,356.04M,164.46M,191.58M,0.368,,0.0,,0.454,0.9,0.3673,,0.5285,,0.4531,0.9,153.61M,153.90M,0.65
2015-09,629.88M,629.88M,227.92M,401.96M,20.94M,20.94M,,,-0.254M,,108.73M,3.637M,-105.09M,,173.96M,228.00M,3.637M,108.73M,-105.09M,0.878M,-105.09M,123.79M,,123.79M,,199.48M,-136.54M,2.647M,186.73M,-11.69M,385.53M,153.02M,232.52M,-0.1017,,0.0,,-0.0948,1.2,-0.1017,,1.297,,-0.0948,1.2,153.60M,153.79M,0.65
2015-06,618.22M,618.22M,222.96M,395.26M,22.28M,22.28M,,,-0.208M,,108.53M,1.293M,-107.24M,,190.13M,205.13M,1.293M,108.53M,-107.24M,2.846M,-107.24M,100.74M,,100.74M,,0.00,-18.66M,2.618M,82.08M,82.22M,377.12M,167.84M,209.27M,0.5178,,0.0,,0.5187,0.52,0.5166,,0.0,,0.5175,0.52,153.45M,153.82M,0.65
2015-03,618.48M,618.48M,228.93M,389.55M,28.79M,28.79M,,,-0.327M,,108.76M,1.407M,-107.35M,,183.01M,206.54M,1.407M,108.76M,-107.35M,14.90M,-107.35M,114.09M,,114.09M,,95.08M,-35.40M,2.589M,173.77M,78.65M,377.07M,154.22M,222.84M,0.4954,,0.0,,0.4951,1.12,0.4933,,0.6179,,0.4931,1.11,153.23M,153.87M,0.65
2014-12,613.71M,613.71M,218.62M,395.09M,23.17M,23.17M,,,-11.27M,,117.90M,1.924M,-115.98M,,185.60M,209.49M,1.924M,117.90M,-115.98M,-8.186M,-115.98M,85.32M,,85.32M,,126.10M,-34.14M,2.646M,177.28M,58.26M,365.66M,162.43M,203.23M,1.14,0.0,0.0,,1.186,1.14,1.14,0.0,0.8212,,1.186,1.14,153.12M,153.55M,0.65
2014-09,618.80M,618.80M,222.76M,396.04M,22.59M,22.59M,,,-1.402M,,113.31M,3.421M,-109.89M,,179.83M,216.20M,3.421M,113.31M,-109.89M,2.72M,-109.89M,109.04M,,109.04M,,41.94M,-20.60M,2.647M,130.37M,89.54M,379.59M,157.24M,222.35M,0.5598,,0.0,,0.5671,0.83,0.5593,,0.2736,,0.5665,0.83,153.12M,153.27M,0.65
2014-06,589.79M,589.79M,209.96M,379.83M,23.27M,23.27M,,,-0.661M,,110.98M,2.109M,-108.87M,,177.90M,201.93M,2.109M,110.98M,-108.87M,2.835M,-108.87M,95.90M,,95.90M,,0.00,-16.76M,2.618M,79.14M,79.14M,361.51M,154.63M,206.88M,0.4999,,0.0,,0.4999,0.5,0.4994,,0.0,,0.4994,0.5,153.08M,153.24M,0.65
2014-03,574.69M,574.69M,213.18M,361.51M,29.90M,29.90M,,,-0.437M,,113.55M,1.311M,-112.24M,,184.18M,177.33M,1.311M,113.55M,-112.24M,2.665M,-112.24M,67.76M,,67.76M,,0.00,-11.13M,2.589M,56.62M,56.72M,335.58M,154.27M,181.31M,0.3531,,0.0,,0.3537,0.35,0.3528,,0.0,,0.3534,0.35,153.03M,153.17M,0.65
