,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2020-09,118.06M,,-1.649M,6.873M,5.224M,167.00M,167.00M,167.00M,0.00,8.253M,5.914M,-42.55M,-48.31M,22.30M,,-2.598M,-15.55M,-86.71M,228.15M,,,,-52.21M,-0.228M,0.00,-267.89M,-4.318M,0.00,-4.318M,0.093M,,0.093M,,,,-172.33M,-10.57M,-187.13M,1.992B,-226.87M,1.765B,0.093M,0.00,-4.318M,,121.84M
2020-06,298.58M,,-208.32M,-1.832M,-210.15M,178.73M,178.73M,178.73M,0.00,10.37M,5.837M,-15.51M,81.76M,41.00M,,-0.21M,-19.29M,87.75M,379.08M,,,,-16.17M,-0.195M,-9.80M,-46.73M,1.244B,-250.00M,993.86M,-0.166M,,-0.166M,,,,-172.28M,-20.69M,800.73M,858.58M,1.133B,1.992B,-0.166M,1.248B,-254.26M,,99.06M
2020-03,577.15M,,-404.72M,0.369M,-404.35M,171.68M,171.68M,171.68M,,17.52M,5.646M,-9.629M,-93.82M,-56.24M,,-20.90M,-17.78M,-198.36M,175.20M,,,,-90.00M,3.201M,,-73.79M,-4.212M,250.00M,245.79M,3.349M,,3.349M,,,,-171.96M,-11.88M,65.29M,691.89M,166.69M,858.58M,3.349M,265.00M,-19.21M,,114.70M
2019-12,176.01M,,-2.12M,0.936M,0.346M,170.49M,170.49M,170.49M,0.00,7.705M,5.66M,-41.31M,66.82M,-12.88M,,29.30M,-41.16M,0.78M,361.37M,,,,-21.89M,-0.195M,3.544M,-278.62M,-30.66M,0.00,-30.66M,11.15M,,11.15M,,,,-166.67M,-9.445M,-195.63M,804.76M,-112.88M,691.89M,11.15M,0.00,-30.66M,,101.03M
2019-09,141.37M,,-0.091M,0.649M,27.80M,166.47M,166.47M,166.47M,0.00,7.809M,5.694M,8.857M,-54.54M,8.983M,,-47.54M,-23.61M,-107.84M,254.19M,,,,-15.43M,-0.858M,-24.11M,-408.51M,-5.241M,0.00,-5.241M,0.301M,,0.301M,,,,-166.67M,-32.23M,-203.83M,1.163B,-358.16M,804.76M,0.301M,699.68M,-704.92M,,121.28M
2019-06,203.46M,,-2.851M,-47.96M,-50.82M,178.02M,178.02M,178.02M,0.00,10.39M,5.453M,-19.54M,59.24M,17.28M,,-12.26M,-34.10M,10.62M,358.37M,,,,-23.07M,-0.194M,,-104.44M,844.21M,0.00,844.21M,0.469M,,0.469M,,,,-166.60M,-201.39M,476.69M,432.30M,730.63M,1.163B,0.469M,1.178B,-334.22M,,109.66M
2019-03,131.16M,,-2.064M,-0.213M,-2.277M,165.20M,165.20M,165.20M,24.04M,15.05M,5.447M,-29.70M,-68.55M,0.098M,,-17.46M,-18.42M,-134.03M,207.23M,,,,-27.00M,-0.885M,,-223.52M,-6.115M,0.00,-6.115M,1.792M,,1.792M,,,,-166.36M,-19.93M,-190.61M,639.19M,-206.89M,432.30M,1.792M,50.00M,-56.12M,,107.09M
2018-12,185.24M,,-56.48M,-5.305M,-45.78M,165.44M,165.44M,165.44M,11.81M,8.417M,5.381M,25.47M,64.41M,-8.624M,,6.516M,-41.38M,46.40M,379.62M,,,,-31.64M,-0.141M,-19.46M,-78.81M,291.58M,-170.00M,121.58M,,-0.397M,-0.397M,,,,-166.36M,-40.22M,-85.40M,423.78M,215.41M,639.19M,,1.161B,-1.040B,-0.397M,112.82M
2018-09,150.44M,,-8.938M,4.313M,-4.625M,158.00M,158.00M,158.00M,0.00,8.457M,5.315M,-27.19M,-47.30M,12.11M,,-13.13M,-34.62M,-110.13M,209.78M,,,,-248.82M,-0.238M,-80.00M,-534.27M,-5.485M,170.00M,164.52M,,0.351M,0.351M,,,,-140.51M,-3.147M,21.21M,727.06M,-303.28M,423.78M,,235.00M,-70.48M,0.351M,110.30M
2018-06,160.56M,,-18.80M,-0.769M,-19.57M,156.42M,156.42M,156.42M,0.00,8.471M,5.308M,-9.218M,62.33M,4.614M,,-11.52M,-23.15M,23.06M,335.07M,,,,-16.43M,-0.205M,,-302.01M,495.63M,-115.00M,380.63M,,0.039M,0.039M,,,,-140.47M,-1.325M,238.88M,455.13M,271.93M,727.06M,,585.00M,-204.37M,0.039M,103.49M
