,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,313.00M,0.00,0.00,,3.00M,3.00M,244.00M,530.00M,774.00M,774.00M,196.00M,80.00M,83.00M,,-1.00M,-140.00M,-17.00M,-180.00M,,,45.00M,-292.00M,,1.186B,,-211.00M,,,-1.00M,-1.00M,,-187.00M,,-839.00M,22.00M,-817.00M,25.00M,-214.00M,-189.00M,-45.00M,-1.051B,,951.00M,-52.00M,20.00M,919.00M,,,25.00M,772.00M,-1.611B,-214.00M,,,,AOR,
2020-09,276.00M,-36.00M,0.00,,-19.00M,-55.00M,283.00M,504.00M,787.00M,787.00M,-31.00M,4.00M,84.00M,,11.00M,182.00M,-212.00M,88.00M,,,-92.00M,-34.00M,,1.042B,,-201.00M,,,-7.00M,0.00,,-180.00M,,-775.00M,-27.00M,-802.00M,22.00M,-38.00M,-16.00M,-8.00M,-826.00M,,907.00M,36.00M,8.00M,951.00M,,,22.00M,2.313B,-3.088B,-38.00M,,,,AOR,
2020-06,9.00M,3.00M,,,10.00M,13.00M,271.00M,546.00M,817.00M,817.00M,-37.00M,40.00M,94.00M,,9.00M,78.00M,56.00M,34.00M,,,-83.00M,85.00M,,1.031B,,-242.00M,,,-26.00M,0.00,,-238.00M,,-199.00M,-8.00M,-207.00M,38.00M,-604.00M,-566.00M,-52.00M,-825.00M,,934.00M,-32.00M,5.00M,907.00M,,,38.00M,3.98B,-4.179B,-604.00M,,,,AOR,
2020-03,377.00M,-431.00M,,,6.00M,-425.00M,279.00M,553.00M,832.00M,832.00M,-57.00M,,108.00M,,12.00M,200.00M,6.00M,-88.00M,,,-88.00M,30.00M,,888.00M,,-246.00M,,,474.00M,,,264.00M,,-208.00M,7.00M,-201.00M,48.00M,-970.00M,-922.00M,-11.00M,-1.134B,,933.00M,18.00M,-17.00M,934.00M,,,48.00M,1.832B,-2.04B,-970.00M,,,,AOR,
2019-12,241.00M,-5.00M,0.00,0.00,-17.00M,-22.00M,229.00M,560.00M,789.00M,789.00M,21.00M,48.00M,108.00M,,11.00M,-158.00M,-41.00M,121.00M,,,43.00M,-35.00M,,1.178B,,-290.00M,,,11.00M,-41.00M,-1.00M,-293.00M,,-817.00M,,-817.00M,40.00M,-290.00M,-250.00M,-93.00M,-1.16B,,1.07B,-142.00M,5.00M,933.00M,,,40.00M,1.175B,-1.992B,-290.00M,,,,AOR,
2019-09,225.00M,0.00,-50.00M,0.00,-22.00M,-72.00M,184.00M,387.00M,571.00M,571.00M,14.00M,0.00,87.00M,,11.00M,91.00M,21.00M,145.00M,,,-61.00M,196.00M,,1.038B,,-221.00M,,,-16.03B,-1.00M,0.00,-16.17B,,7.928B,0.00,7.928B,60.00M,-86.00M,-26.00M,-134.00M,7.768B,,8.441B,-7.367B,-4.00M,1.07B,,,60.00M,8.961B,-1.033B,-86.00M,,,,AOR,Restated
2019-06,223.00M,0.00,,-183.00M,8.00M,-175.00M,102.00M,44.00M,146.00M,146.00M,4.00M,0.00,15.00M,,44.00M,54.00M,-36.00M,-2.00M,,,-67.00M,-51.00M,,206.00M,,-112.00M,,,8.00M,-3.00M,0.00,-100.00M,,7.969B,0.00,7.969B,24.00M,-2.00M,22.00M,-108.00M,7.883B,,452.00M,7.989B,0.00,8.441B,,,24.00M,9.307B,-1.338B,-2.00M,,,,AOR,Restated
2019-03,225.00M,-10.00M,,,2.00M,-8.00M,100.00M,45.00M,145.00M,145.00M,8.00M,,19.00M,,58.00M,6.00M,-26.00M,-26.00M,,,-28.00M,-74.00M,,373.00M,,-98.00M,,,56.00M,,6.00M,-36.00M,,-93.00M,0.00,-93.00M,32.00M,-183.00M,-151.00M,-56.00M,-300.00M,,415.00M,37.00M,0.00,452.00M,,,32.00M,587.00M,-680.00M,-183.00M,,,,AOR,Restated
2018-12,286.00M,0.00,0.00,,-2.00M,-2.00M,104.00M,43.00M,147.00M,147.00M,28.00M,,19.00M,,-4.00M,-79.00M,57.00M,68.00M,,,47.00M,93.00M,,571.00M,,-97.00M,,,-712.00M,-3.00M,6.00M,-806.00M,,663.00M,,663.00M,15.00M,-692.00M,-677.00M,-9.00M,-23.00M,,673.00M,-258.00M,0.00,415.00M,,0.00,15.00M,1.412B,-749.00M,-692.00M,,,,AOR,Restated
2018-09,227.00M,2.00M,0.00,,-1.00M,1.00M,94.00M,40.00M,134.00M,134.00M,25.00M,,18.00M,,11.00M,-18.00M,1.00M,31.00M,,,-63.00M,-49.00M,,368.00M,,-94.00M,,,0.00,2.00M,-1.00M,-93.00M,,467.00M,,467.00M,16.00M,-430.00M,-414.00M,-3.00M,50.00M,,348.00M,325.00M,0.00,673.00M,,0.00,16.00M,2.466B,-1.999B,-430.00M,,,,AOR,Restated
