,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,581.11M,581.11M,329.61M,251.50M,117.37M,,,-2.917M,10.64M,-10.64M,,117.37M,134.13M,10.64M,-10.64M,-2.213M,-10.64M,121.28M,17.43M,103.85M,,,103.85M,106.34M,153.27M,21.35M,131.92M,1.38,,,1.413,1.38,1.37,,,1.403,1.37,75.35M,75.96M,0.5
2020-06,561.25M,561.25M,326.45M,234.80M,120.36M,,,-3.841M,12.44M,-12.44M,,120.36M,114.44M,12.44M,-12.44M,-10.30M,-12.44M,91.70M,20.83M,70.86M,,,70.86M,73.83M,124.76M,20.63M,104.13M,0.94,,,0.9795,0.94,0.93,,,0.9691,0.93,75.17M,75.94M,0.5
2020-03,594.46M,594.46M,322.51M,271.96M,132.02M,,,,10.88M,-10.88M,,132.02M,139.94M,10.88M,-10.88M,-1.565M,-10.88M,127.50M,25.50M,102.00M,,,102.00M,102.00M,158.37M,20.00M,138.38M,1.35,,,1.35,1.35,1.33,,,1.33,1.33,75.74M,76.45M,0.5
2019-12,606.00M,606.00M,339.11M,266.88M,125.75M,,,-6.962M,11.08M,-11.08M,,125.75M,141.14M,11.08M,-11.08M,-8.02M,-11.08M,122.04M,25.19M,96.85M,,,96.85M,102.38M,152.64M,19.53M,133.12M,1.28,,,1.3530000000000002,1.28,1.26,,,1.3319999999999999,1.26,75.78M,76.57M,0.5
2019-09,624.25M,624.25M,342.27M,281.98M,128.26M,,,-11.96M,11.33M,-11.33M,,128.26M,153.72M,11.33M,-11.33M,-13.18M,-11.33M,129.22M,24.02M,105.19M,,,105.19M,114.93M,160.07M,19.52M,140.55M,1.39,,,1.5190000000000001,1.39,1.37,,,1.4969999999999999,1.37,75.70M,76.58M,0.5
2019-06,642.10M,642.10M,349.76M,292.34M,134.93M,,,-2.126M,11.01M,-11.01M,,134.93M,157.41M,11.01M,-11.01M,-1.748M,-11.01M,144.65M,31.44M,113.21M,,,113.21M,114.87M,174.82M,19.16M,155.66M,1.5,,,1.5219999999999998,1.5,1.48,,,1.5019999999999998,1.48,75.46M,76.39M,0.5
2019-03,622.23M,622.23M,338.40M,283.83M,136.05M,,,,10.92M,-10.92M,,136.05M,147.78M,10.92M,-10.92M,0.14M,-10.92M,137.00M,26.73M,110.27M,,,110.27M,110.27M,166.58M,18.66M,147.92M,1.46,,,1.46,1.46,1.44,,,1.44,1.44,75.44M,76.28M,0.43
2018-12,614.09M,614.09M,340.45M,273.64M,130.37M,,,-3.832M,11.04M,-11.04M,,130.37M,143.27M,11.04M,-11.04M,-3.412M,-11.04M,128.82M,30.69M,98.14M,,,98.14M,101.06M,158.18M,18.31M,139.86M,1.29,,,1.328,1.29,1.27,,,1.308,1.27,76.13M,77.10M,0.43
2018-09,622.89M,622.89M,342.66M,280.23M,130.48M,,,-4.621M,10.96M,-10.96M,,130.48M,149.75M,10.96M,-10.96M,-5.555M,-10.96M,133.24M,26.89M,106.35M,,,106.35M,110.04M,162.80M,18.61M,144.20M,1.39,,,1.4380000000000002,1.39,1.37,,,1.4169999999999998,1.37,76.56M,77.71M,0.43
2018-06,634.36M,634.36M,346.99M,287.37M,137.55M,,,-1.988M,11.14M,-11.14M,,137.55M,149.82M,11.14M,-11.14M,-1.938M,-11.14M,136.74M,29.62M,107.13M,,,107.13M,108.68M,167.45M,19.57M,147.88M,1.4,,,1.42,1.4,1.38,,,1.4,1.38,76.54M,77.70M,0.43
