,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,18.73B,36.01B,40.82B,76.83B,27.10B,31.52B,58.62B,,,,4.973B,,,13.69B,154.11B,0.00,18.88B,76.22B,10.38B,105.49B,-67.56B,37.93B,,,,118.74B,,43.27B,199.95B,354.05B,,63.85B,,63.85B,,63.85B,,5.00B,7.762B,12.76B,12.76B,7.395B,7.395B,48.50B,132.51B,99.28B,99.28B,,,,27.87B,155.32B,287.83B,,51.74B,14.30B,,179.00M,66.22B,,AOR,
2020-09,17.77B,38.02B,52.93B,90.94B,16.12B,21.32B,37.44B,,,,4.061B,,,11.26B,143.71B,0.00,17.95B,75.29B,10.28B,103.53B,-66.76B,36.77B,,,,100.89B,,42.52B,180.18B,323.89B,,42.30B,,42.30B,,42.30B,,4.996B,8.773B,13.77B,13.77B,6.643B,6.643B,42.68B,105.39B,98.67B,98.67B,,,,26.32B,153.16B,258.55B,,50.78B,14.97B,,-406.00M,65.34B,,AOR,
2020-06,20.25B,33.38B,59.64B,93.02B,17.88B,14.19B,32.08B,,,,3.978B,,,10.99B,140.06B,0.00,18.07B,72.98B,9.867B,100.92B,-65.23B,35.69B,,,,100.59B,,41.00B,177.28B,317.34B,,35.32B,,35.32B,,35.32B,,11.17B,7.509B,18.68B,18.68B,6.313B,6.313B,35.00B,95.32B,94.05B,94.05B,,,,27.51B,149.74B,245.06B,,48.70B,24.14B,,-550.00M,72.28B,,AOR,
2020-03,24.40B,40.17B,53.88B,94.05B,15.72B,14.96B,30.68B,,,,3.334B,,,15.69B,143.75B,0.00,17.86B,71.27B,9.614B,98.74B,-62.85B,35.89B,,,,98.79B,,41.96B,176.65B,320.40B,,32.42B,,32.42B,,32.42B,,10.03B,10.39B,20.42B,20.42B,5.928B,5.928B,37.32B,96.09B,89.09B,89.09B,,,,28.61B,145.88B,241.98B,,48.03B,33.18B,,-2.789B,78.42B,,AOR,
2019-12,11.38B,39.77B,67.39B,107.16B,20.97B,18.98B,39.95B,,,,4.097B,,,12.03B,163.23B,0.00,17.75B,70.84B,9.395B,97.99B,-60.96B,37.03B,,,,99.90B,,40.46B,177.39B,340.62B,,45.11B,,45.11B,,45.11B,,4.99B,10.22B,15.21B,15.21B,5.573B,5.573B,36.26B,102.16B,93.08B,93.08B,,,,27.65B,148.93B,251.09B,,45.97B,43.98B,,-418.00M,89.53B,,AOR,Restated
2019-09,12.20B,48.84B,51.71B,100.56B,22.93B,22.88B,45.80B,,,,4.106B,,,12.35B,162.82B,0.00,17.08B,69.80B,9.075B,95.96B,-58.58B,37.38B,,,,105.34B,,32.98B,175.70B,338.52B,,46.24B,,46.24B,,46.24B,,5.98B,10.26B,16.24B,16.24B,5.522B,5.522B,37.72B,105.72B,91.81B,91.81B,,,,20.96B,142.31B,248.03B,,45.17B,45.90B,,-584.00M,90.49B,,AOR,Restated
2019-06,12.08B,50.53B,44.08B,94.61B,14.15B,12.33B,26.47B,,,,3.355B,,,10.53B,134.97B,0.00,16.56B,68.53B,8.895B,93.98B,-56.35B,37.64B,,,,116.00B,,33.63B,187.27B,322.24B,,29.12B,,29.12B,,29.12B,,9.953B,13.53B,23.48B,23.48B,5.434B,5.434B,31.67B,89.70B,84.94B,84.94B,,,,20.62B,136.08B,225.78B,,43.37B,53.72B,,-639.00M,96.46B,,AOR,Restated
2019-03,11.75B,37.99B,42.10B,80.09B,15.08B,11.19B,26.28B,,,,4.884B,,,12.09B,123.35B,0.00,16.31B,68.14B,8.589B,93.04B,-54.29B,38.75B,,,,145.32B,,34.59B,218.65B,342.00B,,30.44B,,30.44B,,30.44B,,11.92B,10.50B,22.43B,22.43B,5.532B,5.532B,35.37B,93.77B,90.20B,90.20B,,,,21.18B,142.37B,236.14B,,42.80B,64.56B,,-1.499B,105.86B,,AOR,Restated
2018-12,9.489B,44.77B,41.66B,86.43B,18.08B,18.90B,36.98B,,,,4.988B,,,12.43B,140.83B,0.00,16.35B,66.82B,8.351B,91.53B,-51.93B,39.60B,,,,158.61B,,34.69B,232.89B,373.72B,,44.29B,,44.29B,,44.29B,,11.97B,9.772B,21.74B,21.74B,5.546B,5.546B,36.70B,108.28B,92.99B,92.99B,,,,23.61B,147.54B,255.83B,,40.97B,80.51B,,-3.588B,117.89B,,AOR,Restated
2018-09,11.58B,25.91B,40.39B,66.30B,23.19B,25.81B,49.00B,,,,3.956B,,,12.09B,131.34B,0.00,16.22B,65.98B,8.205B,90.40B,-49.10B,41.30B,,,,170.80B,,22.28B,234.39B,365.72B,,55.89B,,55.89B,,55.89B,,11.96B,8.784B,20.75B,20.75B,5.966B,5.966B,33.33B,115.93B,93.74B,93.74B,,,,15.32B,142.65B,258.58B,,40.20B,70.40B,,-3.454B,107.15B,,AOR,Restated
2018-06,9.973B,31.97B,39.00B,70.97B,14.10B,12.26B,26.37B,4.287B,,1.649B,5.936B,,,12.49B,115.76B,0.00,15.41B,62.06B,7.899B,85.37B,-47.25B,38.12B,,,,172.77B,,22.55B,233.44B,349.20B,,38.49B,,38.49B,25.18B,63.67B,,11.97B,5.498B,17.47B,17.47B,7.403B,7.403B,,88.55B,97.13B,97.13B,398.00M,2.878B,3.276B,11.27B,145.70B,234.25B,,38.62B,79.44B,,-3.111B,114.95B,,AOR,Restated
2018-03,9.934B,45.06B,42.88B,87.94B,14.32B,8.084B,22.41B,5.186B,,2.476B,7.662B,,,12.04B,130.05B,0.00,14.93B,57.78B,7.787B,80.50B,-45.42B,35.08B,,,,179.29B,,23.09B,237.45B,367.50B,,34.31B,,34.31B,26.76B,61.07B,,11.98B,8.498B,20.48B,20.48B,7.775B,7.775B,,89.32B,101.36B,101.36B,548.00M,3.087B,3.635B,11.39B,151.30B,240.62B,,38.04B,91.90B,,-3.064B,126.88B,,AOR,Restated
2017-12,9.529B,27.49B,49.66B,77.15B,23.44B,27.46B,50.90B,,,,4.421B,,,11.34B,143.81B,0.00,14.19B,55.48B,7.442B,77.11B,-43.43B,33.68B,5.889B,2.149B,8.038B,207.94B,,13.32B,262.98B,406.79B,,62.98B,,62.98B,26.28B,89.27B,,11.98B,6.498B,18.48B,18.48B,8.044B,8.044B,,115.79B,103.92B,103.92B,548.00M,3.131B,3.679B,8.293B,150.81B,266.60B,,36.45B,104.59B,,-841.00M,140.20B,,AOR,Restated
2017-09,7.982B,20.29B,53.89B,74.18B,17.87B,17.80B,35.67B,,,,4.855B,,,13.94B,128.64B,0.00,13.59B,54.21B,7.279B,75.08B,-41.29B,33.78B,,,,194.71B,,18.18B,246.67B,375.32B,,44.24B,,44.24B,,44.24B,,11.98B,6.496B,18.47B,18.47B,7.548B,7.548B,30.55B,100.81B,97.21B,97.21B,31.50B,2.836B,34.34B,8.654B,140.46B,241.27B,,35.87B,98.33B,,-150.00M,134.05B,,AOR,Restated
2017-06,8.529B,18.57B,58.19B,76.76B,12.40B,10.23B,22.63B,,,,3.146B,,,10.34B,112.88B,0.00,12.53B,49.49B,6.961B,68.98B,-39.70B,29.29B,5.661B,2.444B,8.105B,184.76B,,10.15B,232.30B,345.17B,,31.92B,,31.92B,23.30B,55.22B,,11.98B,6.495B,18.48B,18.48B,7.608B,7.608B,,81.30B,89.86B,89.86B,30.19B,2.984B,33.18B,8.407B,131.45B,212.75B,,34.44B,98.52B,,-545.00M,132.42B,,AOR,Restated
2017-03,7.60B,15.16B,51.94B,67.10B,11.58B,9.033B,20.61B,,,,2.91B,,,11.37B,101.99B,0.00,11.75B,46.69B,6.69B,65.12B,-37.96B,27.16B,5.473B,2.617B,8.09B,189.74B,,7.549B,232.54B,334.53B,,28.57B,,28.57B,23.10B,51.67B,,9.992B,3.999B,13.99B,13.99B,7.682B,7.682B,,73.34B,84.53B,84.53B,28.23B,3.107B,31.33B,11.24B,127.11B,200.45B,,33.58B,100.92B,,-422.00M,134.08B,,AOR,Restated
2016-12,9.359B,16.37B,44.08B,60.45B,14.06B,13.92B,27.98B,,,,2.712B,,,12.19B,103.33B,0.00,10.93B,45.31B,6.518B,62.76B,-36.25B,26.51B,5.423B,2.848B,8.271B,185.64B,,7.39B,227.81B,331.14B,,38.51B,,38.51B,23.74B,62.25B,,10.49B,3.499B,13.99B,13.99B,7.889B,7.889B,,84.13B,73.56B,73.56B,26.95B,3.163B,30.11B,10.95B,114.62B,198.75B,,32.14B,100.00B,,245.00M,132.39B,,AOR,Restated
2016-09,8.601B,20.48B,46.67B,67.16B,15.75B,13.54B,29.30B,,,,2.132B,,,8.283B,106.87B,0.00,10.18B,44.54B,6.517B,61.24B,-34.24B,27.01B,5.414B,3.206B,8.62B,170.43B,,8.757B,214.82B,321.69B,,37.29B,,37.29B,22.03B,59.32B,,8.105B,3.50B,11.60B,11.60B,8.08B,8.08B,,79.01B,75.43B,75.43B,26.02B,2.93B,28.95B,10.06B,114.43B,193.44B,,31.25B,96.36B,,634.00M,128.25B,,AOR,Restated
