,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,111.44B,111.44B,67.11B,44.33B,5.631B,5.163B,,638.00M,747.00M,109.00M,10.79B,33.53B,747.00M,638.00M,109.00M,-64.00M,109.00M,33.58B,4.824B,28.76B,28.76B,28.76B,36.88B,2.666B,34.22B,,1.70,,,1.70,1.70,,1.68,,,1.68,1.68,,16.94B,17.11B,0.205,,AOR,
2020-09,64.70B,64.70B,40.01B,24.69B,4.936B,4.978B,,634.00M,768.00M,134.00M,9.914B,14.78B,768.00M,634.00M,134.00M,-8.00M,134.00M,14.90B,2.228B,12.67B,12.67B,12.67B,18.24B,2.702B,15.54B,,0.74,,,0.74,0.74,,0.73,,,0.73,0.73,,17.06B,17.26B,0.205,,AOR,
2020-06,59.68B,59.68B,37.00B,22.68B,4.831B,4.758B,,697.00M,901.00M,204.00M,9.589B,13.09B,901.00M,697.00M,204.00M,-158.00M,204.00M,13.14B,1.884B,11.25B,11.25B,11.25B,16.59B,2.752B,13.83B,,0.6525,,,0.6525,0.6525,,0.645,,,0.645,0.645,,17.25B,17.42B,0.205,,AOR,
2020-03,58.31B,58.31B,35.94B,22.37B,4.952B,4.565B,,757.00M,1.049B,292.00M,9.517B,12.85B,1.049B,757.00M,292.00M,-10.00M,292.00M,13.14B,1.886B,11.25B,11.25B,11.25B,16.68B,2.786B,13.89B,,0.645,,,0.645,0.645,,0.6375,,,0.6375,0.6375,,17.44B,17.62B,0.1925,,AOR,
2019-12,91.82B,91.82B,56.60B,35.22B,5.197B,4.451B,,785.00M,1.045B,260.00M,9.648B,25.57B,1.045B,785.00M,260.00M,89.00M,260.00M,25.92B,3.682B,22.24B,22.24B,22.24B,29.52B,2.816B,26.70B,,1.26,,,1.26,1.26,,1.25,,,1.25,1.25,,17.66B,17.82B,0.1925,,AOR,Restated
2019-09,64.04B,64.04B,39.73B,24.31B,4.578B,4.11B,,810.00M,1.106B,296.00M,8.688B,15.62B,1.106B,810.00M,296.00M,206.00M,296.00M,16.13B,2.441B,13.69B,13.69B,13.69B,20.12B,3.179B,16.94B,,0.7625,,,0.7625,0.7625,,0.7575,,,0.7575,0.7575,,17.96B,18.08B,0.1925,,AOR,Restated
2019-06,53.81B,53.81B,33.58B,20.23B,4.426B,4.257B,,866.00M,1.19B,324.00M,8.683B,11.54B,1.19B,866.00M,324.00M,43.00M,324.00M,11.91B,1.867B,10.04B,10.04B,10.04B,15.71B,2.933B,12.78B,,0.55,,,0.55,0.55,,0.545,,,0.545,0.545,,18.28B,18.41B,0.1925,,AOR,Restated
2019-03,58.02B,58.02B,36.19B,21.82B,4.458B,3.948B,,1.01B,1.358B,348.00M,8.406B,13.42B,1.358B,1.01B,348.00M,30.00M,348.00M,13.79B,2.232B,11.56B,11.56B,11.56B,17.84B,3.04B,14.80B,,0.6175,,,0.6175,0.6175,,0.615,,,0.615,0.615,,18.70B,18.80B,0.1825,,AOR,Restated
2018-12,84.31B,84.31B,52.28B,32.03B,4.783B,3.902B,,890.00M,1.307B,417.00M,8.685B,23.35B,1.307B,890.00M,417.00M,143.00M,417.00M,23.91B,3.941B,19.96B,19.96B,19.96B,28.19B,3.395B,24.80B,,1.055,,,1.055,1.055,,1.045,,,1.045,1.045,,18.94B,19.09B,0.1825,,AOR,Restated
2018-09,62.90B,62.90B,38.82B,24.08B,4.216B,3.75B,,868.00M,1.311B,443.00M,7.966B,16.12B,1.311B,868.00M,443.00M,-140.00M,443.00M,16.42B,2.296B,14.12B,14.12B,14.12B,20.04B,2.754B,17.29B,,0.735,,,0.735,0.735,,0.7275,,,0.7275,0.7275,,19.21B,19.39B,0.1825,,AOR,Restated
2018-06,53.26B,53.26B,32.84B,20.42B,4.108B,3.701B,,846.00M,1.418B,572.00M,7.809B,12.61B,1.418B,846.00M,572.00M,100.00M,572.00M,13.28B,1.765B,11.52B,11.52B,11.52B,16.80B,2.665B,14.13B,,0.59,,,0.59,0.59,,0.585,,,0.585,0.585,,19.53B,19.71B,0.1825,,AOR,Restated
2018-03,61.14B,61.14B,37.72B,23.42B,4.15B,3.378B,,792.00M,1.505B,713.00M,7.528B,15.89B,1.505B,792.00M,713.00M,-439.00M,713.00M,16.17B,2.346B,13.82B,13.82B,13.82B,19.70B,2.739B,16.96B,,0.6875,,,0.6875,0.6875,,0.6825,,,0.6825,0.6825,,20.10B,20.27B,0.1575,,AOR,Restated
