,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,28.76B,,,,,2.666B,2.666B,-58.00M,,2.02B,,25.00M,-21.14B,-950.00M,,21.67B,,,5.774B,5.355B,38.76B,,-3.50B,,-3.50B,,-9.00M,-5.279B,204.00M,-8.584B,,-1.00B,22.00M,-978.00M,0.00,-24.78B,-24.78B,-3.613B,-3.613B,,-2.883B,-32.25B,,39.79B,-2.07B,37.72B,,0.00,,-1.00B,-24.78B,1.787B,619.00M,,AOR,
2020-09,12.67B,,,,,2.702B,2.702B,-397.00M,,1.724B,,-3.00M,-5.364B,-137.00M,,6.725B,,,2.653B,3.877B,20.58B,,-1.784B,,-1.784B,,-51.00M,7.468B,-102.00M,5.531B,,5.456B,-6.159B,-703.00M,450.00M,-17.19B,-16.74B,-3.511B,-3.511B,,-406.00M,-21.36B,,35.04B,4.75B,39.79B,,450.00M,260.00M,0.00,-17.19B,1.091B,727.00M,,AOR,
2020-06,11.25B,,,,,2.752B,2.752B,833.00M,,1.698B,,165.00M,-1.373B,-689.00M,,2.733B,,,-1.101B,-430.00M,16.27B,,-1.565B,,-1.565B,,-339.00M,-2.998B,-263.00M,-5.165B,,1.046B,1.122B,2.168B,0.00,-15.89B,-15.89B,-3.656B,-3.656B,,-1.737B,-19.12B,,43.05B,-8.01B,35.04B,,0.00,9.547B,-7.379B,-15.89B,905.00M,586.00M,,AOR,
2020-03,11.25B,,,,,2.786B,2.786B,-302.00M,,1.697B,,-117.00M,9.29B,727.00M,,-12.43B,,,412.00M,-2.002B,13.31B,,-1.853B,,-1.853B,,-176.00M,11.26B,-219.00M,9.013B,,-4.25B,5.053B,803.00M,428.00M,-18.57B,-18.15B,-3.375B,-3.375B,,-222.00M,-20.94B,,41.66B,1.384B,43.05B,,428.00M,4.074B,-4.25B,-18.57B,3.112B,918.00M,,AOR,
2019-12,22.24B,,,,,2.816B,2.816B,-349.00M,,1.71B,,-142.00M,5.917B,-28.00M,,-1.089B,,,-555.00M,4.245B,30.52B,,-2.107B,,-2.107B,,-958.00M,-10.40B,-207.00M,-13.67B,,1.21B,-979.00M,231.00M,2.00M,-20.71B,-20.70B,-3.539B,-3.539B,,-1.395B,-25.41B,,50.22B,-8.559B,41.66B,,2.00M,2.21B,-1.00B,-20.71B,4.393B,771.00M,,AOR,Restated
2019-09,13.69B,,,,,3.179B,3.179B,-302.00M,,1.499B,,-312.00M,-19.32B,-785.00M,,17.88B,,,4.384B,2.16B,19.91B,,-2.777B,,-2.777B,,-13.00M,2.802B,-810.00M,-798.00M,,3.658B,-3.951B,-293.00M,390.00M,-17.44B,-17.05B,-3.479B,-3.479B,,-213.00M,-21.04B,,52.15B,-1.927B,50.22B,,390.00M,6.963B,-1.279B,-17.44B,3.468B,860.00M,,AOR,Restated
2019-06,10.04B,,,,,2.933B,2.933B,86.00M,,1.496B,,-125.00M,-214.00M,1.502B,,220.00M,,,-4.306B,-2.798B,11.64B,,-2.00B,,-2.00B,,-320.00M,30.12B,-298.00M,27.50B,,-3.00B,-1.99B,-4.99B,1.00M,-16.96B,-16.95B,-3.629B,-3.629B,,-1.231B,-26.80B,,39.82B,12.33B,52.15B,,1.00M,0.00,-5.026B,-16.96B,2.298B,801.00M,,AOR,Restated
2019-03,11.56B,,,,,3.04B,3.04B,-177.00M,,1.514B,,-161.00M,10.68B,70.00M,,-11.52B,,,-3.844B,-4.622B,11.16B,,-2.363B,,-2.363B,,-124.00M,15.75B,86.00M,13.35B,,-2.50B,-42.00M,-2.542B,390.00M,-23.70B,-23.31B,-3.443B,-3.443B,,-160.00M,-29.46B,,44.77B,-4.954B,39.82B,,390.00M,0.00,-2.50B,-23.70B,4.581B,926.00M,,AOR,Restated
2018-12,19.96B,,,,,3.395B,3.395B,53.00M,,1.559B,,-54.00M,12.04B,-1.076B,,-8.501B,,,-686.00M,1.772B,26.69B,,-3.355B,,-3.355B,,-167.00M,9.422B,-56.00M,5.844B,,0.00,6.00M,6.00M,0.00,-8.796B,-8.796B,-3.568B,-3.568B,,-1.318B,-13.68B,,25.91B,18.86B,44.77B,,0.00,0.00,0.00,-8.796B,4.916B,836.00M,,AOR,Restated
2018-09,14.12B,,,,,2.754B,2.754B,519.00M,,1.345B,,-34.00M,-22.62B,1.942B,,19.58B,,,1.911B,814.00M,19.52B,,-3.041B,,-3.041B,,-290.00M,552.00M,-222.00M,-3.001B,,0.00,-27.00M,-27.00M,341.00M,-19.10B,-18.76B,-3.53B,-3.53B,,-260.00M,-22.58B,,31.97B,-6.058B,25.91B,,341.00M,0.00,0.00,-19.10B,1.598B,902.00M,,AOR,Restated
