,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-12,72.40M,,72.40M,166.00M,,197.80M,109.60M,109.60M,25.60M,,225.00M,0.40M,642.50M,0.00,207.40M,784.20M,5.471B,152.70M,6.616B,-1.417B,5.198B,,123.20M,123.20M,50.40M,,130.60M,5.503B,6.145B,,206.50M,,11.40M,14.30M,232.20M,103.70M,335.90M,65.20M,,,36.30M,,36.30M,,,,437.40M,1.603B,,1.603B,861.40M,861.40M,294.20M,184.80M,2.649B,3.086B,,7.20M,1.875B,884.20M,,6.10M,-2.20M,2.764B,,AOR,Restated
2011-09,217.10M,,217.10M,186.90M,,186.90M,116.00M,116.00M,,,132.10M,71.60M,723.70M,5.305B,318.00M,765.10M,,182.10M,6.570B,-1.410B,5.160B,,,,55.20M,,127.60M,5.342B,6.066B,,,,,,,,400.60M,,,,36.30M,,36.30M,,,,436.90M,1.676B,,1.676B,768.40M,768.40M,285.90M,229.60M,2.674B,3.111B,,7.20M,1.780B,884.00M,,7.20M,-1.90M,2.669B,,AOR,Restated
2011-06,156.00M,,156.00M,195.80M,,195.80M,115.40M,115.40M,,,136.30M,58.00M,661.50M,5.227B,318.00M,679.30M,,150.80M,6.375B,-1.381B,4.994B,,,,48.80M,,121.30M,5.164B,5.826B,,,,,,,,387.60M,,,,18.20M,,18.20M,,,,405.80M,1.615B,,1.615B,730.10M,730.10M,285.60M,221.80M,2.566B,2.972B,,7.20M,1.680B,881.60M,,6.10M,-0.90M,2.568B,,AOR,Restated
2011-03,101.50M,,101.50M,180.70M,,180.70M,107.70M,107.70M,,,142.00M,72.80M,604.70M,5.132B,318.00M,676.60M,,139.40M,6.266B,-1.332B,4.934B,,,,50.40M,,111.10M,5.096B,5.700B,,,,,,,,370.60M,,,,18.20M,,18.20M,,,,388.80M,1.617B,,1.617B,693.60M,693.60M,282.70M,222.70M,2.533B,2.922B,,7.20M,1.609B,880.40M,,6.10M,-0.90M,2.496B,,AOR,Restated
2010-12,85.40M,,85.40M,160.00M,,160.00M,101.40M,101.40M,,22.00M,138.20M,91.20M,598.20M,121.90M,,,4.902B,143.50M,5.168B,-1.298B,3.869B,,,,46.40M,,1.127B,5.043B,5.641B,,,,,,,,413.10M,,,,18.10M,,18.10M,,,,431.20M,1.622B,,1.622B,654.50M,654.50M,282.60M,219.90M,2.496B,2.927B,,7.30M,1.548B,877.20M,,6.30M,-1.40M,2.431B,,AOR,Restated
2010-09,68.80M,,68.80M,173.90M,,173.90M,106.10M,106.10M,,28.50M,202.50M,86.10M,665.90M,4.812B,319.10M,701.40M,130.40M,143.50M,6.106B,-1.284B,4.822B,,,,46.80M,,94.70M,4.963B,5.629B,,,,,,,,419.60M,,,,22.30M,,22.30M,,,,441.90M,1.611B,,1.611B,674.80M,674.80M,281.60M,230.00M,2.516B,2.958B,,7.30M,1.496B,888.40M,,6.30M,-1.90M,2.390B,,AOR,Restated
2010-06,84.30M,,84.30M,176.40M,,176.40M,106.10M,106.10M,,30.90M,166.50M,56.60M,620.80M,4.916B,315.80M,690.00M,,117.40M,6.040B,-1.250B,4.790B,,,,46.40M,,89.20M,4.925B,5.546B,,,,,,,,380.50M,,,,84.70M,,84.70M,,,,465.20M,1.615B,,1.615B,604.50M,846.70M,281.70M,,2.462B,2.927B,,7.30M,1.446B,886.60M,,6.30M,-2.70M,2.337B,,AOR,Restated
2010-03,126.10M,,126.10M,169.00M,,169.00M,107.60M,107.60M,,34.00M,163.60M,61.50M,661.80M,4.847B,313.90M,691.00M,,120.50M,5.972B,-1.214B,4.758B,,,,53.50M,,75.90M,4.887B,5.549B,,,,,,,,381.90M,,,,64.40M,,64.40M,,,,446.30M,1.907B,,1.907B,583.10M,583.10M,281.70M,249.10M,2.739B,3.185B,,7.30M,1.411B,666.90M,,6.30M,-3.50M,2.082B,,AOR,Restated
2009-12,117.50M,,117.50M,139.40M,,139.40M,106.40M,106.40M,,35.80M,151.70M,63.00M,613.80M,125.30M,,,4.722B,165.60M,5.013B,-1.193B,3.821B,,,,46.80M,,973.10M,4.840B,5.454B,,,,,,,,342.70M,,,,68.10M,,68.10M,,,,410.80M,1.912B,,1.912B,558.60M,558.60M,282.80M,247.20M,2.718B,3.128B,,7.20M,1.379B,661.40M,,6.30M,-4.40M,2.043B,,AOR,Restated
2009-09,108.90M,,108.90M,159.10M,,159.10M,104.30M,104.30M,,38.70M,102.40M,28.70M,542.10M,,,,,,5.620B,-891.80M,4.728B,,,,52.80M,7.90M,75.70M,4.864B,5.406B,,,,,,,,365.10M,,,,107.40M,,107.40M,,,,472.50M,1.914B,,1.914B,509.50M,509.50M,284.10M,206.40M,2.630B,3.102B,,7.20M,1.363B,655.00M,,6.30M,-4.80M,2.02B,,AOR,Restated
2009-06,62.30M,,62.30M,163.80M,,163.80M,114.30M,114.30M,,45.00M,102.40M,45.00M,532.80M,,,,,,5.574B,-876.20M,4.698B,,,,51.30M,10.90M,73.80M,4.834B,5.366B,,,,,,,,364.10M,,,,21.60M,,21.60M,,,,385.70M,2.013B,,2.013B,500.40M,500.40M,283.70M,213.50M,2.727B,3.113B,,7.20M,1.337B,630.10M,,6.30M,-4.00M,1.970B,,AOR,Restated
2009-03,141.70M,,141.70M,160.30M,,160.30M,95.20M,95.20M,,38.20M,62.80M,93.30M,591.50M,,,,,,5.793B,-1.124B,4.669B,,,,58.20M,46.90M,52.80M,4.827B,5.418B,,,,,,,,460.90M,,,,23.10M,,23.10M,,,,484.00M,2.039B,,2.039B,501.50M,501.50M,273.60M,214.10M,2.754B,3.238B,,7.20M,1.330B,575.60M,,6.30M,-6.50M,1.906B,,AOR,Restated
2008-12,229.90M,,229.90M,163.80M,,163.80M,96.30M,96.30M,,34.00M,62.80M,98.80M,685.60M,4.420B,300.70M,688.20M,,354.30M,5.763B,-1.165B,4.598B,,,,60.50M,36.40M,58.30M,4.754B,5.439B,,,,,,,,455.40M,,,,637.40M,,637.40M,,,,1.093B,1.449B,,1.449B,492.40M,492.40M,273.70M,220.10M,2.161B,3.254B,,7.20M,1.338B,572.30M,,6.30M,-5.60M,1.912B,,AOR,Restated
2008-09,96.50M,,96.50M,218.90M,,218.90M,,98.40M,,17.80M,221.00M,114.50M,767.10M,,,,,,4.122B,-894.10M,3.227B,,,,,,1.357B,4.585B,5.352B,,148.20M,,,,148.20M,318.30M,466.50M,,,,627.20M,,627.20M,,,,1.094B,1.282B,,1.282B,624.30M,624.30M,262.10M,213.20M,2.12B,3.214B,,7.20M,1.301B,566.00M,,6.30M,1.70M,1.876B,,,Restated
2008-06,29.40M,,29.40M,242.00M,,242.00M,,104.70M,,20.60M,204.10M,111.50M,712.30M,0.00,1.377B,,4.017B,,5.394B,-1.052B,4.343B,,,,,,156.60M,4.500B,5.212B,,150.30M,,,,150.30M,290.40M,440.70M,,,,624.40M,,624.40M,,,,1.065B,1.267B,,1.267B,583.80M,583.80M,261.90M,214.70M,2.066B,3.131B,,7.30M,1.252B,557.70M,,6.50M,1.70M,1.819B,,,Restated
2008-03,72.50M,,72.50M,227.70M,,227.70M,,96.30M,,17.20M,192.50M,153.90M,760.10M,0.00,1.201B,,3.874B,,5.075B,-871.50M,4.204B,,,,,,119.40M,4.323B,5.083B,,143.00M,,,,143.00M,324.30M,467.30M,,,,651.80M,,651.80M,,,,1.119B,1.167B,,1.167B,529.30M,529.30M,240.90M,260.90M,1.958B,3.077B,,7.50M,1.202B,556.00M,,6.70M,0.40M,1.766B,,,Restated
2007-12,55.50M,,55.50M,243.40M,,243.40M,90.30M,90.30M,16.10M,11.50M,177.80M,34.20M,645.70M,3.838B,291.00M,631.40M,64.70M,309.00M,5.134B,-1.001B,4.133B,,,,79.30M,0.00,69.90M,4.282B,4.928B,,101.10M,,,303.30M,404.40M,43.40M,447.80M,,,,650.90M,,650.90M,,,,1.099B,1.105B,,1.105B,499.10M,499.10M,243.00M,256.10M,1.860B,2.959B,,7.50M,1.169B,549.50M,,6.70M,0.40M,1.726B,,,Restated
2007-09,116.20M,,116.20M,284.50M,,284.50M,,87.90M,,30.90M,,73.90M,593.40M,,,,,,3.499B,-807.30M,2.692B,,,,,118.40M,1.372B,4.182B,4.776B,,143.20M,,,,143.20M,384.50M,527.70M,,,,351.30M,,351.30M,,,54.10M,933.10M,1.296B,,1.296B,424.20M,424.20M,204.90M,246.00M,1.966B,2.899B,,7.40M,1.119B,544.00M,,6.70M,1.20M,1.672B,,,
2007-06,66.30M,,66.30M,298.40M,,298.40M,,80.30M,,67.40M,,59.70M,572.10M,,,,,,3.449B,-844.90M,2.604B,,,,,119.00M,1.417B,4.14B,4.712B,,126.10M,,,,126.10M,351.00M,477.10M,,,,10.70M,,10.70M,,,52.30M,540.10M,1.637B,,1.637B,415.10M,415.10M,204.70M,287.50M,2.340B,2.880B,,7.40M,1.077B,541.90M,,6.70M,1.30M,1.628B,,,
2007-03,68.00M,,68.00M,299.70M,,299.70M,,76.60M,,40.00M,,112.40M,596.70M,,,,,,3.397B,-890.90M,2.506B,,,,,125.20M,1.423B,4.054B,4.651B,,181.40M,,,,181.40M,313.00M,494.40M,,,,44.60M,,44.60M,,,51.70M,590.70M,1.614B,,1.614B,411.90M,411.90M,144.50M,290.80M,2.316B,2.907B,,7.40M,1.052B,538.60M,,6.70M,1.40M,1.599B,,,
2006-12,79.00M,,79.00M,334.30M,,334.30M,,72.50M,16.40M,26.50M,7.60M,69.70M,606.00M,0.00,3.485B,468.40M,471.60M,323.10M,4.748B,-992.70M,3.756B,,,,,128.70M,147.10M,4.031B,4.637B,,189.90M,,,,189.90M,354.70M,544.60M,,,,41.90M,,41.90M,,,50.90M,637.40M,1.632B,,1.632B,417.30M,417.30M,100.30M,268.10M,2.317B,2.955B,,7.40M,1.051B,523.00M,,6.70M,1.30M,1.582B,,,
2006-09,64.20M,,64.20M,335.10M,,335.10M,,78.10M,,51.70M,,36.20M,565.30M,,,,,,3.179B,-820.40M,2.359B,10.60M,1.318B,1.329B,,138.60M,133.90M,3.960B,4.525B,,178.30M,,,,178.30M,307.20M,485.50M,,,,186.20M,,186.20M,,,50.30M,722.00M,1.490B,,1.490B,421.30M,421.30M,100.20M,261.70M,2.174B,2.896B,,7.40M,999.80M,522.60M,,6.70M,-0.10M,1.530B,,,
2006-06,22.20M,,22.20M,299.30M,0.90M,300.20M,,87.60M,,62.50M,,41.70M,514.20M,,,,,,3.181B,-860.40M,2.321B,10.60M,1.331B,1.342B,,146.70M,138.00M,3.947B,4.461B,,172.00M,,,,172.00M,223.80M,395.80M,,,,175.20M,,175.20M,,,49.90M,620.90M,1.542B,,1.542B,416.10M,416.10M,100.00M,283.70M,2.242B,2.863B,,7.40M,,517.80M,-973.30M,6.70M,-0.20M,1.498B,,,
2006-03,30.10M,,30.10M,331.20M,,331.20M,,68.60M,,,,39.80M,469.70M,,,,,,2.387B,-84.10M,2.303B,10.60M,1.349B,1.359B,,151.00M,136.00M,3.949B,4.419B,,230.70M,,,,230.70M,255.10M,485.80M,,,,133.90M,,133.90M,,,0.40M,620.10M,1.579B,,1.579B,413.50M,413.50M,,334.00M,2.326B,2.946B,,7.40M,954.10M,510.90M,,6.70M,-0.30M,1.472B,,,
2005-12,31.10M,,31.10M,315.70M,,315.70M,,73.90M,10.10M,,10.00M,26.00M,466.80M,0.00,1.982B,388.00M,567.10M,181.10M,3.119B,-820.40M,2.298B,,1.371B,1.371B,,152.20M,135.30M,3.957B,4.424B,,215.40M,,,,215.40M,241.70M,457.10M,,,,38.00M,,38.00M,,,78.60M,573.70M,1.664B,,1.664B,409.20M,409.20M,,350.60M,2.424B,2.997B,,7.40M,946.10M,480.50M,,6.70M,-7.80M,1.426B,,,
2005-09,72.40M,,72.40M,284.00M,,284.00M,,91.60M,,,,48.90M,496.90M,,,,,,2.932B,-755.30M,2.177B,,1.32B,1.32B,,158.50M,153.90M,3.809B,4.306B,,205.50M,,,,205.50M,262.10M,467.60M,,,,142.10M,,142.10M,,,77.50M,687.20M,1.466B,,1.466B,399.70M,399.70M,,329.90M,2.195B,2.882B,,7.30M,948.90M,473.30M,,6.50M,-6.00M,1.424B,,,
2005-06,41.80M,,41.80M,287.70M,,287.70M,,80.10M,,,,46.40M,456.00M,,,,,,3.208B,-1.066B,2.143B,,1.449B,1.449B,,112.80M,139.00M,3.843B,4.299B,,157.80M,,,,157.80M,202.90M,360.70M,,,,118.10M,,118.10M,,,2.10M,480.90M,1.526B,,1.526B,438.70M,438.70M,256.90M,282.70M,2.248B,2.728B,,7.30M,840.50M,470.50M,,6.50M,-4.30M,1.314B,,,
2005-03,41.30M,,41.30M,145.00M,,145.00M,,51.70M,,,,27.70M,265.70M,,,,,,2.298B,-768.50M,1.529B,,10.60M,10.60M,,,673.30M,2.213B,2.479B,,56.40M,,,,56.40M,172.20M,228.60M,,,,8.90M,,8.90M,,,31.40M,268.90M,654.60M,,654.60M,444.90M,444.90M,,75.80M,1.175B,1.444B,,7.10M,867.80M,163.10M,,6.50M,-3.30M,1.035B,,,
2004-12,38.60M,,38.60M,139.60M,,139.60M,,48.20M,3.80M,,13.80M,9.60M,253.60M,0.00,1.735B,297.90M,77.40M,68.80M,2.179B,-755.30M,1.424B,,10.60M,10.60M,,,752.40M,2.187B,2.441B,,52.80M,,,,52.80M,148.40M,201.20M,,,,9.90M,,9.90M,,,34.70M,245.80M,655.80M,,655.80M,430.90M,430.90M,,83.60M,1.170B,1.416B,,7.10M,861.90M,155.30M,,6.50M,0.20M,1.024B,,,
2004-09,170.00M,,170.00M,127.20M,,127.20M,,42.10M,,,,27.90M,367.20M,,,,,,2.157B,-742.60M,1.415B,,10.60M,10.60M,,,515.20M,1.941B,2.308B,,58.30M,,,,58.30M,161.70M,220.00M,,,,7.90M,,7.90M,,,,227.90M,563.50M,,563.50M,419.10M,419.10M,,111.30M,1.094B,1.322B,,7.10M,861.20M,116.20M,,6.50M,1.50M,986.00M,,,
2004-06,156.50M,,156.50M,114.40M,,114.40M,,44.70M,,,,25.90M,341.50M,,,,,,2.140B,-738.60M,1.402B,,10.60M,10.60M,,,478.20M,1.890B,2.232B,,50.70M,,,,50.70M,124.10M,174.80M,,,,8.80M,,8.80M,,,,183.60M,563.90M,,563.90M,397.20M,397.20M,,109.10M,1.070B,1.254B,,7.10M,854.40M,115.90M,,6.50M,0.70M,978.10M,,,
2004-03,188.60M,,188.60M,109.10M,,109.10M,,41.90M,,,,25.00M,364.60M,,,,,,2.117B,-745.00M,1.372B,,10.60M,10.60M,,,477.60M,1.860B,2.225B,,42.80M,,,,42.80M,134.10M,176.90M,,,,9.90M,,9.90M,,,,186.80M,564.40M,,564.40M,391.70M,391.70M,,111.40M,1.068B,1.254B,,7.10M,847.40M,115.70M,,6.50M,0.30M,970.50M,,,
2003-12,135.40M,,135.40M,114.60M,,114.60M,,36.80M,,,,21.30M,308.10M,,,346.30M,1.672B,78.50M,2.097B,-734.30M,1.362B,,10.60M,10.60M,,,471.70M,1.845B,2.153B,,45.50M,,,,45.50M,119.40M,164.90M,,,,9.90M,,9.90M,,,,174.80M,513.50M,,513.50M,391.50M,391.50M,,109.40M,1.014B,1.189B,,7.10M,846.20M,110.90M,,6.50M,-0.50M,963.70M,,,
2003-09,230.20M,,230.20M,113.00M,,113.00M,,36.20M,,,,18.00M,397.40M,,,,,,2.070B,-720.90M,1.349B,,10.60M,10.60M,,,461.10M,1.821B,2.218B,,46.60M,,,,46.60M,139.70M,186.30M,,,,10.00M,,10.00M,,,,196.30M,568.70M,,568.70M,393.90M,393.90M,,92.90M,1.056B,1.252B,,7.10M,851.40M,108.90M,,6.50M,-1.20M,966.20M,,,
2003-06,191.90M,,191.90M,116.80M,,116.80M,,35.60M,,,,31.90M,376.20M,,,,,,1.344B,,1.344B,,10.60M,10.60M,,,485.40M,1.840B,2.216B,,35.70M,,,,35.70M,141.90M,177.60M,,,,10.00M,,10.00M,,,,187.60M,570.10M,,570.10M,396.60M,396.60M,,97.30M,1.064B,1.252B,,7.10M,851.70M,107.60M,,6.50M,-1.50M,964.90M,,,
2003-03,64.00M,,64.00M,108.80M,,108.80M,,36.30M,,,,19.00M,228.10M,,,,,,2.043B,-702.80M,1.340B,,10.60M,10.60M,,,449.00M,1.799B,2.028B,,44.10M,,,,44.10M,133.40M,177.50M,,,,10.00M,,10.00M,,,,187.50M,571.70M,,571.70M,392.90M,392.90M,,103.70M,1.068B,1.256B,,6.70M,767.10M,,,6.10M,-2.10M,771.70M,,,
2002-12,19.00M,,19.00M,118.50M,,118.50M,,34.20M,,,,44.50M,216.20M,,,349.50M,1.615B,75.40M,2.040B,-702.30M,1.337B,,10.60M,10.60M,,,444.60M,1.793B,2.009B,,47.70M,,,,47.70M,128.60M,176.30M,,,,10.00M,,10.00M,,,,186.30M,572.60M,,572.60M,392.80M,392.80M,,104.20M,1.070B,1.256B,,6.70M,748.50M,,,6.10M,-2.30M,752.90M,,,
2002-09,35.50M,,35.50M,112.30M,,112.30M,,35.30M,,,,38.30M,221.40M,,,,,,2.023B,-686.50M,1.336B,10.60M,,10.60M,,,427.40M,1.774B,1.996B,,40.30M,,,,40.30M,153.90M,194.20M,,,,10.00M,,10.00M,,,,204.20M,578.70M,,578.70M,374.30M,374.30M,,108.90M,1.062B,1.266B,,6.70M,725.80M,,,6.10M,-2.90M,729.60M,,,
2002-06,23.50M,,23.50M,131.50M,,131.50M,,30.60M,,,,36.10M,221.70M,,,,,,2.013B,-682.90M,1.330B,10.80M,,10.80M,,,417.10M,1.758B,1.980B,,43.40M,,,,43.40M,161.90M,205.30M,,,,10.30M,,10.30M,,,,215.60M,584.70M,,584.70M,368.00M,368.00M,,98.50M,1.051B,1.267B,,6.70M,709.20M,,,6.10M,-3.20M,712.70M,,,
2002-03,56.80M,,56.80M,129.60M,,129.60M,,28.20M,,,,45.10M,259.70M,,,,,,2.003B,-677.90M,1.325B,10.80M,,10.80M,,,404.20M,1.740B,2.000B,,41.70M,,,,41.70M,163.30M,205.00M,,,,47.90M,,47.90M,,,,252.90M,580.00M,,580.00M,371.10M,371.10M,,97.20M,1.048B,1.301B,,6.70M,694.20M,,,6.10M,-2.20M,698.70M,,,
2001-12,24.70M,,24.70M,130.00M,,130.00M,,27.90M,,,,71.80M,254.40M,,,295.80M,1.549B,142.60M,1.988B,-660.20M,1.327B,,42.30M,42.30M,,,386.80M,1.756B,2.011B,,50.40M,,,,50.40M,150.00M,200.40M,,,,46.70M,,46.70M,,,,247.10M,611.70M,,611.70M,370.20M,370.20M,,101.60M,1.084B,1.331B,,6.70M,676.50M,,,6.10M,-2.90M,680.30M,,,
2001-09,26.90M,,26.90M,141.40M,,141.40M,,28.80M,,,,19.00M,216.10M,,,,,,1.983B,-660.00M,1.323B,,43.40M,43.40M,,,379.90M,1.746B,1.962B,,48.30M,,,,48.30M,120.70M,169.00M,,,,42.80M,,42.80M,,,,211.80M,642.00M,,642.00M,347.40M,347.40M,,96.20M,1.086B,1.297B,,6.70M,662.20M,,,6.10M,-3.90M,665.00M,,,
2001-06,18.60M,,18.60M,136.30M,,136.30M,,29.70M,,,,21.60M,206.20M,,,,,,1.973B,-650.10M,1.323B,,41.90M,41.90M,,,375.30M,1.74B,1.946B,,46.00M,,,,46.00M,142.70M,188.70M,,,,40.30M,,40.30M,,,,229.00M,646.20M,,646.20M,343.00M,343.00M,,72.70M,1.062B,1.291B,,6.70M,650.50M,,,6.10M,-1.90M,655.30M,,,
2001-03,28.60M,,28.60M,140.30M,,140.30M,,31.80M,,,,23.70M,224.40M,,,,,,1.963B,-636.00M,1.327B,,40.80M,40.80M,,,364.40M,1.732B,1.956B,,44.40M,,,,44.40M,164.30M,208.70M,,,,38.70M,,38.70M,,,,247.40M,643.00M,,643.00M,336.90M,336.90M,,79.50M,1.059B,1.307B,,6.70M,645.20M,,,6.10M,-2.30M,649.60M,,,
2000-12,21.50M,,21.50M,,,135.00M,,34.00M,,,,25.90M,216.40M,,,,,,1.951B,-622.90M,1.328B,,42.10M,42.10M,,,358.20M,1.728B,1.944B,,52.90M,,,,52.90M,,52.90M,,,,36.20M,,36.20M,,,159.90M,249.00M,638.40M,,638.40M,332.20M,332.20M,,81.50M,1.052B,1.301B,,6.70M,636.70M,,,6.10M,,643.40M,,,
2000-09,30.20M,,30.20M,,,119.80M,,34.20M,,,,20.80M,205.00M,,,,,,1.925B,-614.00M,1.311B,,,,,,410.70M,1.722B,1.927B,,36.30M,,,,36.30M,,36.30M,,,,13.70M,,13.70M,,,151.10M,201.10M,671.70M,,671.70M,320.20M,320.20M,,94.50M,1.086B,1.288B,,6.70M,632.80M,,,6.10M,,639.50M,,,
2000-06,34.10M,,34.10M,,,124.90M,,34.20M,,,,21.40M,214.60M,,,,,,1.907B,-604.80M,1.302B,,,,,,1.440B,2.743B,2.957B,,50.60M,,,,50.60M,,50.60M,,,,213.70M,,213.70M,,,152.40M,416.70M,467.80M,,467.80M,310.30M,310.30M,,84.60M,862.70M,1.279B,,7.20M,1.560B,,,6.10M,111.10M,1.678B,,,
2000-03,388.50M,,388.50M,,,343.70M,,39.40M,,,,88.00M,859.60M,,,,,,2.02B,-642.70M,1.377B,,234.60M,234.60M,,,845.90M,2.458B,3.317B,,223.90M,,,,223.90M,,223.90M,,,,11.60M,,11.60M,,,216.00M,451.50M,688.30M,,688.30M,467.80M,467.80M,66.90M,129.00M,1.285B,1.737B,,7.20M,1.395B,,,6.10M,112.00M,1.514B,,,
1999-12,11.90M,,11.90M,,,132.20M,,40.60M,,,,23.80M,208.50M,,,,,,1.855B,-578.00M,1.277B,,,,,,1.186B,2.464B,2.672B,,74.80M,,,,74.80M,,74.80M,,,,10.90M,,10.90M,,,168.50M,254.20M,750.00M,,750.00M,297.40M,297.40M,,87.30M,1.135B,1.389B,,7.20M,1.167B,,,6.10M,108.90M,1.283B,,,
1999-09,171.70M,151.10M,322.80M,,,248.60M,,44.60M,,,,39.10M,655.10M,,,,,,1.916B,-609.90M,1.306B,,193.30M,193.30M,,,,2.248B,2.904B,,154.50M,,,,154.50M,,154.50M,,,,10.90M,,10.90M,,,192.30M,357.70M,780.70M,,780.70M,430.20M,430.20M,43.60M,,1.211B,1.699B,,1.10M,1.078B,,,,,1.161B,,AOR,
1999-06,139.30M,114.20M,253.50M,,,234.40M,,50.20M,,,,37.80M,575.90M,,,,,,1.878B,-593.60M,1.284B,,194.30M,194.30M,,,,2.237B,2.813B,,134.60M,,,,134.60M,,134.60M,,,,11.00M,,11.00M,,,170.00M,315.60M,811.60M,,811.60M,433.90M,433.90M,33.70M,,1.246B,1.687B,,1.10M,993.70M,,,,,1.092B,,AOR,
1999-03,42.50M,169.80M,212.30M,,,244.90M,,50.50M,,,,29.40M,537.10M,,,,,,1.855B,-581.80M,1.273B,,181.30M,181.30M,,,,2.172B,2.709B,,124.70M,,,,124.70M,,124.70M,,,,10.90M,,10.90M,,,191.40M,327.00M,829.00M,,829.00M,417.40M,417.40M,27.50M,,1.246B,1.697B,,1.10M,903.70M,,,,,984.70M,,AOR,
1998-12,27.20M,149.10M,176.30M,208.40M,,208.40M,,47.00M,,,,37.80M,469.50M,,,,,,1.267B,,1.267B,,,176.40M,707.10M,,,2.150B,2.620B,,,,,,125.80M,159.70M,285.50M,,,,10.70M,,10.70M,,,,296.20M,825.60M,,825.60M,403.60M,403.60M,34.30M,128.80M,1.358B,1.654B,,7.20M,849.10M,,,6.10M,74.90M,931.20M,,AOR,
1998-09,27.90M,,27.90M,,,199.20M,,44.00M,,,,159.00M,430.10M,,,,,,1.807B,-554.40M,1.253B,,180.20M,180.20M,,,,2.154B,2.584B,,106.40M,,,,106.40M,,106.40M,,,,10.70M,,10.70M,,,184.80M,301.90M,846.30M,,846.30M,387.70M,387.70M,25.60M,,1.234B,1.667B,,1.10M,818.00M,,,,,891.90M,,AOR,
1998-06,8.80M,,8.80M,,,200.20M,,39.30M,,,,144.10M,392.40M,,,,,,1.783B,-545.70M,1.237B,,184.10M,184.10M,,,,2.175B,2.567B,,104.40M,,,,104.40M,,104.40M,,,,113.70M,,113.70M,,,178.60M,396.70M,758.00M,,758.00M,391.90M,391.90M,22.90M,,1.150B,1.680B,,1.10M,956.50M,6.40M,,,,864.80M,,AOR,
1998-03,19.70M,,19.70M,,,194.10M,,38.30M,,,,123.30M,375.40M,,,,,,1.759B,-532.00M,1.227B,,145.90M,145.90M,,,,2.100B,2.476B,,100.40M,,,,100.40M,,100.40M,,,,110.70M,,110.70M,,,195.00M,406.10M,779.50M,,779.50M,358.70M,358.70M,14.90M,,1.138B,1.673B,,1.10M,899.40M,,,,,788.30M,,AOR,
1997-12,33.50M,,33.50M,177.00M,,177.00M,,38.40M,,,,124.20M,373.10M,,,,,,1.227B,,1.227B,,,150.40M,683.50M,,,2.061B,2.434B,,,,,,109.00M,217.80M,326.80M,,,,110.70M,,110.70M,,,,437.50M,805.90M,,805.90M,332.20M,332.20M,28.20M,132.10M,1.270B,1.708B,,8.20M,839.30M,0.00,,7.10M,50.80M,698.30M,,AOR,
1997-09,43.40M,,43.40M,,,173.70M,,36.90M,,,,89.60M,343.60M,,,,,,1.794B,-524.60M,1.269B,,238.30M,238.30M,,,,2.187B,2.531B,,99.70M,,,,99.70M,,99.70M,,,,107.20M,,107.20M,,,170.10M,377.00M,834.30M,,834.30M,359.90M,359.90M,22.10M,,1.194B,1.708B,,1.10M,944.60M,,,,,800.60M,,AOR,
1997-06,18.10M,,18.10M,,,163.00M,,39.90M,,,,66.90M,287.90M,,,,,,1.772B,-509.80M,1.262B,,241.40M,241.40M,,,,2.159B,2.447B,,91.50M,,,,91.50M,,91.50M,,,,7.50M,,7.50M,,,169.70M,268.70M,927.30M,,927.30M,352.00M,352.00M,15.50M,,1.279B,1.686B,,0.40M,903.70M,,,,,745.20M,,AOR,
1997-03,11.10M,,11.10M,,,149.70M,,38.80M,,,,57.10M,256.70M,,,,,,1.720B,-500.60M,1.220B,,241.40M,241.40M,,,,2.076B,2.332B,,80.40M,,,,80.40M,,80.40M,,,,7.30M,,7.30M,,,152.90M,240.60M,916.30M,,916.30M,335.90M,335.90M,9.20M,,1.252B,1.624B,,0.40M,875.00M,,,,,698.50M,,AOR,
