,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,61.10M,,61.10M,250.00M,,250.00M,154.00M,154.00M,,,,62.70M,527.80M,0.00,218.70M,2.696B,7.750B,223.40M,10.89B,-2.433B,8.454B,,141.20M,141.20M,45.60M,,94.00M,8.735B,9.263B,,,,,,,,430.10M,,,,10.80M,,10.80M,,,,440.90M,2.682B,,2.682B,1.021B,1.021B,318.60M,122.90M,3.826B,4.267B,,7.10M,3.732B,946.40M,,6.10M,-7.60M,4.678B,,AOR,Restated
2018-03,47.00M,,47.00M,271.20M,,271.20M,160.80M,160.80M,,,,86.90M,565.90M,0.00,218.60M,2.548B,7.800B,232.00M,10.80B,-2.509B,8.289B,,141.20M,141.20M,46.50M,,85.10M,8.562B,9.128B,,,,,,,,445.00M,,342.80M,36.00M,378.80M,,378.80M,,,,823.80M,2.230B,,2.230B,1.013B,1.013B,316.90M,130.00M,3.373B,4.197B,,7.10M,3.670B,945.10M,,6.10M,-7.90M,4.614B,,AOR,Restated
2017-12,134.10M,,134.10M,237.80M,,354.50M,150.80M,150.80M,18.30M,,,22.40M,680.10M,0.00,218.60M,2.466B,7.855B,223.70M,10.76B,-2.474B,8.289B,,114.70M,114.70M,44.60M,,70.20M,8.519B,9.199B,,225.10M,37.20M,111.80M,,374.10M,165.70M,539.80M,48.00M,345.10M,38.80M,383.90M,,383.90M,,,,971.70M,2.236B,,2.236B,987.20M,987.20M,316.50M,138.90M,3.362B,4.333B,,7.10M,3.611B,943.30M,,6.10M,-12.90M,4.549B,,AOR,Restated
2017-09,88.40M,,88.40M,237.20M,,237.20M,151.20M,151.20M,,,,163.70M,640.50M,0.00,218.70M,2.531B,7.648B,388.40M,10.79B,-2.592B,8.194B,,141.20M,141.20M,51.90M,,72.30M,8.460B,9.100B,,,,,,,,528.40M,,355.90M,40.50M,396.40M,,396.40M,,,,924.80M,2.238B,,2.238B,1.432B,1.432B,315.80M,98.40M,3.769B,4.694B,,7.10M,3.161B,930.50M,,6.10M,-7.90M,4.091B,,AOR,Restated
2017-06,166.30M,,166.30M,232.90M,,232.90M,155.40M,155.40M,,,,156.80M,711.40M,0.00,218.70M,2.497B,7.561B,382.90M,10.66B,-2.553B,8.106B,,141.20M,141.20M,36.20M,,72.70M,8.356B,9.068B,,,,,,,,476.30M,,302.80M,42.20M,345.00M,,345.00M,,,,821.30M,2.244B,,2.244B,1.385B,1.385B,315.20M,109.50M,3.738B,4.560B,,7.20M,3.238B,954.60M,,6.10M,-7.20M,4.193B,,AOR,Restated
2017-03,123.10M,,123.10M,208.50M,,208.50M,154.90M,154.90M,,,,146.50M,633.00M,0.00,218.70M,2.456B,7.477B,312.60M,10.46B,-2.473B,7.991B,,141.20M,141.20M,38.00M,,74.70M,8.245B,8.878B,,,,,,,,415.80M,,,,292.40M,,292.40M,,,,708.20M,2.264B,,2.264B,1.332B,1.332B,314.90M,105.80M,3.701B,4.409B,,7.20M,3.197B,955.30M,,6.10M,-5.40M,4.154B,,AOR,Restated
2016-12,170.60M,,170.60M,191.00M,,304.20M,152.60M,152.60M,18.20M,,,2.40M,648.00M,0.00,219.20M,2.374B,7.434B,293.40M,10.32B,-2.367B,7.954B,,116.10M,116.10M,32.90M,,66.90M,8.170B,8.818B,,247.80M,35.20M,36.00M,,319.00M,138.40M,457.40M,39.20M,181.30M,25.40M,206.70M,,206.70M,,,41.10M,744.40M,2.272B,,2.272B,1.289B,1.289B,314.60M,107.80M,3.669B,4.413B,,7.20M,3.134B,954.80M,,6.10M,-6.20M,4.090B,,AOR,Restated
2016-09,293.10M,,293.10M,193.70M,,193.70M,146.00M,146.00M,,,,136.20M,769.00M,0.00,219.60M,2.402B,7.256B,245.40M,10.12B,-2.313B,7.810B,,141.20M,141.20M,37.90M,,71.20M,8.060B,8.830B,,,,,,,,477.00M,,,,275.10M,,275.10M,,,,752.10M,2.276B,,2.276B,1.308B,1.308B,313.90M,107.90M,3.692B,4.444B,,7.20M,3.117B,953.80M,,6.10M,-5.70M,4.072B,,AOR,Restated
2016-06,293.60M,,293.60M,176.90M,,176.90M,141.20M,141.20M,,,,112.10M,723.80M,0.00,217.20M,2.355B,7.179B,189.40M,9.94B,-2.233B,7.707B,,141.20M,141.20M,34.70M,,71.10M,7.954B,8.677B,,,,,,,,405.20M,,,,275.50M,,275.50M,,,,680.70M,2.282B,,2.282B,1.269B,1.269B,311.10M,114.50M,3.665B,4.346B,,7.20M,3.068B,950.30M,,6.10M,-5.40M,4.021B,,AOR,Restated
2016-03,39.20M,,39.20M,175.40M,,175.40M,141.10M,141.10M,,,,95.80M,451.50M,0.00,217.20M,2.328B,7.069B,164.70M,9.779B,-2.163B,7.616B,,141.20M,141.20M,38.20M,,69.20M,7.864B,8.316B,,,,,,,,350.90M,,,,329.80M,,329.80M,,,,680.70M,2.039B,,2.039B,1.228B,1.228B,310.70M,116.40M,3.383B,4.064B,,7.20M,2.992B,947.50M,,6.10M,-4.80M,3.941B,,AOR,Restated
