,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,166.30M,,-16.30M,2.30M,1.30M,,-12.70M,,90.00M,90.00M,-12.30M,4.30M,,-0.30M,13.40M,-0.90M,-2.00M,-1.30M,,,9.20M,260.10M,,-110.30M,3.60M,3.60M,-0.50M,,-4.20M,-112.80M,,-6.10M,,-6.10M,,-566.00M,-566.00M,,-37.60M,3.30M,0.00,-606.40M,,646.00M,-459.10M,1.30M,188.20M,,,0.00,-6.10M,-566.00M,,,,AOR,
2020-09,190.20M,,-1.00M,1.90M,1.30M,,2.20M,,89.20M,89.20M,-15.80M,5.10M,,-7.60M,-32.00M,3.30M,34.20M,25.60M,,,31.10M,294.40M,,-106.90M,1.30M,1.30M,-2.00M,,-3.00M,-114.00M,,-7.10M,,-7.10M,,-111.20M,-111.20M,,-37.80M,2.10M,0.00,-154.00M,,620.10M,26.40M,-0.50M,646.00M,,,0.00,-7.10M,-111.20M,,,,AOR,
2020-06,110.30M,,-1.40M,-31.70M,-0.20M,,-33.30M,,89.30M,89.30M,14.50M,3.20M,,14.00M,47.00M,13.40M,21.80M,-40.40M,,,41.80M,242.30M,,-95.90M,4.70M,4.70M,-0.60M,,-3.10M,-110.60M,,543.20M,,543.20M,,-100.00M,-100.00M,,-38.30M,0.10M,-6.60M,398.40M,,91.00M,530.10M,-1.00M,620.10M,,,545.60M,-2.40M,-100.00M,,,,AOR,
2020-03,152.30M,,25.80M,30.00M,-1.00M,,54.80M,,89.40M,89.40M,19.80M,10.30M,,-1.70M,-2.90M,5.90M,-38.00M,-6.70M,,,-41.70M,283.20M,,-177.00M,3.30M,-74.90M,-4.30M,,-6.30M,-188.60M,,-2.40M,,-2.40M,,-111.70M,-111.70M,,-38.60M,4.40M,,-148.30M,,148.80M,-53.70M,-4.10M,91.00M,,,,-2.40M,-111.70M,,,,AOR,
2019-12,127.90M,,-3.80M,-2.70M,2.60M,,-3.90M,,88.00M,88.00M,5.80M,6.70M,,15.40M,-0.10M,5.20M,-3.30M,-0.50M,,,1.30M,245.20M,,-119.40M,3.70M,3.30M,-9.70M,,-8.70M,-136.00M,,570.30M,,570.30M,,-550.00M,-550.00M,,-35.70M,2.20M,-9.10M,-22.30M,,61.60M,86.90M,0.30M,148.80M,,,847.50M,-277.20M,-550.00M,,,,AOR,Restated
2019-09,180.60M,,2.80M,6.60M,-2.10M,,7.30M,,86.50M,86.50M,-23.60M,4.40M,,9.70M,22.30M,-9.20M,19.10M,20.50M,,,52.70M,317.60M,,-155.50M,6.10M,-31.60M,-11.70M,,-1.80M,-166.20M,,-2.30M,,-2.30M,,-99.80M,-99.80M,,-36.00M,1.50M,0.00,-136.60M,,47.60M,14.80M,-0.80M,61.60M,,,0.00,-2.30M,-99.80M,,,,AOR,Restated
2019-06,129.10M,,-1.00M,-3.20M,0.20M,,-4.00M,,87.70M,87.70M,5.30M,6.00M,,56.00M,-17.80M,13.20M,9.20M,-19.20M,,,-14.60M,268.50M,,-171.40M,10.10M,9.20M,-6.90M,,1.40M,-184.40M,,-2.80M,,-2.80M,,-92.40M,-92.40M,,-36.20M,3.10M,-0.90M,-129.20M,,92.70M,-45.10M,0.00,47.60M,,,0.00,-2.80M,-92.40M,,,,AOR,Restated
2019-03,103.20M,,-1.00M,-2.90M,-1.70M,,-5.60M,,88.50M,88.50M,6.90M,6.00M,,60.00M,33.80M,-8.70M,-15.60M,4.20M,,,13.70M,272.70M,,-179.90M,2.20M,2.20M,-8.40M,,1.10M,-189.70M,,-2.70M,,-2.70M,,-50.30M,-50.30M,,-36.40M,0.20M,-1.60M,-90.80M,,100.50M,-7.80M,0.00,92.70M,,,,-2.70M,-50.30M,,,,AOR,Restated
2018-12,161.80M,,,4.10M,-0.80M,,1.80M,,89.60M,89.60M,12.90M,4.40M,,20.90M,-28.20M,-5.80M,-1.50M,-14.80M,,,-50.30M,244.10M,,-123.50M,1.50M,1.50M,-8.90M,,6.10M,-126.90M,,-2.80M,0.00,-2.80M,,-80.20M,-80.20M,,-36.60M,0.00,0.00,-119.60M,,107.10M,-2.40M,,100.50M,,,0.00,-2.80M,-80.20M,,,,AOR,Restated
2018-09,174.00M,,,-4.40M,0.20M,,-4.20M,,87.50M,87.50M,32.60M,4.40M,,-7.20M,-22.00M,-0.50M,18.50M,-3.10M,,,-7.10M,280.00M,,-129.50M,1.50M,1.50M,-4.00M,,-5.20M,-140.80M,,-2.70M,0.00,-2.70M,,-54.80M,-54.80M,,-36.80M,1.10M,0.00,-93.20M,,61.10M,46.00M,,107.10M,,,0.00,-2.70M,-54.80M,,,,AOR,Restated
2018-06,148.70M,,,12.30M,-1.00M,,11.30M,,86.30M,86.30M,12.80M,5.80M,,9.50M,20.00M,9.30M,-21.80M,0.80M,,,8.30M,285.20M,,-245.00M,4.30M,-83.40M,-6.10M,,3.30M,-260.00M,,432.10M,-344.00M,88.10M,,-54.50M,-54.50M,,-37.00M,0.30M,-8.00M,-11.10M,,47.00M,14.10M,,61.10M,,,499.40M,-63.20M,-54.50M,,,,AOR,Restated
2018-03,144.90M,,,-4.40M,-1.00M,,-5.40M,,83.30M,83.30M,14.70M,5.80M,,-16.70M,-37.20M,-7.50M,-19.20M,-22.10M,,,-86.00M,140.60M,,-121.20M,1.40M,-9.80M,-0.20M,,-0.30M,-124.20M,,-8.70M,-4.10M,-12.80M,,-54.00M,-54.00M,,-37.10M,0.40M,,-103.50M,,134.10M,-87.10M,,47.00M,,,,-12.80M,-54.00M,,,,AOR,Restated
2017-12,552.40M,,,10.90M,-1.80M,,9.10M,,79.30M,79.30M,-371.00M,3.60M,,6.20M,0.10M,0.30M,51.40M,-44.20M,,,7.60M,294.70M,,-138.50M,2.20M,2.20M,-0.10M,,-0.40M,-139.10M,,-5.20M,-12.30M,-17.50M,,-55.20M,-55.20M,,-37.40M,0.20M,,-109.90M,,88.40M,45.70M,,134.10M,,,-9.772B,9.596B,-55.20M,,,,AOR,Restated
2017-09,129.90M,,,6.00M,-2.80M,,3.20M,,81.90M,81.90M,36.30M,4.10M,,-9.70M,-4.60M,4.40M,75.00M,-3.70M,,,71.10M,316.80M,,-182.20M,1.10M,-19.60M,-13.70M,,-5.80M,-204.60M,,-7.50M,51.70M,44.20M,,-200.00M,-200.00M,,-34.80M,0.50M,,-190.10M,,166.30M,-77.90M,,88.40M,,,3.871B,-3.826B,-200.00M,,,,AOR,Restated
2017-06,134.70M,,,17.50M,-2.90M,,14.60M,,80.40M,80.40M,42.10M,5.70M,,3.20M,-26.10M,-0.70M,43.80M,-15.40M,,,1.60M,287.30M,,-147.20M,0.80M,-21.10M,-6.40M,,-6.70M,-175.00M,,-6.00M,36.70M,30.70M,,-64.70M,-64.70M,,-35.10M,,,-69.10M,,123.10M,43.20M,,166.30M,,,3.154B,-3.123B,-64.70M,,,,AOR,Restated
2017-03,146.90M,,,-83.40M,-4.00M,,-87.40M,,79.30M,79.30M,32.60M,4.80M,,-12.80M,-16.10M,-2.60M,-9.80M,-5.30M,,,-33.80M,129.60M,,-160.10M,4.70M,4.70M,-0.20M,,-2.60M,-162.40M,,-6.70M,82.90M,76.20M,,-55.70M,-55.70M,,-35.20M,0.00,,-14.70M,,170.60M,-47.50M,,123.10M,,,2.748B,-2.672B,-55.70M,,,,AOR,Restated
2016-12,130.30M,,,17.70M,-4.20M,,13.50M,,78.10M,78.10M,-25.80M,4.00M,,2.70M,3.20M,-8.20M,15.50M,14.10M,,,24.60M,235.40M,,-158.50M,1.40M,1.40M,0.00,,-3.20M,-162.20M,,-255.60M,181.10M,-74.50M,,-85.60M,-85.60M,,-35.60M,0.00,0.00,-195.70M,,293.10M,-122.50M,,170.60M,,,-6.398B,6.324B,-85.60M,,,,AOR,Restated
2016-09,121.00M,,,16.10M,-3.50M,,12.60M,,76.90M,76.90M,24.10M,4.10M,,-0.80M,-16.50M,-4.30M,60.00M,-11.60M,,,27.60M,265.50M,,-167.80M,1.60M,-19.60M,-0.90M,,-1.00M,-182.70M,,-7.80M,0.00,-7.80M,,-40.60M,-40.60M,,-35.60M,0.70M,0.00,-83.30M,,293.60M,-0.50M,,293.10M,,,0.30M,-8.10M,-40.60M,,,,AOR,Restated
2016-06,120.50M,,,18.70M,-3.00M,,15.70M,,75.70M,75.70M,7.00M,5.00M,,5.70M,-2.90M,2.10M,24.70M,-0.40M,,,23.50M,258.10M,,-137.20M,0.80M,0.00,,,-0.40M,-146.80M,,243.40M,-54.10M,189.30M,,-8.20M,-8.20M,,-35.80M,0.20M,-2.40M,143.10M,,39.20M,254.40M,,293.60M,,,2.553B,-2.363B,-8.20M,,,,AOR,Restated
2016-03,108.10M,,,-57.40M,-3.90M,,-61.30M,,74.30M,74.30M,36.70M,6.10M,,-7.40M,-2.10M,-3.80M,1.60M,7.80M,,,3.50M,160.00M,,-126.70M,1.20M,-3.40M,,,-4.40M,-136.50M,,-7.70M,-26.20M,-33.90M,,-51.00M,-51.00M,,-35.80M,,-0.20M,-120.90M,,136.60M,-97.40M,,39.20M,,,4.195B,-4.229B,-51.00M,,,,AOR,Restated
2015-12,140.00M,,,-1.40M,-3.90M,,2.30M,,73.90M,73.90M,47.90M,-0.40M,5.30M,4.70M,24.50M,-10.90M,-32.10M,-25.90M,,,-44.40M,238.00M,,-166.40M,4.60M,3.40M,,,-6.30M,-179.00M,,-5.20M,80.00M,74.80M,,-57.90M,-57.90M,,-36.10M,0.00,-19.80M,-39.00M,,116.60M,20.00M,,136.60M,,,1.346B,-1.271B,-57.90M,,,,AOR,Restated
2015-09,131.90M,,,20.60M,-5.00M,,15.60M,,71.40M,71.40M,33.70M,3.70M,-0.90M,-11.70M,-0.80M,7.90M,22.70M,0.20M,,,30.00M,273.70M,,-244.30M,,-81.70M,,,-2.90M,-250.50M,,491.40M,-292.10M,199.30M,,-115.70M,-115.70M,,-36.50M,0.30M,-4.90M,42.50M,,50.90M,65.70M,,116.60M,,,1.695B,-1.495B,-115.70M,,,,AOR,Restated
2015-06,112.20M,,,9.30M,-5.00M,,4.30M,,70.80M,70.80M,28.10M,3.70M,-0.80M,2.40M,10.90M,-7.50M,7.20M,-4.10M,,,6.50M,235.00M,,-189.80M,-0.90M,-8.50M,,,-17.00M,-209.70M,,-35.00M,78.50M,43.50M,,-20.60M,-20.60M,,-36.50M,0.00,0.80M,-12.80M,,38.40M,12.50M,,50.90M,,,4.578B,-4.534B,-20.60M,,,,AOR,Restated
2015-03,101.20M,,,13.20M,-4.40M,,8.80M,,68.50M,68.50M,26.10M,4.40M,-3.60M,0.60M,-22.60M,-15.70M,-24.90M,19.70M,,,-43.50M,162.50M,,-231.70M,0.90M,-52.80M,,,-1.10M,-233.80M,,22.70M,-237.50M,-214.80M,,,,,-31.00M,3.90M,3.60M,-238.30M,,348.00M,-309.60M,,38.40M,,,3.872B,-4.087B,,,,,AOR,Restated
2014-12,141.70M,,,,-4.50M,,-0.20M,,67.30M,67.30M,43.50M,3.80M,3.70M,-2.30M,25.70M,9.80M,-59.00M,-19.50M,,,-43.00M,224.20M,,-264.60M,-6.20M,-6.10M,,,11.80M,-260.10M,,-5.20M,137.70M,132.50M,,0.00,0.00,,-30.90M,0.70M,-4.20M,98.10M,,285.80M,62.20M,,348.00M,,,3.866B,-3.734B,0.00,,,,AOR,Restated
2014-09,138.40M,,,,-5.00M,,-5.00M,,65.00M,65.00M,38.20M,1.80M,-0.50M,-9.80M,3.90M,3.70M,43.50M,6.30M,,,57.40M,285.50M,,-143.40M,2.60M,-5.30M,,,-1.60M,-143.20M,,-7.40M,-9.50M,-16.90M,,0.00,0.00,,-30.90M,0.90M,0.20M,-46.70M,,190.20M,95.60M,,285.80M,,,6.421B,-6.438B,0.00,,,,AOR,Restated
2014-06,130.20M,,,,-5.90M,,-5.90M,,63.90M,63.90M,32.80M,2.90M,-0.10M,3.20M,-16.60M,6.30M,16.50M,12.00M,,,18.20M,253.00M,,-336.30M,2.20M,-164.10M,,,-0.40M,-339.70M,,-5.00M,145.60M,140.60M,,0.00,0.00,,-31.00M,0.20M,-0.40M,109.40M,,167.50M,22.70M,,190.20M,,,4.217B,-4.076B,0.00,,,,AOR,Restated
2014-03,94.00M,,,,-5.70M,,0.90M,,61.90M,61.90M,25.60M,1.50M,-2.40M,-3.90M,4.20M,-10.60M,-27.10M,-8.80M,,,-42.30M,143.30M,,-226.00M,1.40M,-126.60M,,,4.30M,-239.90M,,-315.40M,174.80M,-140.60M,,,,,-23.80M,0.20M,-1.20M,-165.40M,,429.50M,-262.00M,,167.50M,,,1.040B,-1.180B,,,,,AOR,Restated
2013-12,114.40M,,,,-5.00M,,0.40M,,58.30M,58.30M,24.30M,2.30M,-0.50M,-6.80M,14.40M,14.10M,-16.20M,15.10M,,,27.40M,225.80M,,-269.70M,2.00M,-54.70M,,,4.80M,-269.50M,,408.30M,0.00,408.30M,,,,,-23.60M,0.60M,-8.00M,377.30M,,95.90M,333.60M,,429.50M,,,449.70M,-41.40M,,,,,AOR,Restated
2013-09,119.00M,,,,-4.80M,,-2.40M,,57.20M,57.20M,33.50M,3.00M,-0.40M,-7.50M,-14.80M,5.00M,43.40M,10.10M,,,43.70M,246.10M,,-115.90M,1.90M,1.90M,,,-3.20M,-119.60M,,-33.60M,0.00,-33.60M,,,,,-23.80M,0.00,-3.20M,-60.60M,,30.00M,65.90M,,95.90M,,,65.00M,-98.60M,,,,,AOR,Restated
