,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,662.80M,,693.40M,417.50M,275.90M,,,,-13.60M,39.10M,-39.10M,,0.00,275.90M,39.10M,-39.10M,-0.90M,-39.10M,235.90M,69.60M,166.30M,,,-0.60M,0.00,165.70M,165.14M,365.00M,90.00M,275.00M,,1.81,,,,1.804,1.81,,1.80,,,,1.794,1.80,,91.29M,91.81M,0.44,,AOR,
2020-09,628.00M,,659.60M,387.60M,272.00M,,,,-0.50M,39.50M,-39.50M,,0.00,272.00M,39.50M,-39.50M,6.20M,-39.50M,238.70M,48.50M,190.20M,,,-0.40M,0.10M,189.80M,184.06M,367.40M,89.20M,278.20M,,2.02,,,,1.959,2.02,,2.01,,,,1.949,2.01,,93.88M,94.38M,0.40,,AOR,
2020-06,511.90M,,547.90M,357.00M,190.90M,,,,-10.50M,38.10M,-38.10M,,0.00,190.90M,38.10M,-38.10M,-1.70M,-38.10M,151.10M,40.80M,110.30M,,,-0.60M,,109.70M,111.67M,278.50M,89.30M,189.20M,,1.16,,,,1.181,1.16,,1.16,,,,1.181,1.16,,94.48M,94.89M,0.40,,AOR,
2020-03,691.00M,,731.70M,436.90M,294.80M,,,,-6.00M,34.20M,-34.20M,,0.00,294.80M,34.20M,-34.20M,-63.10M,-34.20M,197.50M,45.20M,152.30M,,,-0.50M,0.10M,151.80M,202.30M,321.10M,89.40M,231.70M,,1.59,,,,2.118,1.59,,1.58,,,,2.105,1.58,,95.66M,96.17M,0.40,,AOR,
2019-12,690.00M,,729.50M,455.20M,274.30M,,,,-38.80M,31.80M,-31.80M,,0.00,274.30M,31.80M,-31.80M,-35.00M,-31.80M,207.50M,79.60M,127.90M,,,-0.70M,0.00,127.20M,146.43M,327.30M,88.00M,239.30M,,1.31,,,,1.507,1.31,,1.30,,,,1.496,1.30,,97.45M,97.96M,0.40,,AOR,Restated
2019-09,714.10M,,747.70M,453.70M,294.00M,,,,-12.00M,27.90M,-27.90M,,0.00,294.00M,27.90M,-27.90M,-11.30M,-27.90M,254.80M,74.20M,180.60M,,,-0.40M,0.10M,180.20M,191.12M,369.20M,86.50M,282.70M,,1.81,,,,1.920,1.81,,1.81,,,,1.920,1.81,,99.30M,99.70M,0.36,,AOR,Restated
2019-06,678.40M,,714.00M,455.00M,259.00M,,,,-51.00M,28.00M,-28.00M,,0.00,259.00M,28.00M,-28.00M,-42.80M,-28.00M,188.20M,59.10M,129.10M,,,-0.40M,,128.70M,157.99M,303.90M,87.70M,216.20M,,1.29,,,,1.583,1.29,,1.28,,,,1.572,1.28,,100.03M,100.42M,0.36,,AOR,Restated
2019-03,643.40M,,674.80M,447.00M,227.80M,,,,-68.10M,28.20M,-28.20M,,0.00,227.80M,28.20M,-28.20M,-61.70M,-28.20M,137.90M,34.70M,103.20M,,,-0.40M,0.10M,102.80M,150.30M,254.60M,88.50M,166.10M,,1.02,,,,1.493,1.02,,1.02,,,,1.491,1.02,,100.50M,100.92M,0.36,,AOR,Restated
2018-12,658.60M,-11.10M,705.10M,457.20M,247.90M,,,,8.50M,28.20M,-28.20M,,0.00,247.90M,28.20M,-28.20M,2.40M,-28.20M,222.10M,60.30M,161.80M,,,-0.70M,0.00,161.10M,161.10M,339.90M,89.60M,250.30M,,1.59,,,,1.59,1.59,,1.59,,,,1.59,1.59,,101.09M,101.51M,0.36,,AOR,Restated
2018-09,668.70M,-9.40M,708.40M,452.40M,256.00M,,,,9.40M,28.30M,-28.30M,,0.00,256.00M,28.30M,-28.30M,19.30M,-28.30M,247.00M,73.00M,174.00M,,,-0.40M,0.10M,173.60M,160.29M,362.80M,87.50M,275.30M,,1.71,,,,1.579,1.71,,1.70,,,,1.570,1.70,,101.66M,102.11M,0.36,,AOR,Restated
2018-06,653.10M,-8.00M,690.40M,444.60M,245.80M,,,,-2.20M,28.00M,-28.00M,,0.00,245.80M,28.00M,-28.00M,-21.70M,-28.00M,196.10M,47.40M,148.70M,,,-0.50M,,148.20M,165.79M,310.40M,86.30M,224.10M,,1.45,,,,1.622,1.45,,1.45,,,,1.622,1.45,,102.09M,102.49M,0.36,,AOR,Restated
2018-03,611.40M,-9.20M,647.80M,429.10M,218.70M,,,,0.00,25.50M,-25.50M,,0.00,218.70M,25.50M,-25.50M,28.50M,-25.50M,221.70M,76.80M,144.90M,,,-0.40M,0.10M,144.50M,126.32M,330.50M,83.30M,247.20M,,1.41,,,,1.233,1.41,,1.40,,,,1.223,1.40,,102.57M,102.98M,0.36,,AOR,Restated
2017-12,634.30M,-8.50M,668.90M,431.10M,237.80M,,,,0.00,25.30M,-25.30M,,0.00,237.80M,25.30M,-25.30M,-19.30M,-25.30M,193.20M,-359.20M,552.40M,,,-0.70M,0.00,551.70M,563.76M,297.80M,79.30M,218.50M,,5.35,,,,5.467,5.35,,5.33,,,,5.447,5.33,,103.02M,103.41M,0.36,,AOR,Restated
2017-09,633.60M,-11.10M,667.70M,433.90M,233.80M,,,,0.00,25.20M,-25.20M,,0.00,233.80M,25.20M,-25.20M,3.30M,-25.20M,211.90M,82.00M,129.90M,,,-0.60M,0.10M,129.30M,128.81M,319.00M,81.90M,237.10M,,1.24,,,,1.235,1.24,,1.23,,,,1.225,1.23,,104.32M,104.68M,0.36,,AOR,Restated
2017-06,629.40M,-12.80M,669.20M,429.90M,239.30M,,,,,25.00M,-25.00M,,0.00,239.30M,25.00M,-25.00M,17.00M,-25.00M,231.30M,96.60M,134.70M,,,-0.30M,,134.40M,125.88M,336.70M,80.40M,256.30M,,1.27,,,,1.189,1.27,,1.27,,,,1.189,1.27,,105.47M,105.76M,0.33,,AOR,Restated
2017-03,586.70M,-11.70M,621.20M,410.50M,210.70M,,,,,24.70M,-24.70M,,0.00,210.70M,24.70M,-24.70M,51.90M,-24.70M,237.90M,91.00M,146.90M,,,-0.30M,0.10M,146.60M,117.72M,341.90M,79.30M,262.60M,,1.38,,,,1.108,1.38,,1.38,,,,1.108,1.38,,106.11M,106.33M,0.33,,AOR,Restated
