,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,1.075B,599.33M,1.674B,740.81M,,740.81M,150.12M,168.83M,,318.96M,92.02M,,,,2.826B,0.0,85.51M,143.22M,282.59M,12.79M,524.12M,-219.43M,304.69M,1.332B,1.060B,2.391B,20.57M,84.78M,70.62M,2.872B,5.698B,281.52M,32.08M,313.60M,168.40M,482.00M,200.67M,,,,45.54M,45.54M,,773.76M,,,,,268.28M,268.28M,26.32M,294.60M,1.068B,3.192M,5.960B,4.514B,5.815B,,,-32.53M,4.629B
2020-06,,921.33M,250.75M,1.172B,760.43M,,760.43M,138.68M,201.85M,,340.54M,98.40M,,,,2.371B,0.0,85.21M,142.13M,272.38M,12.19M,511.91M,-209.97M,301.95M,1.332B,1.056B,2.387B,2.077M,84.78M,46.38M,2.822B,5.194B,261.97M,22.50M,284.47M,142.85M,427.31M,167.01M,,,,44.89M,44.89M,,674.86M,,,,,272.93M,272.93M,24.48M,297.41M,972.27M,3.19M,5.613B,4.474B,5.815B,,,-53.44M,4.222B
2020-03,,701.84M,233.51M,935.35M,670.57M,,670.57M,140.99M,211.32M,,352.30M,90.50M,,,,2.049B,0.0,78.28M,126.76M,292.73M,11.52M,509.27M,-213.70M,295.57M,1.332B,1.053B,2.385B,13.92M,84.78M,53.76M,2.833B,4.881B,305.53M,12.71M,318.24M,140.18M,458.42M,171.41M,,5.039M,5.039M,44.84M,44.84M,,701.54M,,25.28M,25.28M,,278.39M,278.39M,5.333M,309.01M,1.011B,3.186M,5.301B,4.429B,5.799B,,,-62.68M,3.871B
2019-12,518.18M,797.96M,533.06M,1.331B,540.33M,,540.33M,134.88M,225.85M,,360.73M,84.23M,,,,2.316B,0.0,78.28M,126.34M,291.04M,10.42M,506.07M,-207.43M,298.64M,1.332B,1.052B,2.384B,12.90M,84.78M,53.97M,2.834B,5.150B,274.04M,14.72M,288.76M,114.08M,402.84M,166.76M,,,,44.24M,44.24M,,661.10M,,,,,287.47M,287.47M,30.50M,317.97M,979.07M,3.182M,5.022B,4.398B,5.220B,,,-32.39M,4.171B
2019-09,,717.62M,587.36M,1.305B,647.98M,,647.98M,136.56M,181.19M,,317.74M,90.06M,,,,2.361B,0.0,44.26M,126.05M,266.90M,8.487M,445.70M,-193.94M,251.76M,1.332B,1.047B,2.379B,14.37M,85.15M,46.21M,2.777B,5.137B,304.77M,20.33M,325.11M,112.32M,437.42M,197.24M,,,,43.80M,43.80M,,714.22M,,,,,292.10M,292.10M,23.07M,315.17M,1.029B,3.181M,4.768B,4.370B,4.990B,,,-43.08M,4.108B
2019-06,,888.25M,357.99M,1.246B,688.20M,,688.20M,126.98M,172.55M,,299.53M,92.81M,,,,2.327B,0.0,44.26M,117.48M,255.91M,6.916M,424.56M,-184.40M,240.16M,1.332B,1.046B,2.377B,7.006M,85.15M,47.79M,2.758B,5.084B,292.63M,15.18M,307.81M,125.09M,432.89M,199.32M,,,,43.84M,43.84M,,705.50M,,,,,298.38M,298.38M,22.87M,321.25M,1.027B,3.18M,4.469B,4.350B,4.736B,,,-28.76M,4.058B
2019-03,,618.34M,263.70M,882.04M,596.66M,,596.66M,109.94M,190.84M,,300.78M,127.82M,,,,1.907B,0.0,44.26M,116.50M,258.16M,6.648M,425.57M,-184.34M,241.23M,1.332B,1.043B,2.374B,,85.22M,47.62M,2.749B,4.656B,267.74M,6.113M,273.85M,127.62M,401.47M,167.70M,,,,43.59M,43.59M,,630.97M,,,,,303.24M,303.24M,22.82M,326.06M,957.03M,3.174M,4.176B,4.289B,4.735B,,,-34.12M,3.699B
2018-12,393.94M,637.51M,320.65M,958.16M,484.56M,,484.56M,94.42M,183.28M,,277.70M,83.74M,,,,1.804B,0.0,44.26M,115.24M,251.68M,5.909M,417.09M,-174.04M,243.05M,1.332B,1.046B,2.378B,0.00,85.69M,16.46M,2.723B,4.527B,248.76M,10.19M,258.95M,112.51M,371.46M,145.74M,,,,44.04M,44.04M,,601.14M,,,,,312.22M,312.22M,2.621M,314.84M,915.99M,3.155M,3.915B,4.238B,4.512B,,,-32.86M,3.611B
2018-09,,713.71M,457.90M,1.172B,620.16M,,620.16M,99.27M,162.82M,,262.08M,98.81M,,,,2.153B,0.0,44.26M,113.62M,244.63M,5.76M,408.28M,-165.42M,242.85M,1.332B,1.042B,2.374B,1.61M,85.25M,15.08M,2.719B,4.871B,278.91M,6.453M,285.37M,113.23M,398.60M,183.30M,,,,44.23M,44.23M,,656.36M,,,,,319.01M,319.01M,2.723M,321.73M,978.09M,3.154M,3.676B,4.220B,3.975B,,,-29.78M,3.893B
2018-06,,659.69M,211.09M,870.78M,592.57M,,592.57M,89.36M,186.20M,,275.57M,89.76M,,,,1.829B,0.0,44.26M,116.14M,233.58M,3.278M,397.26M,-156.60M,240.66M,1.332B,1.039B,2.371B,0.00,85.25M,16.44M,2.713B,4.542B,267.12M,15.98M,283.10M,82.68M,365.77M,178.19M,,,,43.89M,43.89M,,614.21M,,,,,320.26M,320.26M,2.439M,322.70M,936.91M,3.152M,3.408B,4.195B,3.975B,,,-25.20M,3.605B
