,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,1.246B,1.246B,509.83M,736.53M,,,,,-4.568M,277.93M,458.60M,,-4.568M,,-4.568M,454.03M,106.38M,347.65M,347.65M,347.65M,472.42M,13.82M,458.60M,0.66,,0.66,0.66,0.65,,0.65,0.65,527.64M,533.26M
2020-06,1.094B,1.094B,434.43M,659.47M,,,,,-1.796M,252.20M,407.26M,,-1.796M,,-1.796M,405.47M,94.10M,311.37M,311.37M,311.37M,422.78M,15.51M,407.26M,0.59,,0.59,0.59,0.59,,0.59,0.59,526.91M,531.19M
2020-03,1.062B,1.062B,424.90M,637.20M,,,,,0.872M,272.21M,364.99M,,0.872M,,0.872M,365.86M,87.02M,278.84M,278.84M,278.84M,381.53M,16.55M,364.99M,0.52,,0.52,0.52,0.52,,0.52,0.52,536.06M,540.52M
2019-12,1.684B,1.017B,406.44M,610.77M,,,,,,293.72M,317.04M,,,,,321.23M,66.28M,254.95M,254.95M,254.95M,334.02M,16.97M,317.04M,0.47,,0.47,0.47,0.47,,0.47,0.47,537.35M,541.27M
2019-09,1.134B,1.134B,460.58M,673.00M,,,,,3.121M,277.56M,395.44M,,3.121M,,3.121M,398.56M,99.64M,298.92M,298.92M,298.92M,410.84M,15.40M,395.44M,0.55,,0.55,0.55,0.55,,0.55,0.55,544.47M,548.42M
2019-06,1.104B,1.104B,442.76M,661.28M,,,,,2.973M,282.29M,378.99M,,2.973M,,2.973M,381.96M,89.49M,292.47M,292.47M,292.47M,396.56M,17.57M,378.99M,0.54,,0.54,0.54,0.53,,0.53,0.53,544.16M,548.22M
2019-03,945.99M,945.99M,372.46M,573.53M,,,,,2.742M,262.07M,311.46M,,2.742M,,2.742M,314.20M,52.72M,261.48M,261.48M,261.48M,326.33M,14.87M,311.46M,0.48,,0.48,0.48,0.48,,0.48,0.48,542.77M,548.27M
2018-12,1.547B,924.23M,372.03M,552.20M,,,,,,245.69M,306.51M,,,,,310.90M,71.79M,239.11M,239.11M,239.11M,321.02M,14.51M,306.51M,0.43,,0.43,0.43,0.43,,0.43,0.43,550.25M,556.64M
2018-09,1.016B,1.016B,408.50M,607.66M,,,,,2.988M,268.09M,339.57M,,2.988M,,2.988M,342.56M,74.83M,267.73M,267.73M,267.73M,353.86M,14.28M,339.57M,0.48,,0.48,0.48,0.48,,0.48,0.48,552.69M,559.96M
2018-06,1.016B,1.016B,395.62M,620.26M,,,,,0.476M,262.64M,357.62M,,0.476M,,0.476M,358.10M,87.98M,270.12M,270.12M,270.12M,371.82M,14.19M,357.62M,0.48,,0.48,0.48,0.48,,0.48,0.48,559.87M,566.35M
2018-03,850.92M,850.92M,335.66M,515.26M,,,,,1.805M,235.34M,279.92M,,1.805M,,1.805M,281.72M,65.67M,216.05M,216.05M,216.05M,293.91M,13.99M,279.92M,0.38,,0.38,0.38,0.38,,0.38,0.38,566.00M,574.13M
