,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,347.65M,,-0.031M,,-0.031M,,,13.82M,13.82M,0.00,3.00M,20.01M,,23.01M,30.26M,25.31M,7.163M,28.54M,,,33.06M,124.32M,508.78M,-45.78M,0.29M,-12.66M,-32.83M,,-347.06M,1.338M,-391.21M,-0.82M,,-0.82M,21.70M,-0.148M,21.55M,,20.73M,921.33M,138.30M,15.10M,1.075B,21.70M,-0.82M,-0.148M,92.61M,0.01M
2020-06,311.37M,,-0.121M,,-0.121M,,,15.51M,15.51M,0.00,1.00M,15.94M,,16.94M,-84.11M,13.14M,-6.146M,-18.94M,,,1.68M,-94.37M,249.33M,-24.27M,0.373M,-17.62M,-6.274M,,-5.194M,-0.19M,-29.28M,-0.947M,,-0.947M,29.87M,-36.56M,-6.693M,,-7.64M,701.84M,212.40M,7.086M,921.33M,29.87M,-0.947M,-36.56M,84.96M,0.018M
2020-03,278.84M,,-0.058M,,-0.058M,,,16.55M,16.55M,0.00,3.00M,17.10M,,20.10M,-147.48M,1.037M,-10.00M,51.99M,,,-19.83M,-124.29M,191.13M,-17.93M,0.217M,-10.90M,-6.811M,,298.84M,-1.148M,279.98M,-0.733M,,-0.733M,13.98M,-559.21M,-545.24M,,-545.97M,797.96M,-74.86M,-21.26M,701.84M,13.98M,-0.733M,-559.21M,79.99M,0.011M
2019-12,254.95M,,-0.245M,,-0.245M,,,16.97M,16.97M,0.723M,,16.47M,,16.47M,114.08M,-40.28M,5.654M,-47.29M,,,-28.35M,3.824M,292.69M,-59.24M,0.429M,-56.84M,-1.97M,,61.54M,-1.265M,1.461M,-0.728M,,-0.728M,7.118M,-229.58M,-222.46M,,-223.19M,717.62M,70.96M,9.375M,797.96M,7.118M,-0.728M,-229.58M,66.93M,0.014M
2019-09,298.92M,,-1.276M,,-1.276M,,,15.40M,15.40M,0.001M,0.00,15.99M,,15.99M,25.84M,-23.44M,2.303M,29.38M,,,3.163M,37.25M,366.28M,-30.08M,0.369M,-22.95M,-6.767M,,-243.45M,1.019M,-272.14M,-3.766M,,-3.766M,4.111M,-254.31M,-250.20M,,-253.96M,888.25M,-159.82M,-10.81M,717.62M,4.111M,-3.766M,-254.31M,93.76M,0.053M
2019-06,292.47M,,1.384M,,1.384M,,,17.57M,17.57M,0.067M,0.00,15.58M,,15.58M,-86.36M,2.499M,34.47M,18.37M,,,35.34M,4.316M,331.39M,-12.59M,0.257M,-12.34M,-0.298M,,-91.46M,1.272M,-102.82M,-8.682M,,-8.682M,45.97M,-0.621M,45.35M,,36.67M,618.34M,265.24M,4.667M,888.25M,45.97M,-8.682M,-0.621M,51.12M,0.238M
2019-03,261.48M,,-0.115M,,-0.115M,,,14.87M,14.87M,0.472M,0.00,15.32M,,15.32M,-113.50M,-24.00M,-46.72M,22.45M,,,-6.867M,-168.64M,123.40M,-8.485M,0.184M,-8.301M,0.298M,,57.07M,-2.291M,46.78M,-0.393M,,-0.393M,35.16M,-222.79M,-187.63M,,-188.02M,637.51M,-17.85M,-1.322M,618.34M,35.16M,-0.393M,-222.79M,82.00M,0.015M
2018-12,239.11M,,-0.149M,,-0.149M,-42.47M,,14.51M,14.51M,-0.434M,,14.68M,,14.68M,135.47M,-15.81M,12.04M,-25.63M,,,-33.26M,72.81M,340.52M,-18.79M,0.286M,-11.79M,-6.709M,,139.00M,-1.689M,118.81M,-0.404M,,-0.404M,3.37M,-536.93M,-533.56M,,-533.96M,713.71M,-74.63M,-1.569M,637.51M,3.37M,-0.404M,-536.93M,66.39M,0.016M
2018-09,267.73M,,-0.326M,,-0.326M,42.47M,,14.28M,14.28M,0.00,,14.09M,,14.09M,-25.34M,12.42M,-8.995M,37.97M,,,8.227M,24.28M,320.06M,-21.48M,0.419M,-14.82M,-6.233M,,-248.53M,-2.441M,-272.03M,-0.51M,,-0.51M,10.86M,0.00,10.86M,,10.36M,659.69M,58.38M,-4.358M,713.71M,10.86M,-0.51M,0.00,92.60M,0.016M
2018-06,270.12M,,-0.121M,,-0.121M,-13.99M,,14.19M,14.19M,-0.076M,,14.91M,,14.91M,-79.12M,-11.48M,56.23M,56.10M,,,31.65M,53.37M,352.39M,-21.61M,0.193M,-21.38M,-0.322M,,378.14M,-6.135M,350.30M,-0.429M,,-0.429M,7.115M,-553.20M,-546.08M,,-546.51M,511.36M,156.18M,-7.853M,659.69M,7.115M,-0.429M,-553.20M,26.56M,0.012M
2018-03,216.05M,,-0.187M,,-0.187M,13.99M,,13.99M,13.99M,0.00,,13.44M,,13.44M,-69.42M,-11.27M,32.76M,-38.59M,,,-7.863M,-94.38M,148.91M,-13.05M,3.397M,-9.652M,0.28M,,86.80M,-1.549M,75.87M,-0.543M,,-0.543M,6.501M,-251.95M,-245.45M,,-245.99M,528.62M,-21.21M,3.945M,511.36M,6.501M,-0.543M,-251.95M,15.22M,0.016M
2017-12,201.32M,,-0.647M,,-0.647M,-35.10M,,13.78M,13.78M,66.07M,,13.02M,,13.02M,85.80M,-42.17M,-88.69M,-30.48M,,,-20.34M,-95.87M,197.67M,-20.25M,0.561M,-15.14M,-4.556M,,-28.46M,0.017M,-48.14M,-0.705M,,-0.705M,25.85M,-112.00M,-86.16M,,-86.86M,465.56M,62.68M,0.385M,528.62M,25.85M,-0.705M,-112.00M,95.51M,0.02M
2017-09,218.74M,,-0.078M,,-0.078M,12.33M,,12.33M,12.33M,0.00,,13.28M,,13.28M,7.37M,-21.84M,-37.61M,48.96M,,,15.68M,12.56M,256.84M,-32.40M,0.122M,-27.14M,-5.163M,,-295.84M,-0.584M,-328.72M,-0.544M,,-0.544M,7.683M,-248.87M,-241.19M,,-241.73M,777.66M,-313.62M,1.526M,465.56M,7.683M,-0.544M,-248.87M,137.94M,0.017M
2017-06,222.63M,,-0.168M,,-0.168M,11.59M,,11.59M,11.59M,0.00,,12.84M,,12.84M,41.88M,-17.07M,38.33M,12.56M,,,17.66M,93.36M,340.26M,-20.54M,0.281M,-21.10M,0.874M,,-127.57M,-0.58M,-148.38M,-0.634M,,-0.634M,5.472M,-0.238M,5.234M,,4.60M,576.34M,196.48M,4.838M,777.66M,5.472M,-0.634M,-0.238M,89.94M,0.019M
2017-03,177.98M,,-0.268M,,-0.268M,11.18M,,11.18M,11.18M,1.862M,,13.14M,,13.14M,6.49M,-7.793M,14.23M,-17.72M,,,-6.145M,-10.94M,192.96M,-19.94M,0.452M,-18.64M,-0.848M,,13.24M,-0.052M,-6.302M,-0.70M,,-0.70M,13.62M,-0.064M,13.56M,,12.86M,377.58M,199.52M,-0.764M,576.34M,13.62M,-0.70M,-0.064M,66.09M,0.019M
