,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,5.986B,,5.986B,3.106B,3.116B,3.135B,197.07M,,,12.43B,,,,,5.026B,5.026B,,5.026B,3.794B,776.60M,4.571B,228.23M,483.57M,10.31B,22.74B,4.035B,0.00,4.035B,1.698B,5.733B,5.408M,1.321B,1.326B,108.70M,1.435B,,,,7.168B,12.42B,545.48M,12.97B,54.01M,54.01M,,33.98M,1.217B,14.27B,21.44B,765.18M,10.55B,1.534B,9.934B,-1.612B,1.300B
2020-06,,6.059B,,6.059B,2.894B,3.002B,3.095B,192.16M,,,12.35B,0.0,493.69M,4.854B,4.820B,603.62M,10.77B,-5.710B,5.062B,3.732B,780.17M,4.513B,194.12M,511.10M,10.28B,22.63B,3.447B,2.938M,3.450B,1.616B,5.066B,2.266M,1.542B,1.544B,107.17M,1.652B,,,,6.718B,12.90B,523.50M,13.43B,86.60M,86.60M,,34.26M,1.205B,14.75B,21.47B,765.18M,10.56B,1.507B,9.966B,-1.711B,1.159B
2020-03,,2.241B,,2.241B,3.656B,3.685B,3.698B,234.86M,,,9.858B,,,,,5.225B,5.225B,,5.225B,3.863B,802.59M,4.665B,168.50M,515.57M,10.57B,20.43B,3.969B,0.00,3.969B,1.721B,5.690B,4.314M,827.60M,831.91M,102.99M,934.90M,,,,6.625B,10.02B,543.13M,10.57B,128.85M,128.85M,,31.55M,1.052B,11.78B,18.40B,765.18M,11.41B,1.529B,10.01B,-1.666B,2.029B
2019-12,,524.58M,,524.58M,4.376B,4.383B,3.508B,245.48M,,,8.662B,,,,,5.225B,5.225B,,5.225B,4.024B,855.49M,4.879B,117.88M,488.49M,10.71B,19.37B,4.160B,187.88M,4.347B,1.687B,6.034B,3.507M,790.15M,793.66M,103.96M,897.62M,,,,6.932B,8.093B,561.61M,8.655B,142.30M,142.30M,,34.07M,1.082B,9.913B,16.84B,765.18M,11.64B,1.526B,9.837B,-1.566B,2.528B
2019-09,,455.48M,,455.48M,4.397B,4.407B,3.387B,235.01M,,,8.484B,,,,,5.120B,5.120B,,5.120B,3.872B,825.29M,4.697B,98.12M,557.69M,10.47B,18.96B,4.247B,96.93M,4.344B,1.597B,5.941B,3.433M,54.36M,57.79M,102.54M,160.34M,,,,6.101B,8.638B,545.57M,9.183B,178.72M,178.72M,,33.03M,1.005B,10.40B,16.50B,765.18M,11.49B,1.491B,9.612B,-1.675B,2.455B
2019-06,,513.46M,,513.46M,4.182B,4.201B,3.216B,210.58M,,,8.142B,0.0,498.18M,4.545B,4.911B,,9.954B,-5.453B,4.502B,3.896B,857.30M,4.754B,80.76M,489.02M,9.825B,17.97B,4.315B,17.34M,4.332B,1.730B,6.062B,3.957M,37.32M,41.28M,0.00,41.28M,,,,6.103B,8.122B,0.00,8.122B,172.23M,172.23M,,35.43M,1.031B,9.361B,15.46B,765.18M,11.23B,1.457B,9.350B,-1.600B,2.503B
2019-03,,521.62M,,521.62M,4.329B,4.378B,3.345B,211.16M,,,8.456B,,,,,4.377B,4.377B,,4.377B,3.924B,888.47M,4.812B,61.87M,493.83M,9.745B,18.20B,4.293B,0.00,4.293B,1.664B,5.957B,5.733M,537.24M,542.97M,,542.97M,,,,6.500B,8.134B,,8.134B,219.59M,219.59M,,35.06M,949.64M,9.339B,15.84B,765.18M,10.89B,1.425B,9.239B,-1.483B,2.362B
2018-12,,744.81M,,744.81M,4.147B,4.170B,3.310B,212.29M,,,8.438B,,,,,4.376B,4.376B,,4.376B,3.876B,899.94M,4.776B,77.19M,527.74M,9.756B,18.19B,4.230B,4.571M,4.235B,1.723B,5.958B,6.101M,786.04M,792.14M,,792.14M,,,,6.750B,8.020B,,8.020B,233.60M,233.60M,,35.36M,987.57M,9.276B,16.03B,765.18M,10.65B,1.465B,9.193B,-1.524B,2.168B
2018-09,,790.30M,,790.30M,4.242B,4.282B,3.354B,215.71M,,,8.642B,,,,,4.467B,4.467B,,4.467B,3.937B,944.52M,4.881B,59.00M,492.43M,9.900B,18.54B,4.218B,132.91M,4.351B,1.503B,5.854B,4.414M,783.00M,787.42M,,787.42M,,,,6.641B,7.914B,,7.914B,277.04M,277.04M,,36.89M,1.034B,9.263B,15.90B,765.18M,10.59B,1.438B,8.706B,-1.451B,2.639B
2018-06,,552.32M,,552.32M,4.074B,4.138B,3.125B,187.88M,,,8.003B,0.0,495.91M,4.269B,5.436B,,10.20B,-5.679B,4.522B,3.955B,979.81M,4.935B,83.67M,526.33M,10.07B,18.07B,4.136B,56.79M,4.193B,1.609B,5.802B,4.176M,782.33M,786.50M,,786.50M,,,,6.589B,7.541B,,7.541B,319.12M,319.12M,,37.65M,1.077B,8.975B,15.56B,765.18M,10.35B,1.384B,8.581B,-1.409B,2.507B
