,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,6.721B,6.721B,3.34B,3.381B,28.00M,-26.00M,324.00M,522.00M,-522.00M,,1.541B,1.84B,522.00M,-522.00M,21.00M,-522.00M,1.339B,105.00M,1.234B,,,70.00M,27.00M,1.304B,1.328B,1.861B,,2020-09,1.74,,1.773,1.74,,2020-09,1.74,,1.773,1.74,735.00M,735.00M,0.965,,2020-09,AOR,
2020-06,5.421B,5.421B,2.761B,2.66B,6.00M,1.00M,334.00M,554.00M,-554.00M,,1.484B,1.176B,554.00M,-554.00M,-1.83B,-554.00M,-1.208B,-316.00M,-892.00M,,,90.00M,27.00M,-802.00M,-802.74M,-654.00M,,2020-06,-1.13,,-1.131,-1.13,,2020-06,-1.13,,-1.131,-1.13,735.00M,735.00M,0.945,,2020-06,AOR,
2020-03,5.949B,5.949B,2.985B,2.964B,2.00M,-1.00M,345.00M,551.00M,-551.00M,,1.475B,1.489B,551.00M,-551.00M,89.00M,-551.00M,1.027B,137.00M,890.00M,,,48.00M,27.00M,938.00M,938.87M,1.578B,,2020-03,1.24,0.00,1.241,1.24,,2020-03,1.24,,1.241,1.24,734.00M,736.00M,0.945,,2020-03,AOR,
2019-12,6.103B,6.103B,3.503B,2.60B,8.00M,127.00M,295.00M,547.00M,-516.00M,,1.479B,1.121B,547.00M,-516.00M,104.00M,-516.00M,709.00M,95.00M,614.00M,,,67.00M,12.00M,674.00M,571.02M,1.256B,,2019-12,0.89,,0.7398,0.88,,2019-12,0.89,,0.7398,0.88,732.00M,732.00M,0.945,,2019-12,AOR,
2019-09,6.94B,6.94B,3.51B,3.43B,-20.00M,20.00M,335.00M,572.00M,-572.00M,,1.521B,1.909B,572.00M,-572.00M,174.00M,-572.00M,1.511B,188.00M,1.323B,,,19.00M,17.00M,1.342B,1.324B,2.083B,,2019-09,1.82,,1.796,1.82,,2019-09,1.82,,1.796,1.82,729.00M,729.00M,0.945,,2019-09,AOR,Restated
2019-06,5.873B,5.873B,3.151B,2.722B,4.00M,-1.00M,334.00M,542.00M,-542.00M,,1.423B,1.299B,542.00M,-542.00M,132.00M,-542.00M,889.00M,141.00M,748.00M,,,84.00M,13.00M,832.00M,832.84M,1.431B,,2019-06,1.12,,1.121,1.12,,2019-06,1.12,,1.121,1.12,728.00M,728.00M,0.9275,,2019-06,AOR,Restated
2019-03,6.163B,6.163B,3.355B,2.808B,0.00,-3.00M,343.00M,543.00M,-543.00M,,1.432B,1.376B,543.00M,-543.00M,155.00M,-543.00M,988.00M,95.00M,893.00M,,,7.00M,2.00M,900.00M,902.71M,1.531B,,2019-03,1.24,0.00,1.244,1.24,,2019-03,1.24,,1.244,1.24,727.00M,727.00M,0.9275,,2019-03,AOR,Restated
2018-12,6.115B,6.115B,3.758B,2.357B,63.00M,156.00M,326.00M,544.00M,-524.00M,,1.421B,936.00M,544.00M,-524.00M,21.00M,-524.00M,433.00M,-1.00M,434.00M,20.00M,,10.00M,,464.00M,330.12M,977.00M,,2018-12,0.61,0.03,0.4512,0.64,,2018-12,0.61,,0.4512,0.64,717.00M,717.00M,0.9275,,2018-12,AOR,Restated
2018-09,6.628B,6.628B,3.573B,3.055B,124.00M,-114.00M,323.00M,517.00M,-517.00M,,1.362B,1.693B,517.00M,-517.00M,54.00M,-517.00M,1.23B,168.00M,1.062B,4.00M,,16.00M,,1.082B,1.176B,1.747B,,2018-09,1.51,0.00,1.648,1.51,,2018-09,1.51,,1.648,1.51,713.00M,714.00M,0.9275,,2018-09,AOR,Restated
2018-06,5.643B,5.643B,3.207B,2.436B,172.00M,-169.00M,315.00M,518.00M,-518.00M,,1.288B,1.148B,518.00M,-518.00M,-23.00M,-518.00M,607.00M,100.00M,507.00M,-5.00M,,-2.00M,,500.00M,646.16M,1.125B,,2018-06,0.72,-0.01,0.9208,0.71,,2018-06,0.72,,0.9205,0.71,703.00M,704.00M,0.89,,2018-06,AOR,Restated
