,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,1.474B,,57.00M,54.00M,1.01B,430.00M,430.00M,-28.00M,38.00M,-892.00M,,,1.592B,,3.624B,,-418.00M,33.00M,-385.00M,80.00M,5.821B,79.00M,5.595B,,-10.78B,-10.78B,133.00M,-25.00M,108.00M,-3.525B,-3.525B,157.00M,-14.04B,,11.82B,-4.824B,112.00M,7.11B,,133.00M,36.00M,-10.82B,-25.00M,,AOR,
2020-09,1.74B,,-78.00M,-353.00M,-429.00M,358.00M,358.00M,49.00M,52.00M,840.00M,,,824.00M,,3.434B,,-223.00M,44.00M,-179.00M,-5.00M,76.00M,3.00M,-105.00M,,-550.00M,-550.00M,70.00M,0.00,70.00M,-1.761B,-1.761B,169.00M,-2.072B,,10.43B,1.257B,136.00M,11.82B,,70.00M,7.123B,-7.673B,0.00,,AOR,
2020-06,1.759B,,-8.00M,-55.00M,-45.00M,381.00M,381.00M,83.00M,41.00M,-32.00M,,,43.00M,,2.23B,,-209.00M,21.00M,-188.00M,10.00M,-5.793B,88.00M,-5.883B,,1.741B,1.741B,31.00M,1.00M,32.00M,-1.761B,-1.761B,223.00M,235.00M,,13.96B,-3.418B,-118.00M,10.43B,,31.00M,7.212B,-5.471B,1.00M,,AOR,
2020-03,2.795B,,-59.00M,-157.00M,-1.135B,367.00M,367.00M,-122.00M,-5.00M,425.00M,,,-1.769B,,556.00M,,-327.00M,91.00M,-236.00M,-948.00M,148.00M,-48.00M,-1.084B,,7.73B,7.73B,413.00M,-94.00M,319.00M,,,-239.00M,7.81B,,6.737B,7.282B,-54.00M,13.96B,,413.00M,12.56B,-4.833B,-94.00M,,AOR,
2019-12,2.065B,,12.00M,-85.00M,-151.00M,400.00M,400.00M,46.00M,55.00M,40.00M,,,245.00M,,2.70B,,-848.00M,34.00M,-814.00M,-3.00M,708.00M,34.00M,-75.00M,,277.00M,277.00M,89.00M,-413.00M,-324.00M,-3.426B,-3.426B,-194.00M,-3.667B,,7.776B,-1.042B,3.00M,6.737B,,89.00M,3.411B,-3.134B,-413.00M,,AOR,
2019-09,2.589B,,42.00M,-82.00M,-676.00M,363.00M,363.00M,-163.00M,58.00M,318.00M,,,781.00M,,3.27B,,-439.00M,901.00M,462.00M,-22.00M,1.101B,-80.00M,1.461B,,-2.358B,-2.358B,321.00M,-1.00M,320.00M,-1.71B,-1.71B,-157.00M,-3.905B,,7.027B,826.00M,-77.00M,7.776B,,321.00M,5.08B,-7.438B,-1.00M,,AOR,Restated
2019-06,2.628B,,76.00M,-134.00M,102.00M,327.00M,327.00M,-285.00M,48.00M,71.00M,,,822.00M,,3.713B,,-379.00M,16.00M,-363.00M,-27.00M,-472.00M,-41.00M,-903.00M,,-364.00M,-364.00M,412.00M,-292.00M,120.00M,-1.709B,-1.709B,100.00M,-1.853B,,6.124B,957.00M,-54.00M,7.027B,,412.00M,4.262B,-4.626B,-292.00M,,AOR,Restated
2019-03,1.703B,,-39.00M,-120.00M,-72.00M,275.00M,275.00M,122.00M,40.00M,202.00M,,,-1.482B,,788.00M,,-388.00M,27.00M,-361.00M,-5.061B,932.00M,31.00M,-4.459B,,604.00M,604.00M,190.00M,-397.00M,-207.00M,,,24.00M,421.00M,,9.318B,-3.25B,56.00M,6.124B,,190.00M,10.26B,-9.652B,-397.00M,,AOR,Restated
2018-12,927.00M,,119.00M,-72.00M,249.00M,279.00M,279.00M,-439.00M,58.00M,465.00M,,,398.00M,,1.937B,,-500.00M,151.00M,-349.00M,-657.00M,2.918B,-93.00M,1.819B,,-822.00M,-822.00M,585.00M,-316.00M,269.00M,-3.323B,-3.323B,-88.00M,-3.964B,,9.539B,-208.00M,-13.00M,9.318B,,585.00M,6.183B,-7.005B,-316.00M,,AOR,Restated
2018-09,1.818B,,-50.00M,-237.00M,156.00M,254.00M,254.00M,2.00M,46.00M,173.00M,,,555.00M,,3.004B,,-359.00M,34.00M,-325.00M,670.00M,1.482B,27.00M,1.854B,,-1.787B,-1.787B,291.00M,-279.00M,12.00M,-1.659B,-1.659B,-114.00M,-3.548B,,8.369B,1.31B,-140.00M,9.539B,,291.00M,5.142B,-6.929B,-279.00M,,AOR,Restated
