,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,8.611B,8.611B,3.578B,5.033B,,,2.589B,,310.00M,76.00M,-234.00M,,2.589B,2.444B,76.00M,310.00M,-234.00M,151.00M,-234.00M,2.361B,887.00M,1.474B,,,-18.00M,,1.456B,1.456B,3.101B,430.00M,2.671B,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,4.30B,4.329B,0.41,,AOR,
2020-09,8.652B,8.652B,3.471B,5.181B,1.505B,1.006B,2.511B,,660.00M,82.00M,-578.00M,,2.511B,2.67B,82.00M,660.00M,-578.00M,89.00M,-578.00M,2.181B,441.00M,1.74B,,,-3.00M,,1.737B,1.737B,3.199B,358.00M,2.841B,,0.40,,,0.40,0.40,,0.40,,,0.40,0.40,,4.296B,4.321B,0.41,,AOR,
2020-06,7.15B,7.15B,3.013B,4.137B,939.00M,1.044B,1.983B,,274.00M,100.00M,-174.00M,,1.983B,2.154B,100.00M,274.00M,-174.00M,217.00M,-174.00M,2.197B,438.00M,1.759B,,,20.00M,,1.779B,1.779B,2.852B,381.00M,2.471B,,0.41,,,0.41,0.41,,0.41,,,0.41,0.41,,4.295B,4.316B,0.41,,AOR,
2020-03,8.601B,8.601B,3.371B,5.23B,1.60B,1.048B,2.648B,,193.00M,112.00M,-81.00M,,2.648B,2.582B,112.00M,193.00M,-81.00M,509.00M,-81.00M,3.01B,215.00M,2.795B,,,-20.00M,,2.775B,2.775B,3.57B,367.00M,3.203B,,0.65,,,0.65,0.65,,0.64,,,0.64,0.64,,4.289B,4.325B,0.41,,AOR,
2019-12,9.068B,9.068B,3.566B,5.502B,1.679B,1.545B,3.224B,,235.00M,135.00M,-100.00M,,3.235B,2.267B,135.00M,235.00M,-100.00M,253.00M,-100.00M,2.42B,355.00M,2.065B,,,-23.00M,,2.042B,2.042B,3.055B,400.00M,2.655B,,0.48,,,0.48,0.48,,0.47,,,0.47,0.47,,4.285B,4.323B,0.40,,AOR,
2019-09,9.507B,9.507B,3.767B,5.74B,1.934B,1.182B,3.116B,,230.00M,153.00M,-77.00M,,3.116B,2.624B,153.00M,230.00M,-77.00M,545.00M,-77.00M,3.092B,503.00M,2.589B,,,4.00M,,2.593B,2.593B,3.685B,363.00M,3.322B,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,4.28B,4.321B,0.40,,AOR,Restated
2019-06,9.997B,9.997B,3.921B,6.076B,1.878B,1.118B,2.996B,,236.00M,142.00M,-94.00M,,2.996B,3.08B,142.00M,236.00M,-94.00M,63.00M,-94.00M,3.049B,421.00M,2.628B,,,-21.00M,,2.607B,2.607B,3.612B,327.00M,3.285B,,0.61,,,0.61,0.61,,0.61,,,0.61,0.61,,4.269B,4.305B,0.40,,AOR,Restated
2019-03,8.694B,8.694B,3.365B,5.329B,1.628B,1.139B,2.767B,,245.00M,133.00M,-112.00M,,2.767B,2.562B,133.00M,245.00M,-112.00M,-225.00M,-112.00M,2.225B,522.00M,1.703B,,,-25.00M,,1.678B,1.678B,2.745B,275.00M,2.47B,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,4.271B,4.306B,0.40,,AOR,Restated
2018-12,7.806B,7.806B,3.102B,4.704B,1.181B,1.535B,2.716B,,253.00M,179.00M,-74.00M,,2.714B,1.99B,179.00M,253.00M,-74.00M,-951.00M,-74.00M,965.00M,38.00M,927.00M,,,-57.00M,,870.00M,870.00M,1.497B,279.00M,1.218B,,0.19,0.02,,0.19,0.20,,0.18,0.02,,0.18,0.20,,4.262B,4.305B,0.39,,AOR,Restated
2018-09,8.775B,8.775B,3.346B,5.429B,1.712B,948.00M,2.66B,,214.00M,171.00M,-43.00M,,2.66B,2.769B,171.00M,214.00M,-43.00M,-353.00M,-43.00M,2.373B,555.00M,1.818B,,,62.00M,,1.88B,1.88B,2.841B,254.00M,2.587B,,0.44,,,0.44,0.44,,0.44,,,0.44,0.44,,4.255B,4.295B,0.39,,AOR,Restated
2018-06,9.421B,9.421B,3.543B,5.878B,1.824B,1.063B,2.887B,,247.00M,173.00M,-74.00M,,2.887B,2.991B,173.00M,247.00M,-74.00M,25.00M,-74.00M,2.942B,611.00M,2.331B,,,-15.00M,,2.316B,2.316B,3.472B,283.00M,3.189B,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,4.255B,4.29B,0.39,,AOR,Restated
2018-03,7.626B,7.626B,2.738B,4.888B,1.413B,1.128B,2.541B,,230.00M,165.00M,-65.00M,,2.541B,2.347B,165.00M,230.00M,-65.00M,-449.00M,-65.00M,1.833B,506.00M,1.327B,73.00M,,-32.00M,,1.368B,1.295B,2.333B,270.00M,2.063B,,0.31,0.01,,0.31,0.32,,0.31,0.01,,0.31,0.32,,4.265B,4.306B,0.39,,AOR,Restated
2017-12,8.314B,8.314B,3.155B,5.159B,1.736B,1.321B,3.057B,,222.00M,184.00M,-38.00M,,3.288B,1.871B,184.00M,222.00M,-38.00M,-748.00M,-38.00M,1.085B,3.802B,-2.717B,,,-35.00M,,-2.752B,-2.752B,1.641B,334.00M,1.307B,,-0.66,0.02,,-0.66,-0.65,,-0.66,0.02,,-0.66,-0.65,,4.263B,4.315B,0.37,,AOR,Restated
2017-09,9.078B,9.078B,3.394B,5.684B,1.815B,1.43B,3.245B,,208.00M,175.00M,-33.00M,,3.245B,2.439B,175.00M,208.00M,-33.00M,-732.00M,-33.00M,1.674B,230.00M,1.444B,0.00,,3.00M,,1.447B,1.447B,2.179B,297.00M,1.882B,,0.34,0.00,,0.34,0.34,,0.33,0.00,,0.33,0.33,,4.266B,4.32B,0.37,,AOR,Restated
2017-06,9.702B,9.702B,3.659B,6.043B,1.826B,1.354B,3.18B,,231.00M,165.00M,-66.00M,,3.18B,2.863B,165.00M,231.00M,-66.00M,-173.00M,-66.00M,2.624B,1.252B,1.372B,0.00,,-1.00M,,1.371B,1.371B,3.156B,301.00M,2.855B,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,4.273B,4.327B,0.37,,AOR,Restated
2017-03,9.118B,9.118B,3.513B,5.605B,1.983B,1.369B,3.352B,,192.00M,155.00M,-37.00M,,3.352B,2.253B,155.00M,192.00M,-37.00M,-709.00M,-37.00M,1.507B,323.00M,1.184B,0.00,,-2.00M,,1.182B,1.182B,2.027B,328.00M,1.699B,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,4.287B,4.334B,0.37,,AOR,Restated
2016-12,9.409B,9.409B,3.794B,5.615B,2.127B,1.561B,3.688B,,248.00M,170.00M,-78.00M,,3.921B,1.694B,170.00M,248.00M,-78.00M,-1.101B,-78.00M,515.00M,-32.00M,547.00M,,,3.00M,,550.00M,550.00M,1.227B,464.00M,763.00M,,0.13,,,0.13,0.13,,0.13,,,0.13,0.13,,4.302B,4.346B,0.35,,AOR,Restated
2016-09,10.63B,10.63B,4.131B,6.502B,2.41B,1.599B,4.009B,,182.00M,164.00M,-18.00M,,4.009B,2.493B,164.00M,182.00M,-18.00M,-1.047B,-18.00M,1.428B,378.00M,1.05B,,,-4.00M,,1.046B,1.046B,2.03B,420.00M,1.61B,,0.24,,,0.24,0.24,,0.24,,,0.24,0.24,,4.315B,4.364B,0.35,,AOR,Restated
2016-06,11.54B,11.54B,4.471B,7.068B,2.357B,1.555B,3.912B,,162.00M,164.00M,2.00M,,3.912B,3.156B,164.00M,162.00M,2.00M,1.141B,2.00M,4.299B,839.00M,3.46B,,,-12.00M,,3.448B,3.448B,4.906B,445.00M,4.461B,,0.80,,,0.80,0.80,,0.79,,,0.79,0.79,,4.323B,4.377B,0.35,,AOR,Restated
2016-03,10.28B,10.28B,4.069B,6.213B,2.299B,1.462B,3.761B,,141.00M,144.00M,3.00M,,3.761B,2.452B,144.00M,141.00M,3.00M,-561.00M,3.00M,1.894B,401.00M,1.493B,,,-10.00M,,1.483B,1.483B,2.493B,458.00M,2.035B,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,4.328B,4.382B,0.35,,AOR,Restated
2015-12,10.00B,10.00B,4.054B,5.946B,2.307B,1.63B,3.937B,,143.00M,154.00M,11.00M,,4.082B,1.864B,154.00M,143.00M,11.00M,-337.00M,11.00M,1.538B,302.00M,1.236B,,,1.00M,,1.237B,1.237B,2.208B,527.00M,1.681B,,0.29,,,0.29,0.29,,0.28,,,0.28,0.28,,4.337B,4.39B,0.33,,AOR,Restated
2015-09,11.43B,11.43B,4.577B,6.85B,2.603B,1.604B,4.207B,,138.00M,155.00M,17.00M,,4.207B,2.643B,155.00M,138.00M,17.00M,-935.00M,17.00M,1.725B,272.00M,1.453B,,,-4.00M,,1.449B,1.449B,2.345B,482.00M,1.863B,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,4.349B,4.399B,0.33,,AOR,Restated
2015-06,12.16B,12.16B,4.748B,7.408B,2.66B,1.544B,4.204B,,128.00M,149.00M,21.00M,,4.204B,3.204B,149.00M,128.00M,21.00M,1.136B,21.00M,4.361B,1.25B,3.111B,,,-3.00M,,3.108B,3.108B,4.977B,488.00M,4.489B,,0.71,,,0.71,0.71,,0.71,,,0.71,0.71,,4.355B,4.408B,0.33,,AOR,Restated
2015-03,10.71B,10.71B,4.103B,6.608B,2.431B,1.648B,4.079B,,447.00M,155.00M,-292.00M,,4.079B,2.529B,155.00M,447.00M,-292.00M,-256.00M,-292.00M,1.981B,415.00M,1.566B,,,-9.00M,,1.557B,1.557B,2.901B,473.00M,2.428B,,0.36,,,0.36,0.36,,0.35,,,0.35,0.35,,4.365B,4.422B,0.33,,AOR,Restated
2014-12,10.87B,10.87B,4.357B,6.515B,2.423B,1.915B,4.338B,,139.00M,158.00M,19.00M,,4.338B,2.177B,158.00M,139.00M,19.00M,-1.12B,19.00M,1.076B,305.00M,771.00M,,,-1.00M,,770.00M,770.00M,1.714B,499.00M,1.215B,,0.18,,,0.18,0.18,,0.17,,,0.17,0.17,,4.372B,4.438B,0.305,,AOR,Restated
2014-09,11.98B,11.98B,4.63B,7.346B,2.686B,1.821B,4.507B,,113.00M,169.00M,56.00M,,4.507B,2.839B,169.00M,113.00M,56.00M,-235.00M,56.00M,2.66B,538.00M,2.122B,,,-8.00M,,2.114B,2.114B,3.283B,510.00M,2.773B,,0.48,,,0.48,0.48,,0.48,,,0.48,0.48,,4.383B,4.445B,0.305,,AOR,Restated
2014-06,12.57B,12.57B,4.819B,7.755B,2.566B,1.818B,4.384B,,107.00M,144.00M,37.00M,,4.384B,3.371B,144.00M,107.00M,37.00M,-24.00M,37.00M,3.384B,779.00M,2.605B,,,-10.00M,,2.595B,2.595B,3.985B,494.00M,3.491B,,0.59,,,0.59,0.59,,0.58,,,0.58,0.58,,4.391B,4.454B,0.305,,AOR,Restated
2014-03,10.58B,10.58B,4.083B,6.493B,2.236B,1.753B,3.989B,-128.00M,124.00M,123.00M,-1.00M,,3.989B,2.504B,123.00M,124.00M,-1.00M,-298.00M,-1.00M,2.205B,579.00M,1.626B,,,-7.00M,,1.619B,1.713B,2.802B,473.00M,2.329B,,0.37,,,0.3915,0.37,,0.36,,,0.3812,0.36,,4.401B,4.464B,0.305,,AOR,Restated
2013-12,11.04B,11.04B,4.315B,6.725B,630.00M,3.689B,4.319B,,149.00M,153.00M,4.00M,,4.319B,2.406B,153.00M,149.00M,4.00M,-182.00M,4.00M,2.228B,520.00M,1.708B,,,2.00M,,1.71B,1.71B,2.91B,533.00M,2.377B,,0.39,,,0.39,0.39,,0.38,,,0.38,0.38,,4.41B,4.482B,0.28,,AOR,Restated
2013-09,12.03B,12.03B,4.793B,7.237B,3.069B,1.355B,4.424B,,90.00M,136.00M,46.00M,,4.424B,2.813B,136.00M,90.00M,46.00M,521.00M,46.00M,3.38B,925.00M,2.455B,,,-8.00M,,2.447B,2.447B,3.967B,497.00M,3.47B,,0.55,,,0.55,0.55,,0.54,,,0.54,0.54,,4.426B,4.498B,0.28,,AOR,Restated
2013-06,12.75B,12.75B,4.989B,7.76B,3.044B,1.341B,4.385B,,122.00M,129.00M,7.00M,,4.385B,3.375B,129.00M,122.00M,7.00M,143.00M,7.00M,3.525B,831.00M,2.694B,,,-18.00M,,2.676B,2.676B,4.121B,474.00M,3.647B,,0.60,,,0.60,0.60,,0.59,,,0.59,0.59,,4.446B,4.527B,0.28,,AOR,Restated
2013-03,11.04B,11.04B,4.324B,6.711B,2.942B,1.24B,4.182B,,102.00M,116.00M,14.00M,,4.182B,2.529B,116.00M,102.00M,14.00M,-199.00M,14.00M,2.344B,575.00M,1.769B,,,-18.00M,,1.751B,1.751B,2.919B,473.00M,2.446B,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,4.455B,4.53B,0.28,,AOR,Restated
2012-12,11.46B,11.46B,4.628B,6.827B,2.975B,1.455B,4.43B,,95.00M,126.00M,31.00M,,4.43B,2.397B,126.00M,95.00M,31.00M,-51.00M,31.00M,2.377B,487.00M,1.89B,,,-24.00M,,1.866B,1.866B,2.985B,513.00M,2.472B,,0.42,,,0.42,0.42,,0.41,,,0.41,0.41,,4.477B,4.557B,0.255,,AOR,Restated
2012-09,12.34B,12.34B,4.853B,7.487B,3.274B,1.356B,4.63B,,102.00M,118.00M,16.00M,,4.63B,2.857B,118.00M,102.00M,16.00M,211.00M,16.00M,3.084B,755.00M,2.329B,,,-18.00M,,2.311B,2.311B,3.70B,514.00M,3.186B,,0.51,,,0.51,0.51,,0.50,,,0.50,0.50,,4.502B,4.587B,0.255,,AOR,Restated
