,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,49.24B,49.24B,47.90B,1.347B,720.97M,71.55M,25.78M,-6.642B,35.76M,1.054M,-34.71M,,818.30M,528.54M,1.054M,35.76M,-34.71M,-6.637B,-34.71M,-6.143B,-1.299B,-4.845B,,,-1.567M,-4.846B,391.31M,-6.009B,99.06M,-6.108B,-23.74,,,,1.923,-23.74,-23.74,,,,1.923,-23.74,204.08M,204.08M,0.42
2020-06,45.37B,45.37B,44.14B,1.226B,666.88M,69.59M,25.82M,-80.76M,39.18M,1.429M,-37.75M,,762.30M,463.42M,1.429M,39.18M,-37.75M,-81.83M,-37.75M,343.84M,56.57M,287.27M,,,2.171M,289.44M,356.87M,481.80M,98.78M,383.01M,1.42,,,,1.751,1.42,1.41,,,,1.7380000000000002,1.41,203.65M,205.54M,0.42
2020-03,47.42B,47.42B,46.03B,1.388B,693.41M,69.80M,24.00M,-291.38M,41.98M,7.561M,-34.42M,,787.21M,600.90M,7.561M,41.98M,-34.42M,-290.28M,-34.42M,276.20M,-694.91M,971.11M,,,-10.83M,960.28M,1.173B,419.01M,100.82M,318.18M,4.68,,,,5.716,4.68,4.64,,,,5.667000000000001,4.64,205.37M,207.06M,0.42
2019-12,47.86B,47.86B,46.63B,1.231B,685.95M,69.24M,35.27M,-177.31M,41.60M,10.60M,-31.01M,,790.47M,440.75M,10.60M,41.60M,-31.01M,-180.15M,-31.01M,229.59M,43.02M,186.57M,,,1.072M,187.64M,331.79M,380.54M,109.34M,271.19M,0.91,,,,1.61,0.91,0.9,,,,1.595,0.9,206.01M,207.52M,0.4
2019-09,45.64B,45.64B,44.45B,1.185B,721.94M,72.67M,35.88M,-174.41M,47.65M,11.24M,-36.40M,,830.49M,354.25M,11.24M,47.65M,-36.40M,-173.19M,-36.40M,144.65M,12.34M,132.31M,,,0.312M,132.62M,292.14M,305.68M,113.39M,192.30M,0.64,,,,1.392,0.64,0.63,,,,1.376,0.63,212.21M,213.91M,0.4
2019-06,45.24B,45.24B,44.01B,1.231B,656.94M,71.72M,35.88M,-60.01M,48.71M,12.79M,-35.92M,,764.54M,466.70M,12.79M,48.71M,-35.92M,-59.66M,-35.92M,371.12M,69.11M,302.00M,,,-0.043M,301.96M,350.80M,532.12M,112.30M,419.82M,1.44,,,,1.673,1.44,1.43,,,,1.661,1.43,209.70M,211.16M,0.4
2019-03,43.32B,43.32B,41.89B,1.425B,628.04M,75.22M,48.55M,-625.39M,49.88M,6.607M,-43.28M,,751.80M,672.95M,6.607M,49.88M,-43.28M,-610.90M,-43.28M,18.78M,-9.289M,28.07M,,,-0.938M,27.14M,483.67M,205.26M,136.60M,68.67M,0.13,,,,2.294,0.13,0.13,,,,2.278,0.13,210.93M,212.56M,0.4
2018-12,45.39B,45.39B,44.09B,1.298B,656.58M,75.36M,47.14M,-40.67M,49.24M,7.066M,-42.17M,,779.08M,518.50M,7.066M,49.24M,-42.17M,-43.77M,-42.17M,432.56M,40.80M,391.75M,,,1.899M,393.65M,430.50M,617.02M,135.23M,481.79M,1.86,,,,2.0340000000000003,1.86,1.84,,,,2.012,1.84,212.05M,213.97M,0.4
2018-09,43.30B,43.30B,42.26B,1.033B,657.80M,73.90M,46.66M,-100.18M,34.49M,,-43.05M,,778.36M,254.28M,,34.49M,-43.05M,-99.36M,-43.05M,111.87M,-82.13M,194.00M,,,39.28M,233.29M,306.42M,273.81M,127.46M,146.36M,1.09,,,,1.43,1.09,1.09,,,,1.426,1.09,215.39M,217.45M,0.38
2018-06,43.14B,43.14B,41.93B,1.211B,626.55M,72.45M,47.60M,-75.55M,52.84M,5.694M,-47.15M,,746.59M,464.75M,5.694M,52.84M,-47.15M,-72.40M,-47.15M,345.20M,67.33M,277.88M,,,-2.066M,275.81M,336.63M,543.46M,145.42M,398.05M,1.26,,,,1.538,1.26,1.25,,,,1.526,1.25,218.57M,220.76M,0.38
2018-03,41.03B,41.03B,39.78B,1.256B,617.43M,72.72M,46.67M,-37.45M,49.98M,1.347M,-48.64M,,736.81M,518.87M,1.347M,49.98M,-48.64M,-108.90M,-48.64M,361.33M,79.17M,282.16M,,,5.295M,287.46M,316.70M,536.83M,125.51M,411.32M,1.31,,,,1.443,1.31,1.29,,,,1.422,1.29,219.20M,222.30M,0.38
