,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,67.06B,67.06B,55.34B,11.72B,,-766.00M,731.00M,,-731.00M,8.471B,8.471B,3.249B,,731.00M,-731.00M,-712.00M,-731.00M,1.806B,587.00M,1.219B,,5.00M,,1.224B,1.741B,3.651B,1.114B,2.537B,0.93,,,1.325,0.93,0.93,,,1.3230000000000002,0.93,1.31B,1.315B,0.5
2020-06,65.34B,65.34B,51.99B,13.35B,,,765.00M,,-765.00M,8.668B,8.668B,4.68B,,765.00M,-765.00M,45.00M,-765.00M,3.96B,974.00M,2.986B,,-11.00M,,2.975B,2.975B,5.827B,1.102B,4.725B,2.27,,,2.27,2.27,2.26,,,2.26,2.26,1.309B,1.314B,0.5
2020-03,66.76B,66.76B,54.73B,12.02B,,,733.00M,,-733.00M,8.563B,8.563B,3.458B,,733.00M,-733.00M,54.00M,-733.00M,2.779B,767.00M,2.012B,,-5.00M,,2.007B,2.007B,4.598B,1.086B,3.512B,1.54,,,1.54,1.54,1.53,,,1.53,1.53,1.306B,1.312B,0.5
2019-12,66.89B,66.89B,55.20B,11.69B,,0.00,734.00M,,-734.00M,8.654B,8.654B,3.037B,,734.00M,-734.00M,31.00M,-734.00M,2.334B,590.00M,1.744B,,3.00M,,1.747B,1.747B,4.164B,1.096B,3.068B,1.34,0.0,,1.34,1.34,1.33,0.0,,1.33,1.33,1.304B,1.311B,0.5
2019-09,64.81B,64.81B,53.29B,11.52B,,-79.00M,747.00M,,-747.00M,8.595B,8.595B,2.928B,,747.00M,-747.00M,-48.00M,-747.00M,2.133B,604.00M,1.529B,,1.00M,,1.53B,1.587B,3.972B,1.092B,2.88B,1.17,,,1.214,1.17,1.17,,,1.213,1.17,1.302B,1.305B,0.5
2019-06,63.43B,63.43B,52.06B,11.37B,,,772.00M,,-772.00M,8.042B,8.042B,3.332B,,772.00M,-772.00M,31.00M,-772.00M,2.591B,660.00M,1.931B,,5.00M,,1.936B,1.936B,4.435B,1.072B,3.363B,1.49,,,1.49,1.49,1.49,,,1.49,1.49,1.301B,1.302B,0.5
2019-03,61.65B,61.65B,50.71B,10.94B,,,782.00M,,-782.00M,8.25B,8.25B,2.69B,,782.00M,-782.00M,31.00M,-782.00M,1.939B,512.00M,1.427B,,-6.00M,,1.421B,1.421B,3.832B,1.111B,2.721B,1.09,,,1.09,1.09,1.09,,,1.09,1.09,1.298B,1.302B,0.5
2018-12,54.42B,54.42B,44.76B,9.665B,,-2.228B,733.00M,,-733.00M,6.613B,6.613B,3.052B,,733.00M,-733.00M,-2.217B,-733.00M,102.00M,524.00M,-422.00M,1.00M,2.00M,,-419.00M,1.206B,1.642B,807.00M,835.00M,-0.37,0.0,,1.08,-0.37,-0.37,0.0,,1.08,-0.37,1.122B,1.122B,0.5
2018-09,47.49B,47.49B,39.94B,7.549B,,0.00,674.00M,,-674.00M,4.975B,4.975B,2.574B,,674.00M,-674.00M,-1.00M,-674.00M,1.899B,509.00M,1.39B,0.00,0.00,,1.39B,1.39B,3.193B,620.00M,2.573B,1.36,0.0,,1.36,1.36,1.36,0.0,,1.36,1.36,1.02B,1.022B,0.5
2018-06,46.92B,46.92B,39.51B,7.415B,,-3.921B,689.00M,,-689.00M,4.867B,4.867B,2.548B,,689.00M,-689.00M,-3.924B,-689.00M,-2.065B,497.00M,-2.562B,-1.00M,0.00,,-2.563B,300.33M,-729.00M,647.00M,-1.376B,-2.52,0.0,,0.2917,-2.52,-2.52,0.0,,0.2917,-2.52,1.018B,1.018B,0.5
