,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,19.74B,19.74B,9.253B,10.49B,5.112B,,143.00M,9.00M,-134.00M,5.112B,5.38B,9.00M,143.00M,-134.00M,-369.00M,-134.00M,4.877B,990.00M,3.887B,,-33.00M,66.00M,3.854B,3.854B,5.691B,671.00M,5.02B,,1.53,,1.53,1.53,,1.47,,1.47,1.47,,2.476B,2.615B,0.7907,,AOR,
2020-09,19.32B,19.32B,9.142B,10.18B,4.895B,,136.00M,10.00M,-126.00M,4.895B,5.281B,10.00M,136.00M,-126.00M,142.00M,-126.00M,5.297B,989.00M,4.308B,,-31.00M,66.00M,4.277B,4.277B,6.104B,671.00M,5.433B,,1.69,,1.69,1.69,,1.63,,1.63,1.63,,2.486B,2.625B,0.7907,,AOR,
2020-06,17.70B,17.70B,8.942B,8.756B,5.275B,,157.00M,22.00M,-135.00M,5.275B,3.481B,22.00M,157.00M,-135.00M,115.00M,-135.00M,3.461B,675.00M,2.786B,,14.00M,70.00M,2.80B,2.80B,4.432B,814.00M,3.618B,,1.10,,1.10,1.10,,1.07,,1.07,1.07,,2.481B,2.612B,0.7907,,AOR,Restated
2020-03,17.21B,17.21B,8.716B,8.498B,5.045B,,100.00M,39.00M,-61.00M,5.045B,3.453B,39.00M,100.00M,-61.00M,106.00M,-61.00M,3.498B,541.00M,2.957B,,-40.00M,64.00M,2.917B,2.917B,4.397B,799.00M,3.598B,,1.15,,1.15,1.15,,1.12,,1.12,1.12,,2.476B,2.613B,0.7459,,AOR,
2019-12,18.24B,18.24B,8.869B,9.371B,4.889B,,100.00M,36.00M,-64.00M,4.889B,4.482B,36.00M,100.00M,-64.00M,114.00M,-64.00M,4.532B,789.00M,3.743B,,-26.00M,64.00M,3.717B,3.717B,5.309B,677.00M,4.632B,,1.47,,1.47,1.47,,1.41,,1.41,1.41,,2.487B,2.630B,0.7459,,AOR,Restated
2019-09,17.80B,17.80B,8.723B,9.075B,4.785B,,108.00M,58.00M,-50.00M,4.785B,4.29B,58.00M,108.00M,-50.00M,103.00M,-50.00M,4.343B,726.00M,3.617B,,-24.00M,65.00M,3.593B,3.593B,5.174B,723.00M,4.451B,,1.41,,1.41,1.41,,1.36,,1.36,1.36,,2.504B,2.648B,0.7459,,AOR,Restated
2019-06,17.09B,17.09B,8.938B,8.156B,5.003B,,111.00M,52.00M,-59.00M,5.003B,3.153B,52.00M,111.00M,-59.00M,-8.159B,-59.00M,-5.065B,172.00M,-5.237B,,-4.00M,68.00M,-5.241B,-5.241B,-4.134B,820.00M,-4.954B,,-2.12,,-2.12,-2.12,,-2.12,,-2.12,-2.12,,2.510B,2.510B,0.7459,,AOR,Restated
2019-03,16.46B,16.46B,8.427B,8.035B,4.806B,,131.00M,52.00M,-79.00M,4.806B,3.229B,52.00M,131.00M,-79.00M,128.00M,-79.00M,3.278B,502.00M,2.776B,,-31.00M,64.00M,2.745B,2.745B,4.12B,711.00M,3.409B,,1.07,,1.07,1.07,,1.04,,1.04,1.04,,2.509B,2.638B,0.7172,,AOR,Restated
2018-12,17.44B,17.44B,8.919B,8.519B,4.623B,,138.00M,63.00M,-75.00M,4.623B,3.896B,63.00M,138.00M,-75.00M,95.00M,-75.00M,3.916B,700.00M,3.216B,,-22.00M,65.00M,3.194B,3.194B,4.704B,650.00M,4.054B,,1.25,,1.25,1.25,,1.22,,1.22,1.22,,2.500B,2.623B,0.7172,,AOR,Restated
2018-09,16.69B,16.69B,8.484B,8.206B,4.652B,,129.00M,53.00M,-76.00M,4.652B,3.554B,53.00M,129.00M,-76.00M,462.00M,-76.00M,3.94B,729.00M,3.211B,,-12.00M,66.00M,3.199B,3.199B,4.712B,643.00M,4.069B,,1.26,,1.26,1.26,,1.22,,1.22,1.22,,2.496B,2.612B,0.7172,,AOR,Restated
2018-06,16.50B,16.50B,9.07B,7.433B,4.846B,,136.00M,63.00M,-73.00M,4.846B,2.587B,63.00M,136.00M,-73.00M,-225.00M,-73.00M,2.289B,399.00M,1.89B,,1.00M,67.00M,1.891B,1.891B,3.175B,750.00M,2.425B,,0.73,0.00,0.73,0.73,,0.72,0.00,0.72,0.72,,2.510B,2.621B,0.7172,,AOR,Restated
2018-03,16.28B,16.28B,8.384B,7.897B,4.688B,,133.00M,69.00M,-64.00M,4.688B,3.209B,69.00M,133.00M,-64.00M,108.00M,-64.00M,3.253B,713.00M,2.54B,,-29.00M,74.00M,2.511B,2.511B,4.102B,716.00M,3.386B,,0.97,,0.97,0.97,,0.95,,0.95,0.95,,2.523B,2.646B,0.6896,,AOR,Restated
2017-12,17.40B,17.40B,8.709B,8.686B,4.767B,,122.00M,66.00M,-56.00M,4.767B,3.919B,66.00M,122.00M,-56.00M,170.00M,-56.00M,4.033B,1.472B,2.561B,,-66.00M,62.00M,2.495B,2.495B,4.831B,676.00M,4.155B,,0.96,,0.96,0.96,,0.93,,0.93,0.93,,2.534B,2.670B,0.6896,,AOR,Restated
2017-09,16.65B,16.65B,8.269B,8.384B,4.736B,,115.00M,49.00M,-66.00M,4.736B,3.648B,49.00M,115.00M,-66.00M,169.00M,-66.00M,3.751B,881.00M,2.87B,,-17.00M,62.00M,2.853B,2.853B,4.558B,692.00M,3.866B,,1.09,,1.09,1.09,,1.06,,1.06,1.06,,2.550B,2.691B,0.6896,,AOR,Restated
2017-06,16.08B,16.08B,8.402B,7.677B,4.917B,,116.00M,48.00M,-68.00M,4.917B,2.76B,48.00M,116.00M,-68.00M,235.00M,-68.00M,2.927B,725.00M,2.202B,0.00,13.00M,63.00M,2.215B,2.215B,3.763B,720.00M,3.043B,,0.84,0.00,0.84,0.84,,0.82,0.00,0.82,0.82,,2.558B,2.695B,0.6896,,AOR,Restated
2017-03,15.60B,15.60B,7.836B,7.769B,4.409B,,96.00M,46.00M,-50.00M,4.409B,3.36B,46.00M,96.00M,-50.00M,26.00M,-50.00M,3.336B,780.00M,2.556B,0.00,-34.00M,60.00M,2.522B,2.522B,4.097B,665.00M,3.432B,,0.96,0.00,0.96,0.96,,0.93,0.00,0.93,0.93,,2.563B,2.706B,0.6695,,AOR,Restated
2016-12,16.86B,16.86B,8.298B,8.558B,4.683B,,122.00M,42.00M,-80.00M,4.683B,3.875B,42.00M,122.00M,-80.00M,-539.00M,-80.00M,3.256B,695.00M,2.561B,5.335B,-21.00M,61.00M,7.875B,2.54B,4.085B,707.00M,3.378B,,0.96,2.05,0.96,3.01,,0.93,1.95,0.93,2.88,,2.597B,2.738B,0.6695,,AOR,Restated
2016-09,16.52B,16.52B,8.102B,8.416B,4.645B,,131.00M,35.00M,-96.00M,4.645B,3.771B,35.00M,131.00M,-96.00M,63.00M,-96.00M,3.738B,863.00M,2.875B,-118.00M,-43.00M,63.00M,2.714B,2.832B,4.597B,728.00M,3.869B,,1.03,-0.04,1.03,0.99,,1.00,-0.04,1.00,0.96,,2.675B,2.823B,0.6695,,AOR,Restated
2016-06,16.10B,16.10B,8.382B,7.72B,5.218B,,150.00M,47.00M,-103.00M,5.218B,2.502B,47.00M,150.00M,-103.00M,287.00M,-103.00M,2.686B,678.00M,2.008B,-50.00M,-7.00M,63.00M,1.951B,2.001B,3.675B,839.00M,2.836B,,0.73,-0.02,0.73,0.71,,0.71,-0.02,0.71,0.69,,2.668B,2.811B,0.6695,,AOR,Restated
2016-03,15.76B,15.76B,7.915B,7.84B,4.522B,,146.00M,33.00M,-113.00M,4.522B,3.318B,33.00M,146.00M,-113.00M,21.00M,-113.00M,3.226B,889.00M,2.337B,446.00M,-33.00M,63.00M,2.75B,2.304B,4.157B,785.00M,3.372B,,0.83,0.17,0.83,1.00,,0.81,0.16,0.81,0.97,,2.689B,2.835B,0.6629,,AOR,Restated
2015-12,16.92B,16.92B,8.46B,8.455B,4.602B,,143.00M,58.00M,-85.00M,4.602B,3.853B,58.00M,143.00M,-85.00M,35.00M,-85.00M,3.803B,898.00M,2.905B,323.00M,-22.00M,64.00M,3.206B,2.883B,4.669B,723.00M,3.946B,,1.04,0.12,1.04,1.16,,1.01,0.11,1.01,1.12,,2.719B,2.865B,0.6629,,AOR,Restated
2015-09,16.53B,16.53B,8.152B,8.375B,4.607B,,140.00M,44.00M,-96.00M,4.607B,3.768B,44.00M,140.00M,-96.00M,-18.00M,-96.00M,3.654B,877.00M,2.777B,-142.00M,-34.00M,65.00M,2.601B,2.743B,4.525B,731.00M,3.794B,,0.98,-0.05,0.98,0.93,,0.96,-0.05,0.96,0.91,,2.720B,2.868B,0.6629,,AOR,Restated
2015-06,16.55B,16.55B,8.837B,7.716B,4.876B,,148.00M,46.00M,-102.00M,4.876B,2.84B,46.00M,148.00M,-102.00M,-1.673B,-102.00M,1.065B,569.00M,496.00M,42.00M,-17.00M,70.00M,521.00M,479.00M,2.021B,808.00M,1.213B,,0.21,-0.04,0.21,0.17,,0.21,-0.04,0.21,0.17,,2.719B,2.878B,0.6629,,AOR,Restated
2015-03,16.93B,16.93B,8.927B,8.003B,4.978B,,148.00M,38.00M,-110.00M,4.978B,3.025B,38.00M,148.00M,-110.00M,53.00M,-110.00M,2.968B,567.00M,2.401B,-213.00M,-35.00M,59.00M,2.153B,2.366B,3.902B,786.00M,3.116B,,0.85,-0.08,0.85,0.77,,0.82,-0.08,0.82,0.75,,2.712B,2.882B,0.6436,,AOR,Restated
2014-12,18.50B,18.50B,9.558B,8.937B,5.358B,,160.00M,34.00M,-126.00M,5.358B,3.579B,34.00M,160.00M,-126.00M,19.00M,-126.00M,3.472B,798.00M,2.674B,-276.00M,-26.00M,70.00M,2.372B,2.648B,4.378B,746.00M,3.632B,,0.95,-0.10,0.95,0.85,,0.92,-0.10,0.92,0.82,,2.706B,2.885B,0.6436,,AOR,Restated
