,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,3.887B,,510.00M,671.00M,671.00M,-48.00M,,165.00M,70.00M,363.00M,-80.00M,-130.00M,,16.00M,169.00M,5.424B,,-567.00M,,,0.00,0.00,18.00M,-549.00M,,-1.766B,150.00M,-1.616B,,-3.008B,-3.008B,-2.025B,208.00M,-6.441B,,13.39B,-1.566B,115.00M,11.94B,,,2.429B,-7.613B,-3.008B,,AOR,
2020-09,4.308B,,-12.00M,671.00M,671.00M,193.00M,,89.00M,40.00M,-825.00M,-137.00M,442.00M,,-30.00M,-550.00M,4.739B,,-850.00M,,,,0.00,21.00M,-829.00M,,-25.00M,-3.568B,-3.593B,,-2.00B,-2.00B,-2.03B,893.00M,-6.73B,,16.18B,-2.82B,31.00M,13.39B,,,,-25.00M,-2.00B,,AOR,
2020-06,2.786B,,-4.00M,814.00M,814.00M,-8.00M,,233.00M,57.00M,499.00M,-104.00M,1.185B,,-652.00M,928.00M,4.806B,,-658.00M,,,0.00,-3.00M,2.00M,-659.00M,,-913.00M,-675.00M,-1.588B,,0.00,0.00,-2.028B,217.00M,-3.399B,,15.39B,748.00M,40.00M,16.18B,,,0.00,-913.00M,0.00,,AOR,Restated
2020-03,2.957B,,24.00M,799.00M,799.00M,-39.00M,,123.00M,31.00M,392.00M,0.00,-220.00M,,-3.00M,169.00M,4.064B,,-731.00M,,,-4.00M,-3.00M,13.00M,-725.00M,,4.963B,3.088B,8.051B,,-901.00M,-901.00M,-1.906B,701.00M,5.945B,,6.279B,9.284B,-170.00M,15.39B,,,4.951B,80.00M,-901.00M,,AOR,
2019-12,3.743B,,-11.00M,677.00M,677.00M,37.00M,,92.00M,19.00M,4.00M,16.00M,-193.00M,,-20.00M,-193.00M,4.364B,,-605.00M,,,-54.00M,0.00,9.00M,-650.00M,,-1.546B,-7.00M,-1.553B,,-3.504B,-3.504B,-1.923B,185.00M,-6.795B,,9.304B,-3.081B,56.00M,6.279B,,,0.00,-1.614B,-3.504B,,AOR,Restated
2019-09,3.617B,,-2.00M,723.00M,723.00M,-586.00M,,110.00M,1.00M,-261.00M,-549.00M,1.151B,,-35.00M,306.00M,4.169B,,-1.079B,,,,6.152B,6.00M,5.079B,,0.00,-61.00M,-61.00M,,-3.00B,-3.00B,-1.932B,875.00M,-4.118B,,4.239B,5.13B,-65.00M,9.304B,,,,0.00,-3.00B,,AOR,Restated
2019-06,-5.237B,,-308.00M,820.00M,820.00M,-387.00M,,216.00M,88.00M,273.00M,362.00M,415.00M,,-436.00M,614.00M,4.151B,,-814.00M,,,-2.00M,1.091B,372.00M,647.00M,,32.00M,-383.00M,-351.00M,,-1.75B,-1.75B,-1.937B,734.00M,-3.304B,,2.738B,1.494B,7.00M,4.239B,,,-1.00M,33.00M,-1.75B,,AOR,Restated
2019-03,2.776B,,0.00,711.00M,711.00M,-61.00M,,118.00M,61.00M,-151.00M,-70.00M,300.00M,,-167.00M,-88.00M,3.517B,,-752.00M,,,-95.00M,1.416B,4.00M,573.00M,,-24.00M,-3.038B,-3.062B,,-1.25B,-1.25B,-1.858B,1.104B,-5.066B,,3.696B,-976.00M,18.00M,2.738B,,,0.00,-24.00M,-1.25B,,AOR,Restated
2018-12,3.216B,,-9.00M,650.00M,650.00M,3.00M,,79.00M,106.00M,77.00M,-37.00M,208.00M,,-286.00M,-38.00M,4.007B,,-701.00M,,,-3.611B,458.00M,9.00M,-3.845B,,1.39B,1.182B,2.572B,,-751.00M,-751.00M,-1.85B,1.061B,1.032B,,2.545B,1.194B,-43.00M,3.696B,,,2.368B,-978.00M,-751.00M,,AOR,Restated
2018-09,3.211B,,-361.00M,643.00M,643.00M,34.00M,,102.00M,58.00M,-475.00M,-494.00M,933.00M,,-84.00M,-120.00M,3.567B,,-1.08B,,,-237.00M,443.00M,9.00M,-865.00M,,,24.00M,24.00M,,-1.252B,-1.252B,-1.853B,425.00M,-2.656B,,2.569B,46.00M,-70.00M,2.545B,,,,,-1.252B,,AOR,Restated
2018-06,1.89B,,357.00M,750.00M,750.00M,-18.00M,,146.00M,230.00M,273.00M,269.00M,633.00M,,-331.00M,844.00M,4.199B,,-907.00M,,,-1.00M,982.00M,23.00M,97.00M,,-1.471B,-2.178B,-3.649B,,-1.37B,-1.37B,-1.861B,19.00M,-6.861B,,5.326B,-2.565B,-192.00M,2.569B,,,0.00,-1.471B,-1.37B,,AOR,Restated
2018-03,2.54B,,-29.00M,716.00M,716.00M,182.00M,,92.00M,53.00M,97.00M,0.00,-105.00M,,-193.00M,-201.00M,3.353B,,-910.00M,,,-7.00M,969.00M,45.00M,97.00M,,-121.00M,-2.783B,-2.904B,,-1.381B,-1.381B,-1.813B,460.00M,-5.638B,,7.432B,-2.188B,82.00M,5.326B,,,0.00,-121.00M,-1.381B,,AOR,Restated
2017-12,2.561B,,-77.00M,676.00M,676.00M,-2.434B,,73.00M,52.00M,-243.00M,-100.00M,622.00M,,2.554B,2.833B,3.684B,,-768.00M,,,-101.00M,-383.00M,81.00M,-1.171B,,1.818B,1.476B,3.294B,,-1.751B,-1.751B,-1.813B,118.00M,-152.00M,,5.024B,2.361B,47.00M,7.432B,,,2.948B,-1.13B,-1.751B,,AOR,Restated
2017-09,2.87B,,-81.00M,692.00M,692.00M,426.00M,,84.00M,96.00M,-304.00M,-357.00M,235.00M,,-30.00M,-456.00M,3.631B,,-1.132B,,,0.00,-1.522B,120.00M,-2.534B,,1.973B,48.00M,2.021B,,-2.502B,-2.502B,-1.823B,580.00M,-1.724B,,5.569B,-627.00M,82.00M,5.024B,,,2.124B,-151.00M,-2.502B,,AOR,Restated
2017-06,2.202B,,-38.00M,720.00M,720.00M,-219.00M,,154.00M,114.00M,-163.00M,216.00M,964.00M,,-262.00M,755.00M,3.688B,,-1.154B,,,0.00,-872.00M,-836.00M,-2.862B,,1.051B,-829.00M,222.00M,,-700.00M,-700.00M,-1.826B,75.00M,-2.229B,,5.817B,-1.403B,159.00M,5.569B,,,962.00M,89.00M,-700.00M,,AOR,Restated
