,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,11.94B,,11.94B,4.819B,4.819B,1.556B,699.00M,3.702B,5.957B,1.938B,,,,24.66B,,,,,,,,21.42B,41.38B,23.86B,65.24B,8.796B,95.46B,120.11B,,12.03B,,12.03B,11.13B,23.16B,,,,8.586B,8.586B,,31.74B,22.51B,,22.51B,6.073B,6.073B,,359.00M,11.24B,39.83B,71.57B,,4.894B,104.36B,64.67B,109.58B,885.00M,-1.072B,,-15.09B,-16.16B,48.18B,,AOR,
2020-09,13.39B,,13.39B,5.043B,5.043B,1.424B,678.00M,3.605B,5.707B,1.884B,,,,26.03B,,,,,,,,20.88B,40.57B,23.81B,64.38B,8.614B,93.87B,119.90B,,11.94B,,11.94B,10.37B,22.30B,,,,7.707B,7.707B,,30.01B,23.95B,,23.95B,6.294B,6.294B,,394.00M,11.07B,41.32B,71.32B,,4.897B,102.54B,64.47B,106.79B,888.00M,-1.046B,,-15.88B,-16.93B,48.18B,,AOR,
2020-06,16.18B,0.00,16.18B,4.178B,4.178B,1.414B,674.00M,3.41B,5.498B,2.13B,,,,27.99B,0.00,777.00M,7.70B,33.26B,2.034B,43.77B,-23.08B,20.69B,39.90B,23.79B,63.69B,8.328B,92.71B,120.70B,,12.07B,693.00M,12.76B,3.531B,16.30B,472.00M,8.545B,2.638B,11.18B,11.18B,3.105B,32.98B,23.54B,652.00M,24.19B,6.199B,6.199B,7.188B,357.00M,1.149B,40.85B,73.82B,,4.906B,100.24B,64.19B,105.57B,897.00M,-1.08B,,-16.16B,-17.24B,46.52B,,AOR,Restated
2020-03,15.39B,0.00,15.39B,4.64B,4.64B,1.325B,635.00M,3.37B,5.33B,1.777B,,,,27.14B,,,,,,,,20.46B,39.62B,23.83B,63.45B,7.51B,91.42B,118.56B,,10.46B,,10.46B,9.731B,20.20B,,,,12.70B,12.70B,,32.90B,23.31B,,23.31B,6.309B,6.309B,,401.00M,10.10B,39.72B,72.62B,,4.909B,99.47B,63.98B,105.82B,900.00M,-1.08B,,-15.92B,-17.00B,45.54B,,AOR,
2019-12,6.279B,0.00,6.279B,5.196B,5.196B,1.458B,632.00M,3.431B,5.521B,1.921B,,,,18.92B,,,,,,,,21.25B,40.00B,23.98B,63.98B,7.578B,92.81B,111.72B,,10.78B,,10.78B,10.23B,21.01B,,,,9.153B,9.153B,,30.16B,18.98B,,18.98B,6.242B,6.242B,,370.00M,10.42B,35.65B,65.82B,,4.92B,98.41B,64.02B,105.76B,911.00M,-1.112B,,-14.94B,-16.05B,45.54B,,AOR,Restated
2019-09,9.304B,0.00,9.304B,5.143B,5.143B,1.394B,656.00M,3.415B,5.465B,2.013B,,,,21.92B,,,,,,,,20.90B,39.60B,24.00B,63.61B,7.625B,92.13B,114.06B,,10.95B,,10.95B,9.95B,20.90B,,,,9.352B,9.352B,,30.25B,20.16B,,20.16B,6.325B,6.325B,,406.00M,10.34B,36.82B,67.07B,,4.924B,96.62B,63.95B,102.51B,915.00M,-1.112B,,-15.30B,-16.41B,46.58B,,AOR,Restated
2019-06,4.239B,6.048B,10.29B,4.951B,4.951B,1.289B,612.00M,3.116B,5.017B,2.218B,,,,22.47B,0.00,805.00M,7.746B,32.26B,2.579B,43.39B,-22.12B,21.27B,40.27B,24.22B,64.49B,6.863B,92.62B,115.10B,,11.26B,341.00M,11.60B,4.299B,15.90B,468.00M,6.183B,3.514B,9.697B,9.697B,2.323B,30.01B,20.40B,0.00,20.40B,6.899B,6.899B,6.72B,385.00M,1.148B,37.50B,67.52B,,4.937B,94.92B,63.83B,100.41B,928.00M,-1.146B,,-14.94B,-16.08B,47.19B,,AOR,Restated
2019-03,2.738B,7.085B,9.823B,5.198B,5.198B,1.415B,617.00M,3.326B,5.358B,1.933B,,,,22.31B,,,,,,,,20.99B,46.75B,25.84B,72.59B,5.779B,99.36B,121.67B,,10.21B,,10.21B,9.252B,19.46B,,,,8.911B,8.911B,,28.37B,21.36B,,21.36B,6.951B,6.951B,,480.00M,9.441B,37.75B,66.12B,,4.942B,102.10B,63.62B,99.48B,933.00M,-1.145B,,-14.97B,-16.11B,55.07B,,AOR,Restated
2018-12,3.696B,8.421B,12.12B,5.055B,5.055B,1.524B,593.00M,3.164B,5.281B,1.978B,,,,24.43B,,,,,,,,20.82B,46.93B,25.95B,72.88B,5.555B,99.26B,123.69B,,10.27B,,10.27B,8.868B,19.13B,,,,12.11B,12.11B,,31.25B,21.51B,,21.51B,6.872B,6.872B,,453.00M,9.611B,38.00B,69.24B,,4.955B,101.17B,63.68B,99.48B,946.00M,-1.178B,,-15.16B,-16.33B,53.99B,,AOR,Restated
2018-09,2.545B,8.708B,11.25B,5.035B,5.035B,1.429B,600.00M,3.153B,5.182B,1.876B,,,,23.35B,,,,,,,,20.59B,45.22B,23.92B,69.14B,5.36B,95.09B,118.44B,,10.24B,,10.24B,8.469B,18.71B,,,,10.51B,10.51B,,29.22B,20.78B,,20.78B,6.179B,6.179B,,268.00M,9.758B,36.72B,65.94B,,4.96B,99.83B,63.71B,99.96B,951.00M,-1.177B,,-15.13B,-16.31B,52.24B,,AOR,Restated
