,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-03,160.41M,239.93M,400.34M,225.35M,,245.57M,28.23M,18.80M,125.15M,172.18M,25.33M,,,15.80M,878.59M,,,,,,,,,,361.23M,180.60M,45.69M,226.29M,10.17M,,60.47M,35.34M,693.50M,1.572B,62.25M,21.27M,83.52M,104.24M,187.76M,,671.00M,,671.00M,,671.00M,28.06M,28.06M,,936.08M,594.87M,,594.87M,39.96M,33.07M,73.04M,,0.178M,42.02M,709.93M,1.646B,10.37M,609.42M,1.030B,1.691B,,,-38.38M,-74.09M
2016-12,154.90M,236.95M,391.85M,204.49M,,232.17M,27.56M,15.00M,115.48M,158.03M,25.75M,,,19.70M,845.58M,0.0,7.255M,171.46M,494.17M,,25.14M,44.57M,742.59M,-385.17M,357.42M,178.23M,46.16M,224.38M,10.98M,,56.02M,36.32M,685.12M,1.531B,60.06M,23.97M,84.03M,121.04M,205.08M,,611.00M,,611.00M,,611.00M,27.38M,27.38M,,934.57M,593.11M,,593.11M,39.29M,33.02M,72.30M,20.14M,0.139M,,704.35M,1.639B,10.33M,540.40M,1.012B,1.633B,,,-43.05M,-108.35M
2016-09,150.07M,241.40M,391.47M,204.70M,,217.56M,30.27M,16.15M,122.04M,168.47M,23.36M,,,10.03M,828.10M,,,,,,,,,,349.66M,180.95M,47.57M,228.52M,11.52M,,46.67M,35.90M,672.27M,1.500B,44.13M,21.54M,65.67M,106.31M,171.98M,,488.00M,,488.00M,,488.00M,26.01M,26.01M,,760.21M,599.14M,,599.14M,20.57M,30.87M,51.44M,,0.136M,34.59M,685.18M,1.445B,10.31M,488.03M,994.30M,1.408B,,,-35.08M,54.85M
2016-06,141.14M,229.06M,370.20M,212.23M,,225.42M,31.49M,15.94M,128.26M,175.69M,26.20M,,0.00,6.815M,821.11M,,,,,,,,,,347.16M,180.66M,49.73M,230.39M,11.92M,,45.68M,32.98M,668.13M,1.489B,50.08M,20.42M,70.50M,103.46M,173.96M,,558.00M,,558.00M,,558.00M,25.85M,25.85M,,822.78M,597.96M,,597.96M,16.42M,30.26M,46.68M,,0.14M,30.33M,674.96M,1.498B,10.28M,431.58M,972.36M,1.393B,,,-35.46M,-8.638M
2016-03,132.95M,217.62M,350.57M,212.07M,,225.29M,32.03M,19.44M,132.29M,183.76M,23.97M,,0.00,8.843M,809.01M,,,,,,,,,,343.01M,181.94M,53.26M,235.20M,12.30M,,45.66M,33.46M,669.64M,1.479B,52.46M,24.82M,77.27M,106.76M,184.04M,,622.00M,,622.00M,,622.00M,25.94M,25.94M,,878.67M,600.02M,,600.02M,15.60M,27.79M,43.38M,,0.135M,30.36M,673.77M,1.552B,10.26M,364.38M,952.94M,1.369B,,,-37.52M,-73.92M
2015-12,128.99M,213.59M,342.58M,188.32M,,200.11M,31.18M,18.70M,138.95M,188.83M,27.24M,,39.83M,6.621M,821.63M,0.0,7.357M,162.15M,433.05M,,35.55M,40.53M,678.62M,-345.60M,333.03M,178.93M,55.91M,234.84M,12.16M,,43.57M,29.76M,653.36M,1.475B,52.65M,18.96M,71.61M,109.54M,181.15M,,573.00M,,573.00M,,573.00M,25.58M,25.58M,,856.76M,597.08M,,597.08M,49.39M,27.06M,76.44M,,0.13M,28.70M,702.23M,1.559B,10.26M,318.36M,940.53M,1.316B,,,-42.26M,-84.12M
2015-09,141.15M,208.40M,349.55M,190.90M,,201.83M,32.78M,18.47M,141.15M,192.40M,30.62M,,36.77M,6.552M,833.40M,,,,,,,,,,320.34M,180.39M,58.65M,239.04M,12.12M,,41.13M,31.19M,643.81M,1.477B,53.61M,25.06M,78.67M,106.06M,184.73M,,542.50M,,542.50M,,542.50M,24.91M,24.91M,,824.77M,599.56M,,599.56M,36.57M,25.46M,62.03M,,0.089M,29.66M,691.25M,1.516B,10.21M,274.00M,931.81M,1.223B,,,-37.49M,-38.89M
2015-06,163.15M,180.87M,344.02M,199.44M,,212.35M,30.47M,20.25M,133.78M,184.50M,30.38M,,37.51M,10.04M,833.03M,,,,,,,,,,326.04M,179.70M,57.52M,237.22M,12.16M,,36.77M,32.13M,644.34M,1.477B,58.21M,29.33M,87.55M,107.62M,195.17M,,498.00M,,498.00M,,498.00M,28.78M,28.78M,,775.43M,598.92M,,598.92M,39.26M,23.87M,63.13M,,0.083M,31.33M,693.39M,1.469B,10.24M,231.07M,921.68M,1.138B,,,-22.28M,8.468M
2015-03,182.16M,139.22M,321.38M,196.23M,,216.20M,28.96M,18.18M,126.24M,173.37M,36.38M,,36.29M,12.54M,808.91M,,,,,,,,,,309.83M,176.93M,59.91M,236.84M,11.79M,,32.04M,31.61M,622.10M,1.431B,44.18M,29.42M,73.61M,98.25M,171.85M,,549.50M,,549.50M,,549.50M,31.82M,31.82M,,803.44M,500.00M,,500.00M,40.11M,22.35M,62.46M,,0.057M,31.03M,593.49M,1.397B,10.23M,1.722B,912.58M,2.592B,,,-24.05M,34.02M
2014-12,322.54M,0.00,322.54M,152.38M,,181.31M,26.91M,16.86M,116.58M,160.34M,32.67M,,37.69M,13.59M,759.40M,0.0,7.417M,159.30M,370.68M,,20.89M,45.66M,603.94M,-300.35M,303.59M,184.45M,65.12M,249.57M,10.76M,,28.16M,32.72M,624.81M,1.384B,44.74M,28.44M,73.18M,91.68M,164.86M,,549.00M,,549.00M,,549.00M,31.81M,31.81M,,820.91M,350.00M,,350.00M,41.69M,21.66M,63.35M,,0.073M,32.36M,445.72M,1.267B,10.20M,1.675B,888.29M,2.453B,,,-8.071M,117.52M
