,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-03,106.35M,,106.35M,130.52M,,130.52M,28.33M,15.45M,78.60M,122.38M,,,22.87M,16.24M,398.37M,,,,,,,,,,197.06M,146.53M,61.30M,207.84M,,,,21.01M,425.92M,824.28M,24.10M,,24.10M,94.62M,118.72M,,157.39M,0.825M,158.21M,,158.21M,12.23M,12.23M,,289.17M,4.07M,,4.07M,17.80M,4.421M,22.22M,,0.012M,11.70M,37.98M,327.15M,9.679M,857.28M,593.92M,975.06M,,,6.543M,497.12M
2009-12,106.73M,,106.73M,115.11M,,115.11M,28.43M,17.76M,64.24M,110.42M,,,25.19M,18.89M,376.34M,0.0,7.389M,101.72M,194.92M,,24.05M,18.52M,346.59M,-146.65M,199.95M,148.70M,63.91M,212.61M,,,1.017M,18.61M,432.19M,808.53M,19.13M,9.98M,29.11M,94.98M,124.09M,,118.79M,0.813M,119.60M,,119.60M,12.61M,12.61M,,256.30M,4.281M,,4.281M,18.28M,3.813M,22.10M,,0.01M,11.27M,37.64M,293.95M,9.633M,824.26M,580.80M,914.76M,,,10.34M,514.57M
2009-09,106.73M,,106.73M,115.14M,,115.14M,32.24M,18.49M,73.76M,124.49M,,,23.38M,15.99M,385.73M,0.0,6.927M,90.56M,134.30M,65.24M,29.38M,19.75M,346.17M,-149.63M,196.54M,,,214.97M,,,,17.65M,429.16M,814.89M,21.46M,6.246M,27.71M,96.46M,124.17M,,62.60M,0.801M,63.40M,,63.40M,10.99M,10.99M,,198.56M,84.49M,,84.49M,16.10M,3.832M,19.93M,,,12.27M,116.69M,315.26M,9.616M,793.30M,573.59M,889.58M,,,8.44M,499.63M
2009-06,103.74M,,103.74M,118.78M,,118.78M,35.59M,19.36M,67.97M,122.92M,,,22.71M,16.18M,384.34M,0.0,7.249M,91.69M,191.69M,,23.56M,18.81M,333.00M,-143.34M,189.66M,,,207.68M,,,,16.83M,414.17M,798.51M,26.47M,10.99M,37.46M,89.22M,126.69M,,74.80M,0.788M,75.59M,,75.59M,10.83M,10.83M,,213.11M,84.69M,,84.69M,13.82M,3.884M,17.70M,,,12.43M,114.83M,327.94M,9.583M,761.77M,561.45M,871.21M,,,4.766M,470.57M
2009-03,86.30M,,86.30M,115.25M,,115.25M,37.91M,17.79M,67.87M,123.58M,,,20.92M,21.74M,367.78M,0.0,7.127M,89.94M,181.56M,,26.62M,17.71M,322.95M,-136.24M,186.71M,,,200.75M,,,,15.26M,402.72M,770.50M,23.54M,17.75M,41.29M,73.73M,115.02M,,,,166.29M,,166.29M,10.83M,10.83M,,292.14M,4.896M,,4.896M,12.34M,3.822M,16.16M,,,11.48M,32.53M,324.68M,9.563M,728.10M,553.45M,846.45M,,,-2.981M,445.83M
2008-12,78.87M,,78.87M,111.50M,,111.50M,32.58M,18.43M,64.92M,115.93M,,,21.48M,28.12M,355.89M,0.0,8.189M,90.04M,181.52M,,23.18M,17.28M,320.20M,-130.55M,189.65M,138.77M,68.33M,207.10M,,,1.17M,11.64M,409.55M,765.44M,28.01M,13.32M,41.33M,91.29M,132.62M,,150.62M,0.765M,151.38M,,151.38M,11.28M,11.28M,,295.29M,5.094M,,5.094M,11.93M,3.787M,15.72M,,0.00,11.14M,31.95M,327.24M,9.539M,702.03M,547.69M,830.39M,,,5.675M,438.19M
2008-09,84.59M,,84.59M,112.05M,,112.05M,32.84M,17.96M,62.11M,112.91M,,,24.21M,19.62M,353.38M,0.0,7.602M,71.77M,178.82M,,53.61M,,311.80M,-133.15M,178.66M,231.38M,,231.38M,,,,15.28M,425.32M,778.69M,28.94M,,28.94M,103.66M,132.60M,,,,164.70M,,164.70M,10.46M,10.46M,,307.75M,5.157M,,5.157M,11.26M,,11.26M,,,17.19M,33.62M,341.37M,9.531M,678.48M,544.08M,820.47M,,,25.71M,437.33M
2008-06,75.26M,,75.26M,120.56M,,120.56M,28.74M,16.74M,60.70M,106.18M,,,24.03M,13.02M,339.06M,0.0,7.694M,72.15M,170.15M,,42.52M,,292.52M,-125.91M,166.60M,242.14M,,242.14M,,,,17.08M,425.82M,764.89M,25.36M,,25.36M,103.97M,129.32M,,,,158.72M,,158.72M,11.01M,11.01M,,299.05M,5.35M,,5.35M,12.23M,,12.23M,,,19.80M,37.38M,336.43M,9.502M,652.78M,532.95M,800.32M,,,33.56M,428.46M
2008-03,60.22M,,60.22M,125.24M,,125.24M,27.08M,15.69M,57.11M,99.88M,,,24.89M,12.13M,322.37M,0.0,7.691M,72.00M,164.25M,,26.40M,,270.34M,-119.25M,151.09M,244.78M,,244.78M,,,,18.62M,414.49M,736.86M,25.30M,,25.30M,88.30M,113.60M,,,,140.68M,,140.68M,10.74M,10.74M,,265.03M,5.54M,,5.54M,12.60M,,12.60M,,,20.06M,38.20M,303.22M,9.487M,613.41M,526.17M,749.32M,,,33.88M,433.64M
2007-12,60.36M,,60.36M,108.38M,,108.38M,35.54M,16.42M,46.84M,98.80M,,,23.61M,14.51M,305.66M,0.0,7.754M,70.81M,153.61M,,23.00M,,255.18M,-113.32M,141.85M,236.41M,,236.41M,,,6.644M,11.61M,396.52M,702.18M,32.51M,,32.51M,107.25M,139.76M,,,,72.96M,,72.96M,10.68M,10.68M,,223.39M,5.727M,,5.727M,14.70M,,14.70M,,,20.04M,40.46M,263.86M,9.45M,585.86M,514.77M,696.67M,24.19M,0.718M,24.91M,438.32M
2007-09,58.51M,,58.51M,103.41M,,103.41M,24.66M,15.14M,56.48M,96.27M,,,24.30M,11.26M,293.75M,0.0,7.734M,68.16M,141.15M,,16.17M,,233.22M,-106.35M,126.86M,235.88M,,235.88M,,,,17.74M,380.48M,674.23M,21.79M,,21.79M,99.35M,121.14M,,,,77.99M,,77.99M,10.04M,10.04M,,209.17M,5.911M,,5.911M,14.66M,,14.66M,,,24.36M,44.92M,254.09M,4.716M,560.33M,512.27M,677.51M,,,20.33M,420.14M
2007-06,49.59M,,49.59M,106.68M,,106.68M,24.81M,14.72M,52.03M,91.55M,,,22.85M,11.79M,282.47M,0.0,7.624M,66.65M,134.98M,,9.275M,,218.53M,-100.73M,117.81M,230.56M,,230.56M,,,,15.33M,363.70M,646.17M,28.37M,,28.37M,92.26M,120.63M,,,,84.45M,,84.45M,8.491M,8.491M,,213.57M,6.092M,,6.092M,15.29M,,15.29M,,,26.67M,48.05M,261.62M,4.70M,534.54M,500.45M,670.36M,,,15.22M,384.55M
2007-03,53.94M,,53.94M,104.79M,,104.79M,34.01M,15.74M,56.62M,106.37M,,,21.12M,10.53M,296.76M,0.0,7.46M,65.15M,125.74M,,6.803M,,205.15M,-96.36M,108.80M,227.37M,,227.37M,,,,13.57M,349.74M,646.49M,27.32M,,27.32M,75.96M,103.28M,,,,75.90M,,75.90M,9.235M,9.235M,,188.42M,6.271M,,6.271M,14.87M,,14.87M,,,24.85M,46.00M,234.41M,4.688M,512.88M,493.40M,612.64M,,,13.76M,412.08M
2006-12,61.67M,35.00M,96.67M,81.39M,,81.39M,33.20M,13.80M,48.99M,96.00M,,,16.88M,11.33M,302.26M,0.0,6.062M,61.56M,115.78M,,8.139M,,191.54M,-91.91M,99.63M,104.83M,43.35M,148.18M,,,3.253M,6.237M,257.30M,559.56M,24.37M,,24.37M,88.93M,113.30M,,,,0.678M,,0.678M,8.976M,8.976M,1.784M,124.74M,6.447M,,6.447M,7.154M,,7.154M,,,11.36M,24.96M,149.70M,4.662M,490.61M,479.99M,577.83M,,,12.42M,409.86M
2006-09,50.95M,43.64M,94.59M,79.30M,,79.30M,31.12M,12.90M,49.23M,93.24M,,,13.97M,10.79M,291.89M,0.0,5.875M,59.27M,108.65M,,5.532M,,179.33M,-88.16M,91.16M,132.72M,,132.72M,,,,9.19M,233.08M,524.97M,23.19M,,23.19M,82.62M,105.81M,,,,0.665M,,0.665M,8.44M,8.44M,1.818M,116.73M,6.625M,,6.625M,4.972M,,4.972M,,,9.058M,20.66M,137.39M,4.656M,465.94M,474.54M,565.95M,,,8.394M,387.58M
2006-06,50.02M,27.03M,77.06M,84.47M,,84.47M,,,,85.54M,,,15.18M,9.544M,271.79M,0.0,6.608M,57.24M,104.60M,,4.323M,,172.77M,-83.98M,88.80M,133.03M,,133.03M,,,,7.756M,229.58M,501.38M,24.24M,,24.24M,87.22M,111.46M,0.655M,,,0.655M,,0.655M,8.95M,8.95M,2.261M,123.32M,6.795M,,6.795M,5.062M,,5.062M,,,9.166M,21.02M,144.34M,4.638M,440.99M,463.20M,557.34M,,,5.548M,357.03M
2006-03,35.34M,57.66M,93.00M,81.92M,,81.92M,23.10M,12.99M,45.14M,81.23M,,,14.29M,10.52M,280.96M,0.0,1.574M,43.13M,97.52M,,5.556M,,147.78M,-80.51M,67.27M,119.26M,,119.26M,,,,7.755M,194.28M,475.24M,25.03M,,25.03M,62.80M,87.83M,,,,,,,8.301M,8.301M,2.237M,98.37M,,,,5.682M,,5.682M,,0.188M,7.945M,13.63M,112.00M,4.628M,415.21M,455.66M,514.79M,,,2.35M,363.06M
2005-12,67.15M,65.58M,132.73M,71.69M,,71.69M,22.52M,10.58M,36.27M,69.37M,,,13.78M,11.68M,299.24M,0.0,1.57M,42.10M,94.10M,,5.001M,,142.78M,-77.08M,65.70M,88.13M,30.62M,118.75M,,,0.42M,6.568M,191.43M,490.68M,19.84M,,19.84M,76.02M,95.86M,,,,0.551M,,0.551M,7.965M,7.965M,2.191M,106.57M,,,,6.026M,,6.026M,,0.30M,8.774M,14.80M,121.37M,4.594M,396.94M,437.39M,472.10M,,,2.182M,369.01M
2005-09,57.77M,71.69M,129.46M,68.10M,,68.10M,23.33M,11.23M,45.64M,80.21M,,,11.87M,10.05M,299.68M,0.0,2.075M,44.24M,96.52M,,2.451M,,145.28M,-80.35M,64.94M,,119.90M,119.90M,,,,8.114M,192.95M,492.63M,18.40M,,18.40M,68.12M,86.52M,0.542M,,,0.542M,,0.542M,8.343M,8.343M,2.114M,97.52M,,,,6.444M,,6.444M,,0.362M,7.542M,13.99M,111.50M,4.579M,376.91M,431.61M,437.13M,,,4.792M,380.76M
2005-06,52.35M,78.60M,130.96M,73.14M,,73.14M,20.92M,12.16M,48.68M,81.76M,,,11.78M,9.689M,307.33M,0.0,2.171M,43.72M,95.14M,,2.045M,,143.08M,-79.36M,63.72M,,115.37M,115.37M,,,,13.82M,192.92M,500.25M,16.19M,,16.19M,65.70M,81.90M,0.531M,,,0.531M,,0.531M,8.434M,8.434M,2.389M,93.25M,,,,6.864M,,6.864M,,0.232M,7.674M,14.54M,107.79M,4.559M,356.30M,423.82M,398.72M,,,6.258M,392.23M
2005-03,44.58M,65.62M,110.20M,75.62M,,75.62M,20.80M,13.15M,44.53M,78.48M,,,12.47M,9.572M,286.34M,0.0,2.197M,39.80M,93.58M,,5.138M,,140.71M,-77.97M,62.74M,,120.81M,120.81M,,,,18.02M,201.57M,487.92M,12.96M,,12.96M,60.39M,73.35M,0.526M,,,0.526M,,0.526M,8.617M,8.617M,2.558M,85.05M,,,,7.777M,,7.777M,,,7.645M,15.42M,100.47M,4.533M,336.37M,414.40M,377.87M,,,10.01M,387.44M
2004-12,47.16M,90.12M,137.27M,65.64M,,65.64M,20.85M,10.36M,45.21M,76.42M,,,13.46M,8.797M,301.59M,0.0,2.216M,38.51M,89.56M,,7.558M,,137.85M,-75.22M,62.63M,,124.49M,124.49M,,,,25.52M,212.64M,514.24M,14.72M,,14.72M,71.00M,85.72M,1.291M,,,1.291M,,1.291M,10.15M,10.15M,2.785M,99.95M,0.519M,,0.519M,8.45M,,8.45M,,0.392M,7.264M,16.23M,116.18M,4.522M,318.68M,410.82M,348.33M,,,11.97M,397.66M
2004-09,146.53M,50.04M,196.57M,57.95M,,57.95M,20.44M,11.06M,54.49M,86.00M,,,13.86M,6.038M,360.42M,0.0,2.169M,36.84M,88.14M,,5.392M,,132.54M,-74.21M,58.33M,,69.66M,69.66M,,,,23.99M,151.98M,512.40M,18.79M,,18.79M,64.38M,83.17M,0.674M,,,0.674M,,0.674M,7.511M,7.511M,2.626M,93.98M,0.50M,,0.50M,1.503M,,1.503M,,0.471M,7.224M,9.227M,103.20M,4.516M,301.75M,408.51M,313.14M,,,7.097M,408.73M
2004-06,164.66M,48.06M,212.72M,59.29M,,59.29M,20.14M,9.226M,49.54M,78.90M,,,14.54M,5.788M,371.24M,0.0,1.937M,29.77M,85.02M,,11.69M,,128.42M,-71.91M,56.51M,,68.06M,68.06M,,,,27.39M,151.96M,523.20M,19.47M,,19.47M,57.61M,77.08M,0.715M,,,0.715M,,0.715M,8.167M,8.167M,3.091M,89.05M,0.50M,,0.50M,0.965M,,0.965M,,,8.63M,10.10M,99.14M,4.513M,282.05M,407.63M,277.21M,,,7.073M,424.06M
2004-03,180.51M,28.91M,209.42M,61.47M,,61.47M,18.90M,9.079M,47.88M,75.86M,,,,20.13M,366.88M,0.0,1.204M,28.69M,82.32M,,5.373M,,117.59M,-69.19M,48.39M,,67.76M,67.76M,,,,40.06M,156.21M,523.08M,14.85M,,14.85M,59.19M,74.04M,0.744M,,,0.744M,,0.744M,8.252M,8.252M,3.565M,86.60M,0.653M,,0.653M,0.26M,,0.26M,,,8.627M,9.54M,96.14M,4.489M,258.14M,399.00M,241.54M,,,6.856M,426.94M
2003-12,96.94M,123.76M,220.70M,53.98M,,53.98M,16.73M,7.615M,50.99M,75.33M,,,13.78M,6.80M,370.59M,0.0,1.202M,28.35M,79.64M,,2.824M,,112.02M,-66.80M,45.22M,,61.77M,61.77M,,,,44.30M,151.29M,521.88M,19.16M,,19.16M,70.17M,89.33M,0.494M,,,0.494M,,0.494M,8.275M,8.275M,2.25M,100.34M,0.786M,,0.786M,0.236M,,0.236M,,,7.216M,8.238M,108.58M,4.439M,240.35M,383.25M,219.45M,,,4.703M,413.29M
2003-09,176.86M,39.32M,216.18M,50.67M,,50.67M,18.11M,8.173M,43.01M,69.30M,,,15.33M,5.882M,357.36M,0.0,1.197M,28.19M,76.70M,,10.23M,,116.32M,-64.48M,51.83M,,57.94M,57.94M,,,,30.09M,139.86M,497.22M,12.60M,,12.60M,66.60M,79.20M,0.489M,,,0.489M,,0.489M,8.271M,8.271M,,87.96M,,,,1.083M,,1.083M,,0.24M,5.12M,6.203M,94.16M,4.41M,227.98M,375.77M,206.76M,,,1.411M,402.82M
2003-06,151.43M,38.69M,190.12M,50.78M,,50.78M,18.80M,7.396M,43.61M,69.80M,,,15.62M,5.819M,332.14M,0.0,1.197M,28.19M,82.26M,,8.75M,,120.39M,-69.52M,50.87M,,57.26M,57.26M,,,,25.63M,133.76M,465.91M,20.93M,,20.93M,57.40M,78.34M,0.482M,,,0.482M,,0.482M,9.356M,9.356M,,88.17M,,,,0.337M,,0.337M,,,5.304M,5.641M,93.81M,4.354M,212.01M,362.08M,206.76M,,,0.411M,372.09M
2003-03,133.45M,41.98M,175.43M,51.58M,,51.58M,20.78M,6.473M,42.13M,69.38M,,,15.50M,5.801M,317.70M,0.0,23.90M,5.132M,80.44M,,6.484M,,115.95M,-67.19M,48.76M,,56.10M,56.10M,,,,14.36M,119.22M,436.92M,17.01M,,17.01M,51.50M,68.51M,0.984M,,,0.984M,,0.984M,8.318M,8.318M,,77.81M,,,,0.039M,,0.039M,,,5.716M,5.755M,83.57M,4.301M,195.32M,348.77M,192.51M,,,-2.529M,353.35M
2002-12,113.79M,33.40M,147.19M,45.69M,,45.69M,22.55M,5.769M,46.77M,75.09M,,,13.93M,6.114M,288.01M,0.0,1.195M,27.43M,80.82M,,5.863M,,115.31M,-65.85M,49.46M,,56.16M,56.16M,,,,23.80M,129.41M,417.43M,9.427M,,9.427M,52.21M,61.64M,0.973M,,,0.973M,,0.973M,7.662M,7.662M,,70.27M,0.046M,,0.046M,0.226M,,0.226M,,,5.907M,6.179M,76.45M,4.233M,183.26M,334.35M,178.36M,,,-2.511M,340.97M
2002-09,105.20M,22.33M,127.53M,47.61M,,47.61M,21.95M,7.345M,45.91M,75.20M,,,13.93M,5.95M,270.22M,0.0,1.193M,27.43M,79.14M,,5.426M,,113.19M,-63.56M,49.63M,51.78M,,51.78M,,,,39.18M,140.59M,410.81M,17.86M,,17.86M,58.49M,76.34M,0.964M,,,0.964M,,0.964M,13.81M,13.81M,,91.12M,,,,,,,,,,,91.12M,4.198M,170.50M,327.12M,178.36M,,,-3.77M,319.70M
2002-06,68.57M,21.58M,90.16M,48.00M,,48.00M,23.18M,6.124M,46.23M,75.54M,,,14.04M,5.998M,233.73M,0.0,21.48M,5.083M,80.62M,,8.36M,,115.54M,-66.03M,49.51M,,,,,,,92.30M,141.82M,375.55M,7.987M,,7.987M,47.91M,55.90M,0.95M,,,0.95M,,0.95M,13.40M,13.40M,,70.25M,,,,,,,,,,,70.25M,4.193M,158.02M,325.80M,178.36M,,,-4.362M,305.30M
2002-03,81.48M,15.37M,96.85M,51.68M,,51.68M,27.96M,7.265M,49.92M,85.14M,,,14.14M,5.337M,253.15M,0.0,1.188M,5.052M,47.05M,52.52M,6.578M,,112.38M,-62.94M,49.44M,,,,,,,92.78M,142.21M,395.36M,20.89M,,20.89M,38.84M,59.73M,8.398M,,,8.398M,,8.398M,12.97M,12.97M,,81.10M,,,,,,,,,,,81.10M,4.157M,145.06M,319.09M,147.46M,,,-6.574M,314.26M
2001-12,66.67M,12.89M,79.56M,50.77M,,50.77M,18.41M,4.691M,63.09M,86.19M,,,14.24M,4.812M,235.58M,0.0,1.189M,24.58M,76.94M,,5.991M,,108.70M,-59.49M,49.22M,,,,,,,88.32M,137.53M,373.11M,10.89M,,10.89M,38.89M,49.78M,8.38M,,,8.38M,,8.38M,13.22M,13.22M,,71.38M,,,,,,,,,,,71.38M,4.135M,137.87M,313.88M,147.46M,,,-6.694M,301.73M
2001-09,69.04M,10.33M,79.36M,53.99M,,53.99M,19.11M,4.793M,59.94M,83.84M,,,12.86M,5.877M,235.93M,0.0,1.19M,23.03M,77.64M,,7.002M,,108.86M,-59.83M,49.03M,,,,,,,77.92M,126.95M,362.88M,13.37M,,13.37M,39.09M,52.46M,8.507M,,,8.507M,,8.507M,13.05M,13.05M,,74.02M,,,,,,,,,,,74.02M,4.101M,128.04M,309.83M,147.46M,,,-5.641M,288.87M
2001-06,49.50M,18.72M,68.22M,56.48M,,56.48M,19.74M,4.488M,55.28M,79.51M,,,13.32M,5.753M,223.28M,0.0,20.14M,4.548M,73.78M,,6.748M,,105.22M,-57.09M,48.13M,,,,,,,71.20M,119.33M,342.61M,11.03M,,11.03M,34.09M,45.12M,8.495M,,,8.495M,,8.495M,13.01M,13.01M,,66.62M,,,,,,,,,,,66.62M,4.082M,117.83M,308.18M,147.46M,,,-6.627M,275.99M
2001-03,27.87M,17.68M,45.55M,56.84M,,56.84M,18.81M,4.256M,54.43M,77.49M,,6.993M,13.78M,5.901M,206.56M,0.0,20.13M,4.553M,72.18M,,2.841M,,99.71M,-54.18M,45.53M,,,,,,,70.50M,116.03M,322.59M,11.14M,,11.14M,33.43M,44.56M,8.473M,,,8.473M,,8.473M,12.40M,12.40M,,65.44M,,,,,,,,,,,65.44M,4.036M,107.86M,298.70M,147.46M,,,-5.99M,257.14M
2000-12,46.01M,29.20M,75.20M,57.27M,,57.27M,,,,65.94M,,,,17.43M,215.83M,,,,,,,,98.15M,-52.49M,45.66M,,,,,,,74.30M,119.97M,335.80M,13.71M,,13.71M,,13.71M,,,,8.472M,,8.472M,,,51.86M,74.05M,,,,,,,,,,,74.05M,4.025M,100.25M,296.91M,134.48M,,,-4.964M,261.75M
2000-09,38.73M,47.28M,86.00M,,,62.36M,,,,62.87M,,,,22.93M,234.17M,,,,,,,,97.49M,-55.74M,41.75M,,,,,,,78.44M,120.19M,354.36M,17.91M,,17.91M,,17.91M,,,,8.525M,,8.525M,,,61.52M,87.96M,,,,,,,,,,,87.96M,4.016M,90.45M,294.34M,117.07M,,,-5.334M,266.40M
2000-06,73.65M,50.76M,124.42M,,,63.29M,,,,56.75M,,,,21.29M,265.75M,,,,,,,,93.49M,-53.99M,39.50M,,,,,,,70.84M,110.34M,376.09M,18.91M,,18.91M,,18.91M,,,,3.376M,,3.376M,,,64.76M,87.04M,,,,,,,,,,,87.04M,4.001M,81.18M,291.79M,83.57M,,,-4.351M,289.05M
2000-03,68.37M,41.98M,110.35M,,,62.69M,,,,47.19M,,,,21.62M,241.84M,,,,,,,,90.43M,-51.11M,39.32M,,,,,,,80.64M,119.96M,361.80M,16.40M,,16.40M,,16.40M,,,,3.519M,,3.519M,,,53.07M,72.99M,,,,,,,,,,,72.99M,3.986M,71.65M,289.53M,72.25M,,,-4.105M,288.81M
1999-12,58.58M,46.84M,105.41M,,,58.35M,,,,47.49M,,,,21.16M,232.42M,,,,,,,,88.66M,-49.11M,39.55M,,,,,,,86.02M,125.57M,357.98M,21.82M,,21.82M,,21.82M,,,,3.543M,,3.543M,,,48.28M,73.64M,,,,,,,,,,0.041M,73.68M,4.00M,63.60M,284.50M,64.20M,,,-3.50M,284.30M
1999-09,74.70M,46.20M,120.90M,,,55.90M,,,,48.40M,,,,19.00M,244.20M,,,,,,,,87.30M,-47.20M,40.10M,,,,,,,98.80M,138.90M,383.10M,11.20M,,11.20M,,11.20M,,,,4.20M,,4.20M,,,54.80M,70.20M,4.20M,,4.20M,,,,,,,4.20M,74.40M,4.00M,54.80M,283.80M,30.20M,,,-3.70M,308.70M
1999-06,107.10M,,107.10M,,,57.90M,,,,47.50M,,,,58.50M,271.00M,,,,,,,,87.30M,-46.00M,41.30M,,,,,,,96.90M,138.20M,409.20M,13.70M,,13.70M,,13.70M,,,,5.30M,,5.30M,,,56.50M,75.50M,4.20M,,4.20M,,,,,,,4.20M,79.70M,,46.30M,,,,,,329.50M
1999-03,91.30M,,91.30M,,,58.00M,,,,46.80M,,,,53.40M,249.50M,,,,,,,,85.30M,-43.60M,41.70M,,,,,,,96.40M,138.10M,387.60M,12.00M,,12.00M,,12.00M,,,,5.60M,,5.60M,,,48.00M,65.60M,4.20M,,4.20M,,,,,,,4.20M,69.80M,,38.30M,,,,,,317.80M
1998-12,109.10M,,109.10M,,,47.90M,,,,55.40M,,,,50.90M,263.30M,,,,,,,,82.50M,-41.00M,41.50M,,,,,,,81.70M,123.20M,386.50M,26.80M,,26.80M,,26.80M,,,,5.20M,,5.20M,,,42.50M,74.50M,4.20M,,4.20M,,,,,,,4.20M,78.70M,,31.00M,,,,,,307.80M
1998-09,138.70M,,138.70M,,,43.90M,,,,43.00M,,,,52.10M,277.70M,,,,,,,,78.70M,-38.60M,40.10M,,,,,,,62.60M,102.70M,380.40M,7.50M,,7.50M,,7.50M,,,,1.50M,,1.50M,,,49.30M,58.30M,,,,,,,,,,0.10M,58.40M,,61.10M,,,,,,322.00M
1998-06,129.60M,,129.60M,,,49.20M,,,,51.00M,,,,55.30M,285.10M,,,,,,,,76.10M,-35.70M,40.40M,,,,,,,60.10M,100.50M,385.60M,15.70M,,15.70M,,15.70M,,,,2.50M,,2.50M,,,53.40M,71.60M,,,,,,,,,,,71.60M,,55.10M,,,,,,314.00M
