,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.356B,1.356B,364.00M,992.00M,271.00M,,-23.00M,,55.00M,2.00M,-53.00M,327.00M,665.00M,2.00M,55.00M,-53.00M,-13.00M,-53.00M,599.00M,132.00M,467.00M,,0.00,467.00M,483.38M,710.00M,56.00M,654.00M,2.49,,2.577,2.49,2.47,,2.557,2.47,187.80M,189.30M,0.56
2020-06,1.435B,1.435B,362.00M,1.073B,307.00M,,2.00M,,60.00M,,-60.00M,365.00M,708.00M,,60.00M,-60.00M,18.00M,-60.00M,666.00M,157.00M,509.00M,,0.00,509.00M,507.47M,784.00M,58.00M,726.00M,2.71,,2.702,2.71,2.69,,2.682,2.69,187.70M,189.00M,0.56
2020-03,1.29B,1.29B,340.00M,950.00M,301.00M,,-8.00M,,44.00M,4.00M,-40.00M,350.00M,600.00M,4.00M,44.00M,-40.00M,4.00M,-40.00M,564.00M,77.00M,487.00M,,1.00M,488.00M,483.68M,657.00M,49.00M,608.00M,2.6,,2.577,2.6,2.57,,2.5469999999999997,2.57,187.50M,189.60M,0.56
2019-12,1.233B,1.233B,355.00M,878.00M,319.00M,,-5.00M,,64.00M,5.00M,-59.00M,369.00M,509.00M,5.00M,64.00M,-59.00M,3.00M,-59.00M,453.00M,91.00M,362.00M,,-2.00M,360.00M,366.39M,567.00M,50.00M,517.00M,1.91,,1.944,1.91,1.88,,1.913,1.88,188.40M,191.00M,0.5
2019-09,1.24B,1.24B,350.00M,890.00M,292.00M,,-1.00M,,49.00M,3.00M,-46.00M,340.00M,550.00M,3.00M,49.00M,-46.00M,9.00M,-46.00M,513.00M,130.00M,383.00M,,-3.00M,380.00M,380.00M,610.00M,48.00M,562.00M,2.01,,2.01,2.01,1.99,,1.99,1.99,189.00M,191.10M,0.5
2019-06,1.214B,1.214B,340.00M,874.00M,275.00M,,-64.00M,,51.00M,,-51.00M,327.00M,547.00M,,51.00M,-51.00M,-64.00M,-51.00M,432.00M,121.00M,311.00M,,-1.00M,310.00M,356.08M,535.00M,52.00M,483.00M,1.64,,1.883,1.64,1.62,,1.861,1.62,189.40M,191.30M,0.5
2019-03,1.142B,1.142B,342.00M,800.00M,281.00M,,-7.00M,,57.00M,5.00M,-52.00M,331.00M,469.00M,5.00M,57.00M,-52.00M,-5.00M,-52.00M,412.00M,38.00M,374.00M,,-1.00M,373.00M,384.80M,519.00M,50.00M,469.00M,1.96,,2.022,1.96,1.93,,1.9909999999999999,1.93,190.40M,192.80M,0.5
2018-12,1.060B,1.060B,304.60M,755.80M,278.10M,,-52.90M,,58.80M,4.30M,-54.50M,326.50M,429.30M,4.30M,58.80M,-54.50M,-52.20M,-54.50M,322.60M,69.30M,253.30M,,-2.60M,250.70M,298.05M,429.80M,48.40M,381.40M,1.31,,1.557,1.31,1.29,,1.534,1.29,191.30M,194.40M,0.44
2018-09,1.081B,1.081B,306.30M,774.50M,260.30M,0.0,-1.30M,,60.50M,4.10M,-56.40M,306.40M,468.10M,4.10M,60.50M,-56.40M,1.10M,-56.40M,412.80M,100.80M,312.00M,,-1.80M,310.20M,314.13M,519.40M,46.10M,473.30M,1.62,,1.64,1.62,1.59,,1.61,1.59,191.80M,194.50M,0.44
2018-06,1.175B,1.175B,320.20M,854.90M,270.50M,0.0,-2.00M,,56.80M,3.40M,-53.40M,318.90M,536.00M,3.40M,56.80M,-53.40M,12.90M,-53.40M,495.50M,117.60M,377.90M,,-1.70M,376.20M,373.00M,600.70M,48.40M,552.30M,1.96,,1.943,1.96,1.94,,1.9240000000000002,1.94,191.90M,194.40M,0.44
2018-03,1.127B,1.127B,314.90M,811.80M,271.10M,,-0.80M,,53.90M,3.20M,-50.70M,320.20M,491.60M,3.20M,53.90M,-50.70M,0.20M,-50.70M,441.10M,64.30M,376.80M,,-3.90M,372.90M,378.62M,544.10M,49.10M,495.00M,1.95,,1.98,1.95,1.92,,1.949,1.92,191.40M,194.50M,0.44
2017-12,1.165B,1.165B,340.30M,825.10M,303.50M,,-6.00M,,61.80M,3.00M,-58.80M,353.10M,472.00M,3.00M,61.80M,-58.80M,-5.30M,-58.80M,407.90M,379.10M,28.80M,,-2.90M,25.90M,32.26M,519.30M,49.60M,469.70M,0.13,,0.1633,0.13,0.13,,0.1627,0.13,191.10M,194.50M,0.38
2017-09,1.063B,1.063B,315.60M,747.30M,245.70M,,-10.10M,,57.40M,4.30M,-53.10M,288.70M,458.60M,4.30M,57.40M,-53.10M,60.30M,-53.10M,465.80M,146.10M,319.70M,,-2.40M,317.30M,280.87M,566.20M,43.00M,523.20M,1.66,,1.469,1.66,1.63,,1.442,1.63,191.10M,194.10M,0.38
