,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,467.00M,0.00,,24.00M,56.00M,56.00M,-47.00M,23.00M,38.00M,,-140.00M,62.00M,,9.00M,37.00M,,-90.00M,18.00M,,511.00M,-21.00M,,-1.00M,-8.00M,,-30.00M,-4.00M,0.00,-4.00M,,0.00,0.00,-105.00M,-105.00M,11.00M,-22.00M,-120.00M,2.099B,361.00M,32.00M,2.492B,,496.00M,-500.00M,0.00
2020-06,509.00M,0.00,,0.00,58.00M,58.00M,-11.00M,0.00,35.00M,,35.00M,18.00M,,149.00M,-7.00M,12.00M,-131.00M,41.00M,,632.00M,-41.00M,,-2.00M,-8.00M,,-51.00M,-5.00M,-487.00M,-492.00M,,0.00,0.00,-105.00M,-105.00M,-16.00M,-29.00M,-642.00M,2.141B,-61.00M,19.00M,2.099B,,295.00M,-787.00M,0.00
2020-03,487.00M,9.00M,,9.00M,49.00M,49.00M,57.00M,,37.00M,,37.00M,-7.00M,,-186.00M,-38.00M,-12.00M,-51.00M,-294.00M,,345.00M,-21.00M,,-696.00M,-55.00M,,-772.00M,700.00M,484.00M,1.184B,,-253.00M,-253.00M,-105.00M,-105.00M,-55.00M,-6.00M,765.00M,1.832B,338.00M,-29.00M,2.141B,,1.489B,-305.00M,-253.00M
2019-12,362.00M,3.00M,,3.00M,50.00M,50.00M,-16.00M,0.00,33.00M,,33.00M,-170.00M,,177.00M,-80.00M,-16.00M,136.00M,47.00M,,479.00M,-8.00M,,185.00M,9.00M,,186.00M,324.00M,0.00,324.00M,,-263.00M,-263.00M,-94.00M,-94.00M,7.00M,-20.00M,-46.00M,1.178B,630.00M,24.00M,1.832B,,834.00M,-510.00M,-263.00M
2019-09,382.00M,2.00M,,2.00M,48.00M,48.00M,-19.00M,9.00M,33.00M,,42.00M,6.00M,,-4.00M,50.00M,,-66.00M,-14.00M,,441.00M,-22.00M,,-84.00M,9.00M,,-97.00M,0.00,-130.00M,-130.00M,,-113.00M,-113.00M,-95.00M,-95.00M,7.00M,0.00,-331.00M,1.196B,10.00M,-28.00M,1.178B,,365.00M,-495.00M,-113.00M
2019-06,311.00M,9.00M,,9.00M,52.00M,52.00M,-17.00M,29.00M,34.00M,,63.00M,38.00M,,84.00M,-52.00M,3.00M,-103.00M,-30.00M,,388.00M,-19.00M,,-37.00M,10.00M,,-46.00M,0.00,-190.00M,-190.00M,,-167.00M,-167.00M,-95.00M,-95.00M,-9.00M,124.00M,-337.00M,1.197B,-3.00M,2.00M,1.196B,,540.00M,-730.00M,-167.00M
2019-03,374.00M,0.00,,0.00,50.00M,50.00M,14.00M,,36.00M,,36.00M,-8.00M,,-180.00M,-6.00M,-3.00M,90.00M,-107.00M,,367.00M,-20.00M,,0.00,13.00M,,-7.00M,-450.00M,317.00M,-133.00M,,-448.00M,-448.00M,-94.00M,-94.00M,-37.00M,-137.00M,-849.00M,1.685B,-489.00M,1.00M,1.197B,,402.00M,-535.00M,-448.00M
2018-12,253.30M,,,,48.40M,48.40M,-23.70M,0.00,30.00M,,30.00M,-158.50M,,42.50M,-45.60M,42.00M,188.00M,68.40M,,376.40M,-28.10M,,-253.70M,-10.40M,,-292.20M,740.40M,-26.20M,714.20M,,-55.80M,-55.80M,-84.10M,-84.10M,4.10M,-10.20M,568.20M,1.035B,652.40M,-2.70M,1.685B,,1.345B,-630.80M,-55.80M
2018-09,312.00M,,,,46.10M,46.10M,-63.20M,0.00,30.50M,,30.50M,4.70M,,-13.30M,46.80M,0.00,-56.30M,-18.10M,,307.30M,-25.00M,,-35.00M,-8.50M,,-68.50M,-300.00M,-64.80M,-364.80M,,-66.20M,-66.20M,-84.30M,-84.30M,5.50M,-2.80M,-512.60M,1.314B,-273.80M,-5.90M,1.035B,,75.00M,-439.80M,-66.20M
2018-06,377.90M,,,,48.40M,48.40M,-7.90M,0.00,34.40M,,34.40M,47.70M,,60.90M,-58.00M,0.10M,-117.70M,-67.00M,,385.80M,-22.90M,,0.00,-3.90M,,-26.80M,-150.40M,0.00,-150.40M,,-37.60M,-37.60M,-84.50M,-84.50M,-11.10M,-1.70M,-285.30M,1.277B,73.70M,-36.50M,1.314B,,439.40M,-589.80M,-37.60M
