,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,162.00M,,95.00M,,,406.00M,406.00M,0.00,,3.00M,33.00M,3.00M,-16.00M,,,-59.00M,31.00M,3.00M,,-41.00M,,,2020-09,-377.00M,,,-70.00M,,1.00M,-446.00M,2020-09,-1.997B,75.00M,-1.922B,,-1.00M,-1.00M,,,,-517.00M,-28.00M,0.00,-2.468B,,2020-09,-2.253B,1.00M,421.00M,,2020-09,,,-2.797B,-1.00M,,2020-09,AOR,
2020-06,201.00M,,,,,402.00M,402.00M,1.00M,,3.00M,38.00M,4.00M,55.00M,,,42.00M,-43.00M,53.00M,,107.00M,,,2020-06,-414.00M,,,-3.00M,,-5.00M,-422.00M,2020-06,2.436B,0.00,2.436B,,-1.00M,-1.00M,,,,-501.00M,-29.00M,-38.00M,1.867B,,2020-06,2.201B,0.00,2.673B,,2020-06,,,-1.297B,-1.00M,,2020-06,AOR,
2020-03,185.00M,,,,,399.00M,399.00M,1.00M,,4.00M,37.00M,1.00M,102.00M,,,-70.00M,-8.00M,2.00M,,26.00M,,,2020-03,-447.00M,,,-13.00M,,-8.00M,-468.00M,2020-03,719.00M,-155.00M,564.00M,,-73.00M,-73.00M,,,,-513.00M,-28.00M,,-50.00M,,2020-03,135.00M,-1.00M,472.00M,,2020-03,,,-621.00M,-73.00M,,2020-03,AOR,
2019-12,208.00M,,0.00,,,397.00M,397.00M,0.00,,6.00M,26.00M,-6.00M,70.00M,,,41.00M,-9.00M,75.00M,,177.00M,,,2019-12,-520.00M,,,-2.00M,,-10.00M,-532.00M,2019-12,107.00M,155.00M,262.00M,,0.00,0.00,,,,-497.00M,-28.00M,0.00,-263.00M,,2019-12,13.00M,0.00,338.00M,,2019-12,,,-417.00M,0.00,,2019-12,AOR,
2019-09,243.00M,,0.00,,,388.00M,388.00M,1.00M,,1.00M,29.00M,1.00M,-77.00M,,,-25.00M,0.00,102.00M,,0.00,,,2019-09,-539.00M,,,-2.00M,,2.00M,-539.00M,2019-09,782.00M,-500.00M,282.00M,,-1.00M,-1.00M,,,,-471.00M,-28.00M,-10.00M,-228.00M,,2019-09,-104.00M,0.00,325.00M,,2019-09,,,-508.00M,-1.00M,,2019-09,AOR,Restated
2019-06,216.00M,,1.00M,,,393.00M,393.00M,0.00,,6.00M,33.00M,1.00M,-46.00M,,,70.00M,-43.00M,84.00M,,65.00M,,,2019-06,-518.00M,,,-3.00M,,0.00,-521.00M,2019-06,-172.00M,500.00M,328.00M,,-1.00M,-1.00M,,,,-467.00M,-29.00M,-4.00M,-173.00M,,2019-06,21.00M,0.00,429.00M,,2019-06,,,-656.00M,-1.00M,,2019-06,AOR,Restated
2019-03,193.00M,,1.00M,,,394.00M,394.00M,1.00M,,6.00M,29.00M,3.00M,-43.00M,,,-46.00M,-19.00M,-7.00M,,-115.00M,,,2019-03,-480.00M,,,-10.00M,,1.00M,-489.00M,2019-03,529.00M,0.00,529.00M,,-42.00M,-42.00M,,,,-477.00M,-28.00M,-10.00M,-28.00M,,2019-03,-5.00M,0.00,408.00M,,2019-03,,,-1.177B,-42.00M,,2019-03,AOR,Restated
2018-12,164.00M,,0.00,,,389.00M,389.00M,0.00,,8.00M,24.00M,2.00M,-31.00M,,,53.00M,-11.00M,127.00M,,138.00M,,,2018-12,-498.00M,,,-16.00M,,2.00M,-512.00M,2018-12,240.00M,0.00,240.00M,0.00,0.00,0.00,,,,-467.00M,-28.00M,2.00M,-253.00M,,2018-12,-40.00M,0.00,413.00M,,2018-12,,0.00,-289.00M,0.00,,2018-12,AOR,Restated
2018-09,164.00M,,32.00M,,,385.00M,385.00M,1.00M,,9.00M,32.00M,2.00M,-15.00M,,,-25.00M,-12.00M,91.00M,,39.00M,,,2018-09,-478.00M,,,-8.00M,,-17.00M,-503.00M,2018-09,433.00M,,433.00M,0.00,0.00,0.00,,,,-436.00M,-28.00M,-13.00M,-44.00M,,2018-09,117.00M,0.00,453.00M,,2018-09,,0.00,-1.372B,0.00,,2018-09,AOR,Restated
2018-06,180.00M,,3.00M,,,379.00M,379.00M,0.00,,6.00M,24.00M,1.00M,-54.00M,,,58.00M,-48.00M,110.00M,,66.00M,,,2018-06,-393.00M,,,-4.00M,,3.00M,-394.00M,2018-06,200.00M,0.00,200.00M,-2.00M,-1.00M,-3.00M,,,,-436.00M,-29.00M,-5.00M,-273.00M,,2018-06,-8.00M,-1.00M,336.00M,,2018-06,,-2.00M,-115.00M,-1.00M,,2018-06,AOR,Restated
