,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,268.30M,,,,60.50M,60.50M,-0.20M,12.70M,,12.70M,,,-211.10M,-211.10M,130.20M,-54.90M,0.80M,0.80M,-99.50M,11.30M,,-142.30M,0.00,-304.80M,-304.80M,,-382.00M,-382.00M,-58.10M,-58.10M,20.60M,-3.90M,-728.20M,1.719B,-740.30M,21.40M,1.000B,,0.00,0.00,-382.00M,75.90M,41.00M
2017-12,-100.40M,,,,58.30M,58.30M,186.90M,12.60M,,12.60M,,,428.50M,270.40M,427.80M,-70.80M,2.10M,2.10M,-22.00M,3.50M,,-87.20M,154.10M,-173.60M,-19.50M,,-62.40M,-62.40M,-57.90M,-57.90M,49.70M,-2.30M,-92.40M,1.452B,248.20M,18.70M,1.719B,,154.10M,0.00,-62.40M,81.10M,6.30M
2017-09,280.20M,,,,57.90M,57.90M,-6.60M,12.70M,,12.70M,,,-146.00M,-146.00M,198.20M,-55.60M,1.30M,1.30M,-44.50M,6.30M,,-92.50M,-375.00M,537.70M,162.70M,,-155.70M,-155.70M,-48.90M,-48.90M,61.40M,-2.50M,17.00M,1.317B,122.70M,12.60M,1.452B,,0.00,-375.00M,-155.70M,70.40M,42.60M
2017-06,253.60M,,,,56.50M,56.50M,1.50M,12.30M,,12.30M,,,-43.50M,-43.50M,280.40M,-51.50M,0.40M,0.40M,-152.40M,-5.90M,,-209.40M,749.30M,-589.40M,159.90M,,-150.70M,-150.70M,-48.90M,-48.90M,49.30M,-20.60M,-11.00M,1.243B,60.00M,14.00M,1.317B,,749.30M,0.00,-150.70M,96.30M,3.00M
2017-03,227.30M,,,,54.10M,54.10M,4.50M,12.10M,,12.10M,,,-60.20M,-60.20M,237.80M,-48.70M,0.30M,0.30M,-46.60M,103.90M,,8.90M,,225.30M,225.30M,,-249.20M,-249.20M,-49.30M,-49.30M,23.70M,-4.20M,-53.70M,1.035B,193.00M,15.30M,1.243B,,,,-249.20M,77.40M,32.40M
2016-12,238.30M,,,,53.40M,53.40M,,12.10M,-11.20M,0.90M,,,35.00M,86.20M,348.90M,-54.50M,3.10M,3.10M,-32.50M,16.10M,,-67.80M,,37.40M,37.40M,,-96.20M,-96.20M,-43.30M,-43.30M,26.40M,10.20M,-65.50M,853.60M,215.60M,-34.60M,1.035B,,,,-96.20M,54.40M,3.30M
2016-09,227.10M,,,,51.20M,51.20M,,12.30M,-16.70M,-4.40M,,,17.00M,17.00M,290.90M,-47.20M,0.60M,0.60M,-86.80M,-132.20M,,-265.60M,,127.70M,127.70M,,-121.20M,-121.20M,-43.10M,-43.10M,53.00M,15.00M,31.40M,794.00M,56.70M,2.90M,853.60M,,,,-121.20M,53.70M,31.20M
2016-06,208.80M,,,,50.50M,50.50M,,11.60M,-12.30M,-0.70M,,,-15.00M,-15.00M,243.60M,-48.10M,0.70M,0.70M,0.00,-4.80M,,-52.20M,,-32.70M,-32.70M,,-59.20M,-59.20M,-43.10M,-43.10M,53.20M,12.20M,-69.60M,687.00M,121.80M,-14.80M,794.00M,,,,-59.20M,91.10M,2.80M
2016-03,158.40M,,,,61.90M,61.90M,,11.60M,-4.20M,7.40M,,,-33.50M,-33.50M,194.20M,-41.00M,2.70M,2.70M,-1.186B,-3.00M,,-1.227B,,50.80M,50.80M,,-49.20M,-49.20M,-43.20M,-43.20M,14.60M,-2.80M,-29.80M,1.737B,-1.063B,12.50M,687.00M,,,,-49.20M,47.60M,31.20M
2015-12,202.60M,,,,43.50M,43.50M,,12.10M,-6.80M,5.30M,,,11.10M,58.00M,322.30M,-41.30M,2.00M,132.80M,0.00,-1.70M,,-41.00M,1.70M,-28.20M,-26.50M,,-53.30M,-53.30M,-43.20M,-43.20M,18.60M,6.80M,-97.60M,1.576B,183.70M,-22.10M,1.737B,,7.60M,-5.90M,-53.30M,67.80M,2.00M
2015-09,207.30M,,,,44.60M,44.60M,,11.90M,-0.30M,11.60M,,,21.90M,21.90M,285.40M,-45.60M,4.40M,-41.20M,-28.00M,131.40M,,62.20M,-0.80M,94.40M,93.60M,,-52.00M,-52.00M,-38.60M,-38.60M,5.60M,-1.40M,7.20M,1.243B,354.80M,-22.00M,1.576B,,0.00,-0.80M,-52.00M,54.20M,30.10M
2015-06,180.60M,,,,43.40M,43.40M,,10.10M,-5.50M,4.60M,,,5.90M,5.90M,234.50M,-45.20M,2.00M,-43.20M,-95.70M,226.70M,,87.80M,-124.80M,125.70M,0.90M,,-81.40M,-81.40M,0.00,0.00,24.20M,4.30M,-52.00M,969.90M,270.30M,2.60M,1.243B,,0.00,-124.80M,-81.40M,76.80M,1.80M
2015-03,181.80M,,,,40.10M,40.10M,,10.10M,-3.60M,6.50M,,,-40.10M,-40.10M,188.30M,-40.00M,0.30M,-39.70M,-76.10M,-20.50M,,-136.30M,38.80M,46.80M,85.60M,,-62.20M,-62.20M,-77.50M,-77.50M,16.00M,0.40M,-37.70M,968.90M,14.30M,-13.30M,969.90M,,125.00M,-86.20M,-62.20M,51.90M,30.20M
2014-12,194.80M,,,,50.10M,50.10M,,12.00M,-2.70M,9.30M,,,38.30M,19.30M,273.50M,-46.40M,3.40M,-43.00M,-50.20M,8.20M,,-85.00M,-536.30M,585.40M,49.10M,,-138.60M,-138.60M,0.00,0.00,9.00M,2.30M,-78.20M,873.00M,110.30M,-14.40M,968.90M,,243.00M,-779.30M,-138.60M,-370.50M,-119.10M
2014-09,184.20M,,,,40.40M,40.40M,,10.20M,-11.50M,-1.30M,,,0.80M,0.80M,224.10M,-56.80M,0.80M,-56.00M,-448.50M,-5.80M,,-510.30M,280.60M,0.00,280.60M,,-150.60M,-150.60M,-70.50M,-70.50M,30.50M,4.60M,94.60M,1.080B,-191.60M,-15.50M,873.00M,,914.70M,-634.10M,-150.60M,41.60M,22.00M
2014-06,176.40M,,,,37.70M,37.70M,,9.90M,-15.40M,-5.50M,,,-28.00M,-28.00M,180.60M,-51.70M,0.90M,-50.80M,-10.50M,-86.90M,,-148.20M,119.80M,0.00,119.80M,,-129.10M,-129.10M,-31.40M,-31.40M,44.60M,14.80M,18.70M,1.023B,51.10M,5.70M,1.080B,,255.30M,-135.50M,-129.10M,70.50M,16.40M
2014-03,159.80M,,,,39.90M,39.90M,,9.30M,-2.70M,6.60M,,,-3.60M,-3.60M,202.70M,-54.20M,0.50M,-53.70M,-9.00M,24.30M,,-38.40M,90.50M,,90.50M,,-121.10M,-121.10M,0.00,0.00,13.70M,-4.10M,-21.00M,886.80M,143.30M,-6.80M,1.023B,,891.60M,-801.10M,-121.10M,48.80M,13.30M
